Date,open,high,low,close,volume,adj_close,diff
2011-01-03,14.35,14.5,14.12,14.31,173900,14.31,-0.03999999999999915
2011-01-04,14.4,14.4,13.64,13.91,105900,13.91,-0.4900000000000002
2011-01-05,13.89,14.44,13.84,14.43,104200,14.43,0.5399999999999991
2011-01-06,14.39,14.4,13.61,13.74,179700,13.74,-0.6500000000000004
2011-01-07,13.79,13.8,12.98,13.54,212100,13.54,-0.25
2011-01-10,13.45,13.77,13.14,13.63,103500,13.63,0.1800000000000015
2011-01-11,13.67,13.75,13.5,13.65,73200,13.65,-0.019999999999999574
2011-01-12,13.74,13.74,13.49,13.62,117400,13.62,-0.120000000000001
2011-01-13,13.62,13.62,13.2,13.38,145500,13.38,-0.23999999999999844
2011-01-14,13.32,13.55,13.25,13.34,205300,13.34,0.019999999999999574
2011-01-18,13.35,13.38,12.88,13.2,200500,13.2,-0.15000000000000036
2011-01-19,13.17,13.2,12.44,12.59,164200,12.59,-0.5800000000000001
2011-01-20,12.46,12.71,12.36,12.52,91800,12.52,0.05999999999999872
2011-01-21,12.6,12.6,12.08,12.1,116200,12.1,-0.5
2011-01-24,12.08,12.3,12.03,12.17,117300,12.17,0.08999999999999986
2011-01-25,12.08,12.08,11.32,11.43,351000,11.43,-0.6500000000000004
2011-01-26,11.51,12.41,11.51,12.4,319500,12.4,0.8900000000000006
2011-01-27,12.42,12.52,12.19,12.2,107600,12.2,-0.22000000000000064
2011-01-28,12.21,12.36,11.86,11.93,260900,11.93,-0.28000000000000114
2011-01-31,11.95,12.26,11.78,12.18,285900,12.18,0.23000000000000043
2011-02-01,12.3,12.87,12.25,12.76,147400,12.76,0.4599999999999991
2011-02-02,12.68,13.03,12.67,13.02,113500,13.02,0.33999999999999986
2011-02-03,13.31,13.69,13.18,13.43,230000,13.43,0.11999999999999922
2011-02-04,13.46,13.56,13.31,13.38,127300,13.38,-0.08000000000000007
2011-02-07,13.39,13.82,13.39,13.55,102600,13.55,0.16000000000000014
2011-02-08,13.51,13.64,13.47,13.64,64200,13.64,0.13000000000000078
2011-02-09,13.58,13.74,13.54,13.69,132500,13.69,0.10999999999999943
2011-02-10,13.55,14.15,13.55,13.98,142300,13.98,0.4299999999999997
2011-02-11,13.92,14.07,13.69,13.7,181600,13.7,-0.22000000000000064
2011-02-14,13.68,13.72,13.46,13.67,83100,13.67,-0.009999999999999787
2011-02-15,13.62,13.66,13.37,13.42,70000,13.42,-0.1999999999999993
2011-02-16,13.5,13.52,13.34,13.47,77600,13.47,-0.02999999999999936
2011-02-17,13.45,13.7,13.37,13.66,65200,13.66,0.21000000000000085
2011-02-18,13.78,13.78,13.48,13.63,120800,13.63,-0.14999999999999858
2011-02-22,13.38,13.68,13.05,13.28,125400,13.28,-0.10000000000000142
2011-02-23,13.3,13.39,12.74,12.86,180000,12.86,-0.4400000000000013
2011-02-24,12.83,13.77,12.83,13.36,191500,13.36,0.5299999999999994
2011-02-25,13.42,13.86,13.29,13.83,129900,13.83,0.41000000000000014
2011-02-28,13.9,14.1,13.5,13.69,113600,13.69,-0.21000000000000085
2011-03-01,13.72,13.84,13.08,13.12,117500,13.12,-0.6000000000000014
