Date,open,high,low,close,volume,adj_close,diff
2011-01-03,24.83,24.84,24.61,24.82,7900,18.97,-0.00999999999999801
2011-01-04,24.84,24.84,24.53,24.7,19300,18.88,-0.14000000000000057
2011-01-05,24.78,24.85,24.63,24.85,7100,19.0,0.07000000000000028
2011-01-06,24.9,24.92,24.51,24.65,10600,18.84,-0.25
2011-01-07,24.6,24.78,24.53,24.74,15000,18.91,0.13999999999999702
2011-01-10,24.77,24.84,24.54,24.76,13100,18.93,-0.00999999999999801
2011-01-11,24.87,24.87,24.59,24.7,9500,18.88,-0.1700000000000017
2011-01-12,24.83,24.83,24.6,24.7,12900,18.88,-0.129999999999999
2011-01-13,24.85,24.85,24.55,24.61,16500,18.81,-0.240000000000002
2011-01-14,24.67,24.84,24.67,24.68,11800,18.87,0.00999999999999801
2011-01-18,24.95,25.0,24.81,25.0,19400,19.11,0.05000000000000071
2011-01-19,25.0,25.0,24.82,24.96,16100,19.08,-0.03999999999999915
2011-01-20,25.0,25.0,24.83,24.93,13500,19.06,-0.07000000000000028
2011-01-21,25.04,25.04,24.82,24.82,13300,18.97,-0.21999999999999886
2011-01-24,24.98,24.98,24.84,24.86,3500,19.0,-0.120000000000001
2011-01-25,24.91,25.1,24.87,25.1,45100,19.19,0.19000000000000128
2011-01-26,25.1,25.1,24.93,25.04,32200,19.14,-0.060000000000002274
2011-01-27,25.1,25.1,24.88,25.0,16200,19.11,-0.10000000000000142
2011-01-28,25.09,25.19,24.82,24.89,21800,19.03,-0.1999999999999993
2011-01-31,25.06,25.06,24.78,24.8,19300,18.96,-0.259999999999998
2011-02-01,24.74,25.0,24.66,24.88,62000,19.02,0.14000000000000057
2011-02-02,25.0,25.1,24.9,25.0,6600,19.11,0.0
2011-02-03,25.0,25.0,24.9,24.9,13200,19.03,-0.10000000000000142
2011-02-04,24.9,25.24,24.89,25.04,19200,19.14,0.14000000000000057
2011-02-07,25.28,25.56,24.92,24.92,19600,19.05,-0.35999999999999943
2011-02-08,25.04,25.05,24.8,24.99,12000,19.1,-0.05000000000000071
2011-02-09,24.86,25.18,24.83,24.9,9200,19.03,0.03999999999999915
2011-02-10,25.06,25.06,24.86,24.86,5100,19.0,-0.1999999999999993
2011-02-11,24.85,24.95,24.85,24.95,19900,19.07,0.09999999999999787
2011-02-14,25.18,25.18,24.9,24.94,10800,19.06,-0.23999999999999844
2011-02-15,24.94,24.94,24.86,24.9,108700,19.03,-0.0400000000000027
2011-02-16,24.97,25.23,24.97,25.18,33200,19.25,0.21000000000000085
2011-02-17,25.24,25.41,24.98,25.13,28600,19.21,-0.10999999999999943
2011-02-18,25.17,25.6,25.08,25.52,48000,19.51,0.34999999999999787
2011-02-22,25.55,25.55,25.29,25.35,23600,19.38,-0.1999999999999993
2011-02-23,25.5,25.61,25.05,25.29,26600,19.33,-0.21000000000000085
2011-02-24,25.39,25.39,25.04,25.12,12400,19.2,-0.2699999999999996
2011-02-25,25.23,25.23,25.0,25.01,12400,19.12,-0.21999999999999886
2011-02-28,25.09,25.14,25.0,25.14,18800,19.22,0.05000000000000071
2011-03-01,25.18,25.18,25.03,25.03,10700,19.13,-0.14999999999999858
2011-03-02,25.13,25.15,25.02,25.15,26000,19.23,0.019999999999999574
2011-03-03,25.2,25.2,25.02,25.12,20400,19.2,-0.0799999999999983
2011-03-04,25.12,25.17,25.08,25.17,31700,19.24,0.05000000000000071
2011-03-07,25.31,25.31,25.04,25.05,19100,19.15,-0.259999999999998
2011-03-08,25.09,25.12,25.04,25.08,39000,19.17,-0.010000000000001563
2011-03-09,25.11,25.11,25.01,25.07,22400,19.16,-0.03999999999999915
2011-03-10,25.11,25.11,25.0,25.06,36700,19.16,-0.05000000000000071
2011-03-11,24.72,24.84,24.6,24.78,43700,19.28,0.060000000000002274
2011-03-14,24.75,24.85,24.75,24.85,6000,19.33,0.10000000000000142
2011-03-15,24.75,24.84,24.66,24.69,18800,19.21,-0.05999999999999872
2011-03-16,24.83,25.0,24.82,24.94,46800,19.4,0.11000000000000298
2011-03-17,24.99,25.11,24.89,25.0,18900,19.45,0.010000000000001563
2011-03-18,25.0,25.1,25.0,25.1,18200,19.53,0.10000000000000142
2011-03-21,25.1,25.1,24.81,24.92,27200,19.39,-0.17999999999999972
2011-03-22,25.06,25.11,25.0,25.0,14000,19.45,-0.05999999999999872
2011-03-23,25.05,25.05,25.02,25.03,9000,19.47,-0.019999999999999574
2011-03-24,25.05,25.11,24.94,25.1,12700,19.53,0.05000000000000071
2011-03-25,25.24,25.31,25.02,25.1,12100,19.53,-0.13999999999999702
2011-03-28,25.55,25.55,24.86,24.97,17700,19.43,-0.5800000000000018
2011-03-29,25.05,25.19,24.98,25.0,13800,19.45,-0.05000000000000071
2011-03-30,25.18,25.37,25.18,25.24,25000,19.64,0.05999999999999872
2011-03-31,25.11,25.23,25.05,25.1,10800,19.53,-0.00999999999999801
2011-04-01,25.06,25.19,25.06,25.1,6500,19.53,0.0400000000000027
2011-04-04,25.13,25.3,25.08,25.09,5500,19.52,-0.03999999999999915
2011-04-05,25.18,25.18,25.03,25.08,14800,19.51,-0.10000000000000142
2011-04-06,25.12,25.18,25.05,25.17,7200,19.58,0.05000000000000071
2011-04-07,25.3,25.3,25.16,25.25,10000,19.64,-0.05000000000000071
2011-04-08,25.5,25.5,25.09,25.19,5200,19.6,-0.3099999999999987
2011-04-11,25.2,25.22,25.09,25.15,5600,19.57,-0.05000000000000071
2011-04-12,25.14,25.15,25.08,25.08,12400,19.51,-0.060000000000002274
2011-04-13,25.15,25.15,25.0,25.05,24500,19.49,-0.09999999999999787
2011-04-14,25.0,25.1,25.0,25.0,13400,19.45,0.0
2011-04-15,25.16,25.16,24.91,24.96,11400,19.42,-0.1999999999999993
2011-04-18,24.9,24.99,24.82,24.86,10700,19.34,-0.03999999999999915
2011-04-19,24.93,25.08,24.93,25.05,16300,19.49,0.120000000000001
2011-04-20,24.91,25.2,24.84,25.18,27800,19.59,0.2699999999999996
2011-04-21,25.24,25.25,25.05,25.18,8200,19.59,-0.05999999999999872
2011-04-25,25.17,25.17,24.96,25.12,10200,19.54,-0.05000000000000071
2011-04-26,25.17,25.25,25.12,25.23,15000,19.63,0.05999999999999872
2011-04-27,25.25,25.49,25.16,25.38,18100,19.75,0.129999999999999
2011-04-28,25.35,25.42,25.2,25.35,13600,19.72,0.0
2011-04-29,25.46,25.6,25.36,25.5,24000,19.84,0.03999999999999915
2011-05-02,25.58,25.59,25.1,25.16,39000,19.57,-0.41999999999999815
2011-05-03,25.18,25.26,25.13,25.21,20000,19.61,0.030000000000001137
2011-05-04,25.23,25.25,25.17,25.2,12000,19.61,-0.030000000000001137
2011-05-05,25.25,25.38,25.2,25.36,18000,19.73,0.10999999999999943
