Date,open,high,low,close,volume,adj_close,diff
2011-01-03,4.35,4.35,4.0,4.2,2800,4.2,-0.14999999999999947
2011-01-04,4.13,4.5,4.13,4.46,4600,4.46,0.33000000000000007
2011-01-05,4.13,4.45,4.11,4.45,2100,4.45,0.3200000000000003
2011-01-06,4.11,4.43,4.1,4.38,2200,4.38,0.2699999999999996
2011-01-07,4.11,4.44,4.11,4.32,6200,4.32,0.20999999999999996
2011-01-10,4.45,4.45,4.1,4.15,3900,4.15,-0.2999999999999998
2011-01-11,4.15,4.15,4.15,4.15,0,4.15,0.0
2011-01-12,4.37,4.37,4.15,4.37,5300,4.37,0.0
2011-01-13,4.12,4.36,4.07,4.34,6300,4.34,0.21999999999999975
2011-01-14,4.11,4.34,4.11,4.34,1400,4.34,0.22999999999999954
2011-01-18,4.34,4.34,4.34,4.34,0,4.34,0.0
2011-01-19,4.25,4.25,4.25,4.25,800,4.25,0.0
2011-01-20,4.21,4.33,4.2,4.33,5300,4.33,0.1200000000000001
2011-01-21,4.31,4.33,4.31,4.33,1700,4.33,0.020000000000000462
2011-01-24,4.2,4.21,4.2,4.2,66800,4.2,0.0
2011-01-25,4.19,4.2,4.17,4.2,7300,4.2,0.009999999999999787
2011-01-26,4.24,4.32,4.24,4.32,300,4.32,0.08000000000000007
2011-01-27,4.18,4.32,4.18,4.32,3200,4.32,0.14000000000000057
2011-01-28,4.3,4.4,4.3,4.4,20000,4.4,0.10000000000000053
2011-01-31,4.39,4.4,4.22,4.3,2500,4.3,-0.08999999999999986
2011-02-01,4.3,4.39,4.3,4.39,3300,4.39,0.08999999999999986
2011-02-02,4.39,4.39,4.39,4.39,0,4.39,0.0
2011-02-03,4.39,4.39,4.39,4.39,0,4.39,0.0
2011-02-04,4.41,4.45,4.41,4.45,500,4.45,0.040000000000000036
2011-02-07,4.25,4.52,4.25,4.51,7100,4.51,0.2599999999999998
2011-02-08,4.22,4.6,4.22,4.52,1900,4.52,0.2999999999999998
2011-02-09,4.5,4.51,4.41,4.5,9100,4.5,0.0
2011-02-10,4.5,4.51,4.36,4.5,5600,4.5,0.0
2011-02-11,4.49,4.52,4.33,4.5,13100,4.5,0.009999999999999787
2011-02-14,4.58,5.04,4.2,4.78,14600,4.78,0.20000000000000018
2011-02-15,4.78,5.81,4.41,5.34,13900,5.34,0.5599999999999996
2011-02-16,5.25,5.66,4.74,4.8,10500,4.8,-0.4500000000000002
2011-02-17,4.8,5.45,4.49,5.09,27600,5.09,0.29000000000000004
2011-02-18,5.12,5.13,4.71,4.85,12000,4.85,-0.27000000000000046
2011-02-22,4.91,5.39,4.62,4.9,19500,4.9,-0.009999999999999787
2011-02-23,5.07,5.09,4.71,4.82,5300,4.82,-0.25
2011-02-24,4.86,4.98,4.75,4.77,2000,4.77,-0.09000000000000075
2011-02-25,4.84,4.98,4.84,4.98,4100,4.98,0.14000000000000057
2011-02-28,4.8,5.01,4.64,4.71,1800,4.71,-0.08999999999999986
2011-03-01,4.82,4.83,4.4,4.7,4400,4.7,-0.1200000000000001
2011-03-02,4.68,5.14,4.36,4.6,8900,4.6,-0.08000000000000007
