Date,open,high,low,close,volume,adj_close,diff
2011-01-03,1.25,1.28,1.23,1.27,36400,12.7,0.020000000000000018
2011-01-04,1.28,1.28,1.24,1.26,28700,12.6,-0.020000000000000018
2011-01-05,1.26,1.33,1.25,1.32,46400,13.2,0.06000000000000005
2011-01-06,1.33,1.35,1.24,1.31,43400,13.1,-0.020000000000000018
2011-01-07,1.3,1.32,1.26,1.3,46100,13.0,0.0
2011-01-10,1.3,1.33,1.26,1.3,32300,13.0,0.0
2011-01-11,1.3,1.3,1.27,1.29,24800,12.9,-0.010000000000000009
2011-01-12,1.31,1.31,1.26,1.28,29700,12.8,-0.030000000000000027
2011-01-13,1.27,1.33,1.26,1.32,47800,13.2,0.050000000000000044
2011-01-14,1.31,1.68,1.3,1.67,656200,16.7,0.3599999999999999
2011-01-18,1.47,1.47,1.33,1.43,342900,14.3,-0.040000000000000036
2011-01-19,1.42,1.43,1.29,1.33,174300,13.3,-0.08999999999999986
2011-01-20,1.32,1.39,1.29,1.36,81100,13.6,0.040000000000000036
2011-01-21,1.36,1.36,1.3,1.31,56900,13.1,-0.050000000000000044
2011-01-24,1.34,1.39,1.31,1.33,65400,13.3,-0.010000000000000009
2011-01-25,1.34,1.37,1.32,1.35,53100,13.5,0.010000000000000009
2011-01-26,1.36,1.38,1.31,1.37,72600,13.7,0.010000000000000009
2011-01-27,1.38,1.5,1.37,1.46,172000,14.6,0.08000000000000007
2011-01-28,1.45,1.54,1.37,1.42,157400,14.2,-0.030000000000000027
2011-01-31,1.42,1.46,1.38,1.42,46600,14.2,0.0
2011-02-01,1.44,1.46,1.41,1.43,42800,14.3,-0.010000000000000009
2011-02-02,1.43,1.45,1.39,1.45,45100,14.5,0.020000000000000018
2011-02-03,1.45,1.45,1.4,1.41,32100,14.1,-0.040000000000000036
2011-02-04,1.4,1.42,1.36,1.38,37000,13.8,-0.020000000000000018
2011-02-07,1.39,1.39,1.31,1.33,69400,13.3,-0.05999999999999983
2011-02-08,1.33,1.38,1.33,1.34,46300,13.4,0.010000000000000009
2011-02-09,1.34,1.38,1.34,1.38,29900,13.8,0.039999999999999813
2011-02-10,1.37,1.39,1.31,1.39,33500,13.9,0.019999999999999796
2011-02-11,1.37,1.39,1.35,1.39,20400,13.9,0.019999999999999796
2011-02-14,1.38,1.39,1.32,1.36,34000,13.6,-0.019999999999999796
2011-02-15,1.36,1.37,1.33,1.36,23800,13.6,0.0
2011-02-16,1.36,1.38,1.33,1.36,32200,13.6,0.0
2011-02-17,1.36,1.38,1.34,1.37,18000,13.7,0.010000000000000009
2011-02-18,1.38,1.38,1.33,1.34,27900,13.4,-0.039999999999999813
2011-02-22,1.34,1.35,1.19,1.23,56300,12.3,-0.1100000000000001
2011-02-23,1.24,1.27,1.23,1.26,23400,12.6,0.020000000000000018
2011-02-24,1.27,1.33,1.25,1.28,29400,12.8,0.010000000000000009
2011-02-25,1.28,1.31,1.26,1.29,19900,12.9,0.010000000000000009
2011-02-28,1.29,1.3,1.21,1.25,39900,12.5,-0.040000000000000036
2011-03-01,1.24,1.25,1.18,1.18,47100,11.8,-0.06000000000000005
2011-03-02,1.18,1.38,1.15,1.23,136200,12.3,0.050000000000000044
2011-03-03,1.22,1.32,1.22,1.31,54000,13.1,0.09000000000000008
2011-03-04,1.3,1.3,1.26,1.28,19900,12.8,-0.020000000000000018
2011-03-07,1.28,1.32,1.26,1.26,20800,12.6,-0.020000000000000018
2011-03-08,1.26,1.3,1.26,1.3,11700,13.0,0.040000000000000036
2011-03-09,1.29,1.31,1.27,1.27,17000,12.7,-0.020000000000000018
2011-03-10,1.26,1.28,1.26,1.26,15400,12.6,0.0
2011-03-11,1.27,1.27,1.25,1.27,15700,12.7,0.0
2011-03-14,1.26,1.32,1.26,1.26,13000,12.6,0.0
2011-03-15,1.24,1.27,1.15,1.18,44800,11.8,-0.06000000000000005
2011-03-16,1.21,1.45,1.21,1.29,169200,12.9,0.08000000000000007
2011-03-17,1.38,1.38,1.28,1.3,104200,13.0,-0.07999999999999985
2011-03-18,1.33,1.44,1.33,1.43,139800,14.3,0.09999999999999987
2011-03-21,1.45,1.64,1.44,1.58,246100,15.8,0.13000000000000012
2011-03-22,1.58,1.59,1.43,1.46,110300,14.6,-0.1200000000000001
2011-03-23,1.47,1.52,1.41,1.51,58600,15.1,0.040000000000000036
2011-03-24,1.51,1.53,1.46,1.52,50500,15.2,0.010000000000000009
2011-03-25,1.52,1.57,1.5,1.52,31900,15.2,0.0
2011-03-28,1.52,1.69,1.52,1.66,153900,16.6,0.1399999999999999
2011-03-29,1.65,1.8,1.63,1.76,205000,17.6,0.1100000000000001
2011-03-30,1.8,1.8,1.66,1.7,177900,17.0,-0.10000000000000009
2011-03-31,1.7,1.7,1.63,1.7,53900,17.0,0.0
2011-04-01,1.71,1.71,1.65,1.66,46500,16.6,-0.050000000000000044
2011-04-04,1.67,1.67,1.53,1.59,73800,15.9,-0.07999999999999985
2011-04-05,1.6,1.73,1.56,1.62,53100,16.2,0.020000000000000018
2011-04-06,1.63,1.66,1.61,1.64,13100,16.4,0.010000000000000009
2011-04-07,1.65,1.7,1.65,1.68,34200,16.8,0.030000000000000027
2011-04-08,1.7,1.71,1.66,1.66,20100,16.6,-0.040000000000000036
2011-04-11,1.66,1.67,1.63,1.63,24700,16.3,-0.030000000000000027
2011-04-12,1.61,1.64,1.56,1.56,34600,15.6,-0.050000000000000044
2011-04-13,1.58,1.6,1.56,1.57,24300,15.7,-0.010000000000000009
2011-04-14,1.56,1.6,1.55,1.59,36200,15.9,0.030000000000000027
2011-04-15,1.59,1.66,1.56,1.58,22700,15.8,-0.010000000000000009
2011-04-18,1.57,1.59,1.39,1.52,100600,15.2,-0.050000000000000044
2011-04-19,1.5,1.59,1.48,1.54,27600,15.4,0.040000000000000036
2011-04-20,1.57,1.58,1.46,1.51,28200,15.1,-0.06000000000000005
2011-04-21,1.56,1.56,1.49,1.53,14400,15.3,-0.030000000000000027
2011-04-25,1.55,1.55,1.52,1.53,11800,15.3,-0.020000000000000018
2011-04-26,1.53,1.64,1.52,1.61,100000,16.1,0.08000000000000007
2011-04-27,1.63,1.65,1.55,1.61,27700,16.1,-0.019999999999999796
2011-04-28,1.62,1.64,1.58,1.63,29200,16.3,0.009999999999999787
2011-04-29,1.63,1.65,1.6,1.61,43500,16.1,-0.019999999999999796
2011-05-02,1.61,1.65,1.6,1.63,39700,16.3,0.019999999999999796
2011-05-03,1.5,1.61,1.49,1.51,119500,15.1,0.010000000000000009
2011-05-04,1.47,1.51,1.4,1.45,70800,14.5,-0.020000000000000018
2011-05-05,1.42,1.45,1.37,1.38,61300,13.8,-0.040000000000000036
2011-05-06,1.39,1.42,1.36,1.41,104700,14.1,0.020000000000000018
2011-05-09,1.65,1.65,1.45,1.48,72400,14.8,-0.16999999999999993
2011-05-10,1.49,1.57,1.43,1.5,52200,15.0,0.010000000000000009
2011-05-11,1.49,1.5,1.41,1.45,51600,14.5,-0.040000000000000036
2011-05-12,1.43,1.45,1.42,1.43,38700,14.3,0.0
2011-05-13,1.44,1.46,1.42,1.42,46300,14.2,-0.020000000000000018
2011-05-16,1.42,1.44,1.34,1.38,83000,13.8,-0.040000000000000036
2011-05-17,1.39,1.42,1.37,1.4,47400,14.0,0.010000000000000009
2011-05-18,1.42,1.43,1.38,1.4,44400,14.0,-0.020000000000000018
2011-05-19,1.42,1.44,1.39,1.4,40700,14.0,-0.020000000000000018
2011-05-20,1.4,1.44,1.4,1.43,36800,14.3,0.030000000000000027
2011-05-23,1.39,1.44,1.39,1.41,24500,14.1,0.020000000000000018
2011-05-24,1.43,1.44,1.38,1.39,47900,13.9,-0.040000000000000036
2011-05-25,1.4,1.42,1.36,1.4,49300,14.0,0.0
2011-05-26,1.4,1.43,1.38,1.43,33100,14.3,0.030000000000000027
2011-05-27,1.44,1.58,1.43,1.58,135200,15.8,0.14000000000000012
2011-05-31,1.59,1.65,1.53,1.61,184500,16.1,0.020000000000000018
2011-06-01,1.65,1.68,1.61,1.63,138700,16.3,-0.020000000000000018
2011-06-02,1.62,1.7,1.59,1.69,181500,16.9,0.06999999999999984
2011-06-03,1.7,1.87,1.66,1.73,288600,17.3,0.030000000000000027
2011-06-06,1.75,1.85,1.65,1.67,115700,16.7,-0.08000000000000007
2011-06-07,1.69,1.7,1.63,1.63,68400,16.3,-0.06000000000000005
2011-06-08,1.63,1.7,1.55,1.63,144400,16.3,0.0
2011-06-09,1.63,1.67,1.6,1.64,57700,16.4,0.010000000000000009
2011-06-10,1.65,1.68,1.6,1.66,129100,16.6,0.010000000000000009
2011-06-13,1.67,1.73,1.62,1.67,125600,16.7,0.0
2011-06-14,1.68,1.72,1.66,1.68,76000,16.8,0.0
2011-06-15,1.66,1.71,1.6,1.62,67700,16.2,-0.039999999999999813
2011-06-16,1.62,1.68,1.57,1.63,82900,16.3,0.009999999999999787
2011-06-17,1.64,1.65,1.48,1.54,164200,15.4,-0.09999999999999987
2011-06-20,1.54,1.61,1.52,1.54,55500,15.4,0.0
2011-06-21,1.56,1.6,1.51,1.55,70000,15.5,-0.010000000000000009
2011-06-22,1.55,1.61,1.54,1.58,67600,15.8,0.030000000000000027
2011-06-23,1.58,1.66,1.55,1.62,80500,16.2,0.040000000000000036
2011-06-24,1.63,1.82,1.57,1.65,834800,16.5,0.020000000000000018
2011-06-27,1.69,1.72,1.59,1.61,69600,16.1,-0.07999999999999985
2011-06-28,1.65,1.69,1.62,1.69,41900,16.9,0.040000000000000036
2011-06-29,1.7,1.82,1.68,1.81,134800,18.1,0.1100000000000001
2011-06-30,1.82,1.91,1.77,1.82,297200,18.2,0.0
2011-07-01,1.85,1.87,1.78,1.86,71700,18.6,0.010000000000000009
2011-07-05,1.87,1.88,1.8,1.83,63800,18.3,-0.040000000000000036
2011-07-06,1.83,1.83,1.75,1.77,48300,17.7,-0.06000000000000005
2011-07-07,1.81,1.85,1.8,1.82,56000,18.2,0.010000000000000009
2011-07-08,1.8,1.81,1.78,1.81,49300,18.1,0.010000000000000009
2011-07-11,1.81,1.81,1.72,1.76,44400,17.6,-0.050000000000000044
2011-07-12,1.78,1.82,1.72,1.77,35300,17.7,-0.010000000000000009
2011-07-13,1.78,1.79,1.74,1.76,47200,17.6,-0.020000000000000018
2011-07-14,1.76,1.77,1.72,1.72,25600,17.2,-0.040000000000000036
2011-07-15,1.7,1.75,1.63,1.69,58900,16.9,-0.010000000000000009
