Date,open,high,low,close,volume,adj_close,diff
2011-01-03,57.62,58.46,57.56,57.95,4662800,27.43,0.3300000000000054
2011-01-04,58.18,58.49,57.5,58.1,4206400,27.5,-0.0799999999999983
2011-01-05,57.99,59.09,57.71,58.88,3748400,27.87,0.8900000000000006
2011-01-06,58.69,59.16,58.69,58.82,3841600,27.85,0.13000000000000256
2011-01-07,58.73,59.62,58.59,59.0,4577600,27.93,0.2700000000000031
2011-01-10,58.78,59.0,58.32,58.77,4675400,27.82,-0.00999999999999801
2011-01-11,58.99,59.19,58.69,58.77,4793800,27.82,-0.21999999999999886
2011-01-12,59.02,59.17,57.73,57.91,7404600,27.41,-1.1100000000000065
2011-01-13,58.09,58.25,57.7,57.97,3370200,27.44,-0.12000000000000455
2011-01-14,58.0,58.33,57.8,58.33,3326600,27.61,0.3299999999999983
2011-01-18,58.03,59.18,58.03,59.0,4069000,27.93,0.9699999999999989
2011-01-19,59.2,59.4,58.46,58.6,4672600,27.74,-0.6000000000000014
2011-01-20,58.17,58.7,57.9,58.48,4163200,27.68,0.30999999999999517
2011-01-21,59.12,59.12,58.22,58.37,5060000,27.63,-0.75
2011-01-24,58.36,58.97,58.25,58.89,2641800,27.88,0.5300000000000011
2011-01-25,58.54,59.04,57.78,58.02,5348000,27.47,-0.519999999999996
2011-01-26,58.38,58.38,57.88,58.0,6315200,27.46,-0.38000000000000256
2011-01-27,58.22,58.22,57.3,57.4,6376000,27.17,-0.8200000000000003
2011-01-28,57.42,57.43,55.77,56.12,7948200,26.57,-1.3000000000000043
2011-01-31,56.1,57.01,55.93,56.99,4808000,26.98,0.8900000000000006
2011-02-01,57.43,58.68,57.29,58.52,5380200,27.7,1.0900000000000034
2011-02-02,58.38,58.9,57.93,58.5,4413000,27.69,0.11999999999999744
2011-02-03,58.29,58.52,57.85,58.37,3177600,27.63,0.0799999999999983
2011-02-04,58.29,58.5,57.47,57.51,5996600,27.23,-0.7800000000000011
2011-02-07,57.37,57.59,56.66,56.83,4480000,26.9,-0.5399999999999991
2011-02-08,56.95,57.36,56.75,57.34,6039200,27.14,0.39000000000000057
2011-02-09,57.4,57.4,55.95,56.39,7925800,26.69,-1.009999999999998
2011-02-10,55.94,56.43,55.42,56.28,7356800,26.64,0.3400000000000034
2011-02-11,55.9,56.92,55.9,56.78,4435200,26.88,0.8800000000000026
2011-02-14,56.6,56.72,56.42,56.44,5621800,26.72,-0.1600000000000037
2011-02-15,56.04,56.56,55.85,56.19,4723000,26.6,0.14999999999999858
2011-02-16,56.57,56.69,56.22,56.56,4360200,26.78,-0.00999999999999801
2011-02-17,56.47,57.46,56.31,57.17,7170800,27.06,0.7000000000000028
2011-02-18,57.03,58.13,57.03,57.58,4189800,27.26,0.5499999999999972
2011-02-22,56.78,57.16,56.05,56.1,7565400,26.56,-0.6799999999999997
2011-02-23,55.83,56.02,55.1,55.34,7560400,26.2,-0.4899999999999949
2011-02-24,55.09,55.65,55.0,55.53,6477200,26.29,0.4399999999999977
2011-02-25,55.87,56.36,55.48,56.24,5125600,26.62,0.37000000000000455
2011-02-28,56.58,57.52,56.58,57.42,4902600,27.18,0.8400000000000034
2011-03-01,57.27,57.42,56.16,56.32,5770200,26.66,-0.9500000000000028
2011-03-02,56.3,56.73,56.09,56.44,3857200,26.72,0.14000000000000057
2011-03-03,56.72,57.02,56.63,56.84,5469800,26.91,0.12000000000000455
2011-03-04,56.78,56.97,55.88,56.31,5164400,26.66,-0.46999999999999886
2011-03-07,56.38,56.38,55.49,55.8,4545200,26.42,-0.5800000000000054
2011-03-08,55.98,56.21,55.5,55.83,6341600,26.43,-0.14999999999999858
2011-03-09,55.62,55.99,55.5,55.57,4875800,26.31,-0.04999999999999716
2011-03-10,55.05,55.19,54.29,54.43,6133200,25.77,-0.6199999999999974
2011-03-11,54.23,55.18,53.87,55.1,4408600,26.08,0.8700000000000045
2011-03-14,54.6,55.71,54.31,55.63,4374800,26.34,1.0300000000000011
2011-03-15,53.85,54.65,53.74,54.54,6232000,25.82,0.6899999999999977
2011-03-16,54.47,54.6,53.36,54.17,7920600,25.64,-0.29999999999999716
