Date,open,high,low,close,volume,adj_close,diff
2011-01-03,10.5,10.6,10.39,10.43,513600,10.19,-0.07000000000000028
2011-01-04,10.66,10.66,9.93,10.01,1333100,9.78,-0.6500000000000004
2011-01-05,10.05,10.37,10.0,10.36,506700,10.12,0.3099999999999987
2011-01-06,10.4,10.64,10.34,10.54,441000,10.3,0.1399999999999988
2011-01-07,10.55,10.64,10.34,10.35,422300,10.11,-0.20000000000000107
2011-01-10,10.37,10.89,10.19,10.79,729100,10.54,0.41999999999999993
2011-01-11,10.81,11.4,10.63,11.39,933800,11.13,0.5800000000000001
2011-01-12,11.5,12.92,11.45,12.82,2931100,12.53,1.3200000000000003
2011-01-13,12.78,12.78,11.83,11.94,1615100,11.67,-0.8399999999999999
2011-01-14,11.88,12.4,11.55,12.1,1114600,11.82,0.21999999999999886
2011-01-18,12.02,12.21,11.71,11.78,720600,11.51,-0.2400000000000002
2011-01-19,11.76,11.99,11.17,11.2,836900,10.95,-0.5600000000000005
2011-01-20,11.28,11.36,10.91,11.34,746900,11.08,0.0600000000000005
2011-01-21,11.52,11.52,11.2,11.2,445700,10.95,-0.3200000000000003
2011-01-24,11.25,11.5,10.97,11.47,578000,11.21,0.22000000000000064
2011-01-25,11.26,11.44,11.01,11.13,455300,10.88,-0.129999999999999
2011-01-26,11.13,11.2,11.01,11.12,285100,10.87,-0.010000000000001563
2011-01-27,11.1,11.23,11.01,11.03,207900,10.78,-0.07000000000000028
2011-01-28,11.02,11.02,10.53,10.55,477400,10.31,-0.46999999999999886
2011-01-31,10.53,11.09,10.51,10.9,507900,10.65,0.370000000000001
2011-02-01,11.04,11.2,10.9,11.09,472000,10.84,0.05000000000000071
2011-02-02,11.15,11.35,10.84,10.9,867600,10.65,-0.25
2011-02-03,9.5,9.5,8.63,8.68,6576900,8.48,-0.8200000000000003
2011-02-04,8.79,8.88,8.7,8.84,1494800,8.64,0.05000000000000071
2011-02-07,8.88,8.98,8.79,8.81,962100,8.61,-0.07000000000000028
2011-02-08,8.78,9.16,8.78,9.11,1458500,8.9,0.33000000000000007
2011-02-09,9.11,9.15,8.9,8.95,585700,8.75,-0.16000000000000014
2011-02-10,8.85,8.9,8.75,8.86,528800,8.66,0.009999999999999787
2011-02-11,8.87,9.01,8.75,8.96,619000,8.76,0.09000000000000163
2011-02-14,9.0,9.15,8.88,9.11,659100,8.9,0.10999999999999943
2011-02-15,9.11,9.28,9.1,9.18,394100,8.97,0.07000000000000028
2011-02-16,9.29,9.49,9.19,9.4,728700,9.19,0.11000000000000121
2011-02-17,9.4,9.48,9.1,9.12,713200,8.91,-0.28000000000000114
2011-02-18,9.11,9.11,8.9,8.93,772400,8.73,-0.17999999999999972
2011-02-22,8.96,8.96,8.5,8.54,720600,8.35,-0.4200000000000017
2011-02-23,8.66,8.78,8.5,8.63,508500,8.43,-0.02999999999999936
2011-02-24,8.66,8.68,8.45,8.46,367800,8.27,-0.1999999999999993
2011-02-25,8.56,8.76,8.28,8.7,542600,8.5,0.1399999999999988
2011-02-28,8.75,8.89,8.7,8.73,346900,8.53,-0.019999999999999574
2011-03-01,8.75,8.84,8.58,8.64,538700,8.44,-0.10999999999999943
2011-03-02,8.38,8.73,8.38,8.67,534100,8.47,0.28999999999999915
2011-03-03,8.7,9.07,8.45,8.47,882200,8.28,-0.22999999999999865
2011-03-04,8.4,8.47,8.01,8.14,1109700,7.95,-0.2599999999999998
2011-03-07,8.26,8.32,7.99,7.99,514700,7.81,-0.2699999999999996
2011-03-08,7.99,8.04,7.71,7.81,556000,7.63,-0.1800000000000006
2011-03-09,7.76,7.82,7.59,7.77,503700,7.59,0.009999999999999787
2011-03-10,7.71,7.78,7.58,7.72,578300,7.54,0.009999999999999787
2011-03-11,7.71,7.92,7.62,7.87,328600,7.69,0.16000000000000014
2011-03-14,7.79,7.89,7.69,7.85,368600,7.68,0.05999999999999961
2011-03-15,7.55,7.7,7.49,7.54,496700,7.38,-0.009999999999999787
2011-03-16,7.54,7.64,7.29,7.34,570600,7.18,-0.20000000000000018
2011-03-17,7.52,7.7,7.35,7.36,596700,7.2,-0.15999999999999925
2011-03-18,7.5,8.55,7.42,8.32,3779400,8.14,0.8200000000000003
2011-03-21,8.51,8.57,7.99,8.18,1285700,8.0,-0.33000000000000007
2011-03-22,8.17,8.22,8.0,8.06,378000,7.89,-0.10999999999999943
2011-03-23,8.03,8.08,7.8,7.9,527200,7.73,-0.129999999999999
2011-03-24,7.95,7.97,7.76,7.81,618900,7.64,-0.14000000000000057
2011-03-25,7.76,7.92,7.75,7.77,437800,7.6,0.009999999999999787
2011-03-28,7.79,8.29,7.75,8.23,809600,8.05,0.4400000000000004
2011-03-29,8.26,8.26,8.01,8.03,472500,7.86,-0.23000000000000043
2011-03-30,8.04,8.28,8.03,8.1,865300,7.93,0.0600000000000005
2011-03-31,8.12,8.21,7.98,8.16,657700,7.98,0.040000000000000924
2011-04-01,8.19,8.42,8.12,8.19,554700,8.01,0.0
2011-04-04,8.18,8.57,8.15,8.43,807300,8.25,0.25
2011-04-05,8.45,9.1,8.43,8.91,1147400,8.72,0.46000000000000085
2011-04-06,8.99,9.0,8.68,8.78,516200,8.59,-0.21000000000000085
2011-04-07,8.84,8.95,8.75,8.79,333300,8.6,-0.05000000000000071
2011-04-08,8.85,8.91,8.75,8.83,309700,8.64,-0.019999999999999574
2011-04-11,8.85,8.88,8.34,8.35,559100,8.17,-0.5
2011-04-12,8.33,8.53,8.07,8.41,668800,8.23,0.08000000000000007
2011-04-13,8.45,8.56,8.35,8.44,340600,8.26,-0.009999999999999787
2011-04-14,8.39,8.43,8.14,8.17,310200,7.99,-0.22000000000000064
2011-04-15,8.12,9.38,8.07,9.16,3934000,8.96,1.040000000000001
2011-04-18,9.09,9.44,8.81,8.92,1536800,8.73,-0.16999999999999993
2011-04-19,9.1,9.3,9.02,9.21,718200,9.01,0.11000000000000121
2011-04-20,9.38,9.4,9.05,9.09,608100,8.89,-0.2900000000000009
2011-04-21,9.15,9.18,8.87,8.95,419400,8.76,-0.20000000000000107
2011-04-25,8.99,9.09,8.8,8.84,335100,8.65,-0.15000000000000036
2011-04-26,8.84,8.93,8.7,8.73,488900,8.54,-0.10999999999999943
2011-04-27,8.78,8.79,8.51,8.53,639800,8.35,-0.25
2011-04-28,8.54,8.6,8.37,8.4,619800,8.22,-0.1399999999999988
