Date,open,high,low,close,volume,adj_close,diff
2011-01-03,6.0,6.37,6.0,6.19,338600,6.19,0.1900000000000004
2011-01-04,6.23,6.55,6.14,6.52,438400,6.52,0.28999999999999915
2011-01-05,6.52,6.87,6.5,6.67,493200,6.67,0.15000000000000036
2011-01-06,6.71,7.18,6.65,7.16,430800,7.16,0.4500000000000002
2011-01-07,7.22,7.36,7.06,7.17,422600,7.17,-0.04999999999999982
2011-01-10,7.12,7.31,6.97,7.22,376500,7.22,0.09999999999999964
2011-01-11,7.34,7.76,7.27,7.48,740500,7.48,0.14000000000000057
2011-01-12,7.58,7.67,7.45,7.56,326800,7.56,-0.020000000000000462
2011-01-13,7.54,7.55,7.32,7.41,238100,7.41,-0.1299999999999999
2011-01-14,7.44,7.53,7.32,7.37,192700,7.37,-0.07000000000000028
2011-01-18,7.3,7.33,7.05,7.15,385400,7.15,-0.14999999999999947
2011-01-19,7.15,7.22,6.73,6.99,456600,6.99,-0.16000000000000014
2011-01-20,6.96,6.96,6.53,6.63,321700,6.63,-0.33000000000000007
2011-01-21,6.68,6.76,6.48,6.5,191200,6.5,-0.17999999999999972
2011-01-24,6.57,6.8,6.47,6.77,317900,6.77,0.1999999999999993
2011-01-25,6.78,6.93,6.66,6.89,220000,6.89,0.10999999999999943
2011-01-26,7.0,7.44,6.84,7.4,1272100,7.4,0.40000000000000036
2011-01-27,7.43,7.53,7.18,7.27,483300,7.27,-0.16000000000000014
2011-01-28,7.26,7.33,6.85,6.95,401700,6.95,-0.3099999999999996
2011-01-31,6.95,6.95,6.7,6.91,309700,6.91,-0.040000000000000036
2011-02-01,6.88,6.98,6.73,6.9,200100,6.9,0.020000000000000462
2011-02-02,6.95,7.48,6.91,7.24,782200,7.24,0.29000000000000004
2011-02-03,7.25,7.8,7.19,7.62,1085400,7.62,0.3700000000000001
2011-02-04,7.65,7.78,7.39,7.51,315200,7.51,-0.14000000000000057
2011-02-07,7.55,8.07,7.51,7.87,810100,7.87,0.3200000000000003
2011-02-08,7.91,7.99,7.67,7.73,375400,7.73,-0.17999999999999972
2011-02-09,7.68,7.7,7.54,7.61,250700,7.61,-0.0699999999999994
2011-02-10,7.5,7.72,7.05,7.67,477700,7.67,0.16999999999999993
2011-02-11,7.62,7.85,7.46,7.72,263900,7.72,0.09999999999999964
2011-02-14,7.67,7.9,7.56,7.72,458400,7.72,0.04999999999999982
2011-02-15,7.34,7.48,7.11,7.18,593600,7.18,-0.16000000000000014
2011-02-16,7.27,7.33,7.07,7.18,200100,7.18,-0.08999999999999986
2011-02-17,7.16,7.22,6.92,7.12,220900,7.12,-0.040000000000000036
2011-02-18,6.77,7.45,6.77,7.12,252200,7.12,0.35000000000000053
2011-02-22,6.86,6.9,6.6,6.65,394700,6.65,-0.20999999999999996
2011-02-23,6.68,6.7,6.15,6.46,433000,6.46,-0.21999999999999975
2011-02-24,6.46,6.49,6.31,6.46,92900,6.46,0.0
2011-02-25,6.51,6.75,6.46,6.67,108100,6.67,0.16000000000000014
2011-02-28,6.76,6.82,6.35,6.51,398600,6.51,-0.25
2011-03-01,6.51,6.51,6.26,6.44,170800,6.44,-0.0699999999999994
2011-03-02,6.39,6.55,6.29,6.53,170900,6.53,0.14000000000000057
