Date,open,high,low,close,volume,adj_close,diff
2011-01-03,4.64,4.85,4.64,4.75,1301000,4.75,0.11000000000000032
2011-01-04,4.83,4.84,4.23,4.35,1512900,4.35,-0.4800000000000004
2011-01-05,4.35,4.38,4.25,4.35,638000,4.35,0.0
2011-01-06,4.66,4.7,4.33,4.36,911600,4.36,-0.2999999999999998
2011-01-07,4.36,4.45,4.17,4.25,754500,4.25,-0.11000000000000032
2011-01-10,4.28,4.3,4.16,4.24,418800,4.24,-0.040000000000000036
2011-01-11,4.28,4.57,4.28,4.4,656600,4.4,0.1200000000000001
2011-01-12,4.46,4.6,4.44,4.5,698800,4.5,0.040000000000000036
2011-01-13,4.51,4.56,4.42,4.48,417200,4.48,-0.02999999999999936
2011-01-14,4.48,4.67,4.39,4.67,821000,4.67,0.1899999999999995
2011-01-18,4.67,4.72,4.5,4.66,607600,4.66,-0.009999999999999787
2011-01-19,4.44,4.63,4.27,4.34,1191700,4.34,-0.10000000000000053
2011-01-20,4.29,4.35,4.06,4.32,870900,4.32,0.03000000000000025
2011-01-21,4.32,4.47,4.21,4.22,636600,4.22,-0.10000000000000053
2011-01-24,4.2,4.39,4.11,4.29,459000,4.29,0.08999999999999986
2011-01-25,4.42,4.42,4.2,4.26,499200,4.26,-0.16000000000000014
2011-01-26,4.29,4.67,4.28,4.66,864200,4.66,0.3700000000000001
2011-01-27,4.62,4.63,4.39,4.46,9781600,4.46,-0.16000000000000014
2011-01-28,4.49,4.7,4.4,4.67,3215900,4.67,0.17999999999999972
2011-01-31,4.7,4.95,4.63,4.79,2988900,4.79,0.08999999999999986
2011-02-01,4.82,5.01,4.76,4.88,3227000,4.88,0.05999999999999961
2011-02-02,4.85,5.0,4.66,4.68,1460700,4.68,-0.16999999999999993
2011-02-03,4.7,4.92,4.68,4.82,1458500,4.82,0.1200000000000001
2011-02-04,4.85,4.9,4.7,4.78,929600,4.78,-0.0699999999999994
2011-02-07,4.77,4.87,4.74,4.76,692800,4.76,-0.009999999999999787
2011-02-08,4.75,4.75,4.52,4.58,973300,4.58,-0.16999999999999993
2011-02-09,4.59,4.59,4.42,4.53,991000,4.53,-0.05999999999999961
2011-02-10,4.48,4.6,4.4,4.6,982100,4.6,0.11999999999999922
2011-02-11,4.6,4.63,4.53,4.56,453200,4.56,-0.040000000000000036
2011-02-14,4.55,4.76,4.55,4.74,865900,4.74,0.1900000000000004
2011-02-15,4.71,4.83,4.71,4.73,801200,4.73,0.020000000000000462
2011-02-16,4.74,4.9,4.73,4.87,1003500,4.87,0.1299999999999999
2011-02-17,5.12,5.35,5.12,5.23,3961300,5.23,0.11000000000000032
2011-02-18,5.28,5.44,5.21,5.36,1790300,5.36,0.08000000000000007
2011-02-22,5.52,5.65,5.21,5.32,1884600,5.32,-0.1999999999999993
2011-02-23,5.41,5.47,5.27,5.46,1080800,5.46,0.04999999999999982
2011-02-24,5.58,5.95,5.56,5.76,2090300,5.76,0.17999999999999972
2011-02-25,5.81,5.88,5.72,5.87,1483000,5.87,0.0600000000000005
2011-02-28,6.01,6.14,5.8,5.97,3988200,5.97,-0.040000000000000036
2011-03-01,6.0,6.16,5.6,5.65,2075400,5.65,-0.34999999999999964
2011-03-02,5.65,5.86,5.61,5.78,950800,5.78,0.1299999999999999
2011-03-03,5.86,5.93,5.62,5.78,1553000,5.78,-0.08000000000000007
2011-03-04,5.82,5.82,5.44,5.57,1581600,5.57,-0.25
2011-03-07,5.75,5.88,5.43,5.63,1763400,5.63,-0.1200000000000001
2011-03-08,5.63,5.68,5.17,5.2,2016800,5.2,-0.4299999999999997
2011-03-09,5.2,5.2,4.96,5.0,2723500,5.0,-0.20000000000000018
2011-03-10,4.93,4.99,4.7,4.84,1819000,4.84,-0.08999999999999986
2011-03-11,4.7,4.99,4.65,4.92,1530800,4.92,0.21999999999999975
2011-03-14,4.9,4.95,4.62,4.88,1340000,4.88,-0.020000000000000462
2011-03-15,4.67,4.82,4.63,4.72,1147800,4.72,0.04999999999999982
2011-03-16,4.79,4.99,4.7,4.88,1847600,4.88,0.08999999999999986
2011-03-17,5.0,5.23,4.4,4.52,4358500,4.52,-0.4800000000000004
