Date,open,high,low,close,volume,adj_close,diff
2012-02-03,57.61,57.61,57.61,57.61,100,50.11,0.0
2012-02-06,57.61,57.61,57.61,57.61,0,50.11,0.0
2012-02-07,58.11,58.11,56.59,56.6,1400,49.23,-1.509999999999998
2012-02-08,56.6,56.6,56.6,56.6,0,49.23,0.0
2012-02-09,58.14,58.64,58.14,58.64,1200,51.01,0.5
2012-02-10,58.8,58.8,57.69,57.69,900,50.18,-1.1099999999999994
2012-02-13,58.53,58.53,58.53,58.53,100,50.91,0.0
2012-02-14,58.06,58.14,58.0,58.0,2100,50.45,-0.060000000000002274
2012-02-15,58.0,58.0,58.0,58.0,0,50.45,0.0
2012-02-16,62.11,62.11,58.74,58.74,200,51.09,-3.3699999999999974
2012-02-17,58.74,58.74,58.74,58.74,0,51.09,0.0
2012-02-21,58.8,58.8,58.8,58.8,100,51.14,0.0
2012-02-22,58.8,58.8,58.8,58.8,0,51.14,0.0
2012-02-23,60.51,60.53,59.31,60.53,300,52.65,0.020000000000003126
2012-02-24,59.3,59.3,59.3,59.3,100,51.58,0.0
2012-02-27,60.73,60.73,60.73,60.73,200,52.82,0.0
2012-02-28,59.14,59.14,59.14,59.14,100,51.44,0.0
2012-02-29,59.14,59.14,59.14,59.14,0,51.44,0.0
2012-03-01,59.14,59.14,59.14,59.14,0,51.44,0.0
2012-03-02,59.84,59.85,59.84,59.85,200,52.06,0.00999999999999801
2012-03-05,59.8,59.8,59.8,59.8,100,52.01,0.0
2012-03-06,57.14,57.14,57.14,57.14,300,49.7,0.0
2012-03-07,56.44,56.44,56.44,56.44,100,49.09,0.0
2012-03-08,56.44,56.44,56.44,56.44,0,49.09,0.0
2012-03-09,56.44,56.44,56.44,56.44,0,49.09,0.0
2012-03-12,56.44,56.44,56.44,56.44,0,49.09,0.0
2012-03-13,56.44,56.44,56.44,56.44,0,49.09,0.0
2012-03-14,56.44,56.44,56.44,56.44,0,49.09,0.0
2012-03-15,56.44,56.44,56.44,56.44,0,49.09,0.0
2012-03-16,56.44,56.44,56.44,56.44,0,49.09,0.0
2012-03-19,56.44,56.44,56.44,56.44,0,49.09,0.0
2012-03-20,58.11,58.11,58.11,58.11,200,50.54,0.0
2012-03-21,58.11,58.11,58.11,58.11,0,50.54,0.0
2012-03-22,58.11,58.11,58.11,58.11,0,50.54,0.0
2012-03-23,57.76,57.76,57.67,57.67,300,50.16,-0.0899999999999963
2012-03-26,57.67,57.67,57.67,57.67,0,50.16,0.0
2012-03-27,57.32,57.32,57.31,57.31,200,49.85,-0.00999999999999801
2012-03-28,57.11,57.11,57.11,57.11,100,49.67,0.0
2012-03-29,57.11,57.11,57.11,57.11,0,49.67,0.0
2012-03-30,57.11,57.11,57.11,57.11,0,49.67,0.0
2012-04-02,57.11,57.11,57.11,57.11,0,49.67,0.0
2012-04-03,57.11,57.11,57.11,57.11,0,49.67,0.0
2012-04-04,57.11,57.11,57.11,57.11,0,49.67,0.0
2012-04-05,56.8,56.8,56.8,56.8,100,49.4,0.0
2012-04-09,56.8,56.8,56.8,56.8,0,49.4,0.0
2012-04-10,56.8,56.8,56.8,56.8,0,49.4,0.0
2012-04-11,56.8,56.8,56.8,56.8,0,49.4,0.0
2012-04-12,56.8,56.8,56.8,56.8,0,49.4,0.0
2012-04-13,56.8,56.8,56.8,56.8,0,49.4,0.0
2012-04-16,56.8,56.8,56.8,56.8,0,49.4,0.0
2012-04-17,56.8,56.8,56.8,56.8,0,49.4,0.0
2012-04-18,56.8,56.8,56.8,56.8,0,49.4,0.0
2012-04-19,56.8,56.8,56.8,56.8,0,49.4,0.0
2012-04-20,56.66,56.66,56.66,56.66,200,49.28,0.0
2012-04-23,56.6,56.6,56.6,56.6,100,49.23,0.0
2012-04-24,56.6,56.6,56.6,56.6,0,49.23,0.0
2012-04-25,56.6,56.6,56.6,56.6,0,49.23,0.0
2012-04-26,56.27,56.27,56.27,56.27,100,48.94,0.0
2012-04-27,56.27,56.27,56.27,56.27,0,48.94,0.0
2012-04-30,56.27,56.27,56.27,56.27,0,48.94,0.0
2012-05-01,56.27,56.27,56.27,56.27,0,48.94,0.0
2012-05-02,56.27,56.27,56.27,56.27,0,48.94,0.0
