Date,open,high,low,close,volume,adj_close,diff
2011-01-03,85.17,85.69,84.63,84.73,1579500,77.83,-0.4399999999999977
2011-01-04,84.75,84.86,83.08,83.35,1652600,76.57,-1.4000000000000057
2011-01-05,83.09,83.63,82.73,83.37,1048400,76.59,0.28000000000000114
2011-01-06,83.35,83.58,82.99,83.25,952200,76.48,-0.09999999999999432
2011-01-07,83.34,83.85,82.67,83.23,973300,76.46,-0.10999999999999943
2011-01-10,82.73,83.22,82.59,83.06,886200,76.3,0.3299999999999983
2011-01-11,83.26,84.22,83.25,83.98,698800,77.15,0.7199999999999989
2011-01-12,84.25,84.33,83.48,83.64,1457700,76.83,-0.6099999999999994
2011-01-13,83.78,83.89,82.91,83.13,1271400,76.37,-0.6500000000000057
2011-01-14,83.08,83.13,82.36,82.7,1313600,75.97,-0.37999999999999545
2011-01-18,82.58,84.18,82.45,83.97,1432600,77.14,1.3900000000000006
2011-01-19,84.05,84.27,82.68,83.0,1281500,76.25,-1.0499999999999972
2011-01-20,83.02,83.37,82.71,83.09,802000,76.33,0.07000000000000739
2011-01-21,83.44,84.38,83.08,83.2,1397600,76.43,-0.23999999999999488
2011-01-24,83.32,83.87,83.15,83.66,1246100,76.85,0.3400000000000034
2011-01-25,83.79,84.76,83.65,84.61,1815900,77.72,0.8199999999999932
2011-01-26,84.94,85.0,84.13,84.13,1213600,77.28,-0.8100000000000023
2011-01-27,83.87,84.32,83.41,83.55,1159800,76.75,-0.3200000000000074
2011-01-28,83.22,83.95,82.41,82.56,1070200,75.84,-0.6599999999999966
2011-01-31,82.65,82.97,81.56,82.95,1097300,76.2,0.29999999999999716
2011-02-01,83.38,83.95,83.09,83.82,795700,77.0,0.4399999999999977
2011-02-02,83.69,84.07,83.34,83.72,793100,76.91,0.030000000000001137
2011-02-03,83.57,84.43,83.51,84.16,805800,77.31,0.5900000000000034
2011-02-04,84.38,84.52,83.82,84.5,911600,77.62,0.12000000000000455
