Date,open,high,low,close,volume,adj_close,diff
2011-01-03,29.1,29.3,28.97,28.98,14600,16.65,-0.120000000000001
2011-01-04,29.05,29.22,29.05,29.17,6900,16.76,0.120000000000001
2011-01-05,29.05,29.2,29.05,29.1,9300,16.72,0.05000000000000071
2011-01-06,29.12,29.5,29.1,29.29,3800,16.83,0.16999999999999815
2011-01-07,29.44,29.45,29.19,29.19,900,16.77,-0.25
2011-01-10,29.1,29.28,29.1,29.1,18000,16.72,0.0
2011-01-11,29.11,29.47,29.11,29.14,4500,16.74,0.030000000000001137
2011-01-12,29.29,29.6,29.27,29.27,2700,16.82,-0.019999999999999574
2011-01-13,29.32,29.49,29.21,29.22,7500,16.79,-0.10000000000000142
2011-01-14,29.75,29.8,29.51,29.54,2700,16.97,-0.21000000000000085
2011-01-18,29.99,30.0,29.65,29.85,4500,17.15,-0.13999999999999702
2011-01-19,31.34,31.34,29.98,30.0,1400,17.23,-1.3399999999999999
2011-01-20,30.09,30.79,29.84,29.84,3000,17.14,-0.25
2011-01-21,29.83,29.99,29.75,29.78,5300,17.11,-0.04999999999999716
2011-01-24,30.4,30.4,30.13,30.13,1800,17.31,-0.2699999999999996
2011-01-25,29.88,29.9,29.88,29.88,4700,17.17,0.0
2011-01-26,30.05,30.05,29.68,29.69,1500,17.06,-0.35999999999999943
2011-01-27,30.05,30.05,29.52,29.73,6600,17.08,-0.3200000000000003
2011-01-28,30.4,30.4,29.3,29.3,4500,16.83,-1.0999999999999979
2011-01-31,29.14,29.42,29.05,29.41,15900,16.9,0.2699999999999996
2011-02-01,29.01,29.37,29.0,29.3,27300,16.83,0.28999999999999915
2011-02-02,29.3,29.3,29.3,29.3,0,16.83,0.0
2011-02-03,29.05,29.62,29.05,29.36,2100,16.87,0.3099999999999987
2011-02-04,29.12,29.3,28.5,29.1,29100,16.72,-0.019999999999999574
2011-02-07,29.28,29.28,29.1,29.25,5000,16.8,-0.030000000000001137
2011-02-08,29.1,29.39,29.1,29.36,15000,16.87,0.259999999999998
2011-02-09,29.05,29.59,29.05,29.3,1500,16.83,0.25
2011-02-10,29.42,29.45,29.05,29.45,11100,16.92,0.029999999999997584
2011-02-11,29.65,29.65,29.34,29.45,4100,16.92,-0.1999999999999993
2011-02-14,28.49,29.49,28.49,29.03,6300,16.83,0.5400000000000027
2011-02-15,29.4,29.4,29.05,29.37,1700,17.03,-0.029999999999997584
2011-02-16,29.12,29.33,29.0,29.15,2900,16.9,0.029999999999997584
