Date,open,high,low,close,volume,adj_close,diff
2014-03-20,9.6,9.62,9.6,9.62,10200,9.62,0.019999999999999574
2014-03-21,9.5,9.5,9.5,9.5,200,9.5,0.0
2014-03-24,9.5,9.5,9.5,9.5,0,9.5,0.0
2014-03-25,9.5,9.5,9.5,9.5,0,9.5,0.0
2014-03-26,9.5,9.5,9.5,9.5,0,9.5,0.0
2014-03-27,9.56,9.56,9.56,9.56,400,9.56,0.0
2014-03-28,9.56,9.56,9.56,9.56,0,9.56,0.0
2014-03-31,9.56,9.56,9.56,9.56,0,9.56,0.0
2014-04-01,9.56,9.56,9.56,9.56,0,9.56,0.0
2014-04-02,9.56,9.56,9.56,9.56,0,9.56,0.0
2014-04-03,9.56,9.56,9.56,9.56,0,9.56,0.0
2014-04-04,9.7,9.7,9.51,9.68,5600,9.68,-0.019999999999999574
2014-04-07,9.74,9.74,9.66,9.68,1000,9.68,-0.0600000000000005
2014-04-08,9.68,9.68,9.68,9.68,0,9.68,0.0
2014-04-09,9.75,9.75,9.55,9.59,500,9.59,-0.16000000000000014
2014-04-10,9.7,9.9,9.66,9.66,5200,9.66,-0.03999999999999915
2014-04-11,9.66,9.66,9.66,9.66,0,9.66,0.0
2014-04-14,9.7,9.7,9.7,9.7,100,9.7,0.0
2014-04-15,9.7,9.7,9.7,9.7,200,9.7,0.0
2014-04-16,9.7,9.7,9.7,9.7,0,9.7,0.0
2014-04-17,9.7,9.7,9.7,9.7,0,9.7,0.0
2014-04-21,9.7,9.7,9.7,9.7,0,9.7,0.0
2014-04-22,9.55,9.55,9.55,9.55,2000,9.55,0.0
2014-04-23,9.65,9.65,9.55,9.55,1200,9.55,-0.09999999999999964
2014-04-24,9.55,9.55,9.55,9.55,0,9.55,0.0
2014-04-25,9.65,9.65,9.65,9.65,500,9.65,0.0
2014-04-28,9.65,9.65,9.65,9.65,0,9.65,0.0
2014-04-29,9.65,9.65,9.5,9.55,600,9.55,-0.09999999999999964
2014-04-30,9.55,9.55,9.55,9.55,0,9.55,0.0
2014-05-01,9.55,9.55,9.55,9.55,0,9.55,0.0
2014-05-02,9.55,9.55,9.55,9.55,500,9.55,0.0
2014-05-05,9.55,9.55,9.55,9.55,0,9.55,0.0
2014-05-06,9.55,9.55,9.55,9.55,0,9.55,0.0
2014-05-07,9.6,9.67,9.6,9.67,21600,9.67,0.07000000000000028
2014-05-08,9.59,9.64,9.59,9.63,4200,9.63,0.040000000000000924
2014-05-09,9.6,9.66,9.56,9.66,900,9.66,0.0600000000000005
2014-05-12,9.59,9.69,9.59,9.69,2400,9.69,0.09999999999999964
2014-05-13,9.62,9.69,9.59,9.59,3000,9.59,-0.02999999999999936
2014-05-14,9.69,9.69,9.59,9.63,900,9.63,-0.05999999999999872
2014-05-15,9.62,9.69,9.58,9.62,21400,9.62,0.0
2014-05-16,9.58,9.62,9.57,9.6,2600,9.6,0.019999999999999574
2014-05-19,9.64,9.65,9.56,9.56,4100,9.56,-0.08000000000000007
2014-05-20,9.56,9.56,9.56,9.56,0,9.56,0.0
2014-05-21,9.65,9.65,9.61,9.65,5000,9.65,0.0
2014-05-22,9.65,9.65,9.65,9.65,0,9.65,0.0
2014-05-23,9.74,9.74,9.69,9.71,52000,9.71,-0.02999999999999936
2014-05-27,9.69,9.72,9.68,9.68,20000,9.68,-0.009999999999999787
2014-05-28,9.69,9.73,9.69,9.72,50200,9.72,0.030000000000001137
2014-05-29,9.71,9.71,9.7,9.7,300,9.7,-0.010000000000001563
2014-05-30,9.7,9.7,9.7,9.7,0,9.7,0.0
2014-06-02,9.65,9.68,9.55,9.68,39600,9.68,0.02999999999999936
2014-06-03,9.68,9.68,9.68,9.68,0,9.68,0.0
2014-06-04,9.68,9.68,9.68,9.68,0,9.68,0.0
2014-06-05,9.68,9.68,9.68,9.68,0,9.68,0.0
2014-06-06,9.7,9.79,9.67,9.67,10400,9.67,-0.02999999999999936
2014-06-09,9.67,9.67,9.67,9.67,0,9.67,0.0
2014-06-10,9.67,9.71,9.67,9.7,203500,9.7,0.02999999999999936
2014-06-11,9.7,9.7,9.7,9.7,0,9.7,0.0
2014-06-12,9.71,9.72,9.71,9.72,400,9.72,0.009999999999999787
2014-06-13,9.7,9.74,9.7,9.73,16100,9.73,0.030000000000001137
2014-06-16,9.69,9.73,9.69,9.72,24700,9.72,0.030000000000001137
2014-06-17,9.71,9.74,9.71,9.72,20400,9.72,0.009999999999999787
2014-06-18,9.71,9.74,9.7,9.7,17500,9.7,-0.010000000000001563
2014-06-19,9.71,9.97,9.71,9.75,27900,9.75,0.03999999999999915
2014-06-20,9.71,9.75,9.71,9.71,19000,9.71,0.0
2014-06-23,9.72,9.78,9.71,9.76,82200,9.76,0.03999999999999915
2014-06-24,9.71,9.75,9.7,9.7,13900,9.7,-0.010000000000001563
2014-06-25,9.71,9.74,9.7,9.71,4300,9.71,0.0
2014-06-26,9.73,9.74,9.71,9.71,10800,9.71,-0.019999999999999574
2014-06-27,9.71,9.74,9.7,9.7,12600,9.7,-0.010000000000001563
2014-06-30,9.71,9.8,9.7,9.73,99000,9.73,0.019999999999999574
2014-07-01,9.71,9.73,9.7,9.7,17800,9.7,-0.010000000000001563
2014-07-02,9.72,9.75,9.71,9.71,15000,9.71,-0.009999999999999787
2014-07-03,9.74,9.75,9.7,9.72,11200,9.72,-0.019999999999999574
2014-07-07,9.72,9.72,9.72,9.72,0,9.72,0.0
2014-07-08,9.75,9.75,9.7,9.71,19900,9.71,-0.03999999999999915
2014-07-09,9.75,9.75,9.71,9.71,15700,9.71,-0.03999999999999915
2014-07-10,9.71,9.74,9.71,9.71,7300,9.71,0.0
2014-07-11,9.71,9.73,9.71,9.71,6000,9.71,0.0
2014-07-14,9.73,9.74,9.7,9.7,20600,9.7,-0.030000000000001137
2014-07-15,9.74,9.74,9.71,9.71,9000,9.71,-0.02999999999999936
2014-07-16,9.71,9.73,9.71,9.71,4100,9.71,0.0
2014-07-17,9.73,9.73,9.73,9.73,600,9.73,0.0
2014-07-18,9.73,9.73,9.73,9.73,0,9.73,0.0
2014-07-21,9.72,9.75,9.7,9.7,24900,9.7,-0.02000000000000135
2014-07-22,9.72,9.74,9.71,9.71,10600,9.71,-0.009999999999999787
2014-07-23,9.71,9.71,9.71,9.71,0,9.71,0.0
2014-07-24,9.73,9.73,9.7,9.72,5200,9.72,-0.009999999999999787
2014-07-25,9.71,9.74,9.7,9.7,8700,9.7,-0.010000000000001563
2014-07-28,9.7,9.7,9.7,9.7,0,9.7,0.0
2014-07-29,9.73,9.73,9.7,9.7,200,9.7,-0.030000000000001137
2014-07-30,9.7,9.7,9.7,9.7,0,9.7,0.0
2014-07-31,9.7,9.72,9.7,9.72,5100,9.72,0.02000000000000135
2014-08-01,9.72,9.72,9.72,9.72,0,9.72,0.0
2014-08-04,9.72,9.72,9.72,9.72,0,9.72,0.0
2014-08-05,9.72,9.72,9.72,9.72,0,9.72,0.0
2014-08-06,9.72,9.72,9.72,9.72,0,9.72,0.0
2014-08-07,9.72,9.72,9.72,9.72,0,9.72,0.0
2014-08-08,9.72,9.72,9.72,9.72,0,9.72,0.0
2014-08-11,9.72,9.72,9.72,9.72,0,9.72,0.0
2014-08-12,9.72,9.72,9.72,9.72,0,9.72,0.0
2014-08-13,9.72,9.72,9.72,9.72,0,9.72,0.0
2014-08-14,9.72,9.72,9.72,9.72,0,9.72,0.0
2014-08-15,9.82,9.82,9.71,9.74,2300,9.74,-0.08000000000000007
2014-08-18,9.71,9.71,9.71,9.71,100,9.71,0.0
2014-08-19,9.71,9.71,9.71,9.71,0,9.71,0.0
2014-08-20,9.55,9.75,9.55,9.7,9300,9.7,0.14999999999999858
2014-08-21,9.58,9.74,9.58,9.7,2000,9.7,0.11999999999999922
2014-08-22,9.7,9.71,9.68,9.71,13100,9.71,0.010000000000001563
2014-08-25,9.8,9.81,9.7,9.79,31600,9.79,-0.010000000000001563
2014-08-26,9.75,9.85,9.7,9.7,25200,9.7,-0.05000000000000071
2014-08-27,9.74,9.85,9.73,9.73,24300,9.73,-0.009999999999999787
2014-08-28,9.75,9.83,9.75,9.81,9600,9.81,0.0600000000000005
2014-08-29,9.77,9.85,9.72,9.72,13100,9.72,-0.049999999999998934
