Date,open,high,low,close,volume,adj_close,diff
2011-01-03,13.18,13.22,13.05,13.15,76600,9.91,-0.02999999999999936
2011-01-04,13.11,13.24,13.05,13.11,51000,9.88,0.0
2011-01-05,13.15,13.18,12.98,13.02,45900,9.81,-0.13000000000000078
2011-01-06,12.98,13.07,12.87,12.88,49400,9.7,-0.09999999999999964
2011-01-07,12.8,12.95,12.76,12.76,38800,9.61,-0.040000000000000924
2011-01-10,12.82,12.91,12.76,12.81,58300,9.65,-0.009999999999999787
2011-01-11,12.83,12.83,12.57,12.71,127300,9.58,-0.11999999999999922
2011-01-12,12.6,12.64,12.35,12.44,95100,9.44,-0.16000000000000014
2011-01-13,12.42,12.42,12.24,12.3,87200,9.33,-0.11999999999999922
2011-01-14,12.27,12.29,11.87,12.13,176400,9.2,-0.1399999999999988
2011-01-18,12.14,12.33,12.01,12.32,116000,9.34,0.17999999999999972
2011-01-19,12.39,12.39,12.15,12.18,93800,9.24,-0.21000000000000085
2011-01-20,12.18,12.43,12.17,12.36,110700,9.37,0.17999999999999972
2011-01-21,12.31,12.66,12.31,12.66,45800,9.6,0.34999999999999964
2011-01-24,12.62,12.75,12.62,12.72,131100,9.65,0.10000000000000142
2011-01-25,12.72,12.85,12.7,12.82,95700,9.72,0.09999999999999964
2011-01-26,12.93,13.05,12.79,12.99,73000,9.85,0.0600000000000005
2011-01-27,12.99,13.04,12.9,12.91,55100,9.79,-0.08000000000000007
2011-01-28,12.95,12.97,12.65,12.79,64700,9.7,-0.16000000000000014
2011-01-31,12.8,12.89,12.77,12.79,29500,9.7,-0.010000000000001563
2011-02-01,12.84,12.98,12.84,12.93,37800,9.81,0.08999999999999986
2011-02-02,12.95,13.11,12.95,13.11,75900,9.94,0.16000000000000014
2011-02-03,13.16,13.16,12.97,12.97,34800,9.84,-0.1899999999999995
2011-02-04,13.03,13.05,12.89,13.04,28300,9.89,0.009999999999999787
2011-02-07,13.11,13.12,13.01,13.11,46500,9.94,0.0
2011-02-08,13.05,13.16,13.05,13.16,41400,9.98,0.10999999999999943
2011-02-09,13.12,13.23,13.12,13.15,48100,9.97,0.030000000000001137
2011-02-10,13.2,13.2,13.04,13.07,27000,9.91,-0.129999999999999
2011-02-11,12.96,13.1,12.93,12.93,30800,9.87,-0.030000000000001137
2011-02-14,12.92,12.97,12.85,12.87,47300,9.82,-0.05000000000000071
2011-02-15,12.87,12.94,12.85,12.86,30800,9.82,-0.009999999999999787
2011-02-16,12.94,13.03,12.85,12.95,56800,9.89,0.009999999999999787
2011-02-17,13.02,13.05,12.71,12.93,50800,9.87,-0.08999999999999986
2011-02-18,12.96,12.97,12.91,12.94,21600,9.88,-0.02000000000000135
2011-02-22,12.96,13.01,12.8,12.84,48800,9.8,-0.120000000000001
2011-02-23,12.82,13.01,12.82,13.01,40600,9.93,0.1899999999999995
2011-02-24,12.98,13.06,12.98,13.06,51100,9.97,0.08000000000000007
2011-02-25,13.1,13.1,12.92,12.93,29300,9.87,-0.16999999999999993
2011-02-28,13.0,13.02,12.96,13.02,22400,9.94,0.019999999999999574
2011-03-01,13.06,13.17,13.06,13.16,62900,10.05,0.09999999999999964
2011-03-02,13.15,13.32,13.11,13.13,134700,10.02,-0.019999999999999574
2011-03-03,13.15,13.27,13.1,13.25,69100,10.11,0.09999999999999964
2011-03-04,13.25,13.34,13.21,13.33,67700,10.18,0.08000000000000007
2011-03-07,13.39,13.39,13.16,13.28,33400,10.14,-0.11000000000000121
2011-03-08,13.34,13.37,13.3,13.35,22400,10.19,0.009999999999999787
2011-03-09,13.35,13.37,13.27,13.34,24400,10.18,-0.009999999999999787
2011-03-10,13.36,13.37,13.26,13.33,28500,10.18,-0.02999999999999936
2011-03-11,13.3,13.3,13.21,13.24,13700,10.17,-0.0600000000000005
