Date,open,high,low,close,volume,adj_close,diff
2011-01-03,9.04,9.1,8.78,9.05,20200,8.31,0.010000000000001563
2011-01-04,9.0,9.0,8.8,8.8,3500,8.08,-0.1999999999999993
2011-01-05,8.99,9.0,8.99,9.0,1000,8.26,0.009999999999999787
2011-01-06,8.87,8.87,8.87,8.87,400,8.15,0.0
2011-01-07,8.82,8.82,8.8,8.8,1600,8.08,-0.019999999999999574
2011-01-10,8.82,9.0,8.82,8.9,800,8.17,0.08000000000000007
2011-01-11,8.82,8.82,8.76,8.82,1400,8.1,0.0
2011-01-12,8.82,8.82,8.82,8.82,0,8.1,0.0
2011-01-13,8.8,8.98,8.8,8.82,900,8.1,0.019999999999999574
2011-01-14,8.82,8.83,8.75,8.82,6800,8.1,0.0
2011-01-18,8.96,8.96,8.75,8.96,17800,8.23,0.0
2011-01-19,8.8,8.8,8.8,8.8,3000,8.08,0.0
2011-01-20,8.75,8.75,8.75,8.75,4900,8.04,0.0
2011-01-21,8.75,8.75,8.75,8.75,0,8.04,0.0
2011-01-24,8.71,8.9,8.7,8.9,2300,8.17,0.1899999999999995
2011-01-25,8.53,8.96,8.5,8.64,6500,7.93,0.11000000000000121
2011-01-26,8.57,8.95,8.54,8.67,3100,7.96,0.09999999999999964
2011-01-27,8.69,8.91,8.51,8.68,10800,7.97,-0.009999999999999787
2011-01-28,8.86,8.88,8.54,8.77,13800,8.05,-0.08999999999999986
2011-01-31,8.54,8.6,8.38,8.53,78300,7.83,-0.009999999999999787
2011-02-01,8.46,8.46,8.0,8.05,6800,7.39,-0.41000000000000014
2011-02-02,8.11,8.55,8.09,8.55,8100,7.85,0.4400000000000013
2011-02-03,8.45,8.66,8.35,8.6,12400,7.9,0.15000000000000036
2011-02-04,8.16,8.6,8.16,8.32,12500,7.64,0.16000000000000014
2011-02-07,8.43,8.5,8.23,8.41,2100,7.72,-0.019999999999999574
2011-02-08,8.5,8.5,8.4,8.5,6100,7.81,0.0
2011-02-09,8.5,8.5,8.21,8.21,1500,7.58,-0.28999999999999915
2011-02-10,8.26,8.41,8.11,8.16,11400,7.54,-0.09999999999999964
2011-02-11,8.16,8.16,8.16,8.16,0,7.54,0.0
2011-02-14,8.12,8.5,8.12,8.5,3800,7.85,0.3800000000000008
2011-02-15,8.3,8.3,8.11,8.2,1700,7.57,-0.10000000000000142
2011-02-16,8.25,8.41,8.2,8.3,7900,7.67,0.05000000000000071
2011-02-17,8.26,8.26,8.19,8.19,1500,7.57,-0.07000000000000028
2011-02-18,8.16,8.19,8.11,8.17,4200,7.55,0.009999999999999787
2011-02-22,8.13,8.29,8.11,8.11,4000,7.49,-0.02000000000000135
2011-02-23,8.28,8.28,7.9,8.0,22200,7.39,-0.27999999999999936
2011-02-24,8.0,8.29,7.55,7.64,21100,7.06,-0.3600000000000003
2011-02-25,7.8,8.03,7.51,7.8,9000,7.21,0.0
2011-02-28,7.87,8.2,7.87,8.14,5000,7.52,0.27000000000000046
2011-03-01,8.01,8.2,7.94,7.99,500,7.38,-0.019999999999999574
2011-03-02,8.11,8.11,8.01,8.01,500,7.4,-0.09999999999999964
2011-03-03,8.12,8.12,8.1,8.1,500,7.48,-0.019999999999999574
2011-03-04,8.1,8.1,8.1,8.1,800,7.48,0.0
2011-03-07,8.13,8.19,7.92,7.92,5100,7.32,-0.21000000000000085
2011-03-08,7.98,8.31,7.91,7.96,4300,7.35,-0.020000000000000462
2011-03-09,8.15,8.15,8.0,8.0,300,7.39,-0.15000000000000036
2011-03-10,8.13,8.13,7.77,7.83,1200,7.23,-0.3000000000000007
2011-03-11,7.83,7.83,7.83,7.83,0,7.23,0.0
2011-03-14,7.83,7.96,7.83,7.88,4100,7.28,0.04999999999999982
2011-03-15,7.85,8.0,7.85,7.9,2000,7.3,0.05000000000000071
2011-03-16,7.89,8.1,7.89,8.0,1800,7.39,0.11000000000000032
