Date,open,high,low,close,volume,adj_close,diff
2011-01-03,47.59,48.12,47.41,47.84,308600,41.02,0.25
2011-01-04,47.91,48.0,46.58,47.18,258000,40.45,-0.7299999999999969
2011-01-05,47.01,47.77,47.01,47.48,240700,40.71,0.46999999999999886
2011-01-06,47.53,47.62,46.74,46.74,277500,40.07,-0.7899999999999991
2011-01-07,46.9,46.98,45.77,46.13,353700,39.55,-0.769999999999996
2011-01-10,46.23,46.76,45.76,46.63,391900,39.98,0.4000000000000057
2011-01-11,46.94,46.98,45.81,46.32,368600,39.71,-0.6199999999999974
2011-01-12,46.63,46.74,46.13,46.44,292400,39.82,-0.19000000000000483
2011-01-13,46.5,46.68,46.12,46.21,277900,39.62,-0.28999999999999915
2011-01-14,46.21,48.41,46.21,48.35,447600,41.45,2.1400000000000006
2011-01-18,48.62,48.83,48.0,48.83,368900,41.87,0.21000000000000085
2011-01-19,48.74,48.94,47.92,48.02,315200,41.17,-0.7199999999999989
2011-01-20,47.54,48.09,47.27,47.36,324700,40.61,-0.17999999999999972
2011-01-21,47.44,47.74,47.26,47.62,317400,40.83,0.17999999999999972
2011-01-24,47.63,49.23,46.79,47.49,565200,40.72,-0.14000000000000057
2011-01-25,46.98,47.1,46.07,46.33,665700,39.72,-0.6499999999999986
2011-01-26,46.4,46.56,45.56,45.8,686900,39.27,-0.6000000000000014
2011-01-27,45.96,47.25,45.83,46.98,482500,40.28,1.019999999999996
2011-01-28,47.07,47.46,46.74,46.76,407700,40.09,-0.3100000000000023
2011-01-31,46.65,47.5,46.65,46.87,484300,40.19,0.21999999999999886
2011-02-01,47.12,47.65,46.84,47.04,304500,40.33,-0.0799999999999983
2011-02-02,46.89,47.19,46.62,46.64,285500,39.99,-0.25
2011-02-03,46.67,47.07,46.23,46.51,302500,39.88,-0.1600000000000037
2011-02-04,46.55,46.81,46.32,46.65,249300,40.0,0.10000000000000142
2011-02-07,46.71,47.31,46.65,46.86,263200,40.18,0.14999999999999858
2011-02-08,46.95,47.06,46.67,46.83,282000,40.15,-0.12000000000000455
2011-02-09,46.66,47.06,46.66,46.8,217800,40.13,0.14000000000000057
2011-02-10,46.7,47.0,46.66,46.75,283200,40.08,0.04999999999999716
2011-02-11,46.65,47.86,46.65,47.76,244200,40.95,1.1099999999999994
2011-02-14,47.79,48.11,47.48,48.06,375800,41.21,0.2700000000000031
2011-02-15,47.89,48.17,47.39,47.48,219500,40.71,-0.4100000000000037
2011-02-16,47.68,47.83,47.29,47.57,180100,40.79,-0.10999999999999943
2011-02-17,47.48,47.57,47.1,47.43,148500,40.67,-0.04999999999999716
2011-02-18,47.58,48.0,47.49,47.96,153500,41.12,0.38000000000000256
2011-02-22,47.68,47.92,47.2,47.45,257000,40.68,-0.22999999999999687
2011-02-23,47.5,47.7,47.0,47.2,423900,40.47,-0.29999999999999716
2011-02-24,46.96,47.34,46.74,47.15,601100,40.81,0.18999999999999773
2011-02-25,47.38,48.03,47.26,47.96,349700,41.52,0.5799999999999983
2011-02-28,48.01,48.15,47.13,47.16,310500,40.82,-0.8500000000000014
2011-03-01,47.24,47.42,46.82,47.0,240300,40.69,-0.240000000000002
2011-03-02,46.92,47.25,46.65,46.81,296900,40.52,-0.10999999999999943
2011-03-03,46.98,48.0,46.98,47.64,284100,41.24,0.6600000000000037
2011-03-04,47.51,47.97,47.28,47.71,258800,41.3,0.20000000000000284
2011-03-07,47.81,48.12,47.16,47.31,242900,40.95,-0.5
2011-03-08,47.12,48.43,47.12,48.28,340600,41.79,1.1600000000000037
2011-03-09,48.15,48.43,47.83,48.03,169300,41.58,-0.11999999999999744
2011-03-10,47.61,47.61,47.03,47.31,238300,40.95,-0.29999999999999716
2011-03-11,46.95,47.28,46.43,46.96,302800,40.65,0.00999999999999801
2011-03-14,46.66,46.76,45.66,45.88,532400,39.72,-0.779999999999994
2011-03-15,44.9,45.38,44.32,44.81,821500,38.79,-0.0899999999999963
2011-03-16,44.82,45.15,44.52,44.75,597000,38.74,-0.07000000000000028
2011-03-17,45.21,45.25,44.41,44.85,379600,38.82,-0.35999999999999943
2011-03-18,45.22,45.65,45.11,45.21,403900,39.14,-0.00999999999999801
2011-03-21,45.54,46.08,45.49,46.05,331500,39.86,0.509999999999998
2011-03-22,46.1,46.34,45.89,46.02,263300,39.84,-0.0799999999999983
2011-03-23,45.9,46.1,45.49,45.8,315800,39.65,-0.10000000000000142
2011-03-24,45.97,46.09,45.55,46.05,268200,39.86,0.0799999999999983
2011-03-25,46.34,47.44,46.18,47.25,885200,40.9,0.9099999999999966
2011-03-28,47.2,47.43,46.95,47.04,328300,40.72,-0.1600000000000037
2011-03-29,46.99,47.59,46.98,47.32,197200,40.96,0.3299999999999983
2011-03-30,47.43,47.97,47.33,47.71,196700,41.3,0.28000000000000114
2011-03-31,47.58,47.87,47.56,47.82,296900,41.39,0.240000000000002
2011-04-01,47.9,48.0,47.7,48.0,382900,41.55,0.10000000000000142
2011-04-04,47.89,48.05,47.72,47.99,292500,41.54,0.10000000000000142
2011-04-05,47.84,48.08,47.3,47.34,319400,40.98,-0.5
2011-04-06,47.4,48.2,47.4,48.18,267600,41.71,0.7800000000000011
2011-04-07,48.32,48.5,47.26,47.54,483900,41.15,-0.7800000000000011
2011-04-08,47.74,47.81,47.21,47.28,290800,40.93,-0.46000000000000085
2011-04-11,47.37,47.65,47.23,47.6,238500,41.2,0.23000000000000398
2011-04-12,47.45,47.94,47.26,47.64,319100,41.24,0.18999999999999773
2011-04-13,47.85,47.89,47.23,47.24,249400,40.89,-0.6099999999999994
2011-04-14,47.2,47.23,46.97,47.09,249000,40.76,-0.10999999999999943
2011-04-15,47.08,47.67,46.93,47.67,265200,41.27,0.5900000000000034
2011-04-18,47.39,49.22,47.24,47.39,702700,41.02,0.0
2011-04-19,47.71,47.71,46.57,46.87,326700,40.57,-0.8400000000000034
2011-04-20,47.27,47.85,47.21,47.59,313300,41.2,0.3200000000000003
2011-04-21,47.68,47.77,47.4,47.75,185300,41.33,0.07000000000000028
