Date,open,high,low,close,volume,adj_close,diff
2011-01-03,22.42,22.97,22.27,22.61,350700,22.61,0.18999999999999773
2011-01-04,22.75,22.83,22.31,22.57,779300,22.57,-0.17999999999999972
2011-01-05,22.6,23.21,22.57,23.12,283400,23.12,0.5199999999999996
2011-01-06,23.18,23.18,22.99,23.12,233300,23.12,-0.05999999999999872
2011-01-07,23.11,23.18,22.99,23.12,195600,23.12,0.010000000000001563
2011-01-10,23.08,23.43,23.0,23.41,141800,23.41,0.33000000000000185
2011-01-11,23.5,23.64,23.32,23.61,122200,23.61,0.10999999999999943
2011-01-12,23.74,23.74,23.34,23.54,222900,23.54,-0.1999999999999993
2011-01-13,23.5,23.65,23.31,23.64,131300,23.64,0.14000000000000057
2011-01-14,23.69,23.8,23.58,23.75,135200,23.75,0.05999999999999872
2011-01-18,23.62,23.9,23.46,23.71,156900,23.71,0.08999999999999986
2011-01-19,23.75,23.85,23.45,23.47,592700,23.47,-0.28000000000000114
2011-01-20,23.4,23.44,23.05,23.1,393200,23.1,-0.29999999999999716
2011-01-21,23.2,23.43,23.05,23.32,333400,23.32,0.120000000000001
2011-01-24,23.61,24.0,23.32,23.37,256400,23.37,-0.23999999999999844
2011-01-25,23.33,23.6,23.31,23.55,237200,23.55,0.22000000000000242
2011-01-26,23.7,24.06,23.53,24.02,150600,24.02,0.3200000000000003
2011-01-27,23.98,24.06,23.8,23.97,121000,23.97,-0.010000000000001563
2011-01-28,23.89,23.89,22.97,23.12,172100,23.12,-0.7699999999999996
2011-01-31,23.39,23.44,23.03,23.09,215400,23.09,-0.3000000000000007
2011-02-01,23.31,23.5,23.19,23.23,136100,23.23,-0.0799999999999983
2011-02-02,23.26,23.44,23.05,23.18,86700,23.18,-0.08000000000000185
2011-02-03,23.19,23.39,23.0,23.27,100600,23.27,0.0799999999999983
2011-02-04,23.2,23.33,23.01,23.17,70300,23.17,-0.029999999999997584
2011-02-07,23.26,23.4,23.0,23.13,160900,23.13,-0.13000000000000256
2011-02-08,23.07,23.24,23.07,23.23,148900,23.23,0.16000000000000014
2011-02-09,23.04,23.14,22.78,22.95,144000,22.95,-0.08999999999999986
2011-02-10,22.79,23.0,22.79,22.86,50800,22.86,0.07000000000000028
2011-02-11,22.8,23.21,22.63,23.0,114200,23.0,0.1999999999999993
2011-02-14,23.09,23.1,22.74,22.89,130000,22.89,-0.1999999999999993
2011-02-15,22.82,22.9,22.61,22.63,155100,22.63,-0.19000000000000128
2011-02-16,22.79,22.95,22.69,22.88,85200,22.88,0.08999999999999986
2011-02-17,22.88,22.88,22.59,22.59,125400,22.59,-0.28999999999999915
2011-02-18,22.7,22.73,22.38,22.41,187500,22.41,-0.28999999999999915
2011-02-22,22.25,22.4,21.93,21.99,160500,21.99,-0.26000000000000156
2011-02-23,22.07,22.07,21.54,21.55,128800,21.55,-0.5199999999999996
2011-02-24,21.66,21.68,20.69,20.83,352100,20.83,-0.8300000000000018
2011-02-25,20.96,21.18,20.91,21.09,280900,21.09,0.129999999999999
2011-02-28,21.29,21.36,20.81,20.92,273600,20.92,-0.36999999999999744
2011-03-01,20.84,21.05,20.56,20.82,227100,20.82,-0.019999999999999574
2011-03-02,20.78,21.03,20.34,21.0,285300,21.0,0.21999999999999886
2011-03-03,21.05,22.35,20.69,22.3,543000,22.3,1.25
2011-03-04,22.23,22.73,22.0,22.45,279500,22.45,0.21999999999999886
