Date,open,high,low,close,volume,adj_close,diff
2011-01-03,4.41,4.43,4.24,4.25,29900,3.29,-0.16000000000000014
2011-01-04,4.25,4.28,4.24,4.25,37400,3.29,0.0
2011-01-05,4.25,4.3,4.23,4.27,19400,3.3,0.019999999999999574
2011-01-06,4.26,4.26,4.23,4.23,3300,3.27,-0.02999999999999936
2011-01-07,4.27,4.27,4.23,4.25,6400,3.29,-0.019999999999999574
2011-01-10,4.23,4.29,4.22,4.22,9700,3.26,-0.010000000000000675
2011-01-11,4.25,4.25,4.22,4.25,3000,3.29,0.0
2011-01-12,4.32,4.42,4.2,4.42,341500,3.42,0.09999999999999964
2011-01-13,4.4,4.4,4.37,4.37,800,3.38,-0.03000000000000025
2011-01-14,4.35,4.38,4.2,4.3,16000,3.32,-0.04999999999999982
2011-01-18,4.34,4.5,4.32,4.35,15900,3.36,0.009999999999999787
2011-01-19,4.35,4.35,4.28,4.3,4500,3.32,-0.04999999999999982
2011-01-20,4.36,4.38,4.24,4.34,23100,3.35,-0.020000000000000462
2011-01-21,4.31,4.31,4.25,4.25,7400,3.29,-0.05999999999999961
2011-01-24,4.25,4.39,4.25,4.35,16100,3.36,0.09999999999999964
2011-01-25,4.43,4.61,4.4,4.45,45700,3.44,0.020000000000000462
2011-01-26,4.49,4.59,4.43,4.55,11700,3.52,0.05999999999999961
2011-01-27,5.0,6.51,4.99,6.42,351700,4.96,1.42
2011-01-28,5.97,6.73,5.86,6.62,137500,5.12,0.6500000000000004
2011-01-31,6.61,7.2,6.5,6.97,150100,5.39,0.35999999999999943
2011-02-01,6.97,7.24,6.82,7.22,108800,5.58,0.25
2011-02-02,7.25,7.88,7.22,7.29,48000,5.64,0.040000000000000036
2011-02-03,7.65,7.71,7.47,7.54,58200,5.83,-0.11000000000000032
2011-02-04,7.61,7.73,7.61,7.67,34700,5.93,0.05999999999999961
2011-02-07,7.76,7.82,7.71,7.8,29800,6.03,0.040000000000000036
2011-02-08,7.8,7.82,7.59,7.73,33800,5.98,-0.0699999999999994
2011-02-09,7.72,7.76,7.6,7.74,8400,5.98,0.020000000000000462
2011-02-10,7.71,7.76,7.54,7.54,9900,5.83,-0.16999999999999993
2011-02-11,7.39,7.5,7.27,7.31,16400,5.65,-0.08000000000000007
2011-02-14,7.42,7.42,7.07,7.11,28400,5.5,-0.3099999999999996
2011-02-15,7.07,7.19,6.83,6.86,39700,5.3,-0.20999999999999996
2011-02-16,6.91,7.31,6.83,7.07,27800,5.47,0.16000000000000014
2011-02-17,7.16,7.73,7.16,7.25,20400,5.6,0.08999999999999986
2011-02-18,7.25,7.39,7.2,7.29,7900,5.64,0.040000000000000036
2011-02-22,7.22,7.44,7.18,7.38,12600,5.7,0.16000000000000014
2011-02-23,7.23,7.31,6.83,6.96,18200,5.38,-0.27000000000000046
2011-02-24,6.92,6.93,6.53,6.71,10100,5.19,-0.20999999999999996
2011-02-25,6.71,6.91,6.59,6.75,4200,5.22,0.040000000000000036
2011-02-28,6.76,6.87,6.75,6.75,9500,5.22,-0.009999999999999787
2011-03-01,7.75,7.97,7.53,7.7,312700,5.95,-0.04999999999999982
2011-03-02,7.77,7.77,7.47,7.65,16200,5.91,-0.11999999999999922
2011-03-03,7.71,7.96,7.71,7.77,45200,6.01,0.05999999999999961
2011-03-04,7.87,7.88,7.77,7.88,19300,6.09,0.009999999999999787
2011-03-07,7.72,8.15,7.72,8.15,55400,6.3,0.4300000000000006
2011-03-08,8.16,8.29,8.1,8.14,7400,6.29,-0.019999999999999574
2011-03-09,8.14,8.37,8.14,8.23,13000,6.36,0.08999999999999986
2011-03-10,8.19,8.34,8.1,8.34,144700,6.45,0.15000000000000036
2011-03-11,8.39,8.39,8.25,8.29,7700,6.41,-0.10000000000000142
2011-03-14,8.21,8.38,7.96,8.18,30600,6.32,-0.030000000000001137
2011-03-15,7.85,8.37,7.8,7.81,30500,6.04,-0.040000000000000036
2011-03-16,7.81,8.26,7.81,7.82,15100,6.04,0.010000000000000675
2011-03-17,7.82,8.07,7.81,7.92,11500,6.12,0.09999999999999964
2011-03-18,7.82,8.08,7.82,8.08,6500,6.25,0.2599999999999998
2011-03-21,8.18,8.19,7.97,7.97,10200,6.16,-0.20999999999999996
2011-03-22,8.02,8.14,7.95,8.1,8500,6.26,0.08000000000000007
2011-03-23,7.97,7.97,7.78,7.78,6600,6.01,-0.1899999999999995
2011-03-24,7.95,8.06,7.78,7.84,6600,6.06,-0.11000000000000032
2011-03-25,7.88,7.98,7.84,7.89,4400,6.1,0.009999999999999787
2011-03-28,8.0,8.3,7.94,8.17,57800,6.32,0.16999999999999993
2011-03-29,8.21,8.25,7.87,8.04,13100,6.21,-0.1700000000000017
2011-03-30,7.99,8.07,7.85,7.97,9700,6.16,-0.020000000000000462
2011-03-31,8.28,8.3,7.63,7.81,11500,6.04,-0.46999999999999975
2011-04-01,7.86,7.99,7.73,7.79,15800,6.02,-0.07000000000000028
2011-04-04,7.76,7.89,7.6,7.77,10800,6.01,0.009999999999999787
2011-04-05,7.79,7.88,7.55,7.66,10100,5.92,-0.1299999999999999
2011-04-06,7.71,7.89,7.51,7.68,7100,5.94,-0.03000000000000025
2011-04-07,7.74,7.87,7.7,7.85,6700,6.07,0.10999999999999943
2011-04-08,8.09,8.09,7.78,7.86,6300,6.08,-0.22999999999999954
2011-04-11,7.87,7.87,7.7,7.78,22200,6.01,-0.08999999999999986
2011-04-12,7.7,8.09,7.7,8.09,7300,6.25,0.3899999999999997
2011-04-13,7.72,8.1,7.52,8.08,59900,6.25,0.3600000000000003
2011-04-14,8.03,8.1,7.97,8.09,9900,6.25,0.0600000000000005
2011-04-15,8.17,8.19,7.91,8.18,30400,6.32,0.009999999999999787
2011-04-18,8.25,8.25,8.1,8.1,9600,6.26,-0.15000000000000036
2011-04-19,8.13,8.19,8.1,8.12,9300,6.28,-0.010000000000001563
2011-04-20,8.19,8.22,8.07,8.21,12600,6.35,0.02000000000000135
2011-04-21,8.21,8.28,7.98,8.25,7100,6.38,0.03999999999999915
2011-04-25,8.69,8.93,8.48,8.76,69700,6.77,0.07000000000000028
2011-04-26,8.9,9.07,8.9,8.96,144300,6.93,0.0600000000000005
2011-04-27,9.01,9.1,8.96,9.06,223000,7.0,0.05000000000000071
2011-04-28,9.07,9.09,8.35,8.8,41000,6.8,-0.2699999999999996
2011-04-29,8.87,9.07,8.87,8.93,41000,6.9,0.0600000000000005
2011-05-02,8.94,8.96,8.72,8.85,33000,6.84,-0.08999999999999986
2011-05-03,8.81,9.01,8.75,8.96,65000,6.93,0.15000000000000036
2011-05-04,8.87,8.96,8.37,8.42,14400,6.51,-0.4499999999999993
2011-05-05,8.42,8.42,8.17,8.31,23700,6.42,-0.10999999999999943
