Date,open,high,low,close,volume,adj_close,diff
2011-01-03,77.61,77.97,76.79,77.15,76900,64.94,-0.45999999999999375
2011-01-04,78.06,78.11,77.36,77.52,109900,65.25,-0.5400000000000063
2011-01-05,76.81,77.36,76.58,77.33,63800,65.09,0.519999999999996
2011-01-06,77.19,78.0,76.58,76.95,177000,64.77,-0.23999999999999488
2011-01-07,75.76,75.9,75.05,75.2,648100,63.3,-0.5600000000000023
2011-01-10,75.3,75.7,75.06,75.66,72600,63.69,0.35999999999999943
2011-01-11,76.29,76.37,75.55,75.74,219800,63.75,-0.5500000000000114
2011-01-12,75.72,76.23,75.38,76.23,93200,64.17,0.5100000000000051
2011-01-13,74.54,74.58,73.38,73.45,179100,61.83,-1.0900000000000034
2011-01-14,74.03,75.15,73.93,75.09,119500,63.21,1.0600000000000023
2011-01-18,75.7,76.04,75.3,75.55,167200,63.59,-0.15000000000000568
2011-01-19,75.65,75.72,74.44,74.71,77800,62.89,-0.9400000000000119
2011-01-20,72.93,73.5,72.59,73.4,187000,61.79,0.46999999999999886
2011-01-21,73.12,73.28,72.91,73.28,143000,61.68,0.1599999999999966
2011-01-24,74.76,76.37,74.65,75.79,1099700,63.8,1.0300000000000011
2011-01-25,74.55,75.1,74.29,75.1,96500,63.22,0.5499999999999972
2011-01-26,75.66,76.02,75.3,75.56,83300,63.6,-0.09999999999999432
2011-01-27,75.65,75.97,75.32,75.65,84400,63.68,0.0
2011-01-28,73.85,74.21,72.94,73.4,273100,61.79,-0.44999999999998863
2011-01-31,72.75,74.13,72.75,74.12,156200,62.39,1.3700000000000045
2011-02-01,74.39,75.49,74.36,75.25,594600,63.34,0.8599999999999994
2011-02-02,76.03,76.38,75.82,76.15,329500,64.1,0.12000000000000455
2011-02-03,77.06,77.43,76.75,77.43,854400,65.18,0.37000000000000455
2011-02-04,77.29,77.43,76.84,77.18,433400,64.97,-0.10999999999999943
2011-02-07,78.2,78.89,78.19,78.77,711600,66.31,0.5699999999999932
2011-02-08,78.2,78.57,77.92,78.25,1210400,65.87,0.04999999999999716
2011-02-09,77.7,78.22,77.56,77.96,102800,65.62,0.2599999999999909
2011-02-10,77.42,77.85,76.96,77.8,127500,65.49,0.37999999999999545
2011-02-11,76.79,78.14,76.73,77.99,149800,65.65,1.1999999999999886
2011-02-14,77.8,78.19,77.38,77.52,153900,65.25,-0.28000000000000114
2011-02-15,78.19,78.5,77.85,78.18,290700,65.81,-0.009999999999990905
2011-02-16,78.02,78.33,77.78,78.15,257600,65.78,0.13000000000000966
2011-02-17,78.64,79.4,78.61,79.4,127000,66.84,0.7600000000000051
2011-02-18,80.06,80.58,79.98,80.43,145400,67.7,0.37000000000000455
2011-02-22,78.88,79.81,78.64,78.89,226300,66.41,0.010000000000005116
2011-02-23,79.66,79.77,78.55,79.03,168500,66.52,-0.6299999999999955
2011-02-24,77.86,78.5,77.55,78.15,255100,65.78,0.29000000000000625
2011-02-25,79.61,80.43,79.29,80.25,240700,67.55,0.6400000000000006
2011-02-28,81.04,81.35,80.62,81.13,292000,68.29,0.0899999999999892
2011-03-01,81.21,81.35,80.59,80.87,709400,68.07,-0.3399999999999892
2011-03-02,80.73,81.53,80.56,80.7,135500,67.93,-0.030000000000001137
2011-03-03,81.95,82.28,81.8,82.04,142400,69.06,0.09000000000000341
2011-03-04,81.86,82.03,81.07,81.74,130000,68.81,-0.12000000000000455
2011-03-07,81.67,81.84,80.67,81.1,242200,68.27,-0.5700000000000074
2011-03-08,81.2,81.97,80.79,81.92,303800,68.96,0.7199999999999989
2011-03-09,79.36,80.2,79.16,79.93,463300,69.54,0.5700000000000074
2011-03-10,78.34,78.72,77.95,78.4,279300,68.21,0.060000000000002274
2011-03-11,77.48,78.4,77.32,77.99,130900,67.85,0.5099999999999909
2011-03-14,76.89,77.71,76.89,77.69,196200,67.59,0.7999999999999972
2011-03-15,74.7,76.14,74.5,76.13,488900,66.23,1.4299999999999926
2011-03-16,75.39,75.5,73.48,73.79,491900,64.2,-1.5999999999999943
2011-03-17,74.45,75.82,74.18,75.7,815000,65.86,1.25
2011-03-18,76.38,76.8,76.04,76.35,355300,66.43,-0.030000000000001137
2011-03-21,77.11,77.34,76.85,77.29,383700,67.24,0.18000000000000682
2011-03-22,77.09,77.92,77.09,77.74,326700,67.63,0.6499999999999915
2011-03-23,76.93,78.77,76.75,78.77,313000,68.53,1.8399999999999892
2011-03-24,77.92,78.75,77.73,78.58,287800,68.37,0.6599999999999966
2011-03-25,78.15,78.63,78.0,78.15,368300,67.99,0.0
2011-03-28,78.12,78.22,77.74,78.01,396000,67.87,-0.10999999999999943
2011-03-29,79.44,79.6,78.73,79.56,381000,69.22,0.12000000000000455
2011-03-30,80.61,81.7,80.61,81.69,306900,71.07,1.0799999999999983
2011-03-31,81.71,82.0,80.96,80.99,272200,70.46,-0.7199999999999989
2011-04-01,81.51,82.43,81.14,82.03,345200,71.37,0.519999999999996
2011-04-04,82.85,82.88,82.21,82.6,587000,71.86,-0.25
2011-04-05,83.49,83.8,83.23,83.6,198300,72.73,0.10999999999999943
2011-04-06,83.67,83.93,83.2,83.61,355100,72.74,-0.060000000000002274
2011-04-07,82.35,82.54,81.92,82.29,352500,71.59,-0.05999999999998806
2011-04-08,82.8,82.88,82.27,82.8,129900,72.04,0.0
2011-04-11,82.3,82.55,81.88,81.99,252300,71.33,-0.3100000000000023
2011-04-12,82.34,82.51,81.74,82.0,301200,71.34,-0.3400000000000034
2011-04-13,83.3,83.3,82.64,83.1,152000,72.3,-0.20000000000000284
2011-04-14,83.23,84.0,83.09,83.72,126800,72.84,0.4899999999999949
2011-04-15,84.27,84.53,83.97,84.34,125800,73.38,0.07000000000000739
2011-04-18,83.3,83.3,82.14,82.99,137200,72.2,-0.3100000000000023
2011-04-19,84.07,84.47,83.72,84.41,212600,73.44,0.3400000000000034
2011-04-20,85.9,86.1,85.36,85.56,201900,74.44,-0.3400000000000034
2011-04-21,85.88,86.43,85.52,85.83,164100,74.67,-0.04999999999999716
2011-04-25,86.13,86.49,85.8,86.41,146600,75.18,0.28000000000000114
2011-04-26,86.92,87.53,86.82,87.15,197500,75.82,0.23000000000000398
2011-04-27,87.54,88.4,87.3,88.25,202500,76.78,0.7099999999999937
2011-04-28,87.18,87.96,87.12,87.95,691300,76.52,0.769999999999996
2011-04-29,88.17,88.74,87.7,88.2,195000,76.73,0.030000000000001137
2011-05-02,88.54,88.71,87.95,88.13,74000,76.67,-0.4100000000000108
2011-05-03,87.47,88.7,87.37,87.97,395600,76.53,0.5
2011-05-04,88.13,88.34,87.61,87.96,548000,76.53,-0.1700000000000017
2011-05-05,88.64,88.85,87.7,87.79,221500,76.38,-0.8499999999999943
2011-05-06,88.54,88.89,87.36,87.79,194100,76.38,-0.75
2011-05-09,87.46,87.96,87.01,87.94,96100,76.51,0.480000000000004
2011-05-10,88.75,89.33,88.54,89.32,175500,77.71,0.5699999999999932
2011-05-11,89.63,89.7,88.43,88.92,180800,77.36,-0.7099999999999937
2011-05-12,88.05,88.98,87.83,88.82,117400,77.27,0.769999999999996
2011-05-13,87.96,88.16,87.54,87.99,195100,76.55,0.030000000000001137
2011-05-16,87.11,87.76,86.99,87.45,183000,76.08,0.3400000000000034
2011-05-17,87.01,87.63,86.63,87.19,175600,75.86,0.1799999999999926
2011-05-18,86.98,87.75,86.81,87.56,226200,76.18,0.5799999999999983
