Date,open,high,low,close,volume,adj_close,diff
2011-01-03,16.35,16.56,16.03,16.26,105700,16.26,-0.08999999999999986
2011-01-04,16.14,16.2,15.9,15.97,132200,15.97,-0.16999999999999993
2011-01-05,16.0,16.74,15.99,16.72,62000,16.72,0.7199999999999989
2011-01-06,16.75,16.75,16.34,16.5,47300,16.5,-0.25
2011-01-07,16.5,16.5,15.92,16.06,33000,16.06,-0.4400000000000013
2011-01-10,16.22,16.49,15.62,15.74,41700,15.74,-0.47999999999999865
2011-01-11,16.0,16.06,15.85,16.0,49600,16.0,0.0
2011-01-12,16.06,16.23,15.92,16.03,48800,16.03,-0.029999999999997584
2011-01-13,16.19,16.19,15.95,16.03,47100,16.03,-0.16000000000000014
2011-01-14,15.94,16.0,15.65,15.68,65000,15.68,-0.2599999999999998
2011-01-18,15.67,16.1,15.65,16.01,65100,16.01,0.34000000000000163
2011-01-19,15.92,16.19,15.84,15.98,40600,15.98,0.0600000000000005
2011-01-20,15.91,16.1,15.73,16.04,33800,16.04,0.129999999999999
2011-01-21,16.25,16.25,15.86,16.12,52700,16.12,-0.129999999999999
2011-01-24,16.32,16.33,15.6,15.91,97600,15.91,-0.41000000000000014
2011-01-25,16.0,16.23,15.75,15.87,73200,15.87,-0.13000000000000078
2011-01-26,15.85,16.0,15.81,16.0,53600,16.0,0.15000000000000036
2011-01-27,16.24,16.24,16.0,16.05,58100,16.05,-0.18999999999999773
2011-01-28,16.41,16.47,16.03,16.21,40800,16.21,-0.1999999999999993
2011-01-31,16.43,16.43,15.81,15.97,100700,15.97,-0.4599999999999991
2011-02-01,15.88,16.17,15.88,16.1,109300,16.1,0.22000000000000064
2011-02-02,16.2,17.0,16.1,17.0,108100,17.0,0.8000000000000007
2011-02-03,17.01,18.73,17.01,17.87,154300,17.87,0.8599999999999994
2011-02-04,18.0,18.0,15.66,16.01,297400,16.01,-1.9899999999999984
2011-02-07,16.2,16.33,15.65,15.95,124600,15.95,-0.25
2011-02-08,15.86,16.15,15.76,16.14,118100,16.14,0.28000000000000114
2011-02-09,16.25,16.25,15.88,16.0,58600,16.0,-0.25
2011-02-10,15.9,15.95,15.63,15.8,25400,15.8,-0.09999999999999964
2011-02-11,15.73,15.94,15.66,15.88,26200,15.88,0.15000000000000036
2011-02-14,16.0,17.74,16.0,17.57,180200,17.57,1.5700000000000003
2011-02-15,17.56,17.6,16.63,16.94,69600,16.94,-0.6199999999999974
