Date,open,high,low,close,volume,adj_close,diff
2011-01-03,38.08,39.59,38.03,39.12,270500,36.07,1.0399999999999991
2011-01-04,39.25,39.32,38.38,38.79,240600,35.76,-0.46000000000000085
2011-01-05,38.68,38.8,38.54,38.67,321700,35.65,-0.00999999999999801
2011-01-06,38.76,39.52,38.61,39.37,434900,36.3,0.6099999999999994
2011-01-07,39.43,40.0,38.85,39.48,325600,36.4,0.04999999999999716
2011-01-10,39.34,40.54,38.9,40.15,429100,37.01,0.8099999999999952
2011-01-11,40.17,40.27,39.34,39.66,361700,36.56,-0.5100000000000051
2011-01-12,40.14,41.34,39.95,41.01,273600,37.81,0.8699999999999974
2011-01-13,40.92,41.43,40.83,41.38,322000,38.15,0.46000000000000085
2011-01-14,41.37,41.99,41.0,41.77,338900,38.51,0.4000000000000057
2011-01-18,41.84,42.43,41.79,42.43,452000,39.12,0.5899999999999963
2011-01-19,42.44,42.68,41.5,41.72,706500,38.46,-0.7199999999999989
2011-01-20,41.7,41.7,40.38,40.52,267200,37.36,-1.1799999999999997
2011-01-21,40.87,41.09,40.55,40.61,216400,37.44,-0.259999999999998
2011-01-24,40.72,41.2,40.46,40.98,292900,37.78,0.259999999999998
2011-01-25,40.85,41.6,40.78,41.54,374500,38.3,0.6899999999999977
2011-01-26,41.12,46.57,41.12,43.95,1500500,40.52,2.8300000000000054
2011-01-27,43.82,44.58,42.95,43.52,728100,40.12,-0.29999999999999716
2011-01-28,43.61,43.79,42.31,42.37,371100,39.06,-1.240000000000002
2011-01-31,41.5,43.83,41.49,43.25,531300,39.87,1.75
2011-02-01,43.69,44.91,43.64,44.86,474100,41.36,1.1700000000000017
2011-02-02,45.0,45.0,44.02,44.26,356600,40.8,-0.740000000000002
2011-02-03,44.19,44.27,43.54,43.99,227200,40.55,-0.19999999999999574
2011-02-04,44.1,44.2,43.56,43.88,298200,40.45,-0.21999999999999886
2011-02-07,44.01,44.42,43.83,44.17,358200,40.72,0.1600000000000037
2011-02-08,44.16,44.41,43.88,44.2,259700,40.75,0.04000000000000625
2011-02-09,44.04,44.12,43.57,43.69,385300,40.28,-0.3500000000000014
2011-02-10,43.54,44.45,43.53,44.18,399000,40.73,0.6400000000000006
2011-02-11,44.07,44.39,43.88,43.98,349000,40.55,-0.09000000000000341
2011-02-14,43.98,44.82,43.89,44.52,266600,41.04,0.5400000000000063
2011-02-15,44.37,44.37,43.92,44.09,197600,40.65,-0.27999999999999403
2011-02-16,44.33,44.79,44.25,44.39,421500,40.92,0.060000000000002274
2011-02-17,44.31,45.24,44.07,45.22,267000,41.69,0.9099999999999966
2011-02-18,45.46,45.46,44.79,45.35,291800,41.81,-0.10999999999999943
