Date,open,high,low,close,volume,adj_close,diff
2011-01-03,34.4,34.4,34.4,34.4,0,29.05,0.0
2011-01-04,34.4,34.4,34.4,34.4,0,29.05,0.0
2011-01-05,34.4,34.4,34.4,34.4,0,29.05,0.0
2011-01-06,34.4,34.4,34.4,34.4,0,29.05,0.0
2011-01-07,35.2,35.2,35.2,35.2,200,29.73,0.0
2011-01-10,35.7,46.8,35.0,36.75,1600,31.4,1.0499999999999972
2011-01-11,36.0,36.34,34.26,34.26,1400,29.27,-1.740000000000002
2011-01-12,34.26,34.26,34.26,34.26,0,29.27,0.0
2011-01-13,34.26,34.26,34.26,34.26,0,29.27,0.0
2011-01-14,35.5,35.5,35.5,35.5,100,30.33,0.0
2011-01-18,35.5,35.5,35.5,35.5,0,30.33,0.0
2011-01-19,35.5,35.5,35.5,35.5,0,30.33,0.0
2011-01-20,35.5,35.5,35.5,35.5,0,30.33,0.0
2011-01-21,35.18,35.25,33.51,34.43,500,29.42,-0.75
2011-01-24,36.25,36.25,35.5,35.5,800,30.33,-0.75
2011-01-25,35.5,35.5,35.5,35.5,0,30.33,0.0
2011-01-26,35.5,35.5,35.5,35.5,400,30.33,0.0
2011-01-27,34.25,34.25,34.0,34.0,800,29.05,-0.25
2011-01-28,34.0,34.0,34.0,34.0,0,29.05,0.0
2011-01-31,35.25,35.25,34.5,34.5,300,29.48,-0.75
2011-02-01,34.5,34.5,34.5,34.5,0,29.48,0.0
2011-02-02,34.5,34.5,34.5,34.5,0,29.48,0.0
2011-02-03,35.0,35.0,35.0,35.0,100,29.9,0.0
2011-02-04,35.0,35.0,35.0,35.0,0,29.9,0.0
2011-02-07,35.0,35.0,35.0,35.0,0,29.9,0.0
2011-02-08,36.0,36.75,36.0,36.0,300,30.76,0.0
2011-02-09,36.0,36.0,36.0,36.0,0,30.76,0.0
2011-02-10,35.5,37.0,35.5,37.0,2400,31.61,1.5
2011-02-11,37.0,37.47,36.25,36.49,3100,31.18,-0.509999999999998
2011-02-14,36.26,36.26,36.25,36.25,1800,30.97,-0.00999999999999801
2011-02-15,35.75,35.75,35.75,35.75,200,30.55,0.0
2011-02-16,36.98,38.0,35.0,35.0,9400,29.9,-1.9799999999999969
2011-02-17,35.0,35.0,35.0,35.0,0,29.9,0.0
2011-02-18,35.0,35.0,35.0,35.0,0,29.9,0.0
2011-02-22,35.0,35.0,35.0,35.0,0,29.9,0.0
2011-02-23,35.0,35.0,35.0,35.0,0,29.9,0.0
2011-02-24,35.0,35.0,35.0,35.0,0,29.9,0.0
2011-02-25,35.0,36.0,35.0,36.0,400,30.76,1.0
2011-02-28,35.58,35.58,34.26,34.26,300,29.27,-1.3200000000000003
2011-03-01,34.26,34.26,34.26,34.26,0,29.27,0.0
2011-03-02,34.26,34.26,34.26,34.26,0,29.27,0.0
2011-03-03,34.26,34.26,34.26,34.26,0,29.27,0.0
2011-03-04,34.26,34.26,34.26,34.26,0,29.27,0.0
2011-03-07,33.51,34.0,33.51,34.0,200,29.05,0.490000000000002
2011-03-08,34.0,34.0,34.0,34.0,0,29.05,0.0
2011-03-09,34.0,34.0,34.0,34.0,100,29.05,0.0
2011-03-10,34.0,34.0,34.0,34.0,0,29.05,0.0
2011-03-11,34.0,34.0,34.0,34.0,0,29.05,0.0
2011-03-14,34.0,34.0,34.0,34.0,0,29.05,0.0
2011-03-15,34.0,34.0,34.0,34.0,0,29.05,0.0
2011-03-16,34.0,34.0,34.0,34.0,0,29.05,0.0
2011-03-17,34.0,34.0,34.0,34.0,0,29.05,0.0
2011-03-18,34.0,34.0,34.0,34.0,0,29.05,0.0
2011-03-21,34.4,34.4,34.4,34.4,100,29.39,0.0
2011-03-22,34.4,34.4,34.4,34.4,0,29.39,0.0
2011-03-23,34.4,34.4,34.4,34.4,0,29.39,0.0
2011-03-24,33.75,33.75,33.75,33.75,100,28.84,0.0
2011-03-25,33.75,33.75,33.75,33.75,0,28.84,0.0
2011-03-28,34.0,34.0,34.0,34.0,100,29.05,0.0
2011-03-29,33.49,33.49,33.25,33.25,700,28.41,-0.240000000000002
2011-03-30,33.75,33.75,33.75,33.75,100,28.84,0.0
2011-03-31,33.75,33.75,33.75,33.75,0,28.84,0.0
2011-04-01,33.75,33.75,33.75,33.75,0,28.84,0.0
2011-04-04,33.75,33.75,33.75,33.75,0,28.84,0.0
2011-04-05,33.75,33.75,33.75,33.75,0,28.84,0.0
2011-04-06,33.75,33.75,33.75,33.75,0,28.84,0.0
2011-04-07,33.75,33.75,33.75,33.75,0,29.19,0.0
2011-04-08,33.75,33.75,33.75,33.75,0,29.19,0.0
2011-04-11,33.75,33.75,33.75,33.75,0,29.19,0.0
2011-04-12,33.75,33.75,33.75,33.75,0,29.19,0.0
2011-04-13,33.75,33.75,33.75,33.75,0,29.19,0.0
2011-04-14,33.75,33.75,33.75,33.75,0,29.19,0.0
2011-04-15,33.24,33.24,33.24,33.24,100,28.75,0.0
2011-04-18,33.24,33.24,33.24,33.24,0,28.75,0.0
2011-04-19,33.24,33.24,33.24,33.24,0,28.75,0.0
2011-04-20,33.24,33.24,33.24,33.24,0,28.75,0.0
2011-04-21,33.24,33.24,33.24,33.24,0,28.75,0.0
2011-04-25,34.2,34.9,33.25,33.25,2000,28.76,-0.9500000000000028
2011-04-26,33.25,33.25,33.25,33.25,0,28.76,0.0
2011-04-27,33.25,33.25,33.25,33.25,0,28.76,0.0
2011-04-28,33.25,33.25,33.25,33.25,0,28.76,0.0
2011-04-29,33.25,33.25,33.25,33.25,0,28.76,0.0
2011-05-02,33.25,33.25,33.25,33.25,0,28.76,0.0
2011-05-03,33.25,33.25,33.25,33.25,0,28.76,0.0
2011-05-04,33.75,33.75,33.75,33.75,200,29.19,0.0
2011-05-05,33.75,33.75,33.75,33.75,0,29.19,0.0
2011-05-06,33.75,33.75,33.75,33.75,0,29.19,0.0
2011-05-09,33.75,33.75,33.75,33.75,0,29.19,0.0
2011-05-10,33.75,33.75,33.75,33.75,0,29.19,0.0
2011-05-11,33.09,33.09,32.84,32.84,1400,28.4,-0.25
2011-05-12,32.68,33.39,32.2,33.3,1800,28.8,0.6199999999999974
2011-05-13,33.3,33.3,33.3,33.3,0,28.8,0.0
2011-05-16,33.3,33.3,33.3,33.3,0,28.8,0.0
2011-05-17,33.4,33.4,33.4,33.4,100,28.89,0.0
2011-05-18,33.4,33.4,33.4,33.4,0,28.89,0.0
2011-05-19,33.4,33.4,33.4,33.4,0,28.89,0.0
2011-05-20,33.4,33.4,33.4,33.4,0,28.89,0.0
2011-05-23,34.0,34.0,34.0,34.0,100,29.4,0.0
2011-05-24,34.0,34.0,34.0,34.0,0,29.4,0.0
2011-05-25,34.0,34.0,34.0,34.0,0,29.4,0.0
2011-05-26,34.0,34.0,34.0,34.0,0,29.4,0.0
2011-05-27,34.0,34.0,34.0,34.0,300,29.4,0.0
2011-05-31,34.0,34.0,34.0,34.0,0,29.4,0.0
2011-06-01,34.5,35.0,34.5,35.0,30100,30.27,0.5
2011-06-02,35.0,35.0,35.0,35.0,0,30.27,0.0
2011-06-03,35.95,35.95,35.76,35.76,300,30.93,-0.19000000000000483
2011-06-06,35.76,35.76,35.76,35.76,0,30.93,0.0
2011-06-07,35.89,35.89,35.85,35.85,200,31.0,-0.03999999999999915
2011-06-08,36.6,36.6,36.6,36.6,100,31.65,0.0
2011-06-09,36.6,36.6,36.6,36.6,0,31.65,0.0
2011-06-10,36.6,36.6,36.6,36.6,0,31.65,0.0
2011-06-13,36.73,36.73,36.73,36.73,200,31.77,0.0
2011-06-14,36.75,36.75,36.75,36.75,200,31.78,0.0
2011-06-15,36.75,36.75,36.75,36.75,0,31.78,0.0
2011-06-16,36.75,36.75,36.75,36.75,0,31.78,0.0
