Date,open,high,low,close,volume,adj_close,diff
2011-01-03,39.93,40.0,39.25,39.78,518200,17.58,-0.14999999999999858
2011-01-04,39.78,39.85,39.35,39.37,408500,17.4,-0.4100000000000037
2011-01-05,39.4,39.98,39.38,39.96,384000,17.66,0.5600000000000023
2011-01-06,39.97,40.0,39.56,39.7,398600,17.54,-0.269999999999996
2011-01-07,39.87,40.0,39.79,40.0,300300,17.68,0.13000000000000256
2011-01-10,40.0,40.35,39.86,40.35,381700,17.83,0.3500000000000014
2011-01-11,40.5,40.76,40.38,40.76,429900,18.01,0.259999999999998
2011-01-12,41.34,41.41,40.79,41.28,811600,18.24,-0.060000000000002274
2011-01-13,41.08,41.47,41.08,41.35,444500,18.27,0.2700000000000031
2011-01-14,41.45,41.75,41.25,41.63,410900,18.4,0.17999999999999972
2011-01-18,41.3,41.84,41.16,41.44,435500,18.31,0.14000000000000057
2011-01-19,41.5,41.5,40.43,40.69,568300,17.98,-0.8100000000000023
2011-01-20,40.6,40.61,39.41,40.16,920300,17.75,-0.44000000000000483
2011-01-21,40.2,40.5,39.9,40.0,563000,17.68,-0.20000000000000284
2011-01-24,40.33,40.55,40.03,40.38,595300,17.85,0.05000000000000426
2011-01-25,40.49,40.49,40.01,40.16,383000,17.75,-0.3300000000000054
2011-01-26,40.2,40.38,40.08,40.37,390700,17.84,0.1699999999999946
2011-01-27,40.45,41.0,40.41,40.81,460800,18.04,0.35999999999999943
2011-01-28,40.63,40.89,40.4,40.53,383700,17.91,-0.10000000000000142
2011-01-31,40.63,40.97,40.55,40.92,381800,18.08,0.28999999999999915
2011-02-01,41.34,41.7,41.11,41.7,669600,18.43,0.35999999999999943
2011-02-02,41.88,42.75,41.88,42.03,1225700,18.57,0.14999999999999858
2011-02-03,42.13,42.14,41.41,41.82,840500,18.8,-0.3100000000000023
2011-02-04,41.9,41.99,41.23,41.52,528400,18.66,-0.37999999999999545
2011-02-07,42.09,42.09,41.23,41.31,531300,18.57,-0.7800000000000011
2011-02-08,41.41,41.77,41.21,41.48,536500,18.64,0.07000000000000028
2011-02-09,41.5,41.69,41.45,41.56,318500,18.68,0.060000000000002274
