Date,open,high,low,close,volume,adj_close,diff
2011-01-03,21.47,21.71,21.3,21.4,91300,14.68,-0.07000000000000028
2011-01-04,21.45,21.71,21.42,21.66,84000,14.86,0.21000000000000085
2011-01-05,21.66,21.96,21.5,21.75,99200,14.92,0.08999999999999986
2011-01-06,21.9,21.92,21.62,21.81,56300,14.96,-0.08999999999999986
2011-01-07,21.82,21.93,21.56,21.85,48100,14.99,0.030000000000001137
2011-01-10,21.8,22.59,21.8,22.47,178200,15.41,0.6699999999999982
2011-01-11,22.19,22.99,22.19,22.69,175500,15.56,0.5
2011-01-12,22.77,22.99,22.6,22.9,105000,15.71,0.129999999999999
2011-01-13,22.9,23.42,22.79,23.1,180200,15.84,0.20000000000000284
2011-01-14,23.29,24.18,23.2,24.09,306900,16.52,0.8000000000000007
2011-01-18,24.47,24.47,23.8,23.99,139800,16.45,-0.4800000000000004
2011-01-19,24.03,24.24,23.34,23.56,102400,16.16,-0.4700000000000024
2011-01-20,23.66,23.66,23.0,23.21,120100,15.92,-0.4499999999999993
2011-01-21,23.38,23.9,23.25,23.53,118800,16.14,0.15000000000000213
2011-01-24,23.74,24.04,23.73,23.95,148500,16.43,0.21000000000000085
2011-01-25,23.95,24.09,23.76,23.98,92100,16.45,0.030000000000001137
2011-01-26,24.02,24.42,23.9,24.31,225000,16.67,0.28999999999999915
2011-01-27,24.35,24.46,24.13,24.24,107700,16.62,-0.11000000000000298
2011-01-28,24.24,24.34,24.05,24.32,136200,16.68,0.08000000000000185
2011-01-31,24.4,24.71,24.22,24.67,162800,16.92,0.2700000000000031
2011-02-01,24.71,24.95,24.6,24.72,227500,16.95,0.00999999999999801
2011-02-02,23.72,24.0,23.72,23.98,141600,16.77,0.26000000000000156
2011-02-03,24.17,24.17,23.59,23.96,74900,16.75,-0.21000000000000085
2011-02-04,23.95,24.04,23.79,23.94,73000,16.74,-0.00999999999999801
2011-02-07,23.9,24.22,23.8,23.83,78900,16.66,-0.07000000000000028
2011-02-08,23.93,23.93,23.23,23.51,113500,16.44,-0.41999999999999815
2011-02-09,23.23,23.4,22.65,22.92,132000,16.02,-0.3099999999999987
2011-02-10,22.81,22.96,22.63,22.69,76900,15.86,-0.11999999999999744
2011-02-11,22.7,23.14,22.5,22.7,100700,15.87,0.0
2011-02-14,23.08,23.15,22.71,23.12,84200,16.16,0.0400000000000027
2011-02-15,23.15,23.26,22.88,23.06,87500,16.12,-0.08999999999999986
2011-02-16,23.37,23.55,22.86,23.27,124000,16.27,-0.10000000000000142
2011-02-17,23.32,23.95,23.3,23.88,113100,16.7,0.5599999999999987
2011-02-18,23.7,24.0,23.7,23.83,98400,16.66,0.129999999999999
2011-02-22,23.7,23.76,22.98,23.02,148900,16.09,-0.6799999999999997
2011-02-23,22.99,23.34,22.5,22.55,126000,15.77,-0.4399999999999977
2011-02-24,21.0,21.2,20.75,20.96,3782400,14.65,-0.03999999999999915
2011-02-25,21.05,21.18,20.92,21.12,1026100,14.77,0.07000000000000028
2011-02-28,21.3,21.3,21.01,21.15,289400,14.79,-0.15000000000000213
2011-03-01,21.12,21.15,20.8,20.91,345900,14.62,-0.21000000000000085
2011-03-02,21.0,21.06,20.83,20.96,194300,14.65,-0.03999999999999915
2011-03-03,21.09,21.15,20.92,21.11,194100,14.76,0.019999999999999574
2011-03-04,21.1,21.15,21.05,21.15,208800,14.79,0.04999999999999716
2011-03-07,21.15,21.21,21.06,21.13,213000,14.77,-0.019999999999999574
2011-03-08,21.25,21.29,21.09,21.12,167800,14.77,-0.129999999999999
2011-03-09,21.18,21.19,20.75,20.77,304400,14.52,-0.41000000000000014
2011-03-10,20.88,20.88,19.81,20.44,387400,14.29,-0.4399999999999977
2011-03-11,20.6,20.83,20.46,20.7,156700,14.47,0.09999999999999787
2011-03-14,20.64,20.84,20.52,20.69,109500,14.47,0.05000000000000071
2011-03-15,20.5,20.51,20.26,20.38,216700,14.25,-0.120000000000001
2011-03-16,20.5,20.68,20.13,20.25,217900,14.16,-0.25
2011-03-17,20.44,20.49,20.19,20.38,258400,14.25,-0.060000000000002274
2011-03-18,20.07,20.41,20.0,20.29,735900,14.19,0.21999999999999886
2011-03-21,20.84,20.91,20.3,20.7,330600,14.47,-0.14000000000000057
2011-03-22,20.95,21.2,20.75,21.04,171800,14.71,0.08999999999999986
2011-03-23,21.1,21.3,20.95,21.22,90400,14.84,0.11999999999999744
2011-03-24,21.29,21.45,21.17,21.33,150000,14.91,0.03999999999999915
2011-03-25,21.4,21.45,21.24,21.27,81400,14.87,-0.129999999999999
2011-03-28,21.33,21.49,21.15,21.27,176700,14.87,-0.05999999999999872
2011-03-29,21.3,21.37,21.02,21.12,117000,14.77,-0.17999999999999972
2011-03-30,21.19,21.44,20.9,21.37,148700,14.94,0.17999999999999972
2011-03-31,21.39,21.4,21.13,21.25,117200,14.86,-0.14000000000000057
2011-04-01,21.48,21.49,21.09,21.13,211600,14.77,-0.3500000000000014
2011-04-04,21.44,21.67,21.11,21.39,335700,14.95,-0.05000000000000071
2011-04-05,21.3,21.56,21.3,21.39,100600,14.95,0.08999999999999986
2011-04-06,21.42,21.53,20.96,21.21,120000,14.83,-0.21000000000000085
2011-04-07,21.17,21.38,21.08,21.09,48200,14.74,-0.08000000000000185
2011-04-08,21.1,21.57,21.01,21.45,209700,15.0,0.34999999999999787
2011-04-11,21.6,21.6,21.12,21.16,205200,14.79,-0.4400000000000013
2011-04-12,21.17,21.49,20.42,20.7,281900,14.47,-0.4700000000000024
2011-04-13,20.83,21.53,20.83,21.23,186800,14.84,0.40000000000000213
2011-04-14,21.2,21.52,21.08,21.48,179100,15.02,0.28000000000000114
2011-04-15,21.5,22.18,21.5,22.15,304300,15.49,0.6499999999999986
2011-04-18,22.15,22.45,21.69,22.11,280100,15.46,-0.03999999999999915
2011-04-19,22.18,22.76,21.91,22.41,300000,15.67,0.23000000000000043
2011-04-20,22.6,22.9,22.47,22.88,308300,16.0,0.2799999999999976
2011-04-21,22.95,23.41,22.85,23.09,251100,16.14,0.14000000000000057
2011-04-25,23.28,23.55,23.13,23.43,374800,16.38,0.14999999999999858
2011-04-26,23.52,23.75,22.87,22.96,403700,16.05,-0.5599999999999987
2011-04-27,22.98,23.39,22.8,23.28,281500,16.28,0.3000000000000007
2011-04-28,23.3,23.45,22.9,22.91,439500,16.02,-0.39000000000000057
