Date,open,high,low,close,volume,adj_close,diff
2011-01-03,6.05,6.19,5.84,6.13,55800,6.13,0.08000000000000007
2011-01-04,6.15,6.24,5.95,6.12,50100,6.12,-0.03000000000000025
2011-01-05,6.13,6.13,5.98,6.07,37400,6.07,-0.05999999999999961
2011-01-06,6.04,6.04,5.95,6.01,32400,6.01,-0.03000000000000025
2011-01-07,6.0,6.0,5.81,5.84,47000,5.84,-0.16000000000000014
2011-01-10,5.83,5.83,5.59,5.67,93200,5.67,-0.16000000000000014
2011-01-11,5.7,5.78,5.57,5.6,41900,5.6,-0.10000000000000053
2011-01-12,5.64,5.79,5.59,5.7,48100,5.7,0.0600000000000005
2011-01-13,5.72,5.77,5.63,5.67,93000,5.67,-0.04999999999999982
2011-01-14,6.87,7.49,6.55,6.72,1988000,6.72,-0.15000000000000036
2011-01-18,6.77,6.84,6.32,6.75,360200,6.75,-0.019999999999999574
2011-01-19,6.86,6.86,6.5,6.52,101700,6.52,-0.34000000000000075
2011-01-20,6.46,6.49,6.24,6.3,133600,6.3,-0.16000000000000014
2011-01-21,6.34,6.36,6.16,6.17,69000,6.17,-0.16999999999999993
2011-01-24,6.15,6.16,5.95,6.05,223400,6.05,-0.10000000000000053
2011-01-25,5.99,6.1,5.88,6.08,92800,6.08,0.08999999999999986
2011-01-26,6.1,6.27,6.06,6.22,32600,6.22,0.1200000000000001
2011-01-27,6.33,6.41,6.22,6.25,61900,6.25,-0.08000000000000007
2011-01-28,6.22,6.23,5.97,6.05,67500,6.05,-0.16999999999999993
2011-01-31,6.12,6.21,6.05,6.2,40400,6.2,0.08000000000000007
2011-02-01,6.26,6.34,6.15,6.2,65800,6.2,-0.05999999999999961
2011-02-02,6.15,6.29,6.14,6.18,47500,6.18,0.02999999999999936
2011-02-03,6.17,6.33,6.08,6.11,31100,6.11,-0.05999999999999961
2011-02-04,6.1,6.21,6.04,6.13,28100,6.13,0.03000000000000025
2011-02-07,6.14,6.22,6.1,6.13,35000,6.13,-0.009999999999999787
2011-02-08,6.15,6.25,6.12,6.24,32300,6.24,0.08999999999999986
2011-02-09,6.19,6.35,6.16,6.24,28800,6.24,0.04999999999999982
2011-02-10,6.22,6.26,6.06,6.26,28000,6.26,0.040000000000000036
2011-02-11,6.21,6.37,6.17,6.24,32100,6.24,0.03000000000000025
2011-02-14,6.26,6.4,6.25,6.26,22600,6.26,0.0
2011-02-15,6.21,6.27,6.13,6.22,44500,6.22,0.009999999999999787
2011-02-16,6.24,6.39,6.24,6.38,40200,6.38,0.13999999999999968
2011-02-17,6.4,6.4,6.25,6.3,27300,6.3,-0.10000000000000053
2011-02-18,6.33,6.4,6.21,6.3,27500,6.3,-0.03000000000000025
2011-02-22,6.22,6.27,5.98,5.98,63800,5.98,-0.23999999999999932
2011-02-23,6.01,6.05,5.66,5.76,117400,5.76,-0.25
2011-02-24,5.78,5.97,5.7,5.95,49600,5.95,0.16999999999999993
2011-02-25,5.95,6.19,5.91,6.19,33300,6.19,0.2400000000000002
2011-02-28,6.26,6.26,6.09,6.12,23500,6.12,-0.13999999999999968
2011-03-01,6.12,6.15,5.71,5.75,85600,5.75,-0.3700000000000001
2011-03-02,5.77,5.77,5.53,5.59,55300,5.59,-0.17999999999999972
2011-03-03,5.67,5.88,5.57,5.83,65000,5.83,0.16000000000000014
2011-03-04,5.81,5.87,5.67,5.71,13100,5.71,-0.09999999999999964
2011-03-07,5.91,5.99,5.61,5.79,107900,5.79,-0.1200000000000001
2011-03-08,5.83,6.25,5.83,6.24,39100,6.24,0.41000000000000014
2011-03-09,6.05,6.05,5.43,5.52,182500,5.52,-0.5300000000000002
2011-03-10,5.45,5.63,5.23,5.25,142500,5.25,-0.20000000000000018
2011-03-11,5.23,5.37,5.13,5.16,86300,5.16,-0.07000000000000028
2011-03-14,5.11,5.26,5.11,5.19,157900,5.19,0.08000000000000007
2011-03-15,5.05,5.23,5.05,5.07,76600,5.07,0.020000000000000462
2011-03-16,5.08,5.14,4.95,4.96,100200,4.96,-0.1200000000000001
2011-03-17,5.09,5.1,4.96,4.98,135200,4.98,-0.10999999999999943
2011-03-18,5.0,5.05,4.9,4.98,138400,4.98,-0.019999999999999574
2011-03-21,5.05,5.23,5.03,5.22,63800,5.22,0.16999999999999993
2011-03-22,5.24,5.38,5.21,5.21,56300,5.21,-0.03000000000000025
2011-03-23,5.25,5.38,5.22,5.25,37900,5.25,0.0
2011-03-24,5.26,5.32,5.2,5.28,62100,5.28,0.020000000000000462
2011-03-25,5.3,5.43,5.25,5.31,45700,5.31,0.009999999999999787
2011-03-28,5.37,5.42,5.36,5.39,17700,5.39,0.019999999999999574
2011-03-29,5.37,5.54,5.34,5.45,55500,5.45,0.08000000000000007
2011-03-30,5.49,5.58,5.46,5.49,81300,5.49,0.0
2011-03-31,5.5,5.55,5.46,5.53,30100,5.53,0.03000000000000025
2011-04-01,5.58,5.58,5.44,5.49,47400,5.49,-0.08999999999999986
2011-04-04,5.53,5.53,5.43,5.46,18800,5.46,-0.07000000000000028
2011-04-05,5.43,5.43,5.2,5.22,134700,5.22,-0.20999999999999996
2011-04-06,5.28,5.32,5.2,5.26,39800,5.26,-0.020000000000000462
2011-04-07,5.29,5.38,5.2,5.24,78800,5.24,-0.04999999999999982
2011-04-08,5.29,5.3,5.19,5.19,47200,5.19,-0.09999999999999964
2011-04-11,5.18,5.32,5.14,5.15,72400,5.15,-0.02999999999999936
2011-04-12,5.12,5.33,5.12,5.16,48800,5.16,0.040000000000000036
2011-04-13,5.21,5.26,5.14,5.19,92300,5.19,-0.019999999999999574
2011-04-14,5.15,5.25,5.15,5.18,52100,5.18,0.02999999999999936
2011-04-15,5.17,5.24,5.17,5.24,86800,5.24,0.07000000000000028
2011-04-18,5.15,5.24,5.13,5.15,63100,5.15,0.0
2011-04-19,5.19,5.21,5.1,5.1,66900,5.1,-0.09000000000000075
2011-04-20,5.21,5.21,5.09,5.12,75300,5.12,-0.08999999999999986
2011-04-21,5.18,5.26,5.0,5.16,281300,5.16,-0.019999999999999574
