Date,open,high,low,close,volume,adj_close,diff
2011-01-03,0.98,0.98,0.82,0.91,13900,3.64,-0.06999999999999995
2011-01-04,0.9,0.93,0.9,0.92,1500,3.68,0.020000000000000018
2011-01-05,0.83,0.99,0.83,0.99,14200,3.96,0.16000000000000003
2011-01-06,0.95,0.99,0.95,0.96,1600,3.84,0.010000000000000009
2011-01-07,0.98,1.02,0.98,1.02,62900,4.08,0.040000000000000036
2011-01-10,1.0,1.04,1.0,1.04,35100,4.16,0.040000000000000036
2011-01-11,1.01,1.06,1.0,1.06,30800,4.24,0.050000000000000044
2011-01-12,1.06,1.06,1.03,1.03,97500,4.12,-0.030000000000000027
2011-01-13,1.0,1.05,0.95,1.03,4600,4.12,0.030000000000000027
2011-01-14,1.03,1.03,1.03,1.03,100,4.12,0.0
2011-01-18,1.0,1.05,1.0,1.05,2000,4.2,0.050000000000000044
2011-01-19,1.0,1.05,0.93,1.01,3700,4.04,0.010000000000000009
2011-01-20,0.96,1.01,0.96,1.0,14700,4.0,0.040000000000000036
2011-01-21,0.96,1.03,0.96,1.02,20900,4.08,0.06000000000000005
2011-01-24,1.0,1.03,1.0,1.03,10300,4.12,0.030000000000000027
2011-01-25,0.93,1.02,0.93,1.0,8200,4.0,0.06999999999999995
2011-01-26,0.95,1.01,0.95,1.0,2400,4.0,0.050000000000000044
2011-01-27,0.93,1.02,0.93,1.02,3000,4.08,0.08999999999999997
2011-01-28,1.0,1.05,0.99,1.02,255000,4.08,0.020000000000000018
2011-01-31,0.93,1.03,0.93,1.0,5700,4.0,0.06999999999999995
2011-02-01,0.99,1.0,0.9,1.0,16100,4.0,0.010000000000000009
2011-02-02,0.99,0.99,0.96,0.98,6500,3.92,-0.010000000000000009
2011-02-03,0.97,1.0,0.97,1.0,22000,4.0,0.030000000000000027
2011-02-04,1.0,1.01,0.97,1.01,11200,4.04,0.010000000000000009
2011-02-07,0.98,1.01,0.97,1.0,19900,4.0,0.020000000000000018
2011-02-08,0.96,1.0,0.95,0.95,11200,3.8,-0.010000000000000009
2011-02-09,0.96,1.0,0.88,0.99,23400,3.96,0.030000000000000027
2011-02-10,0.99,0.99,0.99,0.99,200,3.96,0.0
