Date,open,high,low,close,volume,adj_close,diff
2011-01-03,2.55,2.6,2.55,2.6,6500,2.6,0.050000000000000266
2011-01-04,2.6,2.6,2.6,2.6,0,2.6,0.0
2011-01-05,2.59,2.6,2.52,2.52,7100,2.52,-0.06999999999999984
2011-01-06,2.48,2.6,2.44,2.5,16600,2.5,0.020000000000000018
2011-01-07,2.51,2.51,2.5,2.5,3000,2.5,-0.009999999999999787
2011-01-10,2.5,2.6,2.5,2.55,700,2.55,0.04999999999999982
2011-01-11,2.59,2.6,2.51,2.51,1100,2.51,-0.08000000000000007
2011-01-12,2.51,2.51,2.51,2.51,0,2.51,0.0
2011-01-13,2.51,2.51,2.51,2.51,0,2.51,0.0
2011-01-14,2.51,2.51,2.51,2.51,0,2.51,0.0
2011-01-18,2.5,2.5,2.5,2.5,400,2.5,0.0
2011-01-19,2.5,2.5,2.5,2.5,0,2.5,0.0
2011-01-20,2.5,2.51,2.5,2.51,2500,2.51,0.009999999999999787
2011-01-21,2.5,2.6,2.49,2.55,9300,2.55,0.04999999999999982
2011-01-24,2.5,2.6,2.5,2.6,18000,2.6,0.10000000000000009
2011-01-25,2.5,2.5,2.47,2.5,12800,2.5,0.0
2011-01-26,2.44,2.6,2.44,2.6,11400,2.6,0.16000000000000014
2011-01-27,2.57,2.61,2.57,2.61,15100,2.61,0.040000000000000036
2011-01-28,2.6,2.6,2.54,2.55,12800,2.55,-0.050000000000000266
2011-01-31,2.55,2.6,2.53,2.53,25600,2.53,-0.020000000000000018
2011-02-01,2.57,2.58,2.55,2.55,19300,2.55,-0.020000000000000018
2011-02-02,2.56,2.57,2.55,2.55,2800,2.55,-0.010000000000000231
2011-02-03,2.57,2.57,2.55,2.56,6100,2.56,-0.009999999999999787
2011-02-04,2.41,2.55,2.41,2.53,10100,2.53,0.11999999999999966
2011-02-07,2.52,2.57,2.52,2.55,7800,2.55,0.029999999999999805
2011-02-08,2.56,2.56,2.53,2.53,3100,2.53,-0.03000000000000025
2011-02-09,2.53,2.58,2.52,2.58,7900,2.58,0.050000000000000266
2011-02-10,2.55,2.6,2.53,2.53,8200,2.53,-0.020000000000000018
2011-02-11,2.55,2.6,2.54,2.6,2700,2.6,0.050000000000000266
2011-02-14,2.56,2.56,2.54,2.55,8900,2.55,-0.010000000000000231
2011-02-15,2.55,2.55,2.52,2.53,2900,2.53,-0.020000000000000018
2011-02-16,2.54,2.54,2.51,2.52,6400,2.52,-0.020000000000000018
2011-02-17,2.55,2.55,2.51,2.54,3700,2.54,-0.009999999999999787
2011-02-18,2.52,2.55,2.38,2.52,18200,2.52,0.0
2011-02-22,2.38,2.48,2.37,2.48,900,2.48,0.10000000000000009
2011-02-23,2.48,2.48,2.48,2.48,0,2.48,0.0
2011-02-24,2.42,2.47,2.42,2.47,1300,2.47,0.050000000000000266
2011-02-25,2.47,2.47,2.47,2.47,0,2.47,0.0
2011-02-28,2.47,2.54,2.44,2.48,1100,2.48,0.009999999999999787
2011-03-01,2.49,2.49,2.47,2.47,400,2.47,-0.020000000000000018
2011-03-02,2.47,2.47,2.47,2.47,0,2.47,0.0
2011-03-03,2.49,2.55,2.45,2.54,6100,2.54,0.04999999999999982
2011-03-04,2.5,2.55,2.5,2.5,4100,2.5,0.0
2011-03-07,2.5,2.51,2.45,2.51,4400,2.51,0.009999999999999787
2011-03-08,2.5,2.54,2.41,2.5,9600,2.5,0.0
2011-03-09,2.5,2.5,2.43,2.43,1600,2.43,-0.06999999999999984
2011-03-10,2.43,2.43,2.43,2.43,0,2.43,0.0
2011-03-11,2.43,2.43,2.4,2.4,1200,2.4,-0.03000000000000025
2011-03-14,2.4,2.4,2.26,2.28,21600,2.28,-0.1200000000000001
2011-03-15,2.26,2.32,2.2,2.32,13400,2.32,0.06000000000000005
2011-03-16,2.31,2.35,2.31,2.35,1300,2.35,0.040000000000000036
2011-03-17,2.35,2.41,2.35,2.41,400,2.41,0.06000000000000005
2011-03-18,2.35,2.5,2.35,2.45,700,2.45,0.10000000000000009
2011-03-21,2.46,2.46,2.35,2.35,300,2.35,-0.10999999999999988
2011-03-22,2.35,2.47,2.35,2.45,400,2.45,0.10000000000000009
2011-03-23,2.45,2.45,2.45,2.45,0,2.45,0.0
2011-03-24,2.39,2.39,2.39,2.39,2300,2.39,0.0
2011-03-25,2.4,2.43,2.4,2.43,2900,2.43,0.03000000000000025
2011-03-28,2.43,2.43,2.43,2.43,0,2.43,0.0
2011-03-29,2.4,2.42,2.4,2.42,400,2.42,0.020000000000000018
2011-03-30,2.4,2.41,2.4,2.4,2200,2.4,0.0
2011-03-31,2.39,2.42,2.33,2.42,2400,2.42,0.029999999999999805
2011-04-01,2.36,2.41,2.36,2.4,1300,2.4,0.040000000000000036
2011-04-04,2.38,2.41,2.38,2.41,2000,2.41,0.03000000000000025
2011-04-05,2.31,2.41,2.31,2.4,8100,2.4,0.08999999999999986
2011-04-06,2.38,2.41,2.38,2.41,800,2.41,0.03000000000000025
2011-04-07,2.41,2.41,2.41,2.41,0,2.41,0.0
2011-04-08,2.41,2.41,2.41,2.41,0,2.41,0.0
2011-04-11,2.4,2.4,2.4,2.4,1400,2.4,0.0
2011-04-12,2.34,2.39,2.34,2.39,900,2.39,0.050000000000000266
2011-04-13,2.32,2.36,2.31,2.31,2200,2.31,-0.009999999999999787
2011-04-14,2.35,2.38,2.22,2.36,4000,2.36,0.009999999999999787
2011-04-15,2.25,2.38,2.21,2.38,2300,2.38,0.1299999999999999
2011-04-18,2.25,2.35,2.25,2.28,7700,2.28,0.029999999999999805
2011-04-19,2.26,2.26,2.21,2.24,8100,2.24,-0.019999999999999574
2011-04-20,2.21,2.21,2.14,2.21,9800,2.21,0.0
2011-04-21,2.21,2.3,2.18,2.25,223000,2.25,0.040000000000000036
2011-04-25,2.24,2.39,2.17,2.28,6400,2.28,0.03999999999999959
2011-04-26,2.29,2.29,2.27,2.27,900,2.27,-0.020000000000000018
2011-04-27,2.27,2.36,2.27,2.33,1500,2.33,0.06000000000000005
2011-04-28,2.29,2.37,2.29,2.32,3200,2.32,0.029999999999999805
2011-04-29,2.37,2.37,2.25,2.37,2300,2.37,0.0
2011-05-02,2.37,2.37,2.37,2.37,0,2.37,0.0
2011-05-03,2.27,2.4,2.27,2.37,3000,2.37,0.10000000000000009
2011-05-04,2.38,2.38,2.31,2.31,600,2.31,-0.06999999999999984
2011-05-05,2.31,2.34,2.3,2.32,2200,2.32,0.009999999999999787
2011-05-06,2.33,2.4,2.33,2.4,1400,2.4,0.06999999999999984
2011-05-09,2.39,2.4,2.36,2.38,5900,2.38,-0.010000000000000231
2011-05-10,2.4,2.4,2.4,2.4,2400,2.4,0.0
2011-05-11,2.39,2.4,2.39,2.39,400,2.39,0.0
2011-05-12,2.4,2.4,2.35,2.4,2700,2.4,0.0
2011-05-13,2.4,2.4,2.4,2.4,1200,2.4,0.0
2011-05-16,2.4,2.4,2.4,2.4,1500,2.4,0.0
2011-05-17,2.39,2.39,2.25,2.39,12600,2.39,0.0
2011-05-18,2.35,2.4,2.35,2.4,3100,2.4,0.04999999999999982
2011-05-19,2.4,2.45,2.3,2.45,36300,2.45,0.050000000000000266
2011-05-20,2.45,2.45,2.4,2.4,2800,2.4,-0.050000000000000266
2011-05-23,2.32,2.45,2.3,2.44,8400,2.44,0.1200000000000001
2011-05-24,2.43,2.45,2.36,2.45,400,2.45,0.020000000000000018
2011-05-25,2.44,2.44,2.3,2.42,3300,2.42,-0.020000000000000018
2011-05-26,2.41,2.42,2.36,2.36,2300,2.36,-0.050000000000000266
2011-05-27,2.4,2.44,2.4,2.4,9000,2.4,0.0
2011-05-31,2.39,2.4,2.33,2.35,2900,2.35,-0.040000000000000036
2011-06-01,2.27,2.38,2.27,2.38,21000,2.38,0.10999999999999988
2011-06-02,2.31,2.47,2.25,2.4,291300,2.4,0.08999999999999986
2011-06-03,2.4,2.4,2.3,2.3,1100,2.3,-0.10000000000000009
2011-06-06,2.32,2.39,2.32,2.33,4300,2.33,0.010000000000000231
2011-06-07,2.37,2.4,2.36,2.4,27800,2.4,0.029999999999999805
2011-06-08,2.39,2.41,2.36,2.4,52000,2.4,0.009999999999999787
2011-06-09,2.39,2.4,2.38,2.4,11600,2.4,0.009999999999999787
2011-06-10,2.39,2.4,2.38,2.38,800,2.38,-0.010000000000000231
2011-06-13,2.4,2.4,2.37,2.4,18900,2.4,0.0
2011-06-14,2.39,2.4,2.38,2.38,4600,2.38,-0.010000000000000231
2011-06-15,2.38,2.38,2.23,2.23,38600,2.23,-0.1499999999999999
2011-06-16,2.37,2.37,2.24,2.25,14800,2.25,-0.1200000000000001
2011-06-17,2.28,2.28,2.22,2.28,6800,2.28,0.0
2011-06-20,2.26,2.26,2.25,2.25,6300,2.25,-0.009999999999999787
2011-06-21,2.25,2.25,2.25,2.25,0,2.25,0.0
2011-06-22,2.31,2.38,2.25,2.37,3000,2.37,0.06000000000000005
2011-06-23,2.35,2.39,2.31,2.39,4400,2.39,0.040000000000000036
2011-06-24,2.39,2.88,2.38,2.4,9800,2.4,0.009999999999999787
2011-06-27,2.33,2.36,2.3,2.36,6700,2.36,0.029999999999999805
2011-06-28,2.34,2.4,2.34,2.4,5400,2.4,0.06000000000000005
2011-06-29,2.4,2.4,2.4,2.4,0,2.4,0.0
2011-06-30,2.4,2.62,2.4,2.62,25000,2.62,0.2200000000000002
2011-07-01,2.59,2.73,2.45,2.63,3400,2.63,0.040000000000000036
2011-07-05,2.6,2.6,2.52,2.52,3100,2.52,-0.08000000000000007
2011-07-06,2.52,2.65,2.44,2.46,2600,2.46,-0.06000000000000005
2011-07-07,2.4,2.64,2.4,2.64,400,2.64,0.2400000000000002
2011-07-08,2.64,2.64,2.63,2.64,1200,2.64,0.0
2011-07-11,2.53,2.54,2.43,2.46,13600,2.46,-0.06999999999999984
2011-07-12,2.4,2.48,2.34,2.34,600,2.34,-0.06000000000000005
2011-07-13,2.41,2.41,2.34,2.34,400,2.34,-0.07000000000000028
2011-07-14,2.49,2.51,2.38,2.49,14500,2.49,0.0
2011-07-15,2.5,2.5,2.5,2.5,100,2.5,0.0
2011-07-18,2.46,2.5,2.44,2.5,500,2.5,0.040000000000000036
2011-07-19,2.47,2.64,2.43,2.57,3200,2.57,0.09999999999999964
2011-07-20,2.47,2.57,2.45,2.45,2400,2.45,-0.020000000000000018
2011-07-21,2.4,2.54,2.24,2.28,5800,2.28,-0.1200000000000001
2011-07-22,2.31,2.46,2.31,2.46,2800,2.46,0.1499999999999999
2011-07-25,2.51,2.51,2.39,2.49,1800,2.49,-0.019999999999999574
2011-07-26,2.47,2.53,2.38,2.49,1800,2.49,0.020000000000000018
2011-07-27,2.43,2.44,2.43,2.44,400,2.44,0.009999999999999787
2011-07-28,2.41,2.41,2.4,2.4,1100,2.4,-0.010000000000000231
2011-07-29,2.38,2.44,2.3,2.42,1200,2.42,0.040000000000000036
2011-08-01,2.4,2.54,2.35,2.45,18700,2.45,0.050000000000000266
2011-08-02,2.32,2.51,2.31,2.39,8400,2.39,0.07000000000000028
2011-08-03,2.51,2.52,2.35,2.45,9600,2.45,-0.05999999999999961
2011-08-04,2.32,2.5,2.3,2.5,19300,2.5,0.18000000000000016
2011-08-05,2.64,2.64,2.4,2.56,17400,2.56,-0.08000000000000007
2011-08-08,2.39,2.55,2.35,2.45,5200,2.45,0.06000000000000005
2011-08-09,2.39,2.45,2.39,2.45,1700,2.45,0.06000000000000005
2011-08-10,2.57,2.58,2.32,2.32,14500,2.32,-0.25
2011-08-11,2.43,2.47,2.16,2.18,6200,2.18,-0.25
2011-08-12,2.2,2.39,2.2,2.39,1000,2.39,0.18999999999999995
2011-08-15,2.42,2.44,2.39,2.42,2100,2.42,0.0
2011-08-16,2.42,2.42,2.42,2.42,0,2.42,0.0
2011-08-17,2.4,2.4,2.21,2.4,3700,2.4,0.0
2011-08-18,2.29,2.29,2.29,2.29,100,2.29,0.0
2011-08-19,2.29,2.29,2.29,2.29,0,2.29,0.0
2011-08-22,2.35,2.35,2.22,2.3,2200,2.3,-0.050000000000000266
2011-08-23,2.27,2.35,2.16,2.35,2400,2.35,0.08000000000000007
2011-08-24,2.26,2.3,1.96,2.2,6600,2.2,-0.05999999999999961
2011-08-25,2.25,2.25,2.12,2.12,200,2.12,-0.1299999999999999
