Date,open,high,low,close,volume,adj_close,diff
2011-01-03,8.35,8.75,8.32,8.7,65300,8.7,0.34999999999999964
2011-01-04,8.75,8.99,8.6,8.61,37000,8.61,-0.14000000000000057
2011-01-05,8.62,8.77,8.46,8.75,29900,8.75,0.13000000000000078
2011-01-06,8.73,8.85,8.69,8.76,27200,8.76,0.02999999999999936
2011-01-07,8.75,8.93,8.6,8.73,30200,8.73,-0.019999999999999574
2011-01-10,8.78,8.83,8.69,8.75,35700,8.75,-0.02999999999999936
2011-01-11,8.76,8.79,8.39,8.45,30800,8.45,-0.3100000000000005
2011-01-12,8.54,8.85,8.53,8.76,35300,8.76,0.22000000000000064
2011-01-13,8.72,8.74,8.6,8.68,15600,8.68,-0.040000000000000924
2011-01-14,8.62,8.88,8.62,8.83,16400,8.83,0.21000000000000085
2011-01-18,8.85,8.85,8.53,8.68,29100,8.68,-0.16999999999999993
2011-01-19,8.65,8.65,8.16,8.2,27400,8.2,-0.45000000000000107
2011-01-20,8.13,8.37,8.1,8.14,26100,8.14,0.009999999999999787
2011-01-21,8.25,8.39,8.03,8.32,48000,8.32,0.07000000000000028
2011-01-24,8.36,8.4,8.25,8.4,24200,8.4,0.040000000000000924
2011-01-25,8.37,8.58,8.37,8.52,19600,8.52,0.15000000000000036
2011-01-26,8.53,8.71,8.42,8.64,33800,8.64,0.11000000000000121
2011-01-27,8.63,8.7,8.4,8.41,14000,8.41,-0.22000000000000064
2011-01-28,8.38,8.38,8.01,8.08,43800,8.08,-0.3000000000000007
2011-01-31,8.1,8.25,8.03,8.18,37200,8.18,0.08000000000000007
2011-02-01,8.21,8.51,8.2,8.4,29500,8.4,0.1899999999999995
2011-02-02,8.36,8.4,8.29,8.4,28700,8.4,0.040000000000000924
2011-02-03,8.14,8.61,8.14,8.57,253500,8.57,0.4299999999999997
2011-02-04,8.94,9.39,8.89,9.08,176600,9.08,0.14000000000000057
2011-02-07,9.06,9.06,8.96,9.04,66300,9.04,-0.02000000000000135
2011-02-08,8.99,9.03,8.9,8.93,76500,8.93,-0.0600000000000005
2011-02-09,8.93,9.09,8.93,8.99,37700,8.99,0.0600000000000005
2011-02-10,8.82,9.01,8.65,8.85,55200,8.85,0.02999999999999936
2011-02-11,8.78,8.97,8.75,8.94,58300,8.94,0.16000000000000014
2011-02-14,8.9,8.97,8.78,8.81,43400,8.81,-0.08999999999999986
2011-02-15,8.82,8.95,8.75,8.83,181600,8.83,0.009999999999999787
2011-02-16,8.84,9.0,8.8,8.88,442100,8.88,0.040000000000000924
2011-02-17,8.93,9.71,8.9,9.54,322400,9.54,0.6099999999999994
2011-02-18,9.59,9.7,9.5,9.6,100200,9.6,0.009999999999999787
2011-02-22,9.55,9.55,9.35,9.38,79400,9.38,-0.16999999999999993
2011-02-23,9.39,9.47,9.27,9.32,36500,9.32,-0.07000000000000028
2011-02-24,9.36,9.48,9.15,9.37,41800,9.37,0.009999999999999787
2011-02-25,9.38,9.5,9.3,9.47,29500,9.47,0.08999999999999986
2011-02-28,9.5,9.66,9.42,9.66,51200,9.66,0.16000000000000014
2011-03-01,9.64,9.89,9.6,9.81,78500,9.81,0.16999999999999993
2011-03-02,9.78,9.8,9.6,9.79,41000,9.79,0.009999999999999787
2011-03-03,9.87,9.9,9.68,9.84,53200,9.84,-0.02999999999999936
2011-03-04,9.64,9.72,9.5,9.53,13300,9.53,-0.11000000000000121
2011-03-07,9.57,9.71,9.41,9.65,65100,9.65,0.08000000000000007
2011-03-08,9.68,9.96,9.61,9.94,31400,9.94,0.2599999999999998
2011-03-09,9.95,9.95,9.8,9.88,15300,9.88,-0.06999999999999851
2011-03-10,9.74,9.74,9.4,9.65,53100,9.65,-0.08999999999999986
2011-03-11,9.55,9.7,9.4,9.4,22700,9.4,-0.15000000000000036
2011-03-14,9.32,9.49,9.05,9.14,65000,9.14,-0.17999999999999972
2011-03-15,8.9,9.39,8.61,8.66,58000,8.66,-0.2400000000000002
2011-03-16,8.61,8.92,8.09,8.27,124300,8.27,-0.33999999999999986
2011-03-17,8.41,8.56,8.24,8.36,61900,8.36,-0.05000000000000071
2011-03-18,8.4,9.09,8.35,9.02,96400,9.02,0.6199999999999992
2011-03-21,9.12,9.2,8.8,8.9,33500,8.9,-0.21999999999999886
2011-03-22,8.92,9.09,8.67,8.72,33800,8.72,-0.1999999999999993
2011-03-23,8.69,8.73,8.5,8.63,10500,8.63,-0.05999999999999872
2011-03-24,8.59,8.59,8.46,8.5,13300,8.5,-0.08999999999999986
2011-03-25,8.54,8.54,8.39,8.42,22600,8.42,-0.11999999999999922
2011-03-28,8.42,8.51,8.33,8.37,45100,8.37,-0.05000000000000071
2011-03-29,8.37,8.55,8.29,8.51,33600,8.51,0.14000000000000057
2011-03-30,8.56,8.74,8.42,8.67,29300,8.67,0.10999999999999943
2011-03-31,8.62,8.72,8.48,8.57,19500,8.57,-0.049999999999998934
2011-04-01,8.63,8.67,8.56,8.64,49500,8.64,0.009999999999999787
2011-04-04,8.67,8.67,8.5,8.52,10400,8.52,-0.15000000000000036
2011-04-05,8.49,8.65,8.46,8.52,152500,8.52,0.02999999999999936
2011-04-06,8.55,8.67,8.5,8.65,84200,8.65,0.09999999999999964
2011-04-07,8.67,8.67,8.55,8.6,22300,8.6,-0.07000000000000028
2011-04-08,8.72,9.64,8.56,8.56,347500,8.56,-0.16000000000000014
2011-04-11,8.59,8.65,8.49,8.49,57000,8.49,-0.09999999999999964
2011-04-12,8.45,8.74,8.33,8.65,108700,8.65,0.20000000000000107
2011-04-13,8.75,8.75,8.51,8.53,29800,8.53,-0.22000000000000064
2011-04-14,8.52,8.63,8.5,8.57,41600,8.57,0.05000000000000071
2011-04-15,8.57,8.59,8.49,8.51,89400,8.51,-0.0600000000000005
2011-04-18,8.38,8.53,8.28,8.33,29500,8.33,-0.05000000000000071
2011-04-19,8.37,8.54,8.37,8.45,46600,8.45,0.08000000000000007
2011-04-20,8.55,8.84,8.55,8.62,44400,8.62,0.06999999999999851
2011-04-21,8.7,8.81,8.33,8.48,28700,8.48,-0.21999999999999886
2011-04-25,8.45,8.87,8.45,8.76,21300,8.76,0.3100000000000005
2011-04-26,8.8,8.95,8.64,8.8,30400,8.8,0.0
2011-04-27,8.78,8.8,8.52,8.58,248400,8.58,-0.1999999999999993
2011-04-28,8.54,8.61,8.46,8.52,20700,8.52,-0.019999999999999574
2011-04-29,8.55,9.11,8.51,8.84,210000,8.84,0.28999999999999915
