Date,open,high,low,close,volume,adj_close,diff
2011-01-03,9.29,9.7,9.25,9.44,142900,8.37,0.15000000000000036
2011-01-04,9.48,9.6,9.32,9.46,44700,8.38,-0.019999999999999574
2011-01-05,9.49,9.75,9.47,9.73,40400,8.62,0.2400000000000002
2011-01-06,9.73,9.95,9.73,9.91,77900,8.78,0.17999999999999972
2011-01-07,9.91,10.1,9.8,10.1,60800,8.95,0.1899999999999995
2011-01-10,10.04,10.19,9.9,10.15,51800,8.99,0.11000000000000121
2011-01-11,10.18,10.44,10.06,10.42,74700,9.23,0.2400000000000002
2011-01-12,10.5,10.66,10.41,10.57,69700,9.37,0.07000000000000028
2011-01-13,10.55,10.62,10.35,10.39,45600,9.21,-0.16000000000000014
2011-01-14,10.35,10.55,10.35,10.51,31900,9.31,0.16000000000000014
2011-01-18,10.51,10.51,10.06,10.37,44200,9.19,-0.14000000000000057
2011-01-19,10.32,10.32,9.85,9.86,57100,8.74,-0.46000000000000085
2011-01-20,9.85,9.93,9.58,9.71,50000,8.6,-0.1399999999999988
2011-01-21,9.76,10.5,9.7,10.33,132000,9.15,0.5700000000000003
2011-01-24,10.33,10.43,10.14,10.22,39400,9.06,-0.10999999999999943
2011-01-25,10.18,10.18,9.95,10.01,31100,8.87,-0.16999999999999993
2011-01-26,10.01,10.3,9.99,10.15,23500,8.99,0.14000000000000057
2011-01-27,10.15,10.32,10.05,10.25,30500,9.08,0.09999999999999964
2011-01-28,10.47,11.18,10.37,11.17,261300,9.9,0.6999999999999993
2011-01-31,11.1,11.17,10.8,10.94,198000,9.69,-0.16000000000000014
2011-02-01,11.0,11.17,10.71,11.16,66300,9.89,0.16000000000000014
2011-02-02,11.16,11.2,10.81,10.82,48600,9.59,-0.33999999999999986
2011-02-03,10.84,10.84,10.51,10.79,38000,9.56,-0.05000000000000071
2011-02-04,10.79,10.93,10.52,10.63,43900,9.42,-0.15999999999999837
2011-02-07,10.62,10.81,10.56,10.74,22500,9.52,0.120000000000001
2011-02-08,10.69,10.8,10.39,10.52,37900,9.32,-0.16999999999999993
2011-02-09,10.47,10.57,10.26,10.52,27800,9.32,0.049999999999998934
2011-02-10,10.43,10.6,10.25,10.34,25600,9.16,-0.08999999999999986
2011-02-11,10.33,10.41,10.19,10.4,25800,9.22,0.07000000000000028
2011-02-14,10.48,10.64,10.22,10.46,30900,9.27,-0.019999999999999574
2011-02-15,10.58,10.67,10.36,10.44,25000,9.25,-0.14000000000000057
2011-02-16,10.44,10.6,10.3,10.4,26400,9.22,-0.03999999999999915
2011-02-17,10.37,10.66,10.27,10.66,36700,9.45,0.2900000000000009
2011-02-18,10.72,11.35,10.6,11.01,94400,9.76,0.28999999999999915
2011-02-22,10.97,11.22,10.63,10.68,38700,9.46,-0.2900000000000009
2011-02-23,10.73,11.21,10.62,10.72,33200,9.5,-0.009999999999999787
2011-02-24,10.78,10.85,10.41,10.45,61100,9.26,-0.33000000000000007
2011-02-25,10.46,10.99,10.39,10.83,35400,9.6,0.3699999999999992
2011-02-28,10.85,11.08,10.65,10.92,29100,9.68,0.07000000000000028
2011-03-01,10.92,11.03,10.54,10.56,27500,9.36,-0.35999999999999943
2011-03-02,10.59,10.75,10.52,10.66,33400,9.45,0.07000000000000028
2011-03-03,10.76,11.18,10.75,11.03,48400,9.77,0.2699999999999996
2011-03-04,11.04,11.2,10.92,11.16,34000,9.89,0.120000000000001
2011-03-07,11.2,11.2,10.7,10.81,39900,9.58,-0.3899999999999988
2011-03-08,10.76,11.1,10.67,11.07,22600,9.81,0.3100000000000005
2011-03-09,11.07,11.07,10.8,10.81,22400,9.58,-0.2599999999999998
2011-03-10,10.68,10.94,10.31,10.38,75400,9.2,-0.29999999999999893
2011-03-11,10.33,10.74,10.28,10.56,51100,9.36,0.23000000000000043
2011-03-14,10.5,10.77,10.5,10.71,21300,9.49,0.21000000000000085
2011-03-15,10.5,10.72,10.3,10.52,44600,9.32,0.019999999999999574
2011-03-16,10.64,10.72,10.27,10.27,67100,9.1,-0.370000000000001
2011-03-17,10.39,10.65,10.33,10.52,45400,9.32,0.129999999999999
2011-03-18,10.57,11.4,10.54,11.25,111500,9.97,0.6799999999999997
2011-03-21,11.44,11.44,10.84,11.15,34600,9.88,-0.28999999999999915
2011-03-22,11.13,11.13,10.78,10.83,97000,9.6,-0.3000000000000007
2011-03-23,10.84,11.27,10.78,11.13,39400,9.86,0.2900000000000009
2011-03-24,11.17,11.36,11.01,11.11,45400,9.85,-0.0600000000000005
2011-03-25,11.21,11.4,11.02,11.34,40200,10.05,0.129999999999999
2011-03-28,11.21,11.3,10.76,10.78,48200,9.55,-0.4300000000000015
2011-03-29,10.83,11.68,10.83,11.43,215000,10.13,0.5999999999999996
2011-03-30,11.41,11.41,10.86,11.0,215100,9.81,-0.41000000000000014
2011-03-31,10.99,10.99,10.84,10.9,57000,9.72,-0.08999999999999986
2011-04-01,10.99,10.99,10.76,10.78,44200,9.62,-0.21000000000000085
