Date,open,high,low,close,volume,adj_close,diff
2011-01-03,7.12,7.24,7.12,7.2,91200,7.2,0.08000000000000007
2011-01-04,7.23,7.24,6.81,6.89,165100,6.89,-0.34000000000000075
2011-01-05,6.9,7.26,6.89,7.22,116000,7.22,0.3199999999999994
2011-01-06,7.22,7.22,6.98,7.05,90900,7.05,-0.16999999999999993
2011-01-07,7.05,7.08,6.81,6.9,76000,6.9,-0.14999999999999947
2011-01-10,6.84,6.88,6.49,6.56,175800,6.56,-0.28000000000000025
2011-01-11,6.57,6.68,6.53,6.65,68100,6.65,0.08000000000000007
2011-01-12,6.73,6.77,6.66,6.77,47700,6.77,0.03999999999999915
2011-01-13,6.77,6.9,6.68,6.86,63500,6.86,0.09000000000000075
2011-01-14,6.88,7.16,6.88,7.16,87300,7.16,0.28000000000000025
2011-01-18,7.11,7.13,6.73,6.8,97700,6.8,-0.3100000000000005
2011-01-19,6.82,6.82,6.31,6.47,122300,6.47,-0.35000000000000053
2011-01-20,6.4,6.43,6.34,6.34,59500,6.34,-0.0600000000000005
2011-01-21,6.37,6.4,6.25,6.26,78500,6.26,-0.11000000000000032
2011-01-24,6.79,7.78,6.77,7.54,714500,7.54,0.75
2011-01-25,7.9,8.18,7.6,8.04,555400,8.04,0.1399999999999988
2011-01-26,8.11,8.15,7.76,8.13,422100,8.13,0.02000000000000135
2011-01-27,8.14,8.14,7.91,8.01,312400,8.01,-0.13000000000000078
2011-01-28,7.87,8.0,7.63,7.7,345500,7.7,-0.16999999999999993
2011-01-31,7.88,8.12,7.77,8.02,344600,8.02,0.13999999999999968
2011-02-01,8.08,8.29,8.08,8.19,296300,8.19,0.10999999999999943
2011-02-02,8.19,8.27,7.96,8.0,147100,8.0,-0.1899999999999995
2011-02-03,7.82,8.07,7.8,8.02,182200,8.02,0.1999999999999993
2011-02-04,8.04,8.09,7.82,7.85,242700,7.85,-0.1899999999999995
2011-02-07,7.75,7.79,7.6,7.67,342100,7.67,-0.08000000000000007
2011-02-08,7.63,7.63,7.33,7.47,300800,7.47,-0.16000000000000014
2011-02-09,7.42,7.46,7.35,7.41,165600,7.41,-0.009999999999999787
2011-02-10,7.33,7.45,7.27,7.38,130600,7.38,0.04999999999999982
2011-02-11,7.31,7.58,7.31,7.54,186800,7.54,0.23000000000000043
2011-02-14,7.51,7.54,7.4,7.44,180500,7.44,-0.0699999999999994
2011-02-15,7.41,7.43,7.24,7.27,218300,7.27,-0.14000000000000057
2011-02-16,7.33,7.42,7.26,7.41,127700,7.41,0.08000000000000007
2011-02-17,7.42,7.5,7.3,7.5,124400,7.5,0.08000000000000007
2011-02-18,7.56,7.63,7.41,7.5,126900,7.5,-0.05999999999999961
2011-02-22,7.41,7.45,6.98,7.08,185100,7.08,-0.33000000000000007
2011-02-23,7.11,7.22,7.0,7.1,109900,7.1,-0.010000000000000675
2011-02-24,7.08,7.1,6.88,6.96,199200,6.96,-0.1200000000000001
2011-02-25,6.98,7.51,6.84,7.48,137200,7.48,0.5
2011-02-28,7.52,7.66,7.28,7.33,162400,7.33,-0.1899999999999995
2011-03-01,7.33,7.53,7.04,7.08,158100,7.08,-0.25
2011-03-02,6.94,7.2,6.78,7.01,207000,7.01,0.0699999999999994
2011-03-03,7.12,7.33,6.98,7.0,142200,7.0,-0.1200000000000001
2011-03-04,7.0,7.07,6.92,7.05,149700,7.05,0.04999999999999982
2011-03-07,7.08,7.15,6.9,6.94,137400,6.94,-0.13999999999999968
2011-03-08,6.92,7.2,6.92,7.12,75100,7.12,0.20000000000000018
2011-03-09,7.09,7.19,7.05,7.09,45100,7.09,0.0
2011-03-10,6.98,7.04,6.89,6.98,175500,6.98,0.0
2011-03-11,6.96,7.04,6.93,6.94,98800,6.94,-0.019999999999999574
2011-03-14,6.87,7.54,6.85,7.15,157400,7.15,0.28000000000000025
2011-03-15,6.98,7.01,6.88,6.9,154600,6.9,-0.08000000000000007
2011-03-16,6.91,7.02,6.88,6.96,215000,6.96,0.04999999999999982
2011-03-17,7.09,7.19,6.72,6.77,142400,6.77,-0.3200000000000003
2011-03-18,6.86,6.91,6.57,6.66,145300,6.66,-0.20000000000000018
2011-03-21,6.75,7.01,6.56,7.0,103500,7.0,0.25
2011-03-22,7.0,7.0,6.76,6.81,59700,6.81,-0.1900000000000004
2011-03-23,6.77,6.95,6.6,6.94,56000,6.94,0.17000000000000082
2011-03-24,6.99,7.17,6.93,7.02,63900,7.02,0.02999999999999936
2011-03-25,7.05,7.23,6.97,7.11,70500,7.11,0.0600000000000005
2011-03-28,7.12,7.16,7.02,7.09,39000,7.09,-0.03000000000000025
2011-03-29,7.1,7.19,6.94,7.11,60200,7.11,0.010000000000000675
2011-03-30,7.16,7.19,7.08,7.17,43000,7.17,0.009999999999999787
2011-03-31,7.18,7.18,7.06,7.17,64400,7.17,-0.009999999999999787
2011-04-01,7.24,7.24,7.04,7.12,25800,7.12,-0.1200000000000001
2011-04-04,7.16,7.16,6.95,6.99,56400,6.99,-0.16999999999999993
2011-04-05,7.0,7.04,6.9,6.96,42500,6.96,-0.040000000000000036
2011-04-06,7.01,7.01,6.86,6.88,60000,6.88,-0.1299999999999999
2011-04-07,6.9,6.9,6.8,6.85,66200,6.85,-0.05000000000000071
2011-04-08,6.91,6.91,6.53,6.54,96900,6.54,-0.3700000000000001
2011-04-11,6.57,6.7,6.57,6.68,59100,6.68,0.10999999999999943
2011-04-12,6.65,6.77,6.47,6.47,77800,6.47,-0.1800000000000006
2011-04-13,6.51,6.64,6.2,6.4,126200,6.4,-0.10999999999999943
2011-04-14,6.68,6.96,6.55,6.95,139600,6.95,0.27000000000000046
2011-04-15,6.93,7.0,6.9,6.98,116200,6.98,0.05000000000000071
2011-04-18,6.84,6.88,6.65,6.71,57600,6.71,-0.1299999999999999
2011-04-19,6.76,6.91,6.73,6.9,32900,6.9,0.14000000000000057
2011-04-20,7.0,7.1,6.96,7.08,117900,7.08,0.08000000000000007
2011-04-21,7.11,7.11,6.89,6.92,95500,6.92,-0.1900000000000004
2011-04-25,6.88,6.99,6.67,6.74,47800,6.74,-0.13999999999999968
2011-04-26,6.78,6.82,6.65,6.67,59100,6.67,-0.11000000000000032
2011-04-27,6.71,6.74,6.55,6.56,124000,6.56,-0.15000000000000036
2011-04-28,6.6,6.67,6.36,6.49,241000,6.49,-0.10999999999999943
2011-04-29,6.5,6.8,6.5,6.76,152000,6.76,0.2599999999999998
2011-05-02,6.84,6.99,6.84,6.92,110000,6.92,0.08000000000000007
2011-05-03,6.91,6.99,6.69,6.76,82000,6.76,-0.15000000000000036
2011-05-04,6.76,6.76,6.54,6.54,58900,6.54,-0.21999999999999975
2011-05-05,6.5,6.54,6.35,6.41,122500,6.41,-0.08999999999999986
2011-05-06,6.51,6.8,6.51,6.61,97000,6.61,0.10000000000000053
2011-05-09,6.58,6.58,6.44,6.52,46000,6.52,-0.0600000000000005
2011-05-10,6.57,6.65,6.42,6.65,36100,6.65,0.08000000000000007
2011-05-11,6.61,6.61,6.35,6.36,64700,6.36,-0.25
2011-05-12,6.32,6.37,6.14,6.35,83500,6.35,0.02999999999999936
2011-05-13,6.34,6.34,6.15,6.19,82000,6.19,-0.14999999999999947
2011-05-16,6.16,6.34,6.11,6.11,55600,6.11,-0.04999999999999982
2011-05-17,6.11,6.15,5.98,6.06,88200,6.06,-0.05000000000000071
2011-05-18,6.1,6.16,6.0,6.09,56800,6.09,-0.009999999999999787
2011-05-19,6.13,6.28,6.1,6.24,53500,6.24,0.11000000000000032
2011-05-20,6.2,6.45,6.15,6.3,160800,6.3,0.09999999999999964
