Date,open,high,low,close,volume,adj_close,diff
2011-01-27,22.55,22.7,21.14,21.85,830600,43.35,-0.6999999999999993
2011-01-28,21.99,22.0,20.11,20.44,413800,40.56,-1.5499999999999972
2011-01-31,20.69,21.5,19.5,20.28,294700,40.24,-0.41000000000000014
2011-02-01,20.28,21.79,20.28,21.2,399100,42.06,0.9199999999999982
2011-02-02,21.69,21.99,20.62,21.1,305100,41.87,-0.5899999999999999
2011-02-03,20.99,21.0,19.9,20.3,323300,40.28,-0.6899999999999977
2011-02-04,20.25,20.58,19.0,19.63,207200,38.95,-0.620000000000001
2011-02-07,19.8,19.91,18.85,19.12,275900,37.94,-0.6799999999999997
2011-02-08,18.95,19.74,18.9,19.13,187600,37.96,0.17999999999999972
2011-02-09,19.0,19.05,18.29,18.67,195800,37.04,-0.3299999999999983
2011-02-10,18.44,19.45,18.2,18.92,130200,37.54,0.4800000000000004
2011-02-11,19.3,19.85,18.92,19.84,253300,39.37,0.5399999999999991
2011-02-14,20.0,20.8,19.89,20.56,216100,40.79,0.5599999999999987
2011-02-15,20.5,20.99,20.11,20.77,433600,41.21,0.2699999999999996
2011-02-16,20.75,21.39,20.67,21.06,210400,41.79,0.3099999999999987
2011-02-17,22.0,22.0,21.25,21.48,187300,42.62,-0.5199999999999996
2011-02-18,21.8,22.99,20.84,22.64,216400,44.92,0.8399999999999999
2011-02-22,22.48,23.38,21.55,22.88,225900,45.4,0.3999999999999986
2011-02-23,22.7,23.25,21.49,21.57,121100,42.8,-1.129999999999999
2011-02-24,21.48,23.0,20.28,22.6,133600,44.84,1.120000000000001
2011-02-25,23.3,23.4,20.84,22.96,338000,45.56,-0.33999999999999986
2011-02-28,23.4,23.4,22.14,22.5,89400,44.64,-0.8999999999999986
2011-03-01,22.5,23.4,22.25,22.77,121600,45.18,0.2699999999999996
2011-03-02,23.22,23.25,22.36,22.41,130400,44.46,-0.8099999999999987
2011-03-03,22.43,24.89,22.28,24.57,276900,48.75,2.1400000000000006
2011-03-04,24.5,26.46,23.71,24.55,212100,48.71,0.05000000000000071
2011-03-07,24.57,24.8,22.87,23.4,186100,46.43,-1.1700000000000017
2011-03-08,23.61,23.89,23.16,23.67,82800,46.96,0.060000000000002274
2011-03-09,24.0,24.0,22.96,23.01,38400,45.65,-0.9899999999999984
2011-03-10,22.76,22.97,22.41,22.57,102300,44.78,-0.19000000000000128
2011-03-11,22.84,22.84,21.0,21.21,135300,42.08,-1.629999999999999
2011-03-14,21.46,21.75,20.39,20.75,91900,41.17,-0.7100000000000009
2011-03-15,20.01,20.6,19.89,20.26,120400,40.2,0.25
2011-03-16,20.75,22.95,20.41,20.98,170500,41.63,0.23000000000000043
2011-03-17,21.25,21.5,20.65,20.83,51500,41.33,-0.4200000000000017
2011-03-18,21.18,21.27,20.65,20.84,44700,41.35,-0.33999999999999986
2011-03-21,22.62,22.62,21.18,21.7,146300,43.06,-0.9200000000000017
2011-03-22,21.85,21.94,21.28,21.43,93300,42.52,-0.4200000000000017
2011-03-23,21.11,21.4,20.69,21.04,190500,41.75,-0.07000000000000028
2011-03-24,21.2,21.2,20.56,20.78,52600,41.23,-0.41999999999999815
2011-03-25,20.72,20.82,19.94,20.28,69500,40.24,-0.4399999999999977
2011-03-28,20.14,21.35,19.9,20.77,149700,41.21,0.629999999999999
2011-03-29,21.09,22.37,21.09,22.0,109800,43.65,0.9100000000000001
2011-03-30,23.23,23.23,22.36,22.98,81000,45.6,-0.25
2011-03-31,23.06,23.61,23.01,23.55,523600,46.73,0.490000000000002
2011-04-01,23.81,24.64,23.51,24.23,196800,48.08,0.4200000000000017
2011-04-04,24.5,24.66,23.74,24.07,91300,47.76,-0.4299999999999997
2011-04-05,24.15,24.74,23.64,23.76,85300,47.14,-0.389999999999997
2011-04-06,27.38,27.38,23.74,24.16,53500,47.94,-3.219999999999999
2011-04-07,23.99,25.25,23.29,23.74,86300,47.1,-0.25
2011-04-08,23.92,24.13,22.35,22.8,149800,45.24,-1.120000000000001
2011-04-11,22.46,23.06,21.84,22.33,111000,44.31,-0.13000000000000256
2011-04-12,22.33,22.33,20.57,21.09,190100,41.85,-1.2399999999999984
2011-04-13,21.2,21.93,21.2,21.53,185700,42.72,0.33000000000000185
2011-04-14,21.35,21.44,20.08,20.17,315600,40.02,-1.1799999999999997
2011-04-15,20.1,20.47,18.7,19.38,510000,38.45,-0.7200000000000024
2011-04-18,19.4,19.83,16.91,17.33,804700,34.38,-2.0700000000000003
2011-04-19,17.59,17.96,16.09,16.35,642800,32.44,-1.2399999999999984
2011-04-20,16.75,17.0,15.74,15.85,414500,31.45,-0.9000000000000004
2011-04-21,16.0,16.19,15.09,15.23,240800,30.22,-0.7699999999999996
2011-04-25,15.21,15.48,13.99,14.69,327000,29.15,-0.5200000000000014
2011-04-26,14.75,15.16,14.67,15.07,210200,29.9,0.3200000000000003
2011-04-27,15.26,15.42,14.81,14.9,233700,29.56,-0.35999999999999943
