Date,open,high,low,close,volume,adj_close,diff
2011-01-03,1.77,1.77,1.74,1.76,24100,1.64,-0.010000000000000009
2011-01-04,1.77,1.78,1.72,1.76,14000,1.64,-0.010000000000000009
2011-01-05,1.74,1.77,1.74,1.77,15500,1.65,0.030000000000000027
2011-01-06,1.76,1.77,1.74,1.77,4100,1.65,0.010000000000000009
2011-01-07,1.76,1.77,1.75,1.75,6100,1.63,-0.010000000000000009
2011-01-10,1.75,1.77,1.75,1.76,5100,1.64,0.010000000000000009
2011-01-11,1.77,1.79,1.73,1.74,23500,1.63,-0.030000000000000027
2011-01-12,1.75,1.8,1.74,1.79,21600,1.67,0.040000000000000036
2011-01-13,1.78,1.85,1.78,1.8,13100,1.68,0.020000000000000018
2011-01-14,1.8,1.8,1.74,1.8,6700,1.68,0.0
2011-01-18,1.87,1.9,1.81,1.83,9500,1.71,-0.040000000000000036
2011-01-19,1.81,1.81,1.73,1.81,3300,1.69,0.0
2011-01-20,1.77,1.87,1.77,1.8,15200,1.68,0.030000000000000027
2011-01-21,1.83,1.84,1.82,1.82,2400,1.7,-0.010000000000000009
2011-01-24,1.84,1.85,1.77,1.83,37600,1.71,-0.010000000000000009
2011-01-25,1.81,1.87,1.81,1.86,32000,1.74,0.050000000000000044
2011-01-26,1.87,1.87,1.81,1.87,14000,1.75,0.0
2011-01-27,1.81,1.87,1.81,1.86,26500,1.74,0.050000000000000044
2011-01-28,1.84,1.93,1.83,1.85,9100,1.73,0.010000000000000009
2011-01-31,1.87,1.89,1.84,1.88,34100,1.76,0.009999999999999787
2011-02-01,1.9,1.9,1.83,1.86,4400,1.74,-0.039999999999999813
2011-02-02,1.84,1.96,1.84,1.88,10700,1.76,0.039999999999999813
2011-02-03,1.88,2.19,1.88,1.99,33100,1.86,0.1100000000000001
2011-02-04,2.01,2.08,2.01,2.03,20300,1.9,0.020000000000000018
2011-02-07,2.03,2.04,1.95,2.01,10300,1.88,-0.020000000000000018
2011-02-08,2.02,2.06,2.01,2.04,16200,1.91,0.020000000000000018
2011-02-09,2.03,2.05,1.99,2.02,11100,1.89,-0.009999999999999787
2011-02-10,2.02,2.03,2.01,2.03,14500,1.9,0.009999999999999787
2011-02-11,2.02,2.05,2.02,2.03,19900,1.9,0.009999999999999787
2011-02-14,2.02,2.02,1.98,2.0,3800,1.87,-0.020000000000000018
2011-02-15,2.0,2.0,1.97,2.0,2500,1.87,0.0
2011-02-16,2.01,2.03,2.01,2.02,9100,1.89,0.010000000000000231
2011-02-17,2.01,2.08,2.01,2.03,21300,1.9,0.020000000000000018
2011-02-18,2.04,2.06,1.93,1.94,22800,1.81,-0.10000000000000009
2011-02-22,2.25,2.25,1.92,1.93,3500,1.8,-0.32000000000000006
2011-02-23,1.98,1.98,1.93,1.93,2000,1.8,-0.050000000000000044
2011-02-24,2.0,2.05,1.95,2.0,7600,1.87,0.0
2011-02-25,2.0,2.0,2.0,2.0,0,1.87,0.0
2011-02-28,1.99,2.04,1.97,2.03,5300,1.9,0.039999999999999813
2011-03-01,2.04,2.23,2.04,2.15,42200,2.01,0.10999999999999988
2011-03-02,2.16,2.19,2.1,2.15,5500,2.01,-0.010000000000000231
2011-03-03,2.15,2.18,2.08,2.16,5000,2.02,0.010000000000000231
2011-03-04,2.12,2.15,2.02,2.03,15700,1.9,-0.0900000000000003
2011-03-07,2.01,2.12,2.01,2.09,4000,1.95,0.08000000000000007
2011-03-08,2.1,2.18,2.05,2.05,24400,1.92,-0.050000000000000266
2011-03-09,2.09,2.09,2.04,2.04,20400,1.91,-0.04999999999999982
2011-03-10,2.04,2.08,2.01,2.05,5800,1.92,0.009999999999999787
2011-03-11,2.01,2.07,2.01,2.05,1700,1.92,0.040000000000000036
2011-03-14,2.03,2.03,2.03,2.03,1300,1.9,0.0
2011-03-15,2.0,2.03,2.0,2.01,1600,1.88,0.009999999999999787
2011-03-16,2.01,2.02,1.9,1.95,10000,1.82,-0.05999999999999983
2011-03-17,1.95,2.0,1.9,1.9,31600,1.78,-0.050000000000000044
2011-03-18,1.94,2.1,1.91,1.99,13100,1.86,0.050000000000000044
2011-03-21,1.98,2.02,1.92,1.95,2700,1.82,-0.030000000000000027
2011-03-22,1.95,1.95,1.95,1.95,0,1.82,0.0
2011-03-23,1.95,1.95,1.95,1.95,0,1.82,0.0
