Date,open,high,low,close,volume,adj_close,diff
2011-01-03,2.16,2.16,2.06,2.07,700000,2.07,-0.0900000000000003
2011-01-04,2.06,2.14,2.01,2.1,747700,2.1,0.040000000000000036
2011-01-05,2.1,2.13,2.07,2.09,783900,2.09,-0.010000000000000231
2011-01-06,2.09,2.09,1.97,1.98,698900,1.98,-0.10999999999999988
2011-01-07,2.0,2.07,1.98,2.07,332700,2.07,0.06999999999999984
2011-01-10,2.05,2.16,2.03,2.14,468400,2.14,0.0900000000000003
2011-01-11,2.14,2.19,2.0,2.13,1581900,2.13,-0.010000000000000231
2011-01-12,2.14,2.23,2.1,2.14,884000,2.14,0.0
2011-01-13,2.14,2.18,2.14,2.18,963500,2.18,0.040000000000000036
2011-01-14,2.18,2.21,2.16,2.2,629000,2.2,0.020000000000000018
2011-01-18,2.2,2.2,2.18,2.2,332800,2.2,0.0
2011-01-19,2.18,2.2,2.01,2.02,477200,2.02,-0.16000000000000014
2011-01-20,2.01,2.08,2.01,2.03,323300,2.03,0.020000000000000018
2011-01-21,2.04,2.09,1.99,1.99,379000,1.99,-0.050000000000000044
2011-01-24,2.0,2.03,1.99,2.01,267400,2.01,0.009999999999999787
2011-01-25,1.99,2.05,1.95,1.99,293500,1.99,0.0
2011-01-26,2.0,2.02,1.93,2.0,125300,2.0,0.0
2011-01-27,1.99,2.0,1.96,1.97,180800,1.97,-0.020000000000000018
2011-01-28,1.97,1.98,1.85,1.91,557800,1.91,-0.06000000000000005
2011-01-31,1.91,1.92,1.87,1.9,233700,1.9,-0.010000000000000009
2011-02-01,1.91,2.04,1.85,2.01,531900,2.01,0.09999999999999987
2011-02-02,2.01,2.04,1.96,2.0,205100,2.0,-0.009999999999999787
2011-02-03,1.99,2.02,1.95,1.99,177600,1.99,0.0
2011-02-04,1.98,1.98,1.9,1.93,308600,1.93,-0.050000000000000044
2011-02-07,1.92,1.92,1.87,1.87,210600,1.87,-0.04999999999999982
2011-02-08,1.87,1.94,1.86,1.93,380100,1.93,0.05999999999999983
2011-02-09,1.91,1.93,1.87,1.91,221800,1.91,0.0
2011-02-10,1.9,1.92,1.86,1.87,165200,1.87,-0.029999999999999805
2011-02-11,1.86,1.92,1.86,1.9,276700,1.9,0.039999999999999813
2011-02-14,1.89,1.94,1.89,1.91,86500,1.91,0.020000000000000018
2011-02-15,1.91,1.93,1.89,1.9,161700,1.9,-0.010000000000000009
2011-02-16,1.94,1.97,1.9,1.94,205200,1.94,0.0
2011-02-17,1.98,2.01,1.91,1.98,191100,1.98,0.0
2011-02-18,2.01,2.01,1.93,1.94,179800,1.94,-0.06999999999999984
2011-02-22,1.93,1.97,1.89,1.91,225800,1.91,-0.020000000000000018
2011-02-23,1.92,1.93,1.85,1.85,213400,1.85,-0.06999999999999984
2011-02-24,1.86,1.9,1.76,1.79,445200,1.79,-0.07000000000000006
2011-02-25,1.79,1.8,1.71,1.72,597500,1.72,-0.07000000000000006
2011-02-28,1.74,1.76,1.7,1.72,529100,1.72,-0.020000000000000018
2011-03-01,1.73,1.77,1.65,1.75,297600,1.75,0.020000000000000018
2011-03-02,1.75,1.76,1.65,1.67,438600,1.67,-0.08000000000000007
2011-03-03,1.8,1.8,1.66,1.68,665300,1.68,-0.1200000000000001
2011-03-04,1.68,1.71,1.65,1.67,179400,1.67,-0.010000000000000009
2011-03-07,1.69,1.75,1.59,1.59,345400,1.59,-0.09999999999999987
