Date,open,high,low,close,volume,adj_close,diff
2011-01-03,13.5,13.65,13.39,13.65,8000,12.21,0.15000000000000036
2011-01-04,13.57,13.63,13.31,13.35,8400,11.94,-0.22000000000000064
2011-01-05,13.5,13.5,13.45,13.45,2400,12.03,-0.05000000000000071
2011-01-06,13.45,13.45,13.45,13.45,0,12.03,0.0
2011-01-07,13.5,13.85,13.5,13.85,4200,12.39,0.34999999999999964
2011-01-10,13.7,13.85,13.36,13.85,1200,12.39,0.15000000000000036
2011-01-11,13.85,14.05,13.85,13.98,4300,12.51,0.13000000000000078
2011-01-12,13.98,13.98,13.98,13.98,0,12.51,0.0
2011-01-13,13.32,14.0,13.31,13.96,3200,12.49,0.6400000000000006
2011-01-14,13.8,14.5,13.8,14.42,5600,12.9,0.6199999999999992
2011-01-18,14.39,14.45,14.1,14.45,600,12.93,0.05999999999999872
2011-01-19,13.57,14.5,13.33,14.06,5800,12.58,0.4900000000000002
2011-01-20,14.0,14.0,13.94,13.94,4200,12.47,-0.0600000000000005
2011-01-21,14.0,14.5,13.97,14.49,4400,12.96,0.4900000000000002
2011-01-24,14.48,15.04,14.48,14.9,5500,13.33,0.41999999999999993
2011-01-25,14.9,15.01,14.7,14.7,3200,13.15,-0.20000000000000107
2011-01-26,14.54,14.97,14.54,14.97,600,13.39,0.4300000000000015
2011-01-27,14.97,15.05,14.97,15.05,2200,13.47,0.08000000000000007
2011-01-28,15.25,15.45,14.75,14.89,12800,13.32,-0.35999999999999943
2011-01-31,14.55,14.55,14.11,14.21,6500,12.71,-0.33999999999999986
2011-02-01,14.26,14.92,14.26,14.64,2600,13.1,0.3800000000000008
2011-02-02,14.26,15.2,14.25,14.39,15100,12.87,0.13000000000000078
2011-02-03,14.39,14.39,14.39,14.39,0,12.87,0.0
2011-02-04,14.57,14.6,14.41,14.56,5200,13.12,-0.009999999999999787
2011-02-07,13.5,15.2,13.5,14.36,700,12.94,0.8599999999999994
2011-02-08,14.36,14.57,14.36,14.49,800,13.06,0.13000000000000078
2011-02-09,14.68,14.97,14.68,14.97,1700,13.49,0.2900000000000009
2011-02-10,14.91,14.91,14.46,14.85,1100,13.38,-0.0600000000000005
2011-02-11,14.76,14.76,14.5,14.55,5200,13.11,-0.20999999999999908
2011-02-14,14.78,14.97,14.35,14.97,2100,13.49,0.19000000000000128
2011-02-15,14.96,15.0,14.91,14.97,4700,13.49,0.009999999999999787
2011-02-16,15.0,15.0,14.54,15.0,2300,13.52,0.0
2011-02-17,14.97,14.98,14.81,14.95,3100,13.47,-0.02000000000000135
2011-02-18,14.52,14.6,14.43,14.46,6600,13.03,-0.05999999999999872
2011-02-22,14.35,14.63,14.25,14.6,6900,13.16,0.25
2011-02-23,14.73,14.97,14.62,14.69,2000,13.24,-0.040000000000000924
2011-02-24,14.72,14.94,14.52,14.94,1700,13.47,0.21999999999999886
2011-02-25,14.61,14.64,14.61,14.64,700,13.19,0.030000000000001137
2011-02-28,14.82,14.86,14.7,14.7,5100,13.25,-0.120000000000001
2011-03-01,14.78,14.78,14.7,14.75,3400,13.29,-0.02999999999999936
2011-03-02,14.96,14.97,14.79,14.79,1200,13.33,-0.1700000000000017
2011-03-03,14.76,14.76,14.76,14.76,100,13.3,0.0
2011-03-04,14.67,14.9,14.67,14.9,2400,13.43,0.23000000000000043
2011-03-07,14.8,14.82,14.8,14.82,1700,13.36,0.019999999999999574
2011-03-08,14.8,14.9,14.8,14.8,2100,13.34,0.0
2011-03-09,14.8,14.99,14.8,14.99,1100,13.51,0.1899999999999995
2011-03-10,14.99,14.99,14.99,14.99,0,13.51,0.0
2011-03-11,14.99,14.99,14.99,14.99,0,13.51,0.0
2011-03-14,14.99,14.99,14.84,14.84,600,13.38,-0.15000000000000036
2011-03-15,14.81,14.85,14.81,14.85,1400,13.38,0.03999999999999915
2011-03-16,14.85,14.85,14.55,14.63,3100,13.19,-0.21999999999999886
2011-03-17,14.8,14.8,14.8,14.8,200,13.34,0.0
2011-03-18,14.75,14.89,14.75,14.89,5700,13.42,0.14000000000000057
