Date,open,high,low,close,volume,adj_close,diff
2011-01-03,7.87,8.0,7.83,7.94,99600,20.38,0.07000000000000028
2011-01-04,7.92,7.92,7.62,7.73,213900,19.85,-0.1899999999999995
2011-01-05,7.51,7.56,7.37,7.5,2139400,19.25,-0.009999999999999787
2011-01-06,7.48,7.54,7.4,7.45,501100,19.13,-0.03000000000000025
2011-01-07,7.44,7.51,7.25,7.39,369300,18.97,-0.05000000000000071
2011-01-10,7.32,7.43,7.24,7.4,185900,19.0,0.08000000000000007
2011-01-11,7.42,7.49,7.29,7.4,126000,19.0,-0.019999999999999574
2011-01-12,7.44,7.49,7.35,7.45,84100,19.13,0.009999999999999787
2011-01-13,7.42,7.46,7.38,7.45,89100,19.13,0.03000000000000025
2011-01-14,7.49,7.68,7.46,7.55,276500,19.38,0.05999999999999961
2011-01-18,7.53,7.66,7.47,7.65,243400,19.64,0.1200000000000001
2011-01-19,7.66,7.67,7.38,7.46,203600,19.15,-0.20000000000000018
2011-01-20,7.43,7.55,7.35,7.49,156700,19.23,0.0600000000000005
2011-01-21,7.53,7.53,7.39,7.5,115400,19.25,-0.03000000000000025
2011-01-24,7.52,7.65,7.5,7.56,190300,19.41,0.040000000000000036
2011-01-25,7.5,7.69,7.47,7.67,171500,19.69,0.16999999999999993
2011-01-26,7.7,7.75,7.58,7.67,194800,19.69,-0.03000000000000025
2011-01-27,7.74,7.82,7.65,7.77,153500,20.08,0.02999999999999936
2011-01-28,7.75,7.77,7.49,7.62,238800,19.69,-0.1299999999999999
2011-01-31,7.66,7.86,7.6,7.8,681900,20.16,0.13999999999999968
2011-02-01,7.88,8.0,7.82,7.96,271000,20.57,0.08000000000000007
2011-02-02,7.95,8.0,7.8,7.84,118300,20.26,-0.11000000000000032
2011-02-03,7.81,7.85,7.7,7.83,159400,20.23,0.020000000000000462
2011-02-04,7.83,7.84,7.62,7.66,125100,19.79,-0.16999999999999993
2011-02-07,7.68,7.77,7.59,7.68,112000,19.85,0.0
2011-02-08,7.7,7.8,7.66,7.8,129800,20.16,0.09999999999999964
2011-02-09,7.75,7.8,7.7,7.8,101900,20.16,0.04999999999999982
2011-02-10,7.77,7.9,7.67,7.71,125300,19.92,-0.05999999999999961
2011-02-11,7.66,7.77,7.56,7.77,79900,20.08,0.10999999999999943
2011-02-14,7.78,7.84,7.72,7.77,76500,20.08,-0.010000000000000675
2011-02-15,7.72,7.89,7.71,7.76,71600,20.05,0.040000000000000036
2011-02-16,7.81,7.91,7.81,7.91,101200,20.44,0.10000000000000053
2011-02-17,7.91,8.04,7.91,8.01,155000,20.7,0.09999999999999964
2011-02-18,8.06,8.17,8.0,8.07,181700,20.85,0.009999999999999787
2011-02-22,8.02,8.07,7.94,8.02,117300,20.72,0.0
2011-02-23,8.01,8.04,7.89,7.99,280200,20.65,-0.019999999999999574
2011-02-24,7.97,8.04,7.86,8.01,346900,20.7,0.040000000000000036
2011-02-25,8.06,8.12,7.97,8.1,369600,20.93,0.03999999999999915
2011-02-28,8.16,8.28,8.06,8.25,206100,21.32,0.08999999999999986
2011-03-01,8.25,8.28,7.96,7.99,159200,20.65,-0.2599999999999998
2011-03-02,7.99,8.03,7.82,7.91,210900,20.44,-0.08000000000000007
2011-03-03,7.99,7.99,7.89,7.98,210100,20.62,-0.009999999999999787
2011-03-04,8.0,8.0,7.79,7.85,232800,20.29,-0.15000000000000036
2011-03-07,7.85,7.87,7.64,7.73,232300,19.98,-0.11999999999999922
2011-03-08,7.71,7.91,7.69,7.85,160800,20.29,0.13999999999999968
2011-03-09,7.85,7.88,7.76,7.79,75200,20.13,-0.05999999999999961
2011-03-10,7.71,7.71,7.53,7.6,194100,19.64,-0.11000000000000032
2011-03-11,7.55,7.66,7.5,7.63,197600,19.72,0.08000000000000007
2011-03-14,7.58,7.73,7.52,7.59,118800,19.61,0.009999999999999787
2011-03-15,7.44,7.58,7.41,7.56,145500,19.54,0.11999999999999922
2011-03-16,7.54,7.58,7.45,7.52,117200,19.43,-0.020000000000000462
2011-03-17,7.64,7.71,7.53,7.57,97800,19.56,-0.0699999999999994
2011-03-18,7.64,7.78,7.55,7.72,182900,19.95,0.08000000000000007
2011-03-21,7.81,7.86,7.73,7.86,74300,20.31,0.05000000000000071
2011-03-22,7.86,7.87,7.74,7.77,63700,20.08,-0.09000000000000075
2011-03-23,7.74,7.74,7.59,7.7,108600,19.9,-0.040000000000000036
2011-03-24,7.73,7.73,7.6,7.71,76400,19.92,-0.020000000000000462
2011-03-25,7.74,7.85,7.69,7.8,124400,20.16,0.05999999999999961
2011-03-28,7.83,7.83,7.73,7.74,71900,20.0,-0.08999999999999986
2011-03-29,7.74,7.8,7.68,7.76,82700,20.05,0.019999999999999574
2011-03-30,7.8,7.91,7.78,7.89,109200,20.39,0.08999999999999986
2011-03-31,7.88,8.05,7.81,8.03,135300,20.75,0.14999999999999947
2011-04-01,8.08,8.15,7.96,8.09,108300,20.91,0.009999999999999787
2011-04-04,8.11,8.12,8.05,8.11,86000,20.96,0.0
2011-04-05,8.1,8.15,8.08,8.12,65900,20.98,0.019999999999999574
2011-04-06,8.15,8.25,8.14,8.18,148200,21.14,0.02999999999999936
