Date,open,high,low,close,volume,adj_close,diff
2011-01-03,10.56,10.92,10.56,10.9,24500,10.28,0.33999999999999986
2011-01-04,10.89,10.89,10.52,10.53,18100,9.94,-0.3600000000000012
2011-01-05,10.76,11.13,10.66,11.09,33700,10.46,0.33000000000000007
2011-01-06,11.1,11.1,10.79,11.0,13100,10.38,-0.09999999999999964
2011-01-07,11.0,11.0,10.88,10.97,20600,10.35,-0.02999999999999936
2011-01-10,11.2,11.29,10.85,11.13,24700,10.5,-0.06999999999999851
2011-01-11,11.23,11.37,11.06,11.17,33000,10.54,-0.0600000000000005
2011-01-12,11.31,12.08,11.31,12.08,116400,11.4,0.7699999999999996
2011-01-13,12.09,12.09,11.87,12.0,30200,11.32,-0.08999999999999986
2011-01-14,12.0,12.01,11.66,12.01,22300,11.33,0.009999999999999787
2011-01-18,12.0,12.01,11.81,12.01,26800,11.33,0.009999999999999787
2011-01-19,11.85,11.95,11.66,11.66,43300,11.0,-0.1899999999999995
2011-01-20,11.64,11.76,11.49,11.5,28900,10.85,-0.14000000000000057
2011-01-21,11.62,11.92,11.52,11.55,52500,10.9,-0.06999999999999851
2011-01-24,11.51,11.72,11.51,11.7,30800,11.04,0.1899999999999995
2011-01-25,11.9,12.47,11.81,12.38,107400,11.68,0.4800000000000004
2011-01-26,12.46,13.5,12.39,13.5,100100,12.74,1.0399999999999991
2011-01-27,13.36,13.41,12.95,13.27,80100,12.52,-0.08999999999999986
2011-01-28,13.22,13.38,12.75,12.79,65500,12.07,-0.4300000000000015
2011-01-31,12.93,13.2,12.9,12.98,107900,12.25,0.05000000000000071
2011-02-01,13.09,13.09,12.9,13.0,60900,12.27,-0.08999999999999986
2011-02-02,12.95,13.1,12.9,12.94,31500,12.21,-0.009999999999999787
2011-02-03,12.89,12.95,12.74,12.8,40300,12.08,-0.08999999999999986
2011-02-04,12.81,12.81,12.5,12.63,57700,11.92,-0.17999999999999972
2011-02-07,12.68,12.86,12.64,12.77,27800,12.05,0.08999999999999986
2011-02-08,12.78,12.96,12.56,12.89,33000,12.16,0.11000000000000121
2011-02-09,12.71,12.82,12.52,12.62,29800,11.91,-0.09000000000000163
2011-02-10,12.55,12.69,12.2,12.4,82800,11.7,-0.15000000000000036
2011-02-11,12.33,12.57,12.32,12.55,54700,11.84,0.22000000000000064
2011-02-14,12.59,12.63,12.39,12.53,30400,11.82,-0.0600000000000005
2011-02-15,12.44,12.75,12.44,12.72,28400,12.0,0.28000000000000114
2011-02-16,12.81,12.92,12.47,12.78,17800,12.06,-0.030000000000001137
2011-02-17,12.78,13.16,12.78,13.16,42700,12.42,0.3800000000000008
2011-02-18,13.15,13.35,13.0,13.25,32800,12.5,0.09999999999999964
2011-02-22,13.02,13.18,12.92,13.04,45900,12.3,0.019999999999999574
2011-02-23,13.13,13.25,12.6,13.05,46300,12.31,-0.08000000000000007
2011-02-24,13.05,13.1,12.92,13.07,33100,12.33,0.019999999999999574
2011-02-25,13.09,13.26,12.97,13.26,27500,12.51,0.16999999999999993
2011-02-28,13.37,13.37,12.95,13.22,37400,12.47,-0.14999999999999858
2011-03-01,13.23,13.23,12.69,12.81,27800,12.09,-0.41999999999999993
2011-03-02,12.85,13.01,12.51,12.65,25100,11.94,-0.1999999999999993
