Date,open,high,low,close,volume,adj_close,diff
2013-05-23,24.9,24.9,24.55,24.76,78400,22.72,-0.13999999999999702
2013-05-24,24.75,24.75,24.6,24.66,31600,22.63,-0.08999999999999986
2013-05-28,24.75,24.75,24.57,24.68,92000,22.64,-0.07000000000000028
2013-05-29,24.7,24.7,24.17,24.28,79700,22.28,-0.41999999999999815
2013-05-30,24.45,24.45,24.25,24.35,28100,22.34,-0.09999999999999787
2013-05-31,24.22,24.22,24.05,24.15,39600,22.16,-0.07000000000000028
2013-06-03,24.15,24.16,23.4,23.69,47400,21.74,-0.4599999999999973
2013-06-04,23.7,23.79,23.42,23.48,50300,21.54,-0.21999999999999886
2013-06-05,23.43,23.47,23.06,23.2,29200,21.29,-0.23000000000000043
2013-06-06,23.19,23.3,23.1,23.19,20400,21.28,0.0
2013-06-07,23.29,23.29,23.05,23.14,48600,21.23,-0.14999999999999858
2013-06-10,23.19,23.19,22.7,22.84,78500,20.96,-0.3500000000000014
2013-06-11,22.8,22.8,22.09,22.28,98400,20.44,-0.5199999999999996
2013-06-12,22.27,22.27,21.81,21.98,29700,20.17,-0.28999999999999915
2013-06-13,21.98,22.15,21.5,22.15,50100,20.32,0.16999999999999815
2013-06-14,22.24,22.42,22.14,22.31,40500,20.47,0.07000000000000028
2013-06-17,22.45,22.49,22.31,22.44,27700,20.59,-0.00999999999999801
2013-06-18,22.32,22.43,22.19,22.33,22500,20.49,0.00999999999999801
2013-06-19,22.29,22.38,21.67,21.85,29100,20.05,-0.4399999999999977
2013-06-20,21.48,21.48,20.88,21.1,68300,19.36,-0.379999999999999
2013-06-21,21.1,21.34,20.81,21.29,24100,19.53,0.18999999999999773
2013-06-24,20.62,20.95,20.15,20.71,43600,19.0,0.08999999999999986
2013-06-25,20.42,20.7,20.26,20.49,23200,18.8,0.06999999999999673
2013-06-26,20.5,20.93,20.5,20.85,41100,19.13,0.3500000000000014
2013-06-27,20.9,21.29,20.9,21.23,55600,19.48,0.33000000000000185
2013-06-28,21.07,21.34,20.91,21.29,32000,19.53,0.21999999999999886
2013-07-01,21.49,21.59,21.39,21.57,19100,19.79,0.08000000000000185
2013-07-02,21.49,21.89,21.49,21.7,25700,19.91,0.21000000000000085
2013-07-03,21.51,21.75,21.5,21.72,2000,19.93,0.2099999999999973
2013-07-05,21.45,21.57,20.73,21.14,18900,19.4,-0.3099999999999987
2013-07-08,21.21,21.21,20.65,20.94,23600,19.21,-0.2699999999999996
2013-07-09,21.12,21.12,20.8,20.92,5900,19.19,-0.1999999999999993
2013-07-10,20.99,21.07,20.9,20.96,6800,19.23,-0.029999999999997584
2013-07-11,21.19,21.23,20.82,21.08,39500,19.34,-0.11000000000000298
2013-07-12,21.11,21.2,20.87,21.03,12100,19.29,-0.0799999999999983
2013-07-15,21.15,21.15,20.81,20.89,15700,19.17,-0.259999999999998
2013-07-16,20.82,20.94,20.78,20.94,12700,19.21,0.120000000000001
2013-07-17,20.98,20.98,20.84,20.9,7300,19.18,-0.08000000000000185
2013-07-18,20.91,20.91,20.61,20.7,13800,18.99,-0.21000000000000085
2013-07-19,20.7,20.75,20.36,20.49,32500,18.8,-0.21000000000000085
2013-07-22,20.64,20.64,20.51,20.64,17800,18.94,0.0
2013-07-23,20.65,20.75,20.52,20.6,10900,18.9,-0.04999999999999716
2013-07-24,20.5,20.56,20.23,20.35,16900,18.67,-0.14999999999999858
2013-07-25,20.15,20.3,20.0,20.23,21000,18.56,0.08000000000000185
2013-07-26,20.13,20.16,19.61,20.15,14000,18.49,0.019999999999999574
2013-07-29,19.95,20.0,19.8,19.88,8600,18.24,-0.07000000000000028
2013-07-30,19.92,19.92,19.52,19.76,189100,18.13,-0.16000000000000014
2013-07-31,19.65,19.95,19.35,19.84,92700,18.2,0.19000000000000128
2013-08-01,19.81,19.81,19.21,19.3,49200,17.71,-0.509999999999998
2013-08-02,19.5,19.72,19.4,19.45,53800,17.85,-0.05000000000000071
2013-08-05,19.59,19.65,19.45,19.6,27500,17.98,0.010000000000001563
2013-08-06,19.46,19.54,19.4,19.53,27600,17.92,0.07000000000000028
2013-08-07,19.45,19.49,19.03,19.33,44800,17.73,-0.120000000000001
2013-08-08,19.6,19.64,19.4,19.49,31900,17.88,-0.11000000000000298
2013-08-09,19.5,19.93,19.38,19.67,21400,18.05,0.1700000000000017
2013-08-12,19.79,19.99,19.7,19.89,35500,18.25,0.10000000000000142
2013-08-13,19.87,19.87,19.38,19.51,17100,17.9,-0.35999999999999943
2013-08-14,19.2,19.51,18.81,19.11,47300,17.53,-0.08999999999999986
2013-08-15,19.0,19.28,18.51,19.16,49400,17.58,0.16000000000000014
2013-08-16,19.39,19.39,18.91,18.99,19500,17.42,-0.40000000000000213
2013-08-19,18.95,18.99,18.6,18.99,83800,17.42,0.03999999999999915
2013-08-20,18.74,19.37,18.44,19.16,18900,17.58,0.4200000000000017
2013-08-21,19.14,19.23,18.8,19.11,23800,17.53,-0.030000000000001137
2013-08-22,19.58,19.58,19.0,19.26,14700,17.67,-0.31999999999999673
2013-08-23,19.46,19.67,19.41,19.66,52900,18.04,0.1999999999999993
2013-08-26,19.78,19.78,19.3,19.47,26500,17.86,-0.3100000000000023
2013-08-27,19.31,19.68,19.31,19.68,19200,18.06,0.370000000000001
2013-08-28,19.45,19.6,19.2,19.39,13500,18.09,-0.05999999999999872
2013-08-29,19.39,19.39,19.23,19.32,12900,18.02,-0.07000000000000028
2013-08-30,19.31,19.41,19.0,19.11,30300,17.83,-0.1999999999999993
