Date,open,high,low,close,volume,adj_close,diff
2013-05-09,16.9,17.15,16.5,16.55,5473600,14.5,-0.34999999999999787
2013-05-10,16.55,16.85,16.44,16.7,720500,14.64,0.14999999999999858
2013-05-13,16.74,16.83,16.7,16.75,206300,14.68,0.010000000000001563
2013-05-14,16.89,16.89,16.7,16.83,396000,14.75,-0.060000000000002274
2013-05-15,16.83,16.85,16.76,16.8,188000,14.72,-0.029999999999997584
2013-05-16,16.76,16.9,16.76,16.8,203300,14.72,0.03999999999999915
2013-05-17,16.79,17.05,16.79,17.04,209900,14.93,0.25
2013-05-20,17.1,17.33,17.0,17.15,350100,15.03,0.04999999999999716
2013-05-21,17.15,17.7,17.15,17.47,281200,15.31,0.3200000000000003
2013-05-22,17.43,17.99,17.43,17.85,435600,15.64,0.4200000000000017
2013-05-23,17.71,17.8,17.33,17.35,289200,15.21,-0.35999999999999943
2013-05-24,17.37,17.91,17.37,17.87,337500,15.66,0.5
2013-05-28,17.96,18.19,17.8,18.11,300300,15.87,0.14999999999999858
2013-05-29,18.03,18.2,17.9,18.1,250700,15.86,0.07000000000000028
2013-05-30,18.13,18.63,18.13,18.52,283100,16.23,0.39000000000000057
2013-05-31,18.49,18.7,18.36,18.49,214900,16.2,0.0
2013-06-03,18.7,19.88,18.7,19.72,697600,17.28,1.0199999999999996
2013-06-04,20.08,20.53,19.65,20.53,850300,17.99,0.45000000000000284
2013-06-05,20.5,20.86,19.95,19.97,424300,17.5,-0.5300000000000011
2013-06-06,19.9,20.53,19.9,20.43,185400,17.91,0.5300000000000011
2013-06-07,20.47,20.89,20.3,20.6,167100,18.05,0.13000000000000256
2013-06-10,20.7,20.86,20.6,20.79,151800,18.22,0.08999999999999986
2013-06-11,20.5,20.6,20.26,20.3,166500,17.79,-0.1999999999999993
2013-06-12,20.34,20.75,20.34,20.42,105200,17.9,0.08000000000000185
2013-06-13,20.37,20.75,20.01,20.75,146800,18.19,0.379999999999999
2013-06-14,20.9,21.1,20.56,20.85,119300,18.27,-0.04999999999999716
2013-06-17,20.96,21.2,20.6,20.75,113900,18.19,-0.21000000000000085
2013-06-18,20.93,21.0,20.66,20.74,96500,18.18,-0.19000000000000128
2013-06-19,20.99,20.99,20.6,20.6,85900,18.05,-0.389999999999997
2013-06-20,20.49,20.75,19.55,19.91,183900,17.45,-0.5799999999999983
2013-06-21,20.0,20.24,19.14,19.42,159300,17.02,-0.5799999999999983
2013-06-24,19.73,19.73,18.62,18.74,365900,16.42,-0.990000000000002
2013-06-25,18.81,19.44,18.81,19.2,172000,16.83,0.39000000000000057
2013-06-26,19.49,20.2,19.35,19.68,232700,17.25,0.19000000000000128
2013-06-27,19.6,20.84,19.6,20.71,127000,18.15,1.1099999999999994
2013-06-28,20.9,21.44,20.48,20.94,153700,18.35,0.0400000000000027
2013-07-01,21.34,21.83,21.19,21.59,184100,18.92,0.25
2013-07-02,21.7,21.93,21.41,21.79,102000,19.1,0.08999999999999986
2013-07-03,21.8,21.8,20.06,20.75,291600,18.19,-1.0500000000000007
2013-07-05,21.13,21.44,20.86,21.09,98800,18.48,-0.03999999999999915
2013-07-08,21.11,21.41,20.99,21.23,89800,18.61,0.120000000000001
2013-07-09,21.64,21.64,21.06,21.34,117700,18.7,-0.3000000000000007
2013-07-10,21.2,21.5,21.2,21.27,57700,18.64,0.07000000000000028
2013-07-11,21.89,21.89,21.28,21.5,105000,18.84,-0.39000000000000057
2013-07-12,21.39,21.94,21.37,21.94,108700,19.23,0.5500000000000007
2013-07-15,22.0,22.07,21.64,22.07,110800,19.34,0.07000000000000028
2013-07-16,22.12,22.5,21.84,22.4,232600,19.63,0.2799999999999976
2013-07-17,22.69,23.32,22.21,23.13,197700,20.27,0.4399999999999977
2013-07-18,22.99,23.3,22.85,23.2,64400,20.33,0.21000000000000085
2013-07-19,23.07,23.87,22.94,23.76,185400,20.82,0.6900000000000013
2013-07-22,23.76,25.23,23.76,24.43,208200,21.41,0.6699999999999982
2013-07-23,24.4,24.73,24.1,24.13,137400,21.15,-0.2699999999999996
