Date,open,high,low,close,volume,adj_close,diff
2011-01-03,73.39,73.73,72.91,73.27,448600,69.64,-0.12000000000000455
2011-01-04,73.58,73.75,72.54,72.98,216500,69.37,-0.5999999999999943
2011-01-05,72.96,73.32,71.99,72.64,762700,69.04,-0.3199999999999932
2011-01-06,72.76,72.97,71.87,72.21,652900,68.63,-0.5500000000000114
2011-01-07,71.68,72.85,71.68,72.3,419600,68.72,0.6199999999999903
2011-01-10,72.21,72.31,71.42,71.6,626300,68.06,-0.6099999999999994
2011-01-11,71.93,72.2,71.66,72.05,554100,68.48,0.11999999999999034
2011-01-12,72.44,72.9,72.17,72.6,422100,69.01,0.1599999999999966
2011-01-13,72.65,72.83,72.34,72.75,765400,69.15,0.09999999999999432
2011-01-14,72.75,73.04,72.56,72.8,675400,69.2,0.04999999999999716
2011-01-18,72.47,73.11,71.65,72.23,856000,68.65,-0.23999999999999488
2011-01-19,72.04,72.85,71.43,72.2,671300,68.63,0.1599999999999966
2011-01-20,71.95,73.32,71.95,72.82,485700,69.21,0.8699999999999903
2011-01-21,73.1,73.5,72.55,72.61,474700,69.02,-0.4899999999999949
2011-01-24,72.72,74.95,72.4,74.8,513800,71.1,2.0799999999999983
2011-01-25,74.44,75.22,74.24,75.0,519400,71.29,0.5600000000000023
2011-01-26,75.33,75.97,75.14,75.4,529300,71.67,0.07000000000000739
2011-01-27,75.48,75.64,74.68,75.18,519100,71.46,-0.29999999999999716
2011-01-28,75.12,75.27,73.35,73.68,419900,70.03,-1.4399999999999977
2011-01-31,74.0,74.72,72.69,72.74,1055200,69.14,-1.2600000000000051
2011-02-01,62.57,69.1,61.6,69.01,9519900,65.59,6.440000000000005
2011-02-02,67.63,67.63,65.48,66.18,3539800,62.9,-1.4499999999999886
2011-02-03,65.96,68.02,65.6,67.38,1760400,64.04,1.4200000000000017
2011-02-04,67.24,67.73,66.82,67.38,897300,64.04,0.14000000000000057
2011-02-07,67.51,67.86,66.7,67.59,1141600,64.24,0.0799999999999983
2011-02-08,67.39,68.0,67.2,68.0,1540200,64.63,0.6099999999999994
2011-02-09,67.7,68.62,67.7,68.29,1234700,64.91,0.5900000000000034
2011-02-10,68.08,68.59,67.78,68.25,1014100,64.87,0.1700000000000017
2011-02-11,68.03,70.29,68.03,70.01,1093000,66.54,1.980000000000004
2011-02-14,70.13,70.19,69.35,69.79,1132200,66.33,-0.3399999999999892
2011-02-15,69.51,70.41,68.83,68.97,1216300,65.56,-0.5400000000000063
2011-02-16,68.99,70.08,68.99,69.27,914400,65.84,0.28000000000000114
2011-02-17,69.25,69.79,69.08,69.52,948200,66.08,0.269999999999996
2011-02-18,69.69,70.28,69.4,69.76,831700,66.31,0.07000000000000739
2011-02-22,69.17,69.53,68.27,68.4,1314100,65.01,-0.769999999999996
2011-02-23,68.55,68.55,65.99,67.01,1054500,63.69,-1.539999999999992
2011-02-24,66.93,66.96,66.25,66.55,945800,63.26,-0.38000000000000966
2011-02-25,66.83,68.47,66.72,68.46,758100,65.07,1.6299999999999955
2011-02-28,68.35,68.49,66.29,66.83,1412500,63.52,-1.519999999999996
2011-03-01,67.19,67.37,66.05,66.16,995100,62.88,-1.0300000000000011
