Date,open,high,low,close,volume,adj_close,diff
2012-02-08,13.75,15.05,13.25,14.0,3336200,14.0,0.25
2012-02-09,14.17,14.22,13.75,13.91,580500,13.91,-0.2599999999999998
2012-02-10,14.0,14.03,13.77,13.96,336300,13.96,-0.03999999999999915
2012-02-13,13.91,14.42,13.63,13.65,175900,13.65,-0.2599999999999998
2012-02-14,13.6,13.79,13.3,13.44,122200,13.44,-0.16000000000000014
2012-02-15,13.5,14.07,13.3,13.4,175000,13.4,-0.09999999999999964
2012-02-16,13.4,13.7,13.4,13.54,71200,13.54,0.1399999999999988
2012-02-17,13.61,13.99,13.5,13.58,142800,13.58,-0.02999999999999936
2012-02-21,13.61,14.34,13.56,13.71,248700,13.71,0.10000000000000142
2012-02-22,13.99,14.22,13.75,13.96,274900,13.96,-0.02999999999999936
2012-02-23,13.97,14.0,13.84,13.94,82500,13.94,-0.030000000000001137
2012-02-24,13.93,13.93,13.55,13.71,120000,13.71,-0.21999999999999886
2012-02-27,13.65,13.84,13.63,13.66,235300,13.66,0.009999999999999787
2012-02-28,13.75,13.84,13.75,13.83,68000,13.83,0.08000000000000007
2012-02-29,13.88,14.15,13.85,14.13,68100,14.13,0.25
2012-03-01,14.15,15.35,14.1,15.0,610100,15.0,0.8499999999999996
2012-03-02,15.07,15.7,14.97,15.14,237700,15.14,0.07000000000000028
2012-03-05,15.07,15.15,14.78,15.09,184900,15.09,0.019999999999999574
2012-03-06,14.98,15.27,14.84,15.0,130600,15.0,0.019999999999999574
2012-03-07,15.04,15.34,15.04,15.23,110100,15.23,0.19000000000000128
2012-03-08,14.54,15.53,14.45,15.23,120600,15.23,0.6900000000000013
2012-03-09,15.18,15.59,15.08,15.32,166200,15.32,0.14000000000000057
2012-03-12,14.95,15.4,14.95,15.14,91300,15.14,0.19000000000000128
2012-03-13,15.14,16.48,15.07,15.78,316600,15.78,0.6399999999999988
2012-03-14,15.67,16.35,15.67,16.2,160300,16.2,0.5299999999999994
2012-03-15,16.18,17.13,16.18,17.0,228800,17.0,0.8200000000000003
2012-03-16,16.91,17.26,16.2,16.8,326100,16.8,-0.10999999999999943
2012-03-19,17.12,17.92,16.9,17.41,297800,17.41,0.28999999999999915
2012-03-20,17.44,17.5,16.9,17.41,96800,17.41,-0.030000000000001137
2012-03-21,17.5,17.75,17.24,17.38,211000,17.38,-0.120000000000001
2012-03-22,17.18,17.32,16.44,16.6,99200,16.6,-0.5799999999999983
2012-03-23,16.56,17.35,16.56,17.1,227600,17.1,0.5400000000000027
2012-03-26,17.31,17.38,16.75,16.98,144100,16.98,-0.3299999999999983
2012-03-27,17.75,21.25,17.58,21.11,1373200,21.11,3.3599999999999994
2012-03-28,21.0,21.05,18.99,20.0,851100,20.0,-1.0
2012-03-29,19.73,20.8,19.0,20.1,544900,20.1,0.370000000000001
2012-03-30,20.29,20.7,19.75,20.52,408500,20.52,0.23000000000000043
2012-04-02,20.39,21.99,20.39,21.71,440500,21.71,1.3200000000000003
2012-04-03,21.52,22.23,21.11,22.2,212200,22.2,0.6799999999999997
2012-04-04,21.79,21.87,20.56,21.15,193400,21.15,-0.6400000000000006
2012-04-05,21.03,21.4,20.61,20.96,102100,20.96,-0.07000000000000028
2012-04-09,20.58,21.43,19.76,21.27,97000,21.27,0.6900000000000013
