Date,open,high,low,close,volume,adj_close,diff
2011-01-03,6.38,6.58,6.33,6.5,13400,5.39,0.1200000000000001
2011-01-04,6.57,6.57,6.4,6.43,3700,5.34,-0.14000000000000057
2011-01-05,6.51,6.52,6.45,6.51,7600,5.4,0.0
2011-01-06,6.68,6.72,6.51,6.6,28500,5.48,-0.08000000000000007
2011-01-07,6.63,6.65,6.49,6.5,12400,5.39,-0.1299999999999999
2011-01-10,6.59,6.84,6.58,6.69,15100,5.55,0.10000000000000053
2011-01-11,6.68,7.1,6.63,7.03,24700,5.83,0.35000000000000053
2011-01-12,7.03,7.03,6.95,6.95,8800,5.77,-0.08000000000000007
2011-01-13,6.86,6.93,6.77,6.85,12600,5.68,-0.010000000000000675
2011-01-14,6.85,6.85,6.77,6.77,1000,5.62,-0.08000000000000007
2011-01-18,6.85,6.85,6.09,6.23,36100,5.17,-0.6199999999999992
2011-01-19,5.72,5.74,5.3,5.32,61300,4.41,-0.39999999999999947
2011-01-20,5.71,5.71,5.33,5.4,23300,4.48,-0.3099999999999996
2011-01-21,5.33,5.51,5.33,5.36,6200,4.45,0.03000000000000025
2011-01-24,5.67,6.1,5.57,5.9,40800,4.9,0.23000000000000043
2011-01-25,5.82,5.92,5.65,5.73,9300,4.76,-0.08999999999999986
2011-01-26,5.6,6.46,5.6,6.01,18900,4.99,0.41000000000000014
2011-01-27,6.16,6.44,5.94,6.34,13400,5.26,0.17999999999999972
2011-01-28,6.19,6.23,5.94,5.96,11900,4.95,-0.23000000000000043
2011-01-31,6.19,6.38,5.67,6.19,14700,5.14,0.0
2011-02-01,6.28,6.45,6.2,6.34,9900,5.26,0.05999999999999961
2011-02-02,6.29,6.29,6.27,6.29,3100,5.22,0.0
2011-02-03,6.28,6.3,5.79,5.98,26100,4.96,-0.2999999999999998
2011-02-04,5.91,5.91,5.65,5.81,14100,4.82,-0.10000000000000053
2011-02-07,5.7,5.8,5.65,5.68,17500,4.71,-0.020000000000000462
2011-02-08,5.75,5.81,5.75,5.78,7300,4.8,0.03000000000000025
2011-02-09,5.76,5.77,5.75,5.75,2100,4.77,-0.009999999999999787
2011-02-10,5.75,5.75,5.75,5.75,400,4.77,0.0
2011-02-11,5.76,5.86,5.76,5.86,9700,4.86,0.10000000000000053
2011-02-14,5.85,5.97,5.85,5.97,5700,4.95,0.1200000000000001
2011-02-15,5.95,5.97,5.75,5.83,10900,4.84,-0.1200000000000001
2011-02-16,5.78,5.81,5.71,5.8,8600,4.81,0.019999999999999574
2011-02-17,5.71,5.72,5.66,5.66,9400,4.7,-0.04999999999999982
2011-02-18,5.65,5.75,5.61,5.61,7100,4.66,-0.040000000000000036
2011-02-22,5.61,5.75,5.61,5.72,5900,4.75,0.10999999999999943
2011-02-23,5.71,5.72,5.6,5.6,5900,4.65,-0.11000000000000032
2011-02-24,5.6,5.6,5.47,5.59,2800,4.64,-0.009999999999999787
2011-02-25,5.49,5.53,5.44,5.5,17100,4.56,0.009999999999999787
2011-02-28,5.44,6.24,5.44,5.83,67600,4.84,0.3899999999999997
2011-03-01,6.09,6.19,5.93,6.07,23900,5.04,-0.019999999999999574
2011-03-02,6.03,6.15,6.03,6.14,6400,5.1,0.10999999999999943
2011-03-03,6.15,6.21,6.14,6.15,8100,5.1,0.0
