Date,open,high,low,close,volume,adj_close,diff
2011-01-03,34.42,35.78,34.2,35.56,209300,32.12,1.1400000000000006
2011-01-04,35.58,35.58,33.77,34.19,262000,30.88,-1.3900000000000006
2011-01-05,34.24,34.7,33.83,34.64,97500,31.29,0.3999999999999986
2011-01-06,34.79,35.87,34.61,34.89,150500,31.52,0.10000000000000142
2011-01-07,34.86,35.36,34.32,34.95,106900,31.57,0.09000000000000341
2011-01-10,34.85,35.21,34.66,34.93,82000,31.55,0.0799999999999983
2011-01-11,35.04,35.04,34.25,34.4,110900,31.07,-0.6400000000000006
2011-01-12,34.75,35.08,34.5,34.98,69600,31.6,0.22999999999999687
2011-01-13,34.99,35.04,34.45,34.65,112000,31.3,-0.3400000000000034
2011-01-14,34.58,35.03,34.57,34.93,112400,31.55,0.3500000000000014
2011-01-18,34.95,35.04,34.5,34.97,95700,31.59,0.01999999999999602
2011-01-19,34.86,35.17,34.31,34.51,171000,31.17,-0.3500000000000014
2011-01-20,34.46,34.8,34.23,34.42,66700,31.09,-0.03999999999999915
2011-01-21,34.6,34.6,33.92,34.28,116500,30.96,-0.3200000000000003
2011-01-24,34.28,34.5,34.01,34.42,63200,31.09,0.14000000000000057
2011-01-25,34.35,34.44,33.78,34.2,99600,30.89,-0.14999999999999858
2011-01-26,34.23,34.85,33.67,34.67,155000,31.32,0.44000000000000483
2011-01-27,34.81,34.81,33.6,33.76,364300,30.49,-1.0500000000000043
2011-01-28,33.76,33.76,31.69,31.85,357800,28.77,-1.9099999999999966
2011-01-31,31.93,32.49,31.66,32.3,185400,29.18,0.36999999999999744
2011-02-01,32.52,32.52,31.73,31.81,176200,28.73,-0.7100000000000044
2011-02-02,31.98,34.83,31.98,34.63,395300,31.28,2.650000000000002
2011-02-03,34.83,35.26,34.26,34.98,145800,31.6,0.14999999999999858
2011-02-04,35.0,35.2,34.45,34.7,108400,31.34,-0.29999999999999716
2011-02-07,34.85,35.35,34.73,34.97,151400,31.59,0.11999999999999744
2011-02-08,34.85,34.9,34.01,34.79,142800,31.43,-0.060000000000002274
2011-02-09,34.6,34.82,34.42,34.79,135100,31.43,0.18999999999999773
2011-02-10,34.49,34.81,34.49,34.74,108600,31.38,0.25
2011-02-11,34.61,34.61,33.7,34.14,165600,30.84,-0.46999999999999886
2011-02-14,34.08,34.18,33.66,33.8,201700,30.53,-0.28000000000000114
2011-02-15,33.64,33.96,33.36,33.5,72900,30.26,-0.14000000000000057
2011-02-16,33.58,34.27,33.11,34.27,311400,30.96,0.6900000000000048
2011-02-17,34.18,34.5,33.98,34.39,119000,31.06,0.21000000000000085
2011-02-18,34.59,34.86,34.4,34.85,175900,31.48,0.259999999999998
2011-02-22,34.48,34.62,33.62,33.9,241600,30.62,-0.5799999999999983
2011-02-23,33.8,34.01,33.44,33.6,84400,30.51,-0.19999999999999574
2011-02-24,33.55,33.88,33.2,33.78,151800,30.68,0.23000000000000398
2011-02-25,33.87,35.23,33.87,34.98,182500,31.77,1.1099999999999994
2011-02-28,35.22,35.25,34.04,34.48,151500,31.31,-0.740000000000002
2011-03-01,34.53,34.53,33.15,33.46,144700,30.39,-1.0700000000000003
2011-03-02,33.34,33.7,33.0,33.3,99700,30.24,-0.04000000000000625
2011-03-03,33.62,34.04,33.3,33.77,102500,30.67,0.15000000000000568
2011-03-04,33.64,33.7,32.98,33.38,57800,30.31,-0.259999999999998
2011-03-07,33.28,33.56,32.11,32.54,137300,29.55,-0.740000000000002
2011-03-08,32.54,33.48,32.43,33.25,104400,30.19,0.7100000000000009
2011-03-09,33.16,33.37,32.92,32.94,76200,29.91,-0.21999999999999886
2011-03-10,32.57,32.6,32.2,32.3,104700,29.33,-0.2700000000000031
2011-03-11,32.17,32.42,31.67,32.16,101700,29.2,-0.010000000000005116
2011-03-14,31.97,32.07,31.05,31.75,137200,28.83,-0.21999999999999886
2011-03-15,31.02,31.34,30.75,31.03,112300,28.18,0.010000000000001563
2011-03-16,30.95,31.34,30.51,30.53,134400,27.72,-0.41999999999999815
2011-03-17,30.99,31.34,30.41,30.47,132300,27.67,-0.5199999999999996
2011-03-18,30.67,30.7,30.17,30.4,169400,27.61,-0.2700000000000031
2011-03-21,32.5,34.22,32.01,34.06,531800,30.93,1.5600000000000023
2011-03-22,34.23,34.7,33.31,33.42,94100,30.35,-0.8099999999999952
2011-03-23,33.36,34.38,33.3,34.25,132700,31.1,0.8900000000000006
2011-03-24,34.59,34.7,34.05,34.56,119800,31.38,-0.030000000000001137
2011-03-25,34.76,35.37,34.41,34.96,123000,31.75,0.20000000000000284
2011-03-28,35.16,35.16,33.63,33.84,182900,30.73,-1.3199999999999932
2011-03-29,33.7,34.13,33.47,33.74,67100,30.64,0.03999999999999915
2011-03-30,33.94,34.45,33.5,34.39,66900,31.23,0.45000000000000284
2011-03-31,34.34,34.47,34.27,34.29,42100,31.14,-0.05000000000000426
2011-04-01,34.62,35.16,34.16,34.67,97800,31.48,0.05000000000000426
2011-04-04,34.83,34.92,34.22,34.7,115900,31.51,-0.12999999999999545
2011-04-05,34.51,34.69,34.11,34.27,54800,31.12,-0.23999999999999488
2011-04-06,34.45,34.45,33.87,34.32,44600,31.17,-0.13000000000000256
