Date,open,high,low,close,volume,adj_close,diff
2011-01-03,2.73,2.98,2.73,2.95,1200,2.88,0.2200000000000002
2011-01-04,2.99,3.0,2.92,2.95,600,2.88,-0.040000000000000036
2011-01-05,3.57,3.57,3.37,3.47,400,3.39,-0.09999999999999964
2011-01-06,3.35,3.55,3.35,3.52,1300,3.44,0.16999999999999993
2011-01-07,3.59,3.59,3.35,3.54,800,3.46,-0.04999999999999982
2011-01-10,3.52,3.52,3.5,3.5,500,3.42,-0.020000000000000018
2011-01-11,3.6,3.9,3.6,3.9,1000,3.81,0.2999999999999998
2011-01-12,3.9,3.9,3.65,3.84,2200,3.75,-0.06000000000000005
2011-01-13,3.9,4.0,3.9,3.94,2200,3.85,0.040000000000000036
2011-01-14,3.9,3.93,3.88,3.88,500,3.79,-0.020000000000000018
2011-01-18,4.01,4.01,3.82,3.84,700,3.75,-0.16999999999999993
2011-01-19,3.91,3.93,3.86,3.86,1200,3.77,-0.050000000000000266
2011-01-20,3.95,3.95,3.8,3.86,600,3.77,-0.0900000000000003
2011-01-21,3.93,3.95,3.93,3.95,2600,3.86,0.020000000000000018
2011-01-24,3.9,3.94,3.9,3.94,200,3.85,0.040000000000000036
2011-01-25,3.95,3.95,3.51,3.92,1800,3.83,-0.03000000000000025
2011-01-26,3.95,3.95,3.8,3.88,2400,3.79,-0.07000000000000028
2011-01-27,3.94,3.95,3.94,3.94,400,3.85,0.0
2011-01-28,3.94,3.94,3.94,3.94,400,3.85,0.0
2011-01-31,3.94,3.94,3.94,3.94,300,3.85,0.0
2011-02-01,3.94,3.94,3.94,3.94,300,3.85,0.0
2011-02-02,3.94,3.94,3.94,3.94,200,3.85,0.0
2011-02-03,3.9,3.9,3.6,3.89,1200,3.8,-0.009999999999999787
2011-02-04,3.89,3.89,3.89,3.89,0,3.8,0.0
2011-02-07,3.9,3.9,3.36,3.36,4800,3.28,-0.54
2011-02-08,3.5,3.5,2.96,3.15,7000,3.08,-0.3500000000000001
2011-02-09,3.17,3.43,3.17,3.3,800,3.22,0.1299999999999999
2011-02-10,3.15,3.72,3.15,3.72,3100,3.63,0.5700000000000003
2011-02-11,3.4,3.69,3.4,3.69,700,3.61,0.29000000000000004
2011-02-14,3.65,3.9,3.65,3.8,3300,3.71,0.1499999999999999
2011-02-15,3.89,3.89,3.85,3.85,400,3.76,-0.040000000000000036
2011-02-16,3.89,3.89,3.7,3.88,700,3.79,-0.010000000000000231
2011-02-17,3.88,3.88,3.65,3.88,2600,3.79,0.0
2011-02-18,3.42,3.7,3.42,3.52,500,3.44,0.10000000000000009
2011-02-22,3.9,3.9,3.71,3.71,300,3.62,-0.18999999999999995
2011-02-23,3.8,3.8,3.61,3.78,400,3.69,-0.020000000000000018
2011-02-24,3.86,3.9,3.71,3.86,1100,3.77,0.0
2011-02-25,3.86,3.86,3.86,3.86,0,3.77,0.0
2011-02-28,3.89,3.9,3.31,3.58,3200,3.5,-0.31000000000000005
2011-03-01,3.39,3.49,3.35,3.38,5300,3.3,-0.010000000000000231
2011-03-02,3.64,3.68,3.64,3.67,600,3.59,0.029999999999999805
2011-03-03,3.67,3.67,3.52,3.55,1300,3.47,-0.1200000000000001
2011-03-04,3.65,3.67,3.5,3.67,3100,3.59,0.020000000000000018
2011-03-07,3.67,3.67,3.38,3.39,800,3.31,-0.2799999999999998
2011-03-08,3.65,3.66,3.55,3.55,2300,3.47,-0.10000000000000009
2011-03-09,3.55,3.55,3.55,3.55,0,3.47,0.0
2011-03-10,3.6,3.6,3.6,3.6,100,3.52,0.0
2011-03-11,3.59,3.59,3.59,3.59,100,3.51,0.0
2011-03-14,3.49,3.76,3.49,3.76,4100,3.67,0.2699999999999996
2011-03-15,3.45,3.5,3.45,3.5,900,3.42,0.04999999999999982
2011-03-16,3.48,3.51,3.48,3.51,1900,3.43,0.029999999999999805
2011-03-17,3.6,3.81,3.52,3.81,1700,3.72,0.20999999999999996
2011-03-18,3.89,3.89,3.8,3.8,1400,3.71,-0.0900000000000003
2011-03-21,3.71,3.76,3.71,3.75,2400,3.66,0.040000000000000036
2011-03-22,3.87,3.89,3.49,3.49,700,3.41,-0.3799999999999999
2011-03-23,3.86,3.86,3.6,3.6,800,3.52,-0.2599999999999998
2011-03-24,3.87,3.87,3.55,3.55,800,3.47,-0.3200000000000003
2011-03-25,3.7,3.7,3.53,3.53,200,3.45,-0.17000000000000037
2011-03-28,3.74,3.74,3.53,3.74,400,3.65,0.0
2011-03-29,3.73,3.74,3.5,3.74,4000,3.65,0.010000000000000231
2011-03-30,3.5,3.73,3.5,3.5,2300,3.42,0.0
2011-03-31,3.64,3.65,3.41,3.59,500,3.51,-0.050000000000000266
2011-04-01,3.54,3.54,3.42,3.42,400,3.34,-0.1200000000000001
2011-04-04,3.53,3.74,3.53,3.73,700,3.64,0.20000000000000018
2011-04-05,3.45,3.89,3.33,3.71,6900,3.62,0.2599999999999998
2011-04-06,3.6,3.61,3.44,3.61,3300,3.53,0.009999999999999787
2011-04-07,3.12,3.52,3.12,3.28,2300,3.2,0.1599999999999997
2011-04-08,3.21,3.53,3.16,3.53,400,3.45,0.31999999999999984
