Date,open,high,low,close,volume,adj_close,diff
2011-01-03,26.96,27.01,26.77,26.8,778900,10.65,-0.16000000000000014
2011-01-04,26.81,26.87,26.19,26.21,910800,10.42,-0.5999999999999979
2011-01-05,26.19,26.31,25.85,26.1,1227100,10.38,-0.08999999999999986
2011-01-06,26.07,26.14,25.89,25.95,740400,10.32,-0.120000000000001
2011-01-07,26.36,26.46,26.06,26.21,2356200,10.42,-0.14999999999999858
2011-01-10,26.15,26.38,26.04,26.16,847300,10.4,0.010000000000001563
2011-01-11,26.26,26.57,26.24,26.32,841000,10.46,0.05999999999999872
2011-01-12,26.43,26.47,26.02,26.23,853800,10.43,-0.1999999999999993
2011-01-13,26.25,26.28,26.07,26.18,653500,10.41,-0.07000000000000028
2011-01-14,26.15,26.41,25.91,26.37,979300,10.48,0.22000000000000242
2011-01-18,26.39,26.46,26.07,26.46,1534900,10.52,0.07000000000000028
2011-01-19,26.42,26.55,26.19,26.21,476500,10.42,-0.21000000000000085
2011-01-20,26.13,26.6,26.08,26.4,672400,10.5,0.2699999999999996
2011-01-21,26.43,26.51,26.2,26.37,489100,10.48,-0.05999999999999872
2011-01-24,26.42,26.59,26.37,26.38,988600,10.49,-0.0400000000000027
2011-01-25,26.35,26.55,26.23,26.45,637300,10.52,0.09999999999999787
2011-01-26,26.5,26.5,25.93,26.04,1094800,10.35,-0.46000000000000085
2011-01-27,25.97,26.02,25.16,25.21,1967400,10.02,-0.759999999999998
2011-01-28,25.2,25.36,25.01,25.13,957600,9.99,-0.07000000000000028
2011-01-31,25.2,25.36,25.0,25.23,1284700,10.03,0.030000000000001137
2011-02-01,25.28,25.43,25.16,25.29,849600,10.05,0.00999999999999801
2011-02-02,25.22,25.32,25.12,25.24,881200,10.03,0.019999999999999574
2011-02-03,25.26,25.53,25.26,25.41,829300,10.1,0.14999999999999858
2011-02-04,25.45,25.7,25.3,25.65,915400,10.2,0.1999999999999993
