Date,open,high,low,close,volume,adj_close,diff
2011-05-26,19.0,19.5,18.26,18.33,22715400,18.33,-0.6700000000000017
2011-05-27,18.67,18.81,18.25,18.65,1967700,18.65,-0.020000000000003126
2011-05-31,18.82,18.98,18.46,18.5,790600,18.5,-0.3200000000000003
2011-06-01,18.42,18.43,18.19,18.2,872500,18.2,-0.22000000000000242
2011-06-02,18.11,18.68,18.05,18.59,928100,18.59,0.4800000000000004
2011-06-03,18.25,18.82,18.1,18.2,786200,18.2,-0.05000000000000071
2011-06-06,18.24,18.31,18.1,18.24,882900,18.24,0.0
2011-06-07,18.34,18.4,18.1,18.12,1629000,18.12,-0.21999999999999886
2011-06-08,18.09,18.37,18.0,18.0,2231600,18.0,-0.08999999999999986
2011-06-09,18.0,18.09,17.18,17.53,4402400,17.53,-0.46999999999999886
2011-06-10,17.28,17.35,16.04,16.3,3378600,16.3,-0.9800000000000004
2011-06-13,16.67,16.75,16.01,16.31,1262000,16.31,-0.360000000000003
2011-06-14,16.37,16.94,16.0,16.18,1318200,16.18,-0.19000000000000128
2011-06-15,15.95,16.43,15.35,15.85,959500,15.85,-0.09999999999999964
2011-06-16,15.78,15.81,15.06,15.34,710100,15.34,-0.4399999999999995
2011-06-17,15.47,15.55,14.88,14.99,1077800,14.99,-0.4800000000000004
2011-06-20,15.03,15.35,14.71,14.89,463000,14.89,-0.1399999999999988
2011-06-21,14.56,16.05,14.29,16.05,1377000,16.05,1.4900000000000002
2011-06-22,15.98,17.76,15.93,16.94,1624000,16.94,0.9600000000000009
2011-06-23,16.8,17.36,16.75,17.04,2399700,17.04,0.23999999999999844
2011-06-24,17.01,17.55,16.7,16.86,4919200,16.86,-0.15000000000000213
2011-06-27,16.88,17.18,16.31,17.05,498400,17.05,0.1700000000000017
2011-06-28,17.0,17.63,16.86,17.54,576100,17.54,0.5399999999999991
2011-06-29,17.54,18.34,17.36,17.72,1171500,17.72,0.17999999999999972
2011-06-30,17.62,18.49,17.56,18.39,821500,18.39,0.7699999999999996
2011-07-01,18.47,19.9,18.43,19.75,1476800,19.75,1.2800000000000011
2011-07-05,20.36,20.97,19.32,19.6,1603500,19.6,-0.759999999999998
2011-07-06,19.59,19.59,18.88,18.9,1371000,18.9,-0.6900000000000013
2011-07-07,19.06,20.15,18.94,20.02,846700,20.02,0.9600000000000009
2011-07-08,19.67,19.69,19.05,19.3,1116400,19.3,-0.370000000000001
2011-07-11,19.1,19.18,18.37,18.43,1145500,18.43,-0.6700000000000017
2011-07-12,18.18,18.18,16.59,17.07,3945800,17.07,-1.1099999999999994
2011-07-13,17.19,17.63,17.06,17.57,1129400,17.57,0.379999999999999
2011-07-14,17.71,17.99,17.66,17.85,1273900,17.85,0.14000000000000057
2011-07-15,18.0,18.04,17.12,17.32,626900,17.32,-0.6799999999999997
2011-07-18,17.32,17.64,16.75,16.91,906200,16.91,-0.41000000000000014
2011-07-19,16.96,17.43,16.84,17.14,804800,17.14,0.17999999999999972
2011-07-20,17.26,17.49,16.83,17.19,900300,17.19,-0.07000000000000028
2011-07-21,16.25,16.96,16.07,16.84,2648600,16.84,0.5899999999999999
2011-07-22,16.93,17.11,16.84,16.9,832400,16.9,-0.030000000000001137
2011-07-25,16.87,17.45,16.76,17.12,2170600,17.12,0.25
2011-07-26,17.05,17.47,17.0,17.42,749400,17.42,0.370000000000001
2011-07-27,17.24,17.37,16.18,16.5,1377800,16.5,-0.7399999999999984
2011-07-28,16.53,16.64,16.16,16.22,974000,16.22,-0.3100000000000023
2011-07-29,16.14,16.51,15.07,16.33,1064700,16.33,0.18999999999999773
2011-08-01,16.68,16.72,15.53,15.71,1341200,15.71,-0.9699999999999989
2011-08-02,15.56,15.59,14.69,14.82,776300,14.82,-0.7400000000000002
2011-08-03,14.82,15.01,14.5,14.75,806900,14.75,-0.07000000000000028
2011-08-04,14.61,14.88,12.25,12.59,3063500,12.59,-2.0199999999999996
2011-08-05,12.85,12.99,11.49,11.86,2312000,11.86,-0.9900000000000002
2011-08-08,11.5,11.58,9.43,10.5,4179800,10.5,-1.0
2011-08-09,10.73,13.49,10.65,12.29,3878200,12.29,1.5599999999999987
2011-08-10,11.89,12.76,11.56,12.2,2017500,12.2,0.3099999999999987
2011-08-11,12.39,13.01,12.09,12.96,1272600,12.96,0.5700000000000003
2011-08-12,13.03,13.51,12.62,12.98,665300,12.98,-0.049999999999998934
2011-08-15,13.09,13.6,13.09,13.52,529400,13.52,0.4299999999999997
2011-08-16,13.34,13.91,13.12,13.2,1134500,13.2,-0.14000000000000057
2011-08-17,13.34,13.58,12.6,12.72,520000,12.72,-0.6199999999999992
2011-08-18,12.28,12.39,11.57,12.14,949300,12.14,-0.1399999999999988
2011-08-19,12.02,12.37,11.81,11.84,885000,11.84,-0.17999999999999972
2011-08-22,12.13,12.13,11.39,11.43,663400,11.43,-0.7000000000000011
2011-08-23,11.26,12.07,10.61,11.6,2024600,11.6,0.33999999999999986
2011-08-24,11.62,11.63,10.57,10.95,1614900,10.95,-0.6699999999999999
2011-08-25,11.12,11.18,10.58,10.75,707100,10.75,-0.3699999999999992
2011-08-26,10.81,10.95,10.5,10.85,522200,10.85,0.03999999999999915
2011-08-29,10.99,11.17,10.69,11.08,2152300,11.08,0.08999999999999986
2011-08-30,11.08,12.01,10.87,11.72,1706900,11.72,0.6400000000000006
2011-08-31,11.85,12.03,11.42,11.5,650300,11.5,-0.34999999999999964
2011-09-01,11.54,11.82,11.29,11.43,553900,11.43,-0.10999999999999943
2011-09-02,11.25,11.5,11.0,11.17,536000,11.17,-0.08000000000000007
2011-09-06,10.78,11.02,10.49,10.97,909700,10.97,0.19000000000000128
2011-09-07,11.15,11.55,10.97,11.52,732800,11.52,0.3699999999999992
2011-09-08,11.46,11.8,11.3,11.59,449900,11.59,0.129999999999999
2011-09-09,11.45,11.71,10.8,11.16,1132500,11.16,-0.28999999999999915
2011-09-12,11.05,11.7,11.03,11.57,977100,11.57,0.5199999999999996
2011-09-13,11.63,12.43,11.4,12.23,913900,12.23,0.5999999999999996
2011-09-14,12.35,13.52,12.2,13.23,1333900,13.23,0.8800000000000008
2011-09-15,13.36,13.71,13.14,13.5,829300,13.5,0.14000000000000057
2011-09-16,13.6,13.66,12.98,13.2,799700,13.2,-0.40000000000000036
2011-09-19,12.93,13.33,12.5,13.08,578600,13.08,0.15000000000000036
2011-09-20,13.06,13.5,12.58,12.63,431800,12.63,-0.4299999999999997
2011-09-21,12.69,12.91,12.44,12.51,382900,12.51,-0.17999999999999972
2011-09-22,11.93,12.42,11.71,11.99,559500,11.99,0.0600000000000005
2011-09-23,11.94,12.74,11.86,12.24,611600,12.24,0.3000000000000007
2011-09-26,11.7,12.6,11.7,12.12,1084400,12.12,0.41999999999999993
2011-09-27,12.41,12.78,12.3,12.64,1270200,12.64,0.23000000000000043
2011-09-28,12.58,12.78,12.14,12.2,863700,12.2,-0.3800000000000008
2011-09-29,12.43,12.78,11.44,11.78,1019700,11.78,-0.6500000000000004
2011-09-30,11.6,11.7,10.8,11.03,1241600,11.03,-0.5700000000000003
2011-10-03,10.93,10.93,9.92,10.51,1042800,10.51,-0.41999999999999993
2011-10-04,10.29,10.97,10.29,10.59,741800,10.59,0.3000000000000007
2011-10-05,10.6,10.87,10.36,10.61,1187800,10.61,0.009999999999999787
2011-10-06,10.56,10.89,10.43,10.84,954700,10.84,0.27999999999999936
2011-10-07,10.78,11.01,10.63,10.72,568200,10.72,-0.05999999999999872
2011-10-10,10.88,11.24,10.88,11.15,542900,11.15,0.2699999999999996
2011-10-11,10.99,11.49,10.99,11.14,1038100,11.14,0.15000000000000036
2011-10-12,11.21,11.92,11.08,11.61,844100,11.61,0.3999999999999986
2011-10-13,11.6,12.67,11.52,12.51,1219000,12.51,0.9100000000000001
2011-10-14,12.53,12.95,12.27,12.78,955900,12.78,0.25
2011-10-17,12.6,12.75,12.35,12.5,585300,12.5,-0.09999999999999964
2011-10-18,12.45,12.82,12.21,12.7,575300,12.7,0.25
2011-10-19,12.37,12.5,11.85,11.86,389200,11.86,-0.5099999999999998
2011-10-20,11.75,12.2,10.92,12.15,1376700,12.15,0.40000000000000036
2011-10-21,11.2,12.2,10.38,11.79,2337900,11.79,0.5899999999999999
2011-10-24,11.84,12.88,11.57,12.58,1231500,12.58,0.7400000000000002
2011-10-25,12.49,12.49,11.89,12.0,1435000,12.0,-0.4900000000000002
2011-10-26,12.27,12.3,11.95,12.2,400100,12.2,-0.07000000000000028
2011-10-27,12.75,14.35,12.74,13.84,1260900,13.84,1.0899999999999999
2011-10-28,13.86,14.35,13.57,13.7,716100,13.7,-0.16000000000000014
2011-10-31,13.57,13.76,12.97,13.19,370200,13.19,-0.3800000000000008
2011-11-01,12.39,12.48,11.56,12.15,1707700,12.15,-0.2400000000000002
2011-11-02,12.46,12.56,11.92,12.01,640200,12.01,-0.45000000000000107
2011-11-03,12.23,12.31,11.92,12.04,958100,12.04,-0.19000000000000128
2011-11-04,11.98,13.19,11.98,12.75,562000,12.75,0.7699999999999996
2011-11-07,12.68,12.87,12.25,12.44,275200,12.44,-0.2400000000000002
2011-11-08,12.6,12.92,12.53,12.71,387500,12.71,0.11000000000000121
2011-11-09,12.41,12.44,11.99,11.99,667800,11.99,-0.41999999999999993
2011-11-10,12.15,12.52,12.11,12.36,670500,12.36,0.20999999999999908
2011-11-11,12.5,13.31,12.5,13.2,299100,13.2,0.6999999999999993
2011-11-14,13.12,13.61,13.0,13.21,633800,13.21,0.09000000000000163
2011-11-15,13.18,13.49,13.05,13.36,264400,13.36,0.17999999999999972
2011-11-16,13.21,13.69,13.21,13.5,936000,13.5,0.28999999999999915
2011-11-17,13.5,13.61,13.03,13.26,976000,13.26,-0.2400000000000002
2011-11-18,13.39,13.55,12.65,12.75,429500,12.75,-0.6400000000000006
2011-11-21,12.51,12.57,11.94,12.15,908000,12.15,-0.35999999999999943
2011-11-22,12.08,12.62,12.02,12.13,713300,12.13,0.05000000000000071
2011-11-23,11.99,12.07,11.3,11.39,511600,11.39,-0.5999999999999996
2011-11-25,11.39,11.61,11.31,11.51,343900,11.51,0.11999999999999922
2011-11-28,11.95,12.16,11.84,12.01,573200,12.01,0.0600000000000005
2011-11-29,11.99,12.14,11.87,11.94,741700,11.94,-0.05000000000000071
2011-11-30,12.34,12.85,12.22,12.67,627700,12.67,0.33000000000000007
2011-12-01,12.63,13.11,12.58,12.89,467400,12.89,0.2599999999999998
2011-12-02,13.05,13.38,12.9,13.13,502700,13.13,0.08000000000000007
2011-12-05,13.39,13.61,13.17,13.61,371900,13.61,0.21999999999999886
2011-12-06,13.53,13.87,13.05,13.26,476500,13.26,-0.2699999999999996
2011-12-07,13.25,13.98,13.11,13.92,584700,13.92,0.6699999999999999
2011-12-08,13.87,13.96,13.56,13.7,519200,13.7,-0.16999999999999993
2011-12-09,13.55,14.11,13.44,13.69,919300,13.69,0.1399999999999988
2011-12-12,13.3,13.59,13.15,13.26,966900,13.26,-0.040000000000000924
2011-12-13,13.35,13.49,12.25,12.59,3009000,12.59,-0.7599999999999998
2011-12-14,12.5,12.5,11.76,12.14,677800,12.14,-0.35999999999999943
2011-12-15,12.28,12.49,12.08,12.17,440000,12.17,-0.10999999999999943
2011-12-16,12.25,13.04,12.18,12.4,647000,12.4,0.15000000000000036
2011-12-19,12.51,12.72,11.73,11.75,371200,11.75,-0.7599999999999998
2011-12-20,11.96,12.58,11.84,12.54,474500,12.54,0.5799999999999983
2011-12-21,12.45,12.45,11.95,12.05,384500,12.05,-0.3999999999999986
2011-12-22,12.13,13.0,12.13,12.94,1271500,12.94,0.8099999999999987
2011-12-23,13.0,13.04,12.86,13.0,739300,13.0,0.0
2011-12-27,13.0,13.11,12.89,13.02,250400,13.02,0.019999999999999574
2011-12-28,13.02,13.07,12.65,12.79,468000,12.79,-0.23000000000000043
2011-12-29,12.84,13.0,12.66,12.99,228400,12.99,0.15000000000000036
2011-12-30,12.95,13.02,12.61,12.65,374100,12.65,-0.29999999999999893
