Date,open,high,low,close,volume,adj_close,diff
2013-09-20,59.95,62.5,54.51,56.1,5571000,56.1,-3.8500000000000014
2013-09-23,54.9,61.98,53.0,60.56,819300,60.56,5.660000000000004
2013-09-24,62.98,64.23,57.55,58.29,727600,58.29,-4.689999999999998
2013-09-25,58.89,59.75,56.23,57.68,216100,57.68,-1.2100000000000009
2013-09-26,56.89,58.28,55.2,55.74,243500,55.74,-1.1499999999999986
2013-09-27,55.08,55.41,51.0,52.59,595600,52.59,-2.489999999999995
2013-09-30,51.0,55.49,50.9,53.74,359600,53.74,2.740000000000002
2013-10-01,54.15,56.31,53.05,55.71,188700,55.71,1.5600000000000023
2013-10-02,56.0,59.01,54.35,57.35,222300,57.35,1.3500000000000014
2013-10-03,57.49,60.87,57.0,60.5,279600,60.5,3.009999999999998
2013-10-04,61.77,68.0,60.97,62.52,834100,62.52,0.75
2013-10-07,65.47,68.56,63.13,65.96,556400,65.96,0.4899999999999949
2013-10-08,67.11,67.2,60.1,61.01,389900,61.01,-6.100000000000001
2013-10-09,62.15,63.76,58.25,59.32,392700,59.32,-2.8299999999999983
2013-10-10,63.25,64.2,60.49,61.91,245300,61.91,-1.3400000000000034
2013-10-11,62.95,62.95,61.15,62.06,150600,62.06,-0.8900000000000006
2013-10-14,60.96,61.75,59.9,61.41,111700,61.41,0.44999999999999574
2013-10-15,63.88,63.88,59.5,60.6,187500,60.6,-3.280000000000001
2013-10-16,61.0,62.0,60.0,61.23,155000,61.23,0.22999999999999687
2013-10-17,60.43,64.0,60.11,63.61,145100,63.61,3.1799999999999997
2013-10-18,65.86,67.88,63.97,66.43,244800,66.43,0.5700000000000074
2013-10-21,68.0,68.0,64.68,64.93,113300,64.93,-3.069999999999993
2013-10-22,66.06,66.06,62.65,63.37,212700,63.37,-2.690000000000005
2013-10-23,62.44,63.87,60.2,61.08,196400,61.08,-1.3599999999999994
2013-10-24,61.23,62.01,59.5,60.55,160600,60.55,-0.6799999999999997
2013-10-25,60.6,61.92,60.6,61.72,110500,61.72,1.1199999999999974
2013-10-28,62.75,62.75,58.5,58.84,114100,58.84,-3.9099999999999966
2013-10-29,59.0,59.81,55.75,56.0,161600,56.0,-3.0
2013-10-30,56.0,58.55,54.16,54.56,421300,54.56,-1.4399999999999977
2013-10-31,54.71,55.58,50.9,51.04,411900,51.04,-3.6700000000000017
2013-11-01,52.16,52.16,47.69,50.03,438200,50.03,-2.1299999999999955
2013-11-04,50.09,50.82,48.16,49.19,431200,49.19,-0.9000000000000057
2013-11-05,48.81,49.44,46.3,47.15,216300,47.15,-1.6600000000000037
2013-11-06,47.35,47.99,44.25,44.88,247100,44.88,-2.469999999999999
2013-11-07,47.49,48.5,45.51,47.35,1155500,47.35,-0.14000000000000057
2013-11-08,48.0,48.0,37.81,37.86,2364500,37.86,-10.14
2013-11-11,39.78,47.86,38.9,45.04,1631500,45.04,5.259999999999998
2013-11-12,45.0,49.9,44.51,49.46,712100,49.46,4.460000000000001
2013-11-13,47.01,51.68,47.0,51.01,264800,51.01,4.0
2013-11-14,52.99,54.89,51.01,54.89,534900,54.89,1.8999999999999986
2013-11-15,56.26,58.96,55.01,57.05,711900,57.05,0.7899999999999991
2013-11-18,58.43,60.87,53.7,54.2,564800,54.2,-4.229999999999997
2013-11-19,54.2,57.15,50.5,52.85,498000,52.85,-1.3500000000000014
2013-11-20,54.05,54.83,51.75,52.21,187600,52.21,-1.8399999999999963
2013-11-21,52.64,52.88,47.7,48.15,538900,48.15,-4.490000000000002
2013-11-22,49.5,49.9,46.8,48.01,333600,48.01,-1.490000000000002
2013-11-25,48.5,48.5,44.4,45.05,371800,45.05,-3.450000000000003
2013-11-26,45.05,47.05,43.16,46.76,473600,46.76,1.7100000000000009
2013-11-27,46.27,48.35,45.07,48.3,217400,48.3,2.029999999999994
2013-11-29,48.18,49.47,47.21,47.74,141000,47.74,-0.4399999999999977
2013-12-02,46.73,46.84,43.7,44.37,397500,44.37,-2.3599999999999994
2013-12-03,44.37,46.5,43.2,46.0,315300,46.0,1.6300000000000026
2013-12-04,45.56,47.47,44.51,47.39,143000,47.39,1.8299999999999983
2013-12-05,46.87,49.43,46.85,48.78,135700,48.78,1.9100000000000037
2013-12-06,49.59,50.0,47.63,49.28,156600,49.28,-0.3100000000000023
