Date,open,high,low,close,volume,adj_close,diff
2011-01-03,24.4,24.78,24.32,24.55,84300,24.55,0.15000000000000213
2011-01-04,24.6,24.6,23.47,23.84,160000,23.84,-0.7600000000000016
2011-01-05,23.88,24.13,23.75,23.83,100600,23.83,-0.05000000000000071
2011-01-06,23.8,23.85,23.6,23.75,71600,23.75,-0.05000000000000071
2011-01-07,23.82,23.82,23.2,23.66,132700,23.66,-0.16000000000000014
2011-01-10,23.51,23.55,23.27,23.37,80900,23.37,-0.14000000000000057
2011-01-11,23.51,23.95,23.44,23.89,108100,23.89,0.379999999999999
2011-01-12,24.04,24.17,23.88,24.09,48900,24.09,0.05000000000000071
2011-01-13,24.13,24.13,23.61,23.73,31300,23.73,-0.3999999999999986
2011-01-14,23.76,24.21,23.71,24.14,122400,24.14,0.379999999999999
2011-01-18,24.05,24.4,23.94,24.34,296000,24.34,0.28999999999999915
2011-01-19,24.27,24.28,23.68,23.81,111900,23.81,-0.46000000000000085
2011-01-20,23.71,23.9,23.54,23.6,64900,23.6,-0.10999999999999943
2011-01-21,23.73,23.73,23.0,23.06,109500,23.06,-0.6700000000000017
2011-01-24,22.98,23.26,22.91,22.94,82700,22.94,-0.03999999999999915
2011-01-25,22.99,23.2,22.94,23.12,94600,23.12,0.13000000000000256
2011-01-26,23.14,23.76,23.14,23.44,120300,23.44,0.3000000000000007
2011-01-27,23.38,24.01,23.38,23.91,133700,23.91,0.5300000000000011
2011-01-28,23.83,23.92,23.12,23.22,100200,23.22,-0.6099999999999994
2011-01-31,23.34,23.58,23.03,23.55,103600,23.55,0.21000000000000085
2011-02-01,23.65,24.11,23.54,23.83,127700,23.83,0.17999999999999972
2011-02-02,23.74,23.95,23.64,23.66,34600,23.66,-0.0799999999999983
2011-02-03,23.65,23.8,23.31,23.77,62300,23.77,0.120000000000001
2011-02-04,23.77,23.98,23.57,23.8,74800,23.8,0.030000000000001137
2011-02-07,23.78,24.2,23.78,23.93,74100,23.93,0.14999999999999858
2011-02-08,23.85,23.97,23.64,23.92,53700,23.92,0.07000000000000028
2011-02-09,23.76,23.92,23.45,23.85,51600,23.85,0.08999999999999986
2011-02-10,23.67,23.94,23.67,23.81,82200,23.81,0.13999999999999702
2011-02-11,23.67,24.17,23.64,24.17,99700,24.17,0.5
2011-02-14,24.21,24.31,24.03,24.1,46200,24.1,-0.10999999999999943
2011-02-15,23.99,24.27,23.75,23.83,119500,23.83,-0.16000000000000014
2011-02-16,23.98,24.5,23.9,24.24,98800,24.24,0.259999999999998
2011-02-17,24.18,24.53,24.16,24.34,108300,24.34,0.16000000000000014
2011-02-18,24.25,24.55,24.2,24.27,127000,24.27,0.019999999999999574
2011-02-22,24.06,24.45,23.91,24.07,194700,24.07,0.010000000000001563
2011-02-23,24.05,24.31,23.61,23.65,94000,23.65,-0.40000000000000213
2011-02-24,23.65,24.18,23.65,24.05,97400,24.05,0.40000000000000213
2011-02-25,23.25,25.1,23.25,24.87,283500,24.87,1.620000000000001
2011-02-28,25.02,25.37,24.79,24.88,264200,24.88,-0.14000000000000057
2011-03-01,24.98,25.4,24.88,24.91,127300,24.91,-0.07000000000000028
2011-03-02,24.93,25.13,24.78,24.9,262400,24.9,-0.030000000000001137
2011-03-03,25.14,25.49,24.99,25.33,169700,25.33,0.18999999999999773
2011-03-04,25.38,25.9,25.13,25.33,184000,25.33,-0.05000000000000071
2011-03-07,25.47,25.52,24.66,24.89,128100,24.89,-0.5799999999999983
2011-03-08,24.94,25.84,24.77,25.79,153700,25.79,0.8499999999999979
2011-03-09,25.83,26.66,25.8,26.2,139500,26.2,0.370000000000001
2011-03-10,25.9,25.9,25.12,25.13,114500,25.13,-0.7699999999999996
2011-03-11,25.0,25.54,24.88,25.31,103300,25.31,0.3099999999999987
2011-03-14,25.13,25.52,24.81,24.95,72500,24.95,-0.17999999999999972
2011-03-15,24.45,24.87,24.42,24.69,89700,24.69,0.240000000000002
2011-03-16,24.66,24.83,24.25,24.32,162400,24.32,-0.33999999999999986
2011-03-17,24.73,24.73,24.25,24.31,97900,24.31,-0.4200000000000017
2011-03-18,24.61,24.73,24.31,24.63,153900,24.63,0.019999999999999574
2011-03-21,24.85,25.26,24.78,25.03,123200,25.03,0.17999999999999972
2011-03-22,25.03,25.31,24.93,24.95,94600,24.95,-0.08000000000000185
2011-03-23,24.87,25.61,24.66,25.57,243600,25.57,0.6999999999999993
2011-03-24,25.71,25.9,25.41,25.5,88900,25.5,-0.21000000000000085
2011-03-25,25.96,26.4,25.92,25.95,143800,25.95,-0.010000000000001563
2011-03-28,26.09,26.1,25.69,25.7,79400,25.7,-0.39000000000000057
2011-03-29,25.71,26.11,25.7,26.07,47200,26.07,0.35999999999999943
2011-03-30,26.11,26.4,25.93,26.33,89400,26.33,0.21999999999999886
2011-03-31,26.24,26.52,26.16,26.46,80200,26.46,0.22000000000000242
2011-04-01,26.61,26.92,25.99,26.12,138600,26.12,-0.48999999999999844
2011-04-04,26.13,26.33,25.94,26.15,98200,26.15,0.019999999999999574
2011-04-05,26.15,26.29,26.02,26.19,66900,26.19,0.0400000000000027
2011-04-06,26.25,26.43,26.15,26.16,126700,26.16,-0.08999999999999986
2011-04-07,26.22,26.51,26.06,26.32,66800,26.32,0.10000000000000142
2011-04-08,26.5,26.76,25.92,26.04,67200,26.04,-0.46000000000000085
2011-04-11,26.02,26.31,26.02,26.2,61800,26.2,0.17999999999999972
2011-04-12,26.04,26.24,25.94,25.95,52700,25.95,-0.08999999999999986
2011-04-13,26.1,26.14,25.63,25.79,94500,25.79,-0.3100000000000023
2011-04-14,25.59,25.9,25.47,25.79,51800,25.79,0.1999999999999993
2011-04-15,25.75,26.06,25.65,26.03,168300,26.03,0.28000000000000114
2011-04-18,26.12,26.12,25.66,25.78,122200,25.78,-0.33999999999999986
2011-04-19,25.86,25.92,25.2,25.32,168900,25.32,-0.5399999999999991
2011-04-20,25.74,26.03,25.5,26.02,247200,26.02,0.28000000000000114
2011-04-21,26.19,26.35,25.69,25.83,125600,25.83,-0.360000000000003
2011-04-25,25.64,25.81,25.33,25.5,108400,25.5,-0.14000000000000057
2011-04-26,25.51,25.61,25.42,25.43,164900,25.43,-0.08000000000000185
2011-04-27,25.5,25.78,25.5,25.69,182800,25.69,0.19000000000000128
2011-04-28,25.7,25.79,25.5,25.63,223900,25.63,-0.07000000000000028
2011-04-29,26.14,27.59,26.13,27.07,366000,27.07,0.9299999999999997
2011-05-02,27.25,27.28,26.98,27.05,218000,27.05,-0.1999999999999993
2011-05-03,27.06,27.18,26.82,27.06,440700,27.06,0.0
2011-05-04,27.13,27.49,26.75,27.0,99000,27.0,-0.129999999999999
2011-05-05,26.79,27.22,26.61,26.76,96800,26.76,-0.029999999999997584
2011-05-06,27.13,27.15,26.7,26.84,82400,26.84,-0.28999999999999915
2011-05-09,27.72,27.72,26.91,27.2,141000,27.2,-0.5199999999999996
2011-05-10,27.3,27.74,27.29,27.67,217200,27.67,0.370000000000001
2011-05-11,27.63,27.66,27.07,27.22,99400,27.22,-0.41000000000000014
2011-05-12,27.14,28.59,27.02,28.58,384000,28.58,1.4399999999999977
2011-05-13,28.65,28.89,28.26,28.64,303000,28.64,-0.00999999999999801
2011-05-16,28.37,28.63,28.05,28.33,170200,28.33,-0.0400000000000027
2011-05-17,28.14,28.47,28.07,28.39,203700,28.39,0.25
2011-05-18,28.4,28.6,28.22,28.59,205000,28.59,0.19000000000000128
2011-05-19,28.98,29.06,28.51,28.81,286100,28.81,-0.1700000000000017
2011-05-20,28.69,28.93,28.49,28.83,238100,28.83,0.13999999999999702
2011-05-23,28.39,28.41,28.08,28.1,117900,28.1,-0.28999999999999915
2011-05-24,28.18,28.48,27.93,28.28,131500,28.28,0.10000000000000142
2011-05-25,28.18,28.69,28.16,28.52,205000,28.52,0.33999999999999986
2011-05-26,28.41,28.79,28.28,28.73,65900,28.73,0.3200000000000003
2011-05-27,28.9,28.9,28.4,28.55,145100,28.55,-0.34999999999999787
2011-05-31,28.78,29.0,28.51,28.95,198000,28.95,0.16999999999999815
2011-06-01,28.86,28.95,28.11,28.17,175200,28.17,-0.6899999999999977
2011-06-02,28.15,28.37,27.75,28.15,88600,28.15,0.0
2011-06-03,27.78,27.92,27.59,27.61,96000,27.61,-0.1700000000000017
2011-06-06,27.66,27.79,27.3,27.37,94400,27.37,-0.28999999999999915
2011-06-07,27.64,27.84,27.27,27.4,129600,27.4,-0.240000000000002
2011-06-08,27.36,27.45,27.06,27.28,122000,27.28,-0.0799999999999983
2011-06-09,27.3,27.45,27.2,27.22,114000,27.22,-0.08000000000000185
2011-06-10,27.02,27.07,26.48,26.51,136700,26.51,-0.509999999999998
2011-06-13,26.53,26.53,26.13,26.28,109000,26.28,-0.25
2011-06-14,26.5,26.97,26.27,26.82,110300,26.82,0.3200000000000003
2011-06-15,26.56,26.72,26.19,26.25,92800,26.25,-0.3099999999999987
2011-06-16,26.25,26.67,26.06,26.33,170200,26.33,0.0799999999999983
2011-06-17,26.44,26.48,26.1,26.2,239600,26.2,-0.240000000000002
2011-06-20,26.06,26.85,25.91,26.27,169300,26.27,0.21000000000000085
2011-06-21,26.39,27.04,26.17,26.65,191900,26.65,0.259999999999998
2011-06-22,26.54,27.09,26.52,26.81,111600,26.81,0.2699999999999996
2011-06-23,26.5,26.77,26.17,26.73,123500,26.73,0.23000000000000043
2011-06-24,26.76,26.76,26.05,26.38,211100,26.38,-0.38000000000000256
2011-06-27,26.32,26.9,26.32,26.77,77200,26.77,0.4499999999999993
2011-06-28,26.79,26.98,26.69,26.98,74200,26.98,0.19000000000000128
2011-06-29,27.13,27.25,26.4,26.64,102200,26.64,-0.48999999999999844
2011-06-30,26.64,26.94,26.41,26.82,110000,26.82,0.17999999999999972
2011-07-01,26.87,27.4,26.8,27.23,187500,27.23,0.35999999999999943
2011-07-05,27.18,27.44,26.72,27.41,154200,27.41,0.23000000000000043
2011-07-06,27.38,28.03,27.29,27.86,192900,27.86,0.4800000000000004
2011-07-07,28.14,28.33,27.89,28.2,124400,28.2,0.05999999999999872
2011-07-08,27.87,28.0,27.7,27.88,97400,27.88,0.00999999999999801
2011-07-11,27.57,27.68,27.19,27.26,156000,27.26,-0.3099999999999987
2011-07-12,27.18,27.76,27.18,27.44,119700,27.44,0.26000000000000156
2011-07-13,27.54,27.81,27.3,27.51,219100,27.51,-0.029999999999997584
2011-07-14,27.51,27.7,27.25,27.34,123900,27.34,-0.1700000000000017
2011-07-15,27.46,27.46,27.05,27.36,132000,27.36,-0.10000000000000142
2011-07-18,27.13,27.41,26.56,26.62,154500,26.62,-0.509999999999998
2011-07-19,26.74,27.27,26.5,27.24,237600,27.24,0.5
2011-07-20,27.28,27.42,26.41,26.62,168100,26.62,-0.6600000000000001
2011-07-21,26.76,27.04,26.62,26.96,103400,26.96,0.1999999999999993
2011-07-22,26.9,26.92,26.6,26.7,53900,26.7,-0.1999999999999993
2011-07-25,26.42,26.6,26.33,26.34,80700,26.34,-0.08000000000000185
2011-07-26,26.39,26.41,25.95,25.99,68200,25.99,-0.40000000000000213
2011-07-27,25.81,25.81,25.3,25.36,192100,25.36,-0.4499999999999993
2011-07-28,25.23,26.0,25.13,25.22,207300,25.22,-0.010000000000001563
2011-07-29,24.92,25.06,24.61,24.92,238700,24.92,0.0
2011-08-01,24.92,24.97,24.03,24.23,268700,24.23,-0.6900000000000013
2011-08-02,24.08,24.3,23.79,23.82,242800,23.82,-0.259999999999998
2011-08-03,23.86,24.03,23.36,24.0,172700,24.0,0.14000000000000057
2011-08-04,23.78,24.02,22.94,22.94,153300,22.94,-0.8399999999999999
2011-08-05,23.17,23.17,22.4,22.67,254900,22.67,-0.5
2011-08-08,22.06,22.56,20.82,20.82,240500,20.82,-1.2399999999999984
2011-08-09,21.34,22.06,20.44,22.03,363100,22.03,0.6900000000000013
2011-08-10,21.5,21.58,20.61,20.65,221800,20.65,-0.8500000000000014
2011-08-11,20.71,21.81,20.47,21.49,178100,21.49,0.7799999999999976
2011-08-12,21.66,21.76,21.22,21.61,83900,21.61,-0.05000000000000071
2011-08-15,21.89,22.13,21.79,22.1,76700,22.1,0.21000000000000085
2011-08-16,21.86,21.92,21.45,21.76,82600,21.76,-0.09999999999999787
2011-08-17,21.93,22.06,21.45,21.7,116600,21.7,-0.23000000000000043
2011-08-18,21.12,21.12,20.37,20.5,140700,20.5,-0.620000000000001
2011-08-19,20.15,20.99,19.88,20.77,229400,20.77,0.620000000000001
2011-08-22,21.29,21.29,20.42,20.48,132800,20.48,-0.8099999999999987
2011-08-23,20.54,21.37,20.16,21.36,125500,21.36,0.8200000000000003
2011-08-24,21.32,21.76,21.26,21.59,179100,21.59,0.2699999999999996
2011-08-25,21.73,21.97,20.72,20.77,119700,20.77,-0.9600000000000009
2011-08-26,20.66,21.41,20.36,21.36,79300,21.36,0.6999999999999993
2011-08-29,21.62,22.42,21.55,22.42,137400,22.42,0.8000000000000007
2011-08-30,22.22,22.22,21.64,22.02,282000,22.02,-0.1999999999999993
2011-08-31,22.13,22.58,21.9,22.35,156300,22.35,0.22000000000000242
2011-09-01,22.38,22.6,21.67,21.81,153800,21.81,-0.5700000000000003
2011-09-02,21.38,21.59,20.9,20.91,136100,20.91,-0.46999999999999886
2011-09-06,20.28,20.98,20.28,20.89,102400,20.89,0.6099999999999994
2011-09-07,21.25,21.72,21.19,21.72,118200,21.72,0.46999999999999886
2011-09-08,21.48,21.72,20.5,20.81,1163000,20.81,-0.6700000000000017
2011-09-09,20.61,20.72,20.0,20.07,221100,20.07,-0.5399999999999991
2011-09-12,19.79,19.97,19.43,19.81,417800,19.81,0.019999999999999574
2011-09-13,19.95,20.1,19.65,19.9,245800,19.9,-0.05000000000000071
2011-09-14,20.11,20.31,19.83,20.15,454300,20.15,0.03999999999999915
2011-09-15,20.34,20.51,19.84,20.44,175500,20.44,0.10000000000000142
2011-09-16,20.47,20.82,20.39,20.52,220000,20.52,0.05000000000000071
2011-09-19,20.12,20.39,19.78,20.18,151300,20.18,0.05999999999999872
2011-09-20,20.26,20.57,19.86,19.88,90600,19.88,-0.38000000000000256
2011-09-21,19.92,20.09,19.17,19.19,132200,19.19,-0.7300000000000004
2011-09-22,18.6,19.41,18.55,19.31,251800,19.31,0.7099999999999973
2011-09-23,19.27,19.85,19.07,19.5,194200,19.5,0.23000000000000043
2011-09-26,19.67,19.71,19.16,19.67,97800,19.67,0.0
2011-09-27,20.13,20.66,20.01,20.22,146200,20.22,0.08999999999999986
2011-09-28,20.25,20.25,19.72,19.95,221200,19.95,-0.3000000000000007
2011-09-29,20.43,20.91,20.16,20.49,182600,20.49,0.05999999999999872
2011-09-30,20.17,20.7,19.98,20.01,204100,20.01,-0.16000000000000014
2011-10-03,19.82,19.97,18.86,18.86,227200,18.86,-0.9600000000000009
2011-10-04,18.78,19.82,18.78,19.77,238200,19.77,0.9899999999999984
2011-10-05,19.8,20.16,19.64,19.86,111700,19.86,0.05999999999999872
2011-10-06,19.78,20.22,19.78,20.21,117000,20.21,0.4299999999999997
2011-10-07,20.2,20.31,19.55,19.6,129000,19.6,-0.5999999999999979
2011-10-10,19.98,20.1,19.73,20.0,175600,20.0,0.019999999999999574
2011-10-11,19.84,20.31,19.8,20.22,177900,20.22,0.379999999999999
2011-10-12,20.33,20.56,20.24,20.34,203700,20.34,0.010000000000001563
2011-10-13,20.29,20.53,20.28,20.4,523200,20.4,0.10999999999999943
2011-10-14,20.64,20.87,20.37,20.49,224900,20.49,-0.15000000000000213
