Date,open,high,low,close,volume,adj_close,diff
2011-01-03,17.31,17.72,17.27,17.6,51500,12.86,0.2900000000000027
2011-01-04,17.75,17.99,17.06,17.15,51700,12.53,-0.6000000000000014
2011-01-05,17.2,17.68,17.2,17.54,18700,12.82,0.33999999999999986
2011-01-06,16.98,17.7,16.98,17.6,24600,12.86,0.620000000000001
2011-01-07,17.72,17.72,17.29,17.53,16800,12.81,-0.18999999999999773
2011-01-10,17.29,17.62,17.29,17.46,40500,12.76,0.1700000000000017
2011-01-11,17.45,17.62,17.08,17.29,34700,12.64,-0.16000000000000014
2011-01-12,17.34,17.49,17.31,17.36,30300,12.69,0.019999999999999574
2011-01-13,17.47,17.63,17.35,17.36,29000,12.69,-0.10999999999999943
2011-01-14,17.51,17.6,17.27,17.36,26200,12.69,-0.15000000000000213
2011-01-18,17.27,17.42,17.1,17.42,36900,12.73,0.15000000000000213
2011-01-19,17.34,17.37,16.33,16.59,79900,12.12,-0.75
2011-01-20,16.47,17.1,15.82,15.82,137900,11.56,-0.6499999999999986
2011-01-21,15.84,15.96,15.7,15.85,56700,11.58,0.009999999999999787
2011-01-24,15.84,16.66,15.8,16.32,41700,11.93,0.4800000000000004
2011-01-25,16.31,16.55,16.19,16.48,27500,12.04,0.1700000000000017
2011-01-26,16.6,16.86,16.48,16.57,21900,12.11,-0.030000000000001137
2011-01-27,16.63,16.86,16.33,16.65,23600,12.17,0.019999999999999574
2011-01-28,16.71,16.99,16.14,16.2,33300,11.84,-0.5100000000000016
2011-01-31,16.38,16.47,16.01,16.12,24400,11.78,-0.259999999999998
2011-02-01,16.2,16.47,16.1,16.11,45400,11.77,-0.08999999999999986
2011-02-02,16.15,16.69,16.15,16.51,8300,12.07,0.360000000000003
2011-02-03,16.55,17.14,16.4,17.03,19900,12.45,0.4800000000000004
2011-02-04,16.95,17.14,16.84,17.08,32000,12.48,0.129999999999999
2011-02-07,17.21,17.46,16.91,17.28,30400,12.63,0.07000000000000028
2011-02-08,17.28,17.35,16.4,17.35,21100,12.68,0.07000000000000028
2011-02-09,17.34,17.34,16.77,16.88,18800,12.34,-0.46000000000000085
2011-02-10,16.83,17.12,16.63,16.71,18000,12.21,-0.11999999999999744
2011-02-11,16.72,17.21,16.72,17.19,31400,12.56,0.4700000000000024
2011-02-14,17.2,17.32,17.03,17.04,19800,12.45,-0.16000000000000014
2011-02-15,16.96,17.18,16.74,16.97,16900,12.4,0.00999999999999801
2011-02-16,16.96,17.3,16.94,17.1,17800,12.5,0.14000000000000057
2011-02-17,17.14,17.3,16.88,17.24,21300,12.6,0.09999999999999787
2011-02-18,17.33,17.33,17.12,17.25,14200,12.61,-0.0799999999999983
2011-02-22,17.07,17.45,17.02,17.02,22200,12.44,-0.05000000000000071
2011-02-23,17.12,17.39,16.81,16.82,23900,12.29,-0.3000000000000007
2011-02-24,16.94,17.25,16.86,16.9,25900,12.35,-0.0400000000000027
