Date,open,high,low,close,volume,adj_close,diff
2013-06-21,1.6,1.67,1.54,1.6,8547400,1.6,0.0
2013-06-24,1.54,1.57,1.42,1.43,1504500,1.43,-0.1100000000000001
2013-06-25,1.48,1.51,1.47,1.49,633000,1.49,0.010000000000000009
2013-06-26,15.22,15.22,14.35,14.5,523000,14.5,-0.7200000000000006
2013-06-27,14.36,14.5,13.61,14.0,1065100,14.0,-0.35999999999999943
2013-06-28,14.18,14.22,13.63,13.97,1140000,13.97,-0.20999999999999908
2013-07-01,14.25,14.26,13.6,13.7,256800,13.7,-0.5500000000000007
2013-07-02,13.52,13.8,12.9,13.19,938500,13.19,-0.33000000000000007
2013-07-03,13.25,13.25,12.76,13.0,341500,13.0,-0.25
2013-07-05,13.2,13.35,12.71,13.23,319000,13.23,0.030000000000001137
2013-07-08,13.1,13.32,12.98,13.0,360300,13.0,-0.09999999999999964
2013-07-09,12.82,13.18,12.69,12.7,634900,12.7,-0.120000000000001
2013-07-10,12.6,12.76,12.34,12.45,719300,12.45,-0.15000000000000036
2013-07-11,12.6,13.15,12.6,13.09,918300,13.09,0.4900000000000002
2013-07-12,13.29,14.05,12.9,13.99,955200,13.99,0.7000000000000011
2013-07-15,14.05,14.35,13.99,14.0,437400,14.0,-0.05000000000000071
2013-07-16,14.28,14.29,12.87,13.3,2343500,13.3,-0.9799999999999986
2013-07-17,13.43,13.48,12.9,13.02,674300,13.02,-0.41000000000000014
2013-07-18,13.2,13.35,13.0,13.26,300500,13.26,0.0600000000000005
2013-07-19,13.27,13.34,12.94,13.03,473900,13.03,-0.2400000000000002
2013-07-22,13.02,13.27,12.82,12.91,319300,12.91,-0.10999999999999943
2013-07-23,12.76,13.05,12.72,13.03,341800,13.03,0.2699999999999996
2013-07-24,13.01,13.05,12.5,12.59,343200,12.59,-0.41999999999999993
2013-07-25,12.51,12.79,12.45,12.54,162200,12.54,0.02999999999999936
2013-07-26,12.5,12.73,12.26,12.33,224200,12.33,-0.16999999999999993
2013-07-29,12.35,12.46,12.01,12.17,351800,12.17,-0.17999999999999972
2013-07-30,12.3,12.36,12.02,12.09,237700,12.09,-0.21000000000000085
2013-07-31,12.18,12.18,11.8,12.03,448000,12.03,-0.15000000000000036
2013-08-01,12.1,12.2,11.91,12.05,306100,12.05,-0.049999999999998934
2013-08-02,12.1,12.33,11.98,12.04,106800,12.04,-0.0600000000000005
2013-08-05,12.0,12.7,11.96,12.63,525500,12.63,0.6300000000000008
2013-08-06,13.2,13.24,12.66,12.87,625700,12.87,-0.33000000000000007
2013-08-07,13.65,13.89,12.66,12.77,1421700,12.77,-0.8800000000000008
2013-08-08,12.98,13.03,11.85,11.98,675900,11.98,-1.0
2013-08-09,12.0,12.08,10.9,11.02,1024100,11.02,-0.9800000000000004
2013-08-12,11.02,11.18,10.39,10.45,821500,10.45,-0.5700000000000003
2013-08-13,10.57,10.88,10.41,10.76,900600,10.76,0.1899999999999995
2013-08-14,10.69,11.77,10.58,11.15,895100,11.15,0.46000000000000085
2013-08-15,11.27,11.98,11.07,11.39,503200,11.39,0.120000000000001
2013-08-16,11.36,11.47,11.07,11.33,255400,11.33,-0.02999999999999936
2013-08-19,11.34,11.34,10.67,10.75,253500,10.75,-0.5899999999999999
2013-08-20,10.93,11.2,10.16,10.17,809500,10.17,-0.7599999999999998
2013-08-21,10.17,10.24,9.71,9.98,1518200,9.98,-0.1899999999999995
2013-08-22,10.0,10.28,9.79,10.24,232400,10.24,0.2400000000000002
2013-08-23,10.43,10.43,10.12,10.29,537400,10.29,-0.14000000000000057
2013-08-26,10.34,10.39,10.11,10.27,277500,10.27,-0.07000000000000028
2013-08-27,10.18,10.26,10.1,10.18,351100,10.18,0.0
2013-08-28,10.23,10.86,10.2,10.73,607500,10.73,0.5
2013-08-29,11.1,11.44,10.87,11.22,881300,11.22,0.120000000000001
2013-08-30,11.45,11.49,11.07,11.3,362100,11.3,-0.14999999999999858
2013-09-03,11.89,11.9,11.05,11.29,456700,11.29,-0.6000000000000014
2013-09-04,11.45,11.54,11.18,11.33,199300,11.33,-0.11999999999999922
2013-09-05,11.54,12.02,11.24,11.76,784400,11.76,0.22000000000000064
2013-09-06,12.0,12.29,11.7,11.89,805700,11.89,-0.10999999999999943
2013-09-09,11.97,12.35,11.8,12.04,360000,12.04,0.06999999999999851
2013-09-10,12.29,12.36,12.07,12.25,543800,12.25,-0.03999999999999915
2013-09-11,12.41,13.75,12.28,13.57,3041700,13.57,1.1600000000000001
2013-09-12,14.03,14.98,13.75,13.95,3626700,13.95,-0.08000000000000007
2013-09-13,14.47,15.23,14.07,15.11,1949500,15.11,0.6399999999999988
2013-09-16,15.42,15.8,14.79,15.22,1983500,15.22,-0.1999999999999993
2013-09-17,15.22,15.78,15.0,15.73,1590200,15.73,0.5099999999999998
2013-09-18,15.67,16.49,15.6,16.45,1462400,16.45,0.7799999999999994
2013-09-19,17.01,19.11,16.8,18.01,2304700,18.01,1.0
