Date,open,high,low,close,volume,adj_close,diff
2012-02-15,25.3,25.4,25.3,25.4,8500,20.54,0.09999999999999787
2012-02-16,25.5,25.6,25.4,25.41,7400,20.67,-0.08999999999999986
2012-02-17,25.8,26.0,25.5,26.0,20500,21.15,0.1999999999999993
2012-02-21,26.0,26.75,26.0,26.75,1000,21.76,0.75
2012-02-22,26.72,27.0,25.99,26.74,16500,21.75,0.019999999999999574
2012-02-23,26.65,26.98,26.55,26.98,1300,21.95,0.33000000000000185
2012-02-24,26.35,26.68,26.31,26.68,1900,21.7,0.3299999999999983
2012-02-27,26.25,26.36,25.98,25.99,12100,21.14,-0.26000000000000156
2012-02-28,26.98,26.98,25.61,25.87,12900,21.04,-1.1099999999999994
2012-02-29,25.87,25.87,25.87,25.87,0,21.04,0.0
2012-03-01,25.97,25.97,25.01,25.9,6000,21.07,-0.07000000000000028
2012-03-02,25.9,25.9,25.9,25.9,0,21.07,0.0
2012-03-05,25.89,25.95,25.87,25.95,4800,21.11,0.05999999999999872
2012-03-06,25.89,26.74,25.62,25.95,5300,21.11,0.05999999999999872
2012-03-07,26.22,26.22,26.22,26.22,100,21.33,0.0
2012-03-08,25.99,25.99,25.78,25.99,3000,21.14,0.0
2012-03-09,25.91,25.95,25.66,25.95,800,21.11,0.03999999999999915
2012-03-12,25.68,25.72,25.52,25.58,6200,20.81,-0.10000000000000142
2012-03-13,25.52,26.24,25.51,25.75,1500,20.95,0.23000000000000043
2012-03-14,25.52,25.7,25.51,25.52,1500,20.76,0.0
2012-03-15,25.52,25.52,25.5,25.5,6000,20.74,-0.019999999999999574
2012-03-16,25.49,25.49,25.49,25.49,100,20.73,0.0
2012-03-19,25.37,25.5,25.09,25.5,8200,20.74,0.129999999999999
2012-03-20,25.5,25.5,25.5,25.5,0,20.86,0.0
2012-03-21,25.11,25.4,25.11,25.4,3100,20.78,0.28999999999999915
2012-03-22,25.4,25.4,25.4,25.4,0,20.78,0.0
2012-03-23,25.4,25.4,25.19,25.19,600,20.61,-0.2099999999999973
2012-03-26,25.2,25.2,25.01,25.2,2400,20.62,0.0
2012-03-27,25.2,25.37,25.05,25.24,2400,20.65,0.03999999999999915
2012-03-28,25.02,25.3,25.02,25.3,7700,20.7,0.28000000000000114
2012-03-29,25.26,25.27,25.15,25.15,2000,20.58,-0.11000000000000298
2012-03-30,25.15,25.27,25.14,25.15,2600,20.58,0.0
2012-04-02,25.15,25.15,25.15,25.15,0,20.58,0.0
2012-04-03,25.19,25.23,25.19,25.2,2100,20.62,0.00999999999999801
2012-04-04,25.15,25.15,25.04,25.04,5200,20.49,-0.10999999999999943
2012-04-05,25.86,25.86,25.17,25.18,2000,20.6,-0.6799999999999997
2012-04-09,25.25,25.25,25.25,25.25,3100,20.66,0.0
2012-04-10,25.25,25.25,25.25,25.25,0,20.66,0.0
2012-04-11,25.25,25.25,25.25,25.25,0,20.66,0.0
2012-04-12,25.44,25.56,25.26,25.26,4800,20.67,-0.17999999999999972
2012-04-13,25.71,25.71,25.67,25.67,700,21.0,-0.03999999999999915
2012-04-16,25.53,25.63,25.5,25.6,2500,20.94,0.07000000000000028
2012-04-17,25.6,25.6,25.6,25.6,400,20.94,0.0
2012-04-18,25.37,25.68,25.35,25.5,2800,20.98,0.129999999999999
2012-04-19,25.5,25.68,25.5,25.5,1100,20.98,0.0
2012-04-20,25.51,25.51,25.36,25.36,2600,20.87,-0.15000000000000213
2012-04-23,25.5,25.5,25.5,25.5,1000,20.98,0.0
2012-04-24,25.45,25.45,25.45,25.45,300,20.94,0.0
2012-04-25,25.66,25.7,25.64,25.64,2600,21.1,-0.019999999999999574
2012-04-26,25.64,25.64,25.64,25.64,0,21.1,0.0
2012-04-27,25.51,25.7,25.5,25.7,5100,21.15,0.18999999999999773
2012-04-30,25.7,25.7,25.7,25.7,0,21.15,0.0
2012-05-01,25.7,25.7,25.7,25.7,300,21.15,0.0
2012-05-02,25.7,25.87,25.7,25.87,400,21.29,0.1700000000000017
2012-05-03,25.6,25.85,25.6,25.85,1800,21.27,0.25
2012-05-04,25.88,26.25,25.85,25.85,2300,21.27,-0.029999999999997584
2012-05-07,25.85,25.85,25.61,25.61,2000,21.07,-0.240000000000002
2012-05-08,25.61,25.61,25.61,25.61,0,21.07,0.0
2012-05-09,25.85,25.86,25.85,25.85,2900,21.27,0.0
2012-05-10,25.65,25.65,25.6,25.6,1500,21.07,-0.04999999999999716
2012-05-11,25.54,25.54,25.5,25.5,900,20.98,-0.03999999999999915
2012-05-14,25.5,25.5,25.25,25.35,1000,20.86,-0.14999999999999858
2012-05-15,25.35,25.35,25.35,25.35,0,20.86,0.0
2012-05-16,25.53,25.53,25.53,25.53,200,21.13,0.0
2012-05-17,25.78,25.78,25.7,25.7,200,21.27,-0.08000000000000185
2012-05-18,25.5,25.5,25.5,25.5,800,21.11,0.0
2012-05-21,25.5,25.5,25.5,25.5,0,21.11,0.0
2012-05-22,25.98,25.98,25.6,25.6,2900,21.19,-0.379999999999999
2012-05-23,25.75,25.75,25.6,25.6,1000,21.19,-0.14999999999999858
2012-05-24,25.7,25.7,25.7,25.7,1000,21.27,0.0
2012-05-25,25.7,25.7,25.7,25.7,0,21.27,0.0
2012-05-29,25.65,25.65,25.65,25.65,600,21.23,0.0
2012-05-30,25.42,25.99,25.41,25.99,1900,21.51,0.5699999999999967
2012-05-31,25.6,25.63,25.6,25.6,2100,21.19,0.0
2012-06-01,25.65,25.65,25.4,25.4,1700,21.02,-0.25
2012-06-04,25.4,25.4,25.4,25.4,0,21.02,0.0
2012-06-05,25.5,25.5,25.32,25.32,1700,20.96,-0.17999999999999972
2012-06-06,25.61,25.63,25.21,25.21,5400,20.87,-0.3999999999999986
2012-06-07,25.21,25.21,25.21,25.21,200,20.87,0.0
2012-06-08,25.4,25.4,25.3,25.3,700,20.94,-0.09999999999999787
2012-06-11,25.3,25.3,25.3,25.3,0,20.94,0.0
2012-06-12,25.5,25.5,25.5,25.5,4500,21.11,0.0
2012-06-13,25.5,25.5,25.5,25.5,0,21.11,0.0
2012-06-14,25.64,25.64,25.5,25.5,3400,21.11,-0.14000000000000057
2012-06-15,25.63,25.64,25.5,25.55,2100,21.15,-0.0799999999999983
2012-06-18,25.51,25.51,25.51,25.51,100,21.24,0.0
2012-06-19,25.58,25.62,25.58,25.58,1000,21.3,0.0
2012-06-20,25.75,25.75,25.5,25.5,700,21.23,-0.25
2012-06-21,25.6,25.6,25.5,25.5,3800,21.23,-0.10000000000000142
2012-06-22,25.7,25.7,25.7,25.7,100,21.4,0.0
2012-06-25,25.6,25.6,25.5,25.6,1500,21.31,0.0
2012-06-26,25.5,25.5,25.5,25.5,400,21.23,0.0
2012-06-27,25.93,25.99,25.93,25.99,600,21.64,0.05999999999999872
2012-06-28,25.75,25.75,25.73,25.75,3200,21.44,0.0
2012-06-29,25.7,25.7,25.7,25.7,200,21.4,0.0
2012-07-02,25.9,25.99,25.83,25.93,1000,21.59,0.030000000000001137
2012-07-03,25.83,25.83,25.83,25.83,200,21.51,0.0
2012-07-05,25.65,25.68,25.5,25.55,2200,21.27,-0.09999999999999787
2012-07-06,25.55,25.55,25.55,25.55,0,21.27,0.0
2012-07-09,25.75,25.75,25.75,25.75,1000,21.44,0.0
2012-07-10,25.75,25.75,25.75,25.75,600,21.44,0.0
2012-07-11,25.93,26.04,25.9,26.04,5100,21.68,0.10999999999999943
2012-07-12,25.96,25.97,25.95,25.95,1800,21.61,-0.010000000000001563
2012-07-13,25.95,25.95,25.92,25.92,800,21.58,-0.029999999999997584
2012-07-16,26.12,26.12,26.12,26.12,200,21.75,0.0
2012-07-17,26.12,26.12,26.12,26.12,0,21.75,0.0
2012-07-18,25.53,25.95,25.53,25.95,1600,21.73,0.41999999999999815
2012-07-19,26.09,26.09,26.09,26.09,100,21.85,0.0
2012-07-20,25.97,26.04,25.97,26.04,600,21.8,0.07000000000000028
2012-07-23,26.04,26.04,26.04,26.04,0,21.8,0.0
2012-07-24,25.99,25.99,25.99,25.99,300,21.76,0.0
2012-07-25,25.9,25.9,25.56,25.56,500,21.4,-0.33999999999999986
2012-07-26,25.9,25.9,25.8,25.8,6700,21.6,-0.09999999999999787
2012-07-27,26.1,26.12,25.6,26.0,2900,21.77,-0.10000000000000142
2012-07-30,26.12,26.12,26.09,26.12,1400,21.87,0.0
2012-07-31,25.9,25.9,25.62,25.62,1600,21.45,-0.2799999999999976
2012-08-01,25.62,25.62,25.62,25.62,0,21.45,0.0
2012-08-02,25.69,25.69,25.69,25.69,200,21.51,0.0
2012-08-03,26.1,26.1,26.1,26.1,100,21.85,0.0
2012-08-06,26.1,26.1,26.1,26.1,0,21.85,0.0
2012-08-07,26.05,26.05,26.05,26.05,400,21.81,0.0
2012-08-08,26.05,26.05,26.05,26.05,0,21.81,0.0
2012-08-09,26.1,26.12,25.75,25.75,1100,21.56,-0.3500000000000014
2012-08-10,26.0,26.12,25.76,26.12,700,21.87,0.120000000000001
2012-08-13,26.09,26.09,25.8,25.9,1200,21.69,-0.19000000000000128
2012-08-14,25.8,25.8,25.8,25.8,400,21.6,0.0
2012-08-15,25.8,25.8,25.7,25.7,1100,21.52,-0.10000000000000142
2012-08-16,25.7,25.7,25.7,25.7,0,21.52,0.0
2012-08-17,25.7,25.7,25.7,25.7,0,21.52,0.0
2012-08-20,25.7,25.7,25.7,25.7,0,21.64,0.0
2012-08-21,25.8,25.8,25.8,25.8,500,21.73,0.0
2012-08-22,25.65,25.65,25.5,25.5,1000,21.48,-0.14999999999999858
2012-08-23,25.99,25.99,25.51,25.51,800,21.48,-0.4799999999999969
2012-08-24,26.06,26.06,26.06,26.06,200,21.95,0.0
2012-08-27,26.06,26.06,26.06,26.06,0,21.95,0.0
2012-08-28,26.06,26.06,26.06,26.06,0,21.95,0.0
2012-08-29,26.05,26.07,26.05,26.07,300,21.96,0.019999999999999574
2012-08-30,26.04,26.1,26.04,26.1,700,21.98,0.060000000000002274
2012-08-31,25.75,25.75,25.75,25.75,4200,21.69,0.0
2012-09-04,25.75,25.75,25.75,25.75,0,21.69,0.0
2012-09-05,25.68,25.75,25.65,25.75,1500,21.69,0.07000000000000028
2012-09-06,26.0,26.0,25.57,25.57,2600,21.53,-0.4299999999999997
