Date,open,high,low,close,volume,adj_close,diff
2011-01-03,42.25,43.15,42.01,42.76,287200,40.94,0.509999999999998
2011-01-04,42.94,42.94,41.28,41.66,493200,39.89,-1.2800000000000011
2011-01-05,41.45,42.57,41.26,41.46,247900,39.7,0.00999999999999801
2011-01-06,41.39,41.44,40.11,40.45,261800,38.73,-0.9399999999999977
2011-01-07,40.45,40.63,39.33,40.39,511200,38.67,-0.060000000000002274
2011-01-10,40.05,40.55,39.62,40.34,163600,38.62,0.29000000000000625
2011-01-11,40.53,40.91,39.48,40.23,222900,38.52,-0.30000000000000426
2011-01-12,40.63,41.13,40.36,40.77,227800,39.04,0.14000000000000057
2011-01-13,40.84,40.96,40.37,40.58,251200,38.85,-0.2600000000000051
2011-01-14,40.4,40.61,39.8,40.42,232900,38.7,0.020000000000003126
2011-01-18,40.27,40.27,39.55,39.78,233000,38.09,-0.490000000000002
2011-01-19,39.68,39.72,38.54,38.73,266400,37.08,-0.9500000000000028
2011-01-20,38.6,39.89,38.21,38.86,445900,37.21,0.259999999999998
2011-01-21,39.13,39.42,38.22,38.29,306200,36.66,-0.8400000000000034
2011-01-24,38.24,38.77,38.12,38.5,191700,36.86,0.259999999999998
2011-01-25,38.23,38.44,37.32,38.42,299200,36.79,0.19000000000000483
2011-01-26,38.62,39.43,37.75,39.3,303800,37.63,0.6799999999999997
2011-01-27,39.25,39.35,38.62,39.31,419300,37.64,0.060000000000002274
2011-01-28,39.26,39.34,37.97,38.13,308000,36.51,-1.1299999999999955
2011-01-31,38.36,38.54,37.62,37.84,229800,36.23,-0.519999999999996
2011-02-01,38.25,39.16,37.85,38.8,305700,37.15,0.5499999999999972
2011-02-02,38.59,39.57,37.93,37.96,296400,36.35,-0.6300000000000026
2011-02-03,38.11,39.88,38.11,39.49,474600,37.81,1.3800000000000026
2011-02-04,39.41,41.08,39.06,40.74,432100,39.01,1.3300000000000054
2011-02-07,40.9,41.75,40.72,40.9,281700,39.16,0.0
2011-02-08,40.87,41.42,40.87,41.4,247200,39.64,0.5300000000000011
2011-02-09,41.36,42.18,40.76,41.08,321600,39.33,-0.28000000000000114
2011-02-10,41.03,41.03,38.36,39.0,730300,37.34,-2.030000000000001
2011-02-11,38.96,39.87,38.75,39.75,418900,38.06,0.7899999999999991
2011-02-14,39.93,39.93,39.3,39.35,201800,37.68,-0.5799999999999983
2011-02-15,39.27,39.49,38.7,39.03,280300,37.37,-0.240000000000002
2011-02-16,39.12,41.39,39.12,40.91,421700,39.17,1.7899999999999991
2011-02-17,40.95,41.14,40.45,40.8,268200,39.06,-0.15000000000000568
2011-02-18,41.0,42.34,40.78,42.12,295200,40.33,1.1199999999999974
2011-02-22,41.53,42.6,41.23,42.02,596400,40.23,0.490000000000002
2011-02-23,41.91,42.12,40.08,41.41,490800,39.65,-0.5
2011-02-24,41.42,41.81,40.25,41.04,724700,39.29,-0.38000000000000256
2011-02-25,41.25,42.89,41.25,42.44,304400,40.74,1.1899999999999977
2011-02-28,42.64,42.97,41.62,42.25,238000,40.56,-0.39000000000000057
2011-03-01,42.28,42.63,40.19,40.8,340400,39.17,-1.480000000000004
2011-03-02,40.65,41.3,40.1,40.55,306900,38.93,-0.10000000000000142
2011-03-03,41.07,42.11,40.51,41.88,200700,40.21,0.8100000000000023
2011-03-04,41.96,41.96,40.34,40.97,247400,39.33,-0.990000000000002
2011-03-07,41.21,41.45,39.79,39.8,363900,38.21,-1.4100000000000037
2011-03-08,39.92,40.99,39.64,40.45,369600,38.83,0.5300000000000011
2011-03-09,40.5,41.29,40.33,40.7,472400,39.07,0.20000000000000284
2011-03-10,40.18,40.74,39.91,40.6,371600,38.98,0.4200000000000017
2011-03-11,40.24,41.21,39.55,40.9,340400,39.27,0.6599999999999966
2011-03-14,40.37,40.72,39.48,40.5,556500,38.88,0.13000000000000256
2011-03-15,39.32,40.34,38.95,39.73,493200,38.14,0.4099999999999966
2011-03-16,39.66,40.03,39.02,39.78,696500,38.19,0.12000000000000455
2011-03-17,40.28,40.49,39.35,39.45,361600,37.87,-0.8299999999999983
2011-03-18,39.68,40.01,39.07,39.63,1181800,38.05,-0.04999999999999716
2011-03-21,40.03,40.47,39.55,40.02,425200,38.42,-0.00999999999999801
2011-03-22,40.14,40.27,39.38,39.46,523800,37.88,-0.6799999999999997
2011-03-23,39.31,39.52,38.51,39.44,540700,37.86,0.12999999999999545
2011-03-24,39.66,40.38,39.5,40.18,300300,38.57,0.5200000000000031
2011-03-25,40.44,42.12,40.4,41.59,317100,39.93,1.1500000000000057
2011-03-28,41.7,42.37,40.84,41.41,289800,39.76,-0.29000000000000625
2011-03-29,41.02,42.0,40.89,41.68,352400,40.01,0.6599999999999966
2011-03-30,41.9,42.48,41.74,42.41,280500,40.72,0.509999999999998
2011-03-31,42.2,42.84,41.42,42.8,321400,41.09,0.5999999999999943
2011-04-01,43.0,43.65,42.62,42.79,222000,41.08,-0.21000000000000085
2011-04-04,42.8,43.2,42.26,42.73,180000,41.02,-0.07000000000000028
2011-04-05,42.67,44.0,42.63,43.6,421300,41.86,0.9299999999999997
2011-04-06,43.75,44.19,43.1,43.51,168000,41.77,-0.240000000000002
2011-04-07,43.55,44.15,42.97,43.23,291200,41.5,-0.3200000000000003
2011-04-08,43.45,43.5,41.47,42.15,255400,40.47,-1.3000000000000043
2011-04-11,42.19,42.26,41.62,41.84,211600,40.17,-0.3499999999999943
2011-04-12,41.63,42.05,40.75,40.9,375900,39.27,-0.730000000000004
2011-04-13,41.19,41.31,40.68,41.14,268900,39.5,-0.04999999999999716
2011-04-14,40.89,41.08,40.38,40.58,292000,38.96,-0.3100000000000023
2011-04-15,40.51,40.73,40.11,40.46,217000,38.84,-0.04999999999999716
2011-04-18,39.86,40.11,39.23,39.97,203500,38.37,0.10999999999999943
2011-04-19,40.09,40.1,39.32,39.61,166300,38.03,-0.480000000000004
2011-04-20,40.24,41.68,40.18,41.61,286700,39.95,1.3699999999999974
2011-04-21,41.74,42.37,40.88,42.31,289600,40.62,0.5700000000000003
2011-04-25,44.51,44.51,42.53,43.0,599800,41.28,-1.509999999999998
2011-04-26,38.95,42.44,38.3,39.49,1108500,37.91,0.5399999999999991
2011-04-27,39.44,40.78,39.44,40.68,431700,39.05,1.240000000000002
2011-04-28,40.95,42.71,40.61,42.65,1000600,40.95,1.6999999999999957
2011-04-29,42.76,44.98,42.66,43.04,874000,41.32,0.28000000000000114
2011-05-02,43.0,43.01,41.59,41.73,441400,40.06,-1.2700000000000031
2011-05-03,41.66,41.9,40.69,41.41,268000,39.76,-0.25
2011-05-04,41.45,41.95,41.05,41.73,326600,40.06,0.27999999999999403
2011-05-05,41.46,42.62,41.22,41.66,322100,40.0,0.19999999999999574
2011-05-06,42.15,42.23,40.61,40.68,281400,39.05,-1.4699999999999989
2011-05-09,40.71,41.27,40.38,41.15,164000,39.51,0.4399999999999977
2011-05-10,41.37,42.16,41.24,41.96,171500,40.28,0.5900000000000034
2011-05-11,41.9,42.13,40.94,41.37,234100,39.72,-0.5300000000000011
2011-05-12,41.18,41.99,40.81,41.89,183000,40.22,0.7100000000000009
2011-05-13,41.85,41.99,41.02,41.24,254500,39.59,-0.6099999999999994
2011-05-16,41.07,41.07,40.24,40.28,214200,38.67,-0.7899999999999991
2011-05-17,40.09,40.51,39.12,39.3,256200,37.73,-0.7900000000000063
