Date,open,high,low,close,volume,adj_close,diff
2011-01-03,46.54,47.42,46.54,46.79,544700,46.49,0.25
2011-01-04,46.91,46.91,45.57,45.87,801400,45.58,-1.0399999999999991
2011-01-05,45.97,46.5,45.7,46.18,703800,45.89,0.21000000000000085
2011-01-06,46.38,46.79,45.89,45.92,866700,45.63,-0.46000000000000085
2011-01-07,47.1,47.8,46.62,47.47,1419100,47.17,0.36999999999999744
2011-01-10,47.26,48.0,46.88,47.74,645800,47.44,0.480000000000004
2011-01-11,47.81,48.0,47.35,47.51,584000,47.21,-0.30000000000000426
2011-01-12,47.83,47.85,47.41,47.52,588800,47.22,-0.30999999999999517
2011-01-13,47.42,47.61,46.96,47.12,517600,46.82,-0.30000000000000426
2011-01-14,47.14,47.39,47.05,47.29,912400,46.99,0.14999999999999858
2011-01-18,47.13,47.85,46.78,47.84,840500,47.54,0.7100000000000009
2011-01-19,47.69,48.75,47.64,47.71,718100,47.41,0.020000000000003126
2011-01-20,47.58,47.75,46.49,47.03,528700,46.73,-0.5499999999999972
2011-01-21,47.26,47.33,46.51,46.58,382800,46.28,-0.6799999999999997
2011-01-24,46.67,47.46,46.48,47.19,416300,46.89,0.519999999999996
2011-01-25,47.12,47.52,46.77,47.52,444200,47.22,0.4000000000000057
2011-01-26,47.67,47.91,47.34,47.45,232700,47.15,-0.21999999999999886
2011-01-27,47.46,47.77,47.32,47.64,267000,47.34,0.17999999999999972
2011-01-28,47.67,47.88,46.68,46.82,399600,46.52,-0.8500000000000014
2011-01-31,46.78,47.71,46.69,47.24,484000,46.94,0.46000000000000085
2011-02-01,47.27,48.2,47.27,48.02,483700,47.71,0.75
2011-02-02,47.87,48.6,47.68,47.95,413000,47.64,0.0800000000000054
2011-02-03,47.85,48.48,47.44,48.21,463900,47.9,0.35999999999999943
2011-02-04,48.11,48.79,48.06,48.64,542300,48.33,0.5300000000000011
2011-02-07,48.73,48.86,48.39,48.67,459500,48.36,-0.05999999999999517
2011-02-08,48.7,49.51,48.52,49.43,655600,49.12,0.7299999999999969
2011-02-09,49.19,49.47,48.75,48.77,404800,48.46,-0.4199999999999946
2011-02-10,48.45,48.93,48.45,48.85,405500,48.56,0.3999999999999986
2011-02-11,48.75,49.4,48.61,49.34,167100,49.05,0.5900000000000034
2011-02-14,49.42,49.7,49.1,49.66,228700,49.36,0.23999999999999488
2011-02-15,49.51,49.8,49.22,49.64,291800,49.34,0.13000000000000256
2011-02-16,49.75,49.95,49.4,49.57,272500,49.27,-0.17999999999999972
2011-02-17,49.46,49.63,49.23,49.39,214600,49.1,-0.07000000000000028
