Date,open,high,low,close,volume,adj_close,diff
2011-01-03,2.31,2.87,2.31,2.79,2310900,2.72,0.48
2011-01-04,2.83,2.84,2.56,2.84,1275900,2.77,0.009999999999999787
2011-01-05,2.8,2.95,2.69,2.8,1056000,2.73,0.0
2011-01-06,2.87,2.87,2.74,2.77,421000,2.7,-0.10000000000000009
2011-01-07,2.76,2.81,2.68,2.8,437600,2.73,0.040000000000000036
2011-01-10,2.8,3.24,2.73,3.19,1924300,3.11,0.3900000000000001
2011-01-11,3.21,3.25,3.03,3.05,921900,2.97,-0.16000000000000014
2011-01-12,3.13,3.15,3.04,3.05,522800,2.97,-0.08000000000000007
2011-01-13,3.07,3.15,3.04,3.15,426700,3.07,0.08000000000000007
2011-01-14,3.15,3.52,3.12,3.47,2160300,3.38,0.3200000000000003
2011-01-18,3.44,3.51,3.32,3.46,749100,3.37,0.020000000000000018
2011-01-19,3.5,3.5,3.25,3.35,868400,3.26,-0.1499999999999999
2011-01-20,3.26,3.48,3.22,3.39,551000,3.3,0.13000000000000034
2011-01-21,3.37,3.43,3.33,3.35,391100,3.26,-0.020000000000000018
2011-01-24,3.37,3.6,3.33,3.5,718900,3.41,0.1299999999999999
2011-01-25,3.5,3.51,3.33,3.43,438800,3.34,-0.06999999999999984
2011-01-26,3.5,3.67,3.45,3.55,484400,3.46,0.04999999999999982
2011-01-27,3.56,3.71,3.56,3.65,367100,3.56,0.08999999999999986
2011-01-28,3.68,3.72,3.5,3.53,335200,3.44,-0.15000000000000036
2011-01-31,3.52,3.6,3.47,3.53,510400,3.44,0.009999999999999787
2011-02-01,3.55,3.74,3.5,3.67,434900,3.58,0.1200000000000001
2011-02-02,3.72,3.85,3.7,3.71,535800,3.61,-0.010000000000000231
2011-02-03,3.7,3.82,3.64,3.81,183700,3.71,0.10999999999999988
2011-02-04,3.85,4.2,3.76,4.13,703600,4.02,0.2799999999999998
2011-02-07,4.15,4.87,4.15,4.6,1535500,4.48,0.4499999999999993
2011-02-08,4.6,4.75,4.5,4.63,598000,4.51,0.03000000000000025
2011-02-09,4.56,4.73,4.53,4.67,434000,4.55,0.11000000000000032
2011-02-10,4.59,4.7,4.5,4.62,454800,4.5,0.03000000000000025
2011-02-11,4.58,4.93,4.58,4.89,532900,4.76,0.3099999999999996
2011-02-14,4.85,5.35,4.85,5.3,914600,5.16,0.4500000000000002
2011-02-15,5.3,5.31,4.9,5.15,1008300,5.02,-0.14999999999999947
2011-02-16,5.19,5.5,5.19,5.31,637900,5.17,0.11999999999999922
2011-02-17,5.32,5.37,5.28,5.31,665500,5.17,-0.010000000000000675
2011-02-18,5.32,5.34,5.08,5.1,919500,4.97,-0.22000000000000064
2011-02-22,4.97,5.09,4.5,4.65,1748100,4.53,-0.3199999999999994
2011-02-23,4.72,4.95,4.51,4.83,920000,4.71,0.11000000000000032
2011-02-24,4.75,5.35,4.75,5.16,1076200,5.03,0.41000000000000014
2011-02-25,5.3,5.47,5.09,5.3,819500,5.16,0.0
2011-02-28,5.45,5.45,5.25,5.26,506300,5.13,-0.1900000000000004
2011-03-01,5.28,5.55,5.15,5.24,872500,5.11,-0.040000000000000036
2011-03-02,5.24,5.43,5.1,5.17,641900,5.04,-0.07000000000000028
2011-03-03,5.3,5.42,5.11,5.2,578000,5.07,-0.09999999999999964
2011-03-04,5.35,5.35,5.0,5.19,413000,5.06,-0.15999999999999925
2011-03-07,5.18,5.2,4.77,4.91,830600,4.78,-0.2699999999999996
2011-03-08,4.89,5.02,4.58,4.98,910200,4.85,0.09000000000000075
2011-03-09,4.98,4.98,4.72,4.73,400400,4.61,-0.25
2011-03-10,4.79,4.79,4.33,4.72,860700,4.6,-0.07000000000000028
2011-03-11,5.11,5.11,4.5,4.9,663900,4.77,-0.20999999999999996
2011-03-14,4.41,4.69,4.22,4.68,1000700,4.56,0.2699999999999996
2011-03-15,4.48,4.6,4.21,4.31,890800,4.2,-0.17000000000000082
2011-03-16,4.32,4.45,3.88,4.01,1644600,3.91,-0.3100000000000005
2011-03-17,4.04,4.34,4.04,4.18,1022100,4.07,0.13999999999999968
2011-03-18,4.33,4.37,4.07,4.1,912000,3.99,-0.23000000000000043
2011-03-21,4.24,4.3,4.07,4.19,456300,4.08,-0.04999999999999982
2011-03-22,4.13,4.18,4.04,4.06,328000,3.96,-0.07000000000000028
2011-03-23,4.02,4.08,3.72,3.79,836800,3.69,-0.22999999999999954
2011-03-24,3.79,3.96,3.75,3.92,452100,3.82,0.1299999999999999
2011-03-25,3.97,4.43,3.96,4.39,1809900,4.28,0.4199999999999995
2011-03-28,4.51,4.75,4.45,4.48,1267800,4.37,-0.02999999999999936
2011-03-29,4.54,4.58,4.06,4.07,1523900,3.97,-0.46999999999999975
2011-03-30,4.11,4.22,3.99,4.16,1160200,4.05,0.04999999999999982
2011-03-31,4.18,4.26,4.12,4.24,306800,4.13,0.0600000000000005
2011-04-01,4.29,4.31,4.08,4.12,682900,4.01,-0.16999999999999993
2011-04-04,4.13,4.21,3.99,4.08,880000,3.98,-0.04999999999999982
2011-04-05,4.15,4.2,4.11,4.18,581700,4.07,0.02999999999999936
2011-04-06,4.27,4.27,4.12,4.16,453200,4.05,-0.10999999999999943
2011-04-07,4.18,4.35,4.18,4.26,593500,4.15,0.08000000000000007
2011-04-08,4.27,4.29,3.91,4.05,732700,3.95,-0.21999999999999975
2011-04-11,4.22,4.22,4.0,4.03,353400,3.93,-0.1899999999999995
2011-04-12,4.0,4.02,3.85,3.93,342900,3.83,-0.06999999999999984
2011-04-13,3.91,3.96,3.85,3.86,213400,3.76,-0.050000000000000266
2011-04-14,3.83,3.99,3.83,3.94,247300,3.84,0.10999999999999988
2011-04-15,3.95,4.1,3.95,3.96,256100,3.86,0.009999999999999787
2011-04-18,3.6,3.65,2.51,2.8,4075600,2.73,-0.8000000000000003
2011-04-19,2.76,3.05,2.72,3.01,1018000,2.93,0.25
2011-04-20,3.1,3.1,2.95,3.01,554900,2.93,-0.0900000000000003
2011-04-21,3.0,3.0,2.8,2.84,572500,2.77,-0.16000000000000014
2011-04-25,2.82,2.86,2.58,2.62,1138700,2.55,-0.19999999999999973
2011-04-26,2.65,3.04,2.65,3.03,917100,2.95,0.3799999999999999
2011-04-27,3.04,3.08,2.85,2.95,636300,2.87,-0.08999999999999986
2011-04-28,2.95,3.08,2.92,3.05,583900,2.97,0.09999999999999964
2011-04-29,3.01,3.1,2.83,2.99,253000,2.91,-0.019999999999999574
2011-05-02,3.0,3.01,2.83,2.86,338600,2.79,-0.14000000000000012
2011-05-03,2.83,2.98,2.8,2.98,290000,2.9,0.1499999999999999
2011-05-04,2.97,2.99,2.7,2.76,462900,2.69,-0.2100000000000004
2011-05-05,2.76,2.81,2.67,2.72,337300,2.65,-0.03999999999999959
2011-05-06,2.77,2.78,2.67,2.7,207600,2.63,-0.06999999999999984
2011-05-09,2.29,2.55,2.06,2.34,2100500,2.28,0.04999999999999982
2011-05-10,2.34,2.4,2.2,2.27,1089900,2.21,-0.06999999999999984
2011-05-11,2.29,2.32,2.21,2.24,702900,2.18,-0.04999999999999982
2011-05-12,2.24,2.25,1.94,2.19,1200000,2.13,-0.050000000000000266
2011-05-13,2.13,2.22,2.12,2.2,251400,2.14,0.07000000000000028
2011-05-16,2.17,2.34,2.17,2.18,324000,2.12,0.010000000000000231
2011-05-17,2.16,2.23,2.1,2.18,252800,2.12,0.020000000000000018
2011-05-18,2.16,2.2,2.13,2.18,224300,2.12,0.020000000000000018
2011-05-19,2.22,2.44,2.19,2.2,623700,2.14,-0.020000000000000018
2011-05-20,2.17,2.18,2.11,2.15,234900,2.09,-0.020000000000000018
2011-05-23,2.1,2.14,2.04,2.05,263300,2.0,-0.050000000000000266
2011-05-24,2.05,2.09,2.02,2.02,153800,1.97,-0.029999999999999805
2011-05-25,2.02,2.09,1.98,2.08,297600,2.03,0.06000000000000005
2011-05-26,2.08,2.26,2.08,2.2,454300,2.14,0.1200000000000001
2011-05-27,2.2,2.36,2.13,2.35,385700,2.29,0.1499999999999999
2011-05-31,2.51,2.51,2.35,2.37,388300,2.31,-0.13999999999999968
2011-06-01,2.38,2.45,2.23,2.23,463100,2.17,-0.1499999999999999
2011-06-02,2.25,2.31,2.23,2.23,352900,2.17,-0.020000000000000018
2011-06-03,2.23,2.27,2.19,2.19,385200,2.13,-0.040000000000000036
2011-06-06,2.24,2.25,2.2,2.25,311900,2.19,0.009999999999999787
2011-06-07,2.27,2.34,2.23,2.25,241900,2.19,-0.020000000000000018
2011-06-08,2.25,2.55,2.25,2.51,583900,2.45,0.2599999999999998
2011-06-09,2.59,2.96,2.52,2.88,1119200,2.81,0.29000000000000004
2011-06-10,2.9,2.98,2.73,2.77,673500,2.7,-0.1299999999999999
2011-06-13,2.78,2.81,2.48,2.53,648800,2.47,-0.25
2011-06-14,2.56,2.77,2.55,2.76,360200,2.69,0.19999999999999973
2011-06-15,2.71,2.74,2.6,2.74,231400,2.67,0.03000000000000025
2011-06-16,2.74,2.74,2.58,2.63,238400,2.56,-0.11000000000000032
2011-06-17,2.68,2.85,2.68,2.79,400400,2.72,0.10999999999999988
2011-06-20,2.75,2.78,2.67,2.73,288800,2.66,-0.020000000000000018
2011-06-21,2.74,2.9,2.73,2.8,202400,2.73,0.05999999999999961
2011-06-22,2.78,2.85,2.7,2.81,197000,2.74,0.03000000000000025
2011-06-23,2.71,3.13,2.7,3.06,721400,2.98,0.3500000000000001
2011-06-24,3.21,3.21,2.93,3.02,646400,2.94,-0.18999999999999995
2011-06-27,3.01,3.03,2.76,2.95,345000,2.87,-0.05999999999999961
2011-06-28,2.96,2.98,2.88,2.9,214500,2.83,-0.06000000000000005
2011-06-29,2.89,3.02,2.87,3.0,485800,2.92,0.10999999999999988
2011-06-30,2.98,3.11,2.97,3.03,338000,2.95,0.04999999999999982
2011-07-01,3.0,3.07,2.95,3.06,255400,2.98,0.06000000000000005
2011-07-05,3.02,3.11,3.0,3.04,332200,2.96,0.020000000000000018
2011-07-06,3.03,3.06,2.87,2.92,444700,2.85,-0.10999999999999988
2011-07-07,3.04,3.04,2.91,2.94,225200,2.86,-0.10000000000000009
2011-07-08,2.88,2.9,2.82,2.85,269200,2.78,-0.029999999999999805
2011-07-11,2.85,2.85,2.71,2.77,213000,2.7,-0.08000000000000007
2011-07-12,2.79,3.03,2.79,2.96,497100,2.88,0.16999999999999993
2011-07-13,2.98,3.07,2.91,2.95,405800,2.87,-0.029999999999999805
2011-07-14,2.98,3.0,2.86,2.86,145000,2.79,-0.1200000000000001
2011-07-15,2.88,3.03,2.82,3.0,233900,2.92,0.1200000000000001
2011-07-18,2.99,2.99,2.8,2.81,262400,2.74,-0.18000000000000016
2011-07-19,2.82,2.9,2.8,2.82,285800,2.75,0.0
2011-07-20,2.82,2.86,2.74,2.84,132200,2.77,0.020000000000000018
2011-07-21,2.86,2.9,2.74,2.87,250200,2.8,0.010000000000000231
2011-07-22,2.87,2.99,2.87,2.97,179900,2.89,0.10000000000000009
2011-07-25,2.88,2.94,2.79,2.89,230400,2.82,0.010000000000000231
2011-07-26,2.9,2.92,2.85,2.88,224000,2.81,-0.020000000000000018
2011-07-27,2.87,2.88,2.8,2.81,309900,2.74,-0.06000000000000005
2011-07-28,2.79,2.86,2.75,2.75,203200,2.68,-0.040000000000000036
2011-07-29,2.72,2.82,2.67,2.74,344700,2.67,0.020000000000000018
2011-08-01,2.81,2.84,2.76,2.76,123000,2.69,-0.050000000000000266
2011-08-02,2.75,2.8,2.7,2.72,252500,2.65,-0.029999999999999805
2011-08-03,2.72,2.75,2.6,2.72,210500,2.65,0.0
2011-08-04,2.73,2.73,2.41,2.43,560800,2.37,-0.2999999999999998
2011-08-05,2.4,2.54,2.2,2.5,367500,2.44,0.10000000000000009
2011-08-08,2.25,2.45,2.2,2.35,625900,2.29,0.10000000000000009
2011-08-09,2.48,2.65,2.4,2.61,486500,2.54,0.1299999999999999
2011-08-10,2.36,2.61,2.36,2.42,186700,2.36,0.06000000000000005
2011-08-11,2.45,2.69,2.35,2.66,349400,2.59,0.20999999999999996
2011-08-12,2.72,2.72,2.57,2.62,142600,2.55,-0.10000000000000009
2011-08-15,2.68,2.74,2.57,2.64,166000,2.57,-0.040000000000000036
2011-08-16,2.63,2.65,2.57,2.63,116800,2.56,0.0
2011-08-17,2.64,2.66,2.56,2.59,109500,2.52,-0.050000000000000266
2011-08-18,2.52,2.52,2.37,2.42,206200,2.36,-0.10000000000000009
2011-08-19,2.35,2.48,2.35,2.39,168600,2.33,0.040000000000000036
2011-08-22,2.46,2.52,2.33,2.42,137500,2.36,-0.040000000000000036
2011-08-23,2.43,2.54,2.39,2.5,179800,2.44,0.06999999999999984
2011-08-24,2.5,2.69,2.49,2.69,274600,2.62,0.18999999999999995
2011-08-25,2.75,2.91,2.61,2.9,442300,2.83,0.1499999999999999
2011-08-26,2.86,2.89,2.72,2.81,542000,2.74,-0.04999999999999982
2011-08-29,2.82,2.9,2.81,2.84,188800,2.77,0.020000000000000018
2011-08-30,2.8,2.84,2.72,2.82,256800,2.75,0.020000000000000018
2011-08-31,2.83,2.91,2.79,2.85,368100,2.78,0.020000000000000018
2011-09-01,2.85,2.92,2.79,2.81,100100,2.74,-0.040000000000000036
2011-09-02,3.04,3.29,3.0,3.17,1621500,3.09,0.1299999999999999
2011-09-06,3.12,3.23,2.95,3.05,593400,2.97,-0.07000000000000028
2011-09-07,3.12,3.2,3.05,3.14,441500,3.06,0.020000000000000018
2011-09-08,3.09,3.62,3.09,3.55,956500,3.46,0.45999999999999996
2011-09-09,3.64,3.64,3.31,3.38,610100,3.29,-0.26000000000000023
2011-09-12,3.28,3.35,3.14,3.3,409400,3.22,0.020000000000000018
2011-09-13,3.32,3.5,3.3,3.39,272200,3.3,0.07000000000000028
2011-09-14,3.41,3.96,3.2,3.72,2342800,3.62,0.31000000000000005
2011-09-15,3.82,3.86,3.45,3.48,956900,3.39,-0.33999999999999986
2011-09-16,3.47,3.54,3.36,3.38,412700,3.29,-0.0900000000000003
2011-09-19,3.32,3.48,3.16,3.43,500000,3.34,0.11000000000000032
2011-09-20,3.42,3.44,3.21,3.23,789300,3.15,-0.18999999999999995
2011-09-21,3.2,3.26,3.17,3.22,401900,3.14,0.020000000000000018
2011-09-22,3.19,3.2,2.95,3.11,729400,3.03,-0.08000000000000007
2011-09-23,3.1,3.14,2.92,3.11,729300,3.03,0.009999999999999787
2011-09-26,3.11,3.2,3.0,3.13,382300,3.05,0.020000000000000018
2011-09-27,3.25,3.3,3.19,3.2,356100,3.12,-0.04999999999999982
2011-09-28,3.2,3.2,2.95,2.98,328100,2.9,-0.2200000000000002
2011-09-29,3.05,3.1,2.97,3.08,203800,3.0,0.03000000000000025
2011-09-30,3.03,3.14,2.99,3.14,256300,3.06,0.11000000000000032
2011-10-03,3.09,3.1,2.75,2.77,628300,2.7,-0.31999999999999984
2011-10-04,2.7,2.95,2.57,2.92,634400,2.85,0.21999999999999975
2011-10-05,2.91,3.15,2.89,3.11,205900,3.03,0.19999999999999973
2011-10-06,3.05,3.1,2.9,3.0,309700,2.92,-0.04999999999999982
2011-10-07,3.0,3.07,2.86,2.93,218200,2.85,-0.06999999999999984
2011-10-10,2.98,3.12,2.92,3.09,140200,3.01,0.10999999999999988
2011-10-11,3.26,3.32,3.02,3.16,256400,3.08,-0.09999999999999964
2011-10-12,3.18,3.33,3.12,3.22,438000,3.14,0.040000000000000036
2011-10-13,3.16,3.2,3.09,3.12,155600,3.04,-0.040000000000000036
2011-10-14,3.15,3.17,3.07,3.1,196200,3.02,-0.04999999999999982
2011-10-17,3.05,3.06,2.85,2.86,402500,2.79,-0.18999999999999995
