Date,open,high,low,close,volume,adj_close,diff
2011-01-03,22.34,22.35,21.93,21.99,3300,18.89,-0.3500000000000014
2011-01-04,22.0,22.1,22.0,22.1,600,18.98,0.10000000000000142
2011-01-05,22.11,22.39,22.11,22.37,4000,19.22,0.26000000000000156
2011-01-06,22.25,22.25,22.25,22.25,1600,19.11,0.0
2011-01-07,22.32,22.37,22.3,22.3,1200,19.16,-0.019999999999999574
2011-01-10,22.3,22.3,22.3,22.3,0,19.16,0.0
2011-01-11,22.35,22.39,22.28,22.35,1100,19.2,0.0
2011-01-12,22.39,22.39,22.39,22.39,300,19.23,0.0
2011-01-13,22.39,22.39,22.39,22.39,1600,19.23,0.0
2011-01-14,22.18,22.18,22.18,22.18,300,19.05,0.0
2011-01-18,22.24,22.24,22.05,22.07,1600,18.96,-0.16999999999999815
2011-01-19,22.24,22.25,22.24,22.24,600,19.1,0.0
2011-01-20,22.24,22.24,22.09,22.13,1600,19.01,-0.10999999999999943
2011-01-21,22.13,22.13,22.13,22.13,0,19.01,0.0
2011-01-24,22.2,22.2,22.1,22.19,500,19.06,-0.00999999999999801
2011-01-25,22.37,22.39,22.37,22.38,1100,19.22,0.00999999999999801
2011-01-26,22.15,22.27,22.11,22.13,1000,19.01,-0.019999999999999574
2011-01-27,22.21,22.21,22.21,22.21,100,19.08,0.0
2011-01-28,22.38,22.39,22.08,22.25,2100,19.11,-0.129999999999999
2011-01-31,22.37,22.4,22.37,22.4,1600,19.24,0.029999999999997584
2011-02-01,22.16,22.16,22.16,22.16,300,19.03,0.0
2011-02-02,22.42,22.42,22.42,22.42,400,19.26,0.0
2011-02-03,22.18,22.18,22.17,22.17,400,19.04,-0.00999999999999801
2011-02-04,22.13,22.13,22.08,22.1,2400,18.98,-0.029999999999997584
2011-02-07,22.13,22.13,21.99,21.99,1600,18.89,-0.14000000000000057
2011-02-08,21.95,21.95,21.61,21.61,1100,18.56,-0.33999999999999986
2011-02-09,21.67,21.84,21.4,21.4,13100,18.38,-0.2700000000000031
2011-02-10,21.67,21.67,21.67,21.67,500,18.61,0.0
2011-02-11,21.4,21.49,21.29,21.49,1000,18.46,0.08999999999999986
2011-02-14,21.37,21.37,21.19,21.33,700,18.32,-0.0400000000000027
2011-02-15,21.33,21.33,21.33,21.33,0,18.32,0.0
2011-02-16,21.52,21.53,21.52,21.53,600,18.49,0.010000000000001563
2011-02-17,21.53,21.8,21.53,21.8,5100,18.73,0.2699999999999996
2011-02-18,21.74,21.74,21.29,21.29,2000,18.29,-0.4499999999999993
2011-02-22,21.37,21.37,21.35,21.35,200,18.34,-0.019999999999999574
2011-02-23,21.33,21.33,21.33,21.33,100,18.32,0.0
2011-02-24,21.43,21.43,21.39,21.4,700,18.38,-0.030000000000001137
2011-02-25,21.33,21.33,20.83,21.03,7200,18.06,-0.29999999999999716
2011-02-28,20.81,21.05,20.78,21.05,6200,18.08,0.240000000000002
2011-03-01,21.17,21.17,21.17,21.17,200,18.18,0.0
2011-03-02,21.31,21.33,21.31,21.33,1600,18.32,0.019999999999999574
2011-03-03,21.49,21.67,21.49,21.67,3200,18.61,0.18000000000000327
2011-03-04,21.46,21.46,21.46,21.46,200,18.43,0.0
2011-03-07,21.41,21.81,21.37,21.81,2100,18.73,0.3999999999999986
2011-03-08,21.82,21.98,21.82,21.98,6400,18.88,0.16000000000000014
2011-03-09,21.84,21.84,21.84,21.84,700,18.76,0.0
2011-03-10,21.89,21.89,21.69,21.69,3000,18.81,-0.1999999999999993
2011-03-11,21.69,21.69,21.69,21.69,0,18.81,0.0
2011-03-14,21.66,21.88,21.65,21.68,5600,18.8,0.019999999999999574
2011-03-15,21.97,22.03,21.97,22.02,1900,19.09,0.05000000000000071
2011-03-16,22.03,22.05,21.91,21.91,500,19.0,-0.120000000000001
2011-03-17,22.0,22.0,22.0,22.0,1300,19.07,0.0
2011-03-18,22.0,22.0,22.0,22.0,900,19.07,0.0
2011-03-21,22.0,22.0,22.0,22.0,0,19.07,0.0
2011-03-22,22.0,22.0,22.0,22.0,0,19.07,0.0
2011-03-23,22.3,22.32,22.01,22.32,1200,19.35,0.019999999999999574
2011-03-24,22.33,22.33,22.33,22.33,200,19.36,0.0
2011-03-25,22.35,22.35,22.13,22.33,6400,19.36,-0.020000000000003126
2011-03-28,22.21,22.35,22.21,22.21,3500,19.26,0.0
2011-03-29,22.11,22.12,21.79,21.79,3800,18.89,-0.3200000000000003
2011-03-30,21.77,21.77,21.77,21.77,500,18.88,0.0
2011-03-31,21.56,21.56,21.54,21.54,200,18.68,-0.019999999999999574
2011-04-01,21.51,21.88,21.5,21.88,2700,18.97,0.36999999999999744
2011-04-04,22.0,22.12,22.0,22.12,1700,19.18,0.120000000000001
2011-04-05,22.15,22.16,22.15,22.16,1100,19.21,0.010000000000001563
