Date,open,high,low,close,volume,adj_close,diff
2011-01-03,5.14,5.19,4.93,5.04,96400,40.32,-0.09999999999999964
2011-01-04,5.1,5.28,5.05,5.14,167900,41.12,0.040000000000000036
2011-01-05,5.18,5.39,5.1,5.35,115300,42.8,0.16999999999999993
2011-01-06,5.47,6.14,5.4,6.13,402300,49.04,0.6600000000000001
2011-01-07,6.12,6.85,5.53,6.36,695300,50.88,0.2400000000000002
2011-01-10,6.53,6.56,6.15,6.46,201900,51.68,-0.07000000000000028
2011-01-11,6.58,6.8,6.44,6.69,229300,53.52,0.11000000000000032
2011-01-12,6.81,6.96,6.71,6.88,238900,55.04,0.07000000000000028
2011-01-13,6.95,7.43,6.86,7.4,372300,59.2,0.4500000000000002
2011-01-14,7.49,7.78,6.83,7.04,679200,56.32,-0.4500000000000002
2011-01-18,6.89,6.89,5.55,5.85,1072300,46.8,-1.04
2011-01-19,5.77,6.15,5.64,5.84,331100,46.72,0.07000000000000028
2011-01-20,5.93,5.96,5.05,5.06,708700,40.48,-0.8700000000000001
2011-01-21,5.01,5.69,4.86,5.5,502200,44.0,0.4900000000000002
2011-01-24,5.55,6.05,5.4,5.73,358400,45.84,0.1800000000000006
2011-01-25,3.95,4.7,3.75,4.38,1234700,35.04,0.4299999999999997
2011-01-26,4.4,4.56,3.95,4.25,556000,34.0,-0.15000000000000036
2011-01-27,4.21,4.24,3.95,4.13,238600,33.04,-0.08000000000000007
2011-01-28,4.07,4.08,3.81,3.91,306600,31.28,-0.16000000000000014
2011-01-31,3.99,4.23,3.86,4.17,333300,33.36,0.17999999999999972
2011-02-01,4.17,4.75,4.15,4.5,429200,36.0,0.33000000000000007
2011-02-02,4.5,5.1,4.5,5.01,337900,40.08,0.5099999999999998
2011-02-03,5.08,5.45,5.0,5.28,409700,42.24,0.20000000000000018
2011-02-04,5.3,5.54,5.1,5.25,228300,42.0,-0.04999999999999982
2011-02-07,5.33,5.33,4.85,4.99,247500,39.92,-0.33999999999999986
2011-02-08,4.91,4.94,4.67,4.85,136300,38.8,-0.0600000000000005
2011-02-09,5.18,5.18,4.69,4.78,136900,38.24,-0.39999999999999947
