Date,open,high,low,close,volume,adj_close,diff
2011-01-03,0.49,0.51,0.49,0.49,351700,0.49,0.0
2011-01-04,0.49,0.61,0.49,0.55,5585200,0.55,0.06000000000000005
2011-01-05,0.55,0.57,0.53,0.54,1262100,0.54,-0.010000000000000009
2011-01-06,0.57,0.57,0.52,0.52,570000,0.52,-0.04999999999999993
2011-01-07,0.51,0.53,0.51,0.51,438000,0.51,0.0
2011-01-10,0.51,0.53,0.51,0.52,348900,0.52,0.010000000000000009
2011-01-11,0.51,0.53,0.51,0.53,282400,0.53,0.020000000000000018
2011-01-12,0.52,0.53,0.51,0.53,311400,0.53,0.010000000000000009
2011-01-13,0.52,0.53,0.51,0.52,281400,0.52,0.0
2011-01-14,0.51,0.53,0.51,0.52,399600,0.52,0.010000000000000009
2011-01-18,0.52,0.53,0.51,0.51,345500,0.51,-0.010000000000000009
2011-01-19,0.51,0.52,0.51,0.51,243600,0.51,0.0
2011-01-20,0.5,0.52,0.5,0.5,302500,0.5,0.0
2011-01-21,0.5,0.51,0.5,0.51,272600,0.51,0.010000000000000009
2011-01-24,0.52,0.52,0.5,0.5,326500,0.5,-0.020000000000000018
2011-01-25,0.51,0.51,0.5,0.5,281600,0.5,-0.010000000000000009
2011-01-26,0.5,0.51,0.5,0.5,235800,0.5,0.0
2011-01-27,0.5,0.51,0.5,0.5,304600,0.5,0.0
2011-01-28,0.5,0.51,0.49,0.5,498600,0.5,0.0
2011-01-31,0.49,0.5,0.46,0.49,393800,0.49,0.0
2011-02-01,0.52,0.52,0.49,0.49,220200,0.49,-0.030000000000000027
2011-02-02,0.47,0.5,0.47,0.5,165900,0.5,0.030000000000000027
2011-02-03,0.49,0.51,0.49,0.5,309900,0.5,0.010000000000000009
2011-02-04,0.5,0.5,0.49,0.5,195900,0.5,0.0
2011-02-07,0.51,0.51,0.5,0.5,158500,0.5,-0.010000000000000009
2011-02-08,0.5,0.5,0.49,0.49,213300,0.49,-0.010000000000000009
2011-02-09,0.49,0.5,0.49,0.5,270000,0.5,0.010000000000000009
2011-02-10,0.46,0.49,0.46,0.48,289900,0.48,0.019999999999999962
2011-02-11,0.48,0.49,0.48,0.48,174700,0.48,0.0
2011-02-14,0.49,0.5,0.48,0.48,143900,0.48,-0.010000000000000009
2011-02-15,0.48,0.49,0.48,0.48,235000,0.48,0.0
2011-02-16,0.48,0.49,0.47,0.48,356700,0.48,0.0
2011-02-17,0.51,0.51,0.48,0.49,677500,0.49,-0.020000000000000018
2011-02-18,0.49,0.5,0.47,0.47,766500,0.47,-0.020000000000000018
2011-02-22,0.47,0.49,0.47,0.48,227200,0.48,0.010000000000000009
2011-02-23,0.47,0.49,0.47,0.47,334100,0.47,0.0
2011-02-24,0.49,0.49,0.46,0.47,309000,0.47,-0.020000000000000018
2011-02-25,0.47,0.47,0.45,0.45,520100,0.45,-0.019999999999999962
2011-02-28,0.47,0.47,0.45,0.45,230400,0.45,-0.019999999999999962
2011-03-01,0.45,0.47,0.45,0.46,436400,0.46,0.010000000000000009
2011-03-02,0.46,0.47,0.45,0.47,162600,0.47,0.009999999999999953
2011-03-03,0.46,0.47,0.45,0.45,565700,0.45,-0.010000000000000009
2011-03-04,0.46,0.47,0.45,0.45,282500,0.45,-0.010000000000000009
2011-03-07,0.48,0.48,0.45,0.48,457700,0.48,0.0
2011-03-08,0.47,0.5,0.47,0.5,631300,0.5,0.030000000000000027
2011-03-09,0.47,0.5,0.47,0.48,245200,0.48,0.010000000000000009
2011-03-10,0.48,0.49,0.48,0.48,190100,0.48,0.0
2011-03-11,0.47,0.49,0.47,0.49,112700,0.49,0.020000000000000018
2011-03-14,0.49,0.49,0.47,0.47,217800,0.47,-0.020000000000000018
2011-03-15,0.46,0.47,0.45,0.45,231000,0.45,-0.010000000000000009
2011-03-16,0.45,0.49,0.45,0.48,284200,0.48,0.02999999999999997
2011-03-17,0.47,0.48,0.46,0.46,98200,0.46,-0.009999999999999953
2011-03-18,0.46,0.47,0.45,0.47,201300,0.47,0.009999999999999953
2011-03-21,0.47,0.47,0.45,0.46,175000,0.46,-0.009999999999999953
2011-03-22,0.46,0.47,0.46,0.47,91900,0.47,0.009999999999999953
2011-03-23,0.46,0.47,0.46,0.46,207200,0.46,0.0
2011-03-24,0.46,0.47,0.45,0.46,287300,0.46,0.0
2011-03-25,0.52,0.52,0.46,0.46,224600,0.46,-0.06
2011-03-28,0.46,0.47,0.46,0.46,319600,0.46,0.0
2011-03-29,0.48,0.48,0.46,0.46,273200,0.46,-0.019999999999999962
2011-03-30,0.47,0.48,0.46,0.46,176200,0.46,-0.009999999999999953
2011-03-31,0.46,0.47,0.46,0.46,121500,0.46,0.0
2011-04-01,0.47,0.48,0.46,0.47,350900,0.47,0.0
2011-04-04,0.47,0.49,0.46,0.46,149700,0.46,-0.009999999999999953
2011-04-05,0.46,0.48,0.46,0.48,246800,0.48,0.019999999999999962
2011-04-06,0.48,0.48,0.46,0.48,183300,0.48,0.0
2011-04-07,0.46,0.48,0.46,0.47,140700,0.47,0.009999999999999953
2011-04-08,0.47,0.48,0.47,0.48,227500,0.48,0.010000000000000009
2011-04-11,0.47,0.48,0.46,0.47,195200,0.47,0.0
2011-04-12,0.48,0.48,0.46,0.47,141200,0.47,-0.010000000000000009
2011-04-13,0.47,0.48,0.47,0.47,129900,0.47,0.0
2011-04-14,0.47,0.48,0.47,0.47,244700,0.47,0.0
2011-04-15,0.47,0.48,0.47,0.48,104800,0.48,0.010000000000000009
2011-04-18,0.48,0.48,0.46,0.46,168000,0.46,-0.019999999999999962
2011-04-19,0.46,0.47,0.46,0.46,240900,0.46,0.0
2011-04-20,0.46,0.47,0.46,0.46,282200,0.46,0.0
2011-04-21,0.48,0.48,0.46,0.46,103500,0.46,-0.019999999999999962
2011-04-25,0.46,0.47,0.46,0.46,139900,0.46,0.0
2011-04-26,0.48,0.48,0.47,0.47,221600,0.47,-0.010000000000000009
2011-04-27,0.48,0.52,0.47,0.51,643800,0.51,0.030000000000000027
2011-04-28,0.5,0.57,0.49,0.53,2080100,0.53,0.030000000000000027
2011-04-29,0.55,0.55,0.49,0.5,801000,0.5,-0.050000000000000044
2011-05-02,0.51,0.55,0.5,0.53,370300,0.53,0.020000000000000018
2011-05-03,0.54,0.54,0.49,0.5,325700,0.5,-0.040000000000000036
2011-05-04,0.49,0.52,0.48,0.48,264000,0.48,-0.010000000000000009
2011-05-05,0.48,0.49,0.48,0.49,170800,0.49,0.010000000000000009
2011-05-06,0.49,0.5,0.49,0.49,94800,0.49,0.0
2011-05-09,0.49,0.5,0.47,0.48,241200,0.48,-0.010000000000000009
2011-05-10,0.48,0.49,0.47,0.48,174100,0.48,0.0
2011-05-11,0.47,0.48,0.47,0.47,103400,0.47,0.0
2011-05-12,0.47,0.5,0.47,0.5,245400,0.5,0.030000000000000027
2011-05-13,0.5,0.51,0.49,0.51,371500,0.51,0.010000000000000009
2011-05-16,0.51,0.51,0.47,0.49,270000,0.49,-0.020000000000000018
