Date,open,high,low,close,volume,adj_close,diff
2011-01-03,2.94,3.02,2.9,3.0,8200,3.0,0.06000000000000005
2011-01-04,3.3,3.32,3.2,3.2,3400,3.2,-0.09999999999999964
2011-01-05,3.33,3.35,3.16,3.35,8300,3.35,0.020000000000000018
2011-01-06,3.35,3.35,3.3,3.34,3200,3.34,-0.010000000000000231
2011-01-07,3.38,3.38,3.34,3.38,4700,3.38,0.0
2011-01-10,3.38,3.5,3.28,3.5,4900,3.5,0.1200000000000001
2011-01-11,3.5,3.5,3.3,3.5,2400,3.5,0.0
2011-01-12,3.5,3.5,3.31,3.31,800,3.31,-0.18999999999999995
2011-01-13,3.46,3.46,3.3,3.3,4500,3.3,-0.16000000000000014
2011-01-14,3.3,3.4,3.3,3.35,3400,3.35,0.050000000000000266
2011-01-18,3.4,3.4,3.38,3.38,1100,3.38,-0.020000000000000018
2011-01-19,3.39,3.39,3.17,3.3,1900,3.3,-0.0900000000000003
2011-01-20,2.9,3.42,2.9,3.42,5400,3.42,0.52
2011-01-21,3.42,3.42,2.92,3.3,3700,3.3,-0.1200000000000001
2011-01-24,3.14,3.39,3.0,3.27,5000,3.27,0.1299999999999999
2011-01-25,3.0,3.25,3.0,3.15,1000,3.15,0.1499999999999999
2011-01-26,3.01,3.19,3.0,3.07,1300,3.07,0.06000000000000005
2011-01-27,3.0,3.06,2.9,3.05,2400,3.05,0.04999999999999982
2011-01-28,3.05,3.19,2.95,3.02,4500,3.02,-0.029999999999999805
2011-01-31,3.19,3.19,2.9,2.9,3300,2.9,-0.29000000000000004
2011-02-01,3.09,3.09,2.91,3.02,2000,3.02,-0.06999999999999984
2011-02-02,3.06,3.18,2.95,2.95,1200,2.95,-0.10999999999999988
2011-02-03,3.03,3.1,2.52,2.52,5200,2.52,-0.5099999999999998
2011-02-04,3.02,3.16,2.63,2.72,6700,2.72,-0.2999999999999998
2011-02-07,2.77,2.97,2.77,2.94,600,2.94,0.16999999999999993
2011-02-08,2.95,2.95,2.85,2.92,900,2.92,-0.03000000000000025
