Date,open,high,low,close,volume,adj_close,diff
2011-01-03,10.85,10.96,10.82,10.87,63300,7.73,0.019999999999999574
2011-01-04,10.87,10.99,10.87,10.96,83000,7.8,0.09000000000000163
2011-01-05,10.93,11.09,10.93,11.05,46000,7.86,0.120000000000001
2011-01-06,11.06,11.2,11.06,11.2,68400,7.97,0.1399999999999988
2011-01-07,11.2,11.29,11.14,11.23,161900,7.99,0.030000000000001137
2011-01-10,11.26,11.3,11.2,11.25,87800,8.0,-0.009999999999999787
2011-01-11,11.45,11.45,11.29,11.45,148200,8.15,0.0
2011-01-12,11.47,11.52,11.43,11.52,192500,8.2,0.049999999999998934
2011-01-13,11.48,11.54,11.47,11.53,94300,8.2,0.049999999999998934
2011-01-14,11.49,11.57,11.49,11.57,52800,8.23,0.08000000000000007
2011-01-18,11.53,11.67,11.53,11.65,100600,8.29,0.120000000000001
2011-01-19,11.71,11.71,11.49,11.54,91800,8.21,-0.1700000000000017
2011-01-20,11.44,11.46,11.28,11.38,118500,8.1,-0.05999999999999872
2011-01-21,11.39,11.47,11.3,11.31,54600,8.05,-0.08000000000000007
2011-01-24,11.29,11.44,11.24,11.38,63100,8.1,0.09000000000000163
2011-01-25,11.28,11.47,11.28,11.44,70700,8.14,0.16000000000000014
2011-01-26,11.44,11.59,11.44,11.58,72000,8.24,0.14000000000000057
2011-01-27,11.6,11.64,11.52,11.55,63200,8.22,-0.049999999999998934
2011-01-28,11.54,11.55,11.26,11.26,55000,8.01,-0.27999999999999936
2011-01-31,11.31,11.49,11.27,11.48,118600,8.17,0.16999999999999993
2011-02-01,11.56,11.65,11.51,11.6,76300,8.25,0.03999999999999915
2011-02-02,11.55,11.6,11.51,11.54,62800,8.21,-0.010000000000001563
2011-02-03,11.56,11.63,11.43,11.63,59100,8.27,0.07000000000000028
2011-02-04,11.56,11.69,11.52,11.66,55700,8.3,0.09999999999999964
2011-02-07,11.64,11.7,11.6,11.66,92100,8.3,0.019999999999999574
2011-02-08,11.7,11.7,11.6,11.6,68500,8.25,-0.09999999999999964
2011-02-09,11.59,11.63,11.5,11.52,62700,8.2,-0.07000000000000028
2011-02-10,11.51,11.66,11.42,11.66,80200,8.3,0.15000000000000036
2011-02-11,11.6,11.71,11.6,11.68,90000,8.31,0.08000000000000007
2011-02-14,11.67,11.73,11.64,11.73,39600,8.35,0.0600000000000005
2011-02-15,11.73,11.79,11.67,11.67,53000,8.3,-0.0600000000000005
2011-02-16,11.58,11.58,11.45,11.48,57000,8.35,-0.09999999999999964
2011-02-17,11.55,11.61,11.45,11.5,98200,8.36,-0.05000000000000071
2011-02-18,11.49,11.57,11.45,11.5,83200,8.36,0.009999999999999787
2011-02-22,11.44,11.45,11.29,11.29,39000,8.21,-0.15000000000000036
2011-02-23,11.28,11.34,11.15,11.15,56500,8.11,-0.129999999999999
2011-02-24,11.15,11.22,11.11,11.17,54800,8.12,0.019999999999999574
2011-02-25,11.23,11.42,11.23,11.41,56900,8.3,0.17999999999999972
2011-02-28,11.43,11.49,11.37,11.4,66500,8.29,-0.02999999999999936
2011-03-01,11.37,11.43,11.3,11.3,27100,8.22,-0.06999999999999851
2011-03-02,11.36,11.42,11.24,11.42,73500,8.3,0.0600000000000005
2011-03-03,11.45,11.56,11.45,11.55,24300,8.4,0.10000000000000142
2011-03-04,11.52,11.54,11.45,11.47,40900,8.34,-0.049999999999998934
2011-03-07,11.47,11.48,11.34,11.44,30200,8.32,-0.030000000000001137
2011-03-08,11.44,11.53,11.44,11.51,50600,8.37,0.07000000000000028
2011-03-09,11.49,11.54,11.43,11.54,96800,8.39,0.049999999999998934
2011-03-10,11.5,11.52,11.43,11.48,38100,8.35,-0.019999999999999574
2011-03-11,11.44,11.56,11.4,11.54,58600,8.39,0.09999999999999964
2011-03-14,11.48,11.5,11.44,11.46,28200,8.33,-0.019999999999999574
2011-03-15,11.3,11.45,11.3,11.34,45800,8.24,0.03999999999999915
2011-03-16,11.35,11.37,11.24,11.27,44000,8.19,-0.08000000000000007
