Date,open,high,low,close,volume,adj_close,diff
2011-01-03,4.62,4.7,4.5,4.51,120200,4.34,-0.11000000000000032
2011-01-04,4.57,4.6,4.5,4.57,11600,4.39,0.0
2011-01-05,4.51,4.85,4.51,4.59,40000,4.41,0.08000000000000007
2011-01-06,4.59,4.59,4.51,4.55,4500,4.37,-0.040000000000000036
2011-01-07,4.51,4.58,4.51,4.51,6600,4.34,0.0
2011-01-10,4.52,4.57,4.5,4.5,21400,4.33,-0.019999999999999574
2011-01-11,4.5,4.5,4.37,4.41,10400,4.24,-0.08999999999999986
2011-01-12,4.41,4.48,4.24,4.27,38900,4.11,-0.14000000000000057
2011-01-13,4.29,4.29,4.2,4.27,4400,4.11,-0.020000000000000462
2011-01-14,4.68,4.68,4.34,4.35,13900,4.18,-0.33000000000000007
2011-01-18,4.45,4.45,4.18,4.34,14900,4.17,-0.11000000000000032
2011-01-19,4.34,4.5,4.19,4.44,16700,4.27,0.10000000000000053
2011-01-20,4.35,4.56,4.33,4.4,6700,4.23,0.05000000000000071
2011-01-21,4.13,4.42,4.12,4.33,7200,4.16,0.20000000000000018
2011-01-24,4.13,4.37,4.13,4.37,3500,4.2,0.2400000000000002
2011-01-25,4.18,4.54,4.1,4.46,4300,4.29,0.28000000000000025
2011-01-26,4.47,4.47,4.38,4.47,1000,4.3,0.0
2011-01-27,4.47,4.47,4.47,4.47,0,4.3,0.0
2011-01-28,4.64,4.82,4.59,4.75,37000,4.57,0.11000000000000032
2011-01-31,4.74,4.75,4.55,4.75,3400,4.57,0.009999999999999787
2011-02-01,4.75,4.75,4.37,4.55,31600,4.37,-0.20000000000000018
2011-02-02,4.55,4.59,4.47,4.55,2300,4.37,0.0
2011-02-03,4.64,4.74,4.4,4.7,18200,4.52,0.0600000000000005
2011-02-04,4.75,5.0,4.71,5.0,20400,4.81,0.25
2011-02-07,5.05,5.05,4.9,4.94,12800,4.75,-0.10999999999999943
2011-02-08,4.99,5.1,4.95,5.03,22900,4.84,0.040000000000000036
2011-02-09,4.99,5.0,4.96,4.96,7200,4.77,-0.03000000000000025
2011-02-10,4.89,4.97,4.82,4.95,8200,4.76,0.0600000000000005
2011-02-11,4.94,5.05,4.94,5.0,20900,4.81,0.05999999999999961
2011-02-14,4.96,5.06,4.95,5.06,14400,4.86,0.09999999999999964
2011-02-15,5.06,5.06,4.95,4.99,12400,4.8,-0.0699999999999994
2011-02-16,5.0,5.0,4.93,5.0,6000,4.81,0.0
2011-02-17,4.91,5.1,4.91,5.1,10700,4.9,0.1899999999999995
2011-02-18,5.1,5.19,5.04,5.05,9900,4.86,-0.04999999999999982
2011-02-22,5.0,5.0,4.76,4.91,8000,4.72,-0.08999999999999986
2011-02-23,4.9,4.96,4.83,4.95,4200,4.76,0.04999999999999982
2011-02-24,4.93,4.94,4.61,4.86,10900,4.67,-0.0699999999999994
2011-02-25,4.82,5.0,4.82,4.88,15900,4.69,0.05999999999999961
2011-02-28,4.93,4.95,4.52,4.52,78100,4.35,-0.41000000000000014
2011-03-01,4.55,4.6,4.55,4.6,17000,4.42,0.04999999999999982
2011-03-02,4.6,4.71,4.53,4.6,24500,4.42,0.0
2011-03-03,4.58,4.65,4.52,4.65,17900,4.47,0.07000000000000028
