Date,open,high,low,close,volume,adj_close,diff
2011-01-03,23.04,23.69,23.04,23.69,2900,15.95,0.6500000000000021
2011-01-04,23.5,23.92,23.45,23.91,8900,16.09,0.41000000000000014
2011-01-05,23.48,23.85,23.44,23.85,2000,16.05,0.370000000000001
2011-01-06,23.89,23.89,23.4,23.42,4400,15.76,-0.46999999999999886
2011-01-07,23.79,23.79,23.42,23.74,2600,15.98,-0.05000000000000071
2011-01-10,23.35,23.71,23.35,23.69,7300,15.95,0.33999999999999986
2011-01-11,23.73,23.73,23.51,23.51,600,15.83,-0.21999999999999886
2011-01-12,23.51,23.51,23.51,23.51,0,15.83,0.0
2011-01-13,23.7,23.73,23.7,23.73,200,15.97,0.030000000000001137
2011-01-14,23.6,23.6,23.46,23.57,2200,15.87,-0.030000000000001137
2011-01-18,23.58,23.73,23.23,23.64,3200,15.91,0.060000000000002274
2011-01-19,23.65,23.88,23.55,23.77,1700,16.0,0.120000000000001
2011-01-20,23.88,23.88,23.48,23.74,1600,15.98,-0.14000000000000057
2011-01-21,23.72,23.75,23.72,23.75,400,15.99,0.030000000000001137
2011-01-24,23.71,23.81,23.61,23.79,3300,16.01,0.0799999999999983
2011-01-25,23.86,23.86,23.64,23.83,1300,16.04,-0.030000000000001137
2011-01-26,23.84,23.9,23.57,23.9,6500,16.09,0.05999999999999872
2011-01-27,23.89,23.89,23.52,23.6,4800,15.89,-0.28999999999999915
2011-01-28,23.64,23.69,23.34,23.53,4800,15.84,-0.10999999999999943
2011-01-31,23.54,23.75,23.45,23.45,1900,15.78,-0.08999999999999986
2011-02-01,23.74,23.74,23.43,23.43,1300,15.77,-0.3099999999999987
2011-02-02,23.46,23.69,23.46,23.6,3500,15.89,0.14000000000000057
2011-02-03,23.64,23.89,23.6,23.89,4100,16.08,0.25
2011-02-04,23.52,23.89,23.52,23.88,3600,16.07,0.35999999999999943
2011-02-07,23.66,23.85,23.6,23.6,2600,15.89,-0.05999999999999872
2011-02-08,23.86,23.88,23.85,23.88,2000,16.07,0.019999999999999574
2011-02-09,23.91,24.05,23.79,24.04,5600,16.18,0.129999999999999
2011-02-10,24.09,24.17,24.09,24.17,2700,16.27,0.08000000000000185
2011-02-11,24.18,24.5,24.1,24.5,5200,16.49,0.3200000000000003
2011-02-14,24.45,24.48,24.15,24.48,6400,16.48,0.030000000000001137
2011-02-15,24.45,24.66,24.28,24.29,6700,16.35,-0.16000000000000014
2011-02-16,24.23,24.5,24.23,24.24,2100,16.32,0.00999999999999801
2011-02-17,24.5,24.54,24.21,24.54,1300,16.52,0.03999999999999915
2011-02-18,24.36,24.6,24.35,24.59,2100,16.55,0.23000000000000043
2011-02-22,24.44,24.6,24.44,24.55,900,16.53,0.10999999999999943
2011-02-23,24.6,24.65,24.41,24.65,1500,16.59,0.04999999999999716
2011-02-24,23.94,23.95,23.3,23.6,2700,16.47,-0.33999999999999986
2011-02-25,23.89,23.89,23.71,23.89,2300,16.67,0.0
2011-02-28,23.95,23.95,23.75,23.8,4200,16.61,-0.14999999999999858
2011-03-01,23.86,23.9,23.62,23.9,2500,16.68,0.03999999999999915
2011-03-02,23.43,23.7,23.33,23.7,2800,16.54,0.2699999999999996
2011-03-03,23.49,23.72,23.49,23.72,700,16.55,0.23000000000000043
2011-03-04,23.79,23.79,23.79,23.79,600,16.6,0.0
2011-03-07,23.59,23.74,23.4,23.74,2100,16.57,0.14999999999999858
2011-03-08,23.64,23.65,23.64,23.64,700,16.5,0.0
2011-03-09,23.74,23.75,23.64,23.74,2100,16.57,0.0
2011-03-10,23.75,23.82,23.54,23.55,3400,16.44,-0.1999999999999993
2011-03-11,23.65,23.75,23.55,23.75,1200,16.58,0.10000000000000142
2011-03-14,23.57,23.66,23.53,23.57,3000,16.45,0.0
2011-03-15,23.54,23.54,23.11,23.24,6600,16.22,-0.3000000000000007
2011-03-16,23.36,23.59,23.31,23.31,1500,16.27,-0.05000000000000071
2011-03-17,23.44,23.63,23.37,23.59,1700,16.46,0.14999999999999858
2011-03-18,23.48,23.74,23.45,23.74,1300,16.57,0.259999999999998
2011-03-21,23.46,23.58,23.28,23.41,1900,16.34,-0.05000000000000071
2011-03-22,23.41,23.41,23.4,23.41,300,16.34,0.0
2011-03-23,23.42,23.77,23.42,23.57,1800,16.45,0.14999999999999858
2011-03-24,23.6,23.84,23.6,23.84,700,16.64,0.23999999999999844
2011-03-25,23.69,23.81,23.62,23.81,700,16.62,0.11999999999999744
2011-03-28,23.81,24.02,23.6,23.66,7700,16.51,-0.14999999999999858
2011-03-29,23.79,23.79,23.79,23.79,100,16.6,0.0
2011-03-30,23.64,23.83,23.41,23.65,6000,16.51,0.00999999999999801
2011-03-31,23.31,23.54,23.31,23.54,600,16.43,0.23000000000000043
2011-04-01,23.77,23.77,23.61,23.61,1000,16.48,-0.16000000000000014
2011-04-04,23.47,23.65,23.39,23.59,1600,16.46,0.120000000000001
2011-04-05,23.62,23.62,23.62,23.62,400,16.48,0.0
2011-04-06,23.69,23.69,23.49,23.65,1300,16.51,-0.0400000000000027
2011-04-07,23.5,23.66,23.35,23.66,3000,16.51,0.16000000000000014
2011-04-08,23.66,23.66,23.66,23.66,0,16.51,0.0
2011-04-11,23.6,23.67,23.6,23.66,4000,16.51,0.05999999999999872
2011-04-12,23.71,23.71,23.53,23.71,1100,16.55,0.0
2011-04-13,23.56,23.69,23.42,23.63,4500,16.49,0.07000000000000028
2011-04-14,23.65,23.65,23.45,23.63,3900,16.49,-0.019999999999999574
2011-04-15,23.63,23.63,23.51,23.63,800,16.49,0.0
2011-04-18,23.5,23.5,23.48,23.48,600,16.39,-0.019999999999999574
2011-04-19,23.41,23.55,23.25,23.48,4500,16.39,0.07000000000000028
2011-04-20,23.4,23.55,23.4,23.55,1100,16.44,0.15000000000000213
2011-04-21,23.57,23.63,23.51,23.63,1600,16.49,0.05999999999999872
2011-04-25,23.6,23.6,23.6,23.6,1500,16.47,0.0
2011-04-26,23.63,24.01,23.63,24.0,2100,16.75,0.370000000000001
2011-04-27,23.83,23.88,23.52,23.78,2000,16.6,-0.04999999999999716
2011-04-28,23.88,23.88,23.41,23.64,2700,16.5,-0.23999999999999844
2011-04-29,23.54,23.74,23.52,23.72,2200,16.55,0.17999999999999972
2011-05-02,23.45,23.71,23.45,23.67,3800,16.52,0.22000000000000242
2011-05-03,23.66,23.67,23.52,23.67,2000,16.52,0.010000000000001563
2011-05-04,23.66,23.66,23.66,23.66,1200,16.51,0.0
2011-05-05,23.72,23.83,23.72,23.83,1900,16.63,0.10999999999999943
2011-05-06,23.8,23.97,23.8,23.8,1700,16.61,0.0
2011-05-09,23.97,23.97,23.89,23.89,1200,16.67,-0.0799999999999983
2011-05-10,23.69,23.99,23.69,23.99,1800,16.74,0.29999999999999716
2011-05-11,23.99,23.99,23.65,23.66,5700,16.51,-0.3299999999999983
2011-05-12,23.79,23.79,23.53,23.55,10000,16.44,-0.23999999999999844
2011-05-13,23.6,23.69,23.54,23.54,3200,16.43,-0.060000000000002274
2011-05-16,23.61,23.71,23.6,23.63,1900,16.49,0.019999999999999574
2011-05-17,23.73,23.78,23.63,23.7,2700,16.54,-0.030000000000001137
2011-05-18,23.76,23.78,23.63,23.77,4200,16.59,0.00999999999999801
2011-05-19,23.78,23.78,23.65,23.69,2800,16.53,-0.08999999999999986
2011-05-20,23.79,23.79,23.77,23.78,3500,16.6,-0.00999999999999801
2011-05-23,23.75,23.85,23.75,23.8,1900,16.61,0.05000000000000071
2011-05-24,23.85,24.0,23.85,24.0,3700,16.75,0.14999999999999858
2011-05-25,24.0,24.17,23.9,24.1,3000,16.82,0.10000000000000142
2011-05-26,24.09,24.16,23.84,24.11,7600,16.83,0.019999999999999574
2011-05-27,23.95,24.12,23.89,24.1,3600,16.82,0.15000000000000213
2011-05-31,24.15,24.16,23.85,24.0,2700,16.75,-0.14999999999999858
2011-06-01,23.97,24.13,23.93,24.05,3500,16.78,0.08000000000000185
2011-06-02,24.14,24.14,23.86,24.1,3700,16.82,-0.03999999999999915
2011-06-03,24.06,24.07,23.91,24.02,1800,16.76,-0.03999999999999915
2011-06-06,24.08,24.15,23.99,24.14,1700,16.85,0.060000000000002274
2011-06-07,24.14,24.14,24.13,24.13,400,16.84,-0.010000000000001563
2011-06-08,24.01,24.38,24.01,24.38,2800,17.01,0.36999999999999744
2011-06-09,24.25,24.25,24.08,24.23,1300,16.91,-0.019999999999999574
2011-06-10,24.05,24.28,23.96,24.13,4600,16.84,0.0799999999999983
2011-06-13,23.94,23.99,23.9,23.99,700,16.74,0.04999999999999716
2011-06-14,24.0,24.22,23.96,24.18,4600,16.88,0.17999999999999972
2011-06-15,24.17,24.57,24.17,24.44,4400,17.06,0.2699999999999996
2011-06-16,24.32,24.32,24.07,24.16,4900,16.86,-0.16000000000000014
2011-06-17,23.93,24.58,23.93,24.31,1800,16.97,0.379999999999999
2011-06-20,24.45,24.58,24.27,24.49,3800,17.09,0.03999999999999915
2011-06-21,24.42,24.43,24.28,24.42,700,17.04,0.0
2011-06-22,24.13,24.43,24.07,24.25,3100,16.92,0.120000000000001
2011-06-23,24.07,24.25,24.07,24.25,300,16.92,0.17999999999999972
2011-06-24,24.12,24.23,24.1,24.23,600,16.91,0.10999999999999943
2011-06-27,24.1,24.25,23.8,23.97,7900,16.73,-0.13000000000000256
2011-06-28,23.97,24.18,23.92,24.17,5700,16.87,0.20000000000000284
2011-06-29,24.22,24.22,24.2,24.2,1800,16.89,-0.019999999999999574
2011-06-30,24.14,24.36,24.03,24.36,2000,17.0,0.21999999999999886
2011-07-01,24.25,24.49,24.25,24.47,900,17.08,0.21999999999999886
2011-07-05,24.46,24.46,24.25,24.36,3400,17.0,-0.10000000000000142
2011-07-06,24.42,24.44,24.37,24.43,2000,17.05,0.00999999999999801
2011-07-07,24.57,24.58,24.25,24.43,8800,17.05,-0.14000000000000057
2011-07-08,24.47,24.47,24.47,24.47,500,17.08,0.0
