Date,open,high,low,close,volume,adj_close,diff
2011-01-03,15.08,15.08,14.87,14.92,24800,11.28,-0.16000000000000014
2011-01-04,15.12,15.12,14.72,14.72,34000,11.13,-0.3999999999999986
2011-01-05,14.61,14.75,14.39,14.42,30100,10.91,-0.1899999999999995
2011-01-06,14.43,14.49,14.3,14.3,20700,10.82,-0.129999999999999
2011-01-07,14.29,14.41,14.28,14.3,11400,10.82,0.010000000000001563
2011-01-10,14.34,14.34,14.2,14.25,11700,10.78,-0.08999999999999986
2011-01-11,14.27,14.38,14.25,14.35,18000,10.85,0.08000000000000007
2011-01-12,14.43,14.44,14.2,14.28,21100,10.8,-0.15000000000000036
2011-01-13,14.38,14.39,14.22,14.28,16800,10.8,-0.10000000000000142
2011-01-14,14.21,14.36,14.19,14.19,23400,10.73,-0.02000000000000135
2011-01-18,14.11,14.22,14.08,14.19,43000,10.73,0.08000000000000007
2011-01-19,14.06,14.18,14.06,14.11,36800,10.67,0.049999999999998934
2011-01-20,14.08,14.16,14.02,14.03,28700,10.61,-0.05000000000000071
2011-01-21,14.0,14.17,14.0,14.11,33700,10.67,0.10999999999999943
2011-01-24,14.05,14.4,14.05,14.28,36800,10.8,0.22999999999999865
2011-01-25,14.23,14.31,14.23,14.3,51200,10.82,0.07000000000000028
2011-01-26,14.25,14.26,14.16,14.16,41700,10.71,-0.08999999999999986
2011-01-27,14.24,14.25,14.18,14.19,27600,10.73,-0.05000000000000071
2011-01-28,14.26,14.26,14.18,14.25,31000,10.78,-0.009999999999999787
2011-01-31,14.21,14.3,14.18,14.25,21000,10.78,0.03999999999999915
2011-02-01,14.28,14.29,14.23,14.29,17700,10.81,0.009999999999999787
2011-02-02,14.29,14.38,14.22,14.28,19100,10.8,-0.009999999999999787
2011-02-03,14.25,14.32,14.21,14.24,9700,10.77,-0.009999999999999787
2011-02-04,14.23,14.29,14.19,14.2,13200,10.74,-0.030000000000001137
2011-02-07,14.21,14.28,14.2,14.23,20900,10.76,0.019999999999999574
2011-02-08,14.22,14.26,14.18,14.19,23100,10.73,-0.030000000000001137
2011-02-09,14.26,14.31,14.18,14.2,27200,10.74,-0.0600000000000005
2011-02-10,14.19,14.27,14.18,14.22,14500,10.75,0.030000000000001137
2011-02-11,14.14,14.23,14.14,14.18,24900,10.72,0.03999999999999915
2011-02-14,14.13,14.31,14.13,14.31,18400,10.82,0.17999999999999972
2011-02-15,14.2,14.28,14.17,14.2,23200,10.74,0.0
2011-02-16,14.18,14.25,14.18,14.25,9900,10.78,0.07000000000000028
