Date,open,high,low,close,volume,adj_close,diff
2011-01-03,7.9,7.93,7.86,7.92,363100,5.73,0.019999999999999574
2011-01-04,7.94,7.96,7.87,7.91,400900,5.72,-0.03000000000000025
2011-01-05,7.92,7.94,7.85,7.9,356300,5.71,-0.019999999999999574
2011-01-06,7.86,7.91,7.84,7.88,282900,5.7,0.019999999999999574
2011-01-07,7.91,7.93,7.85,7.88,240700,5.7,-0.03000000000000025
2011-01-10,7.87,7.92,7.87,7.91,232200,5.72,0.040000000000000036
2011-01-11,7.9,7.98,7.89,7.98,424100,5.77,0.08000000000000007
2011-01-12,7.92,7.93,7.87,7.87,304800,5.73,-0.04999999999999982
2011-01-13,7.88,7.89,7.85,7.87,201100,5.73,-0.009999999999999787
2011-01-14,7.84,7.88,7.81,7.81,305000,5.69,-0.03000000000000025
2011-01-18,7.8,7.83,7.74,7.76,392900,5.65,-0.040000000000000036
2011-01-19,7.75,7.84,7.75,7.84,338400,5.71,0.08999999999999986
2011-01-20,7.8,7.89,7.78,7.88,282600,5.74,0.08000000000000007
2011-01-21,7.89,7.93,7.85,7.93,300600,5.77,0.040000000000000036
2011-01-24,7.9,7.93,7.89,7.91,279100,5.76,0.009999999999999787
2011-01-25,7.91,7.95,7.91,7.95,224400,5.79,0.040000000000000036
2011-01-26,7.92,7.99,7.92,7.95,237500,5.79,0.03000000000000025
2011-01-27,7.95,8.0,7.94,8.0,253800,5.82,0.04999999999999982
2011-01-28,7.97,8.0,7.94,7.97,221200,5.8,0.0
2011-01-31,7.97,8.0,7.94,7.98,262300,5.81,0.010000000000000675
2011-02-01,8.01,8.03,7.96,8.03,304900,5.85,0.019999999999999574
2011-02-02,8.03,8.03,7.99,8.0,272500,5.82,-0.02999999999999936
2011-02-03,8.01,8.07,8.0,8.06,360400,5.87,0.05000000000000071
2011-02-04,8.07,8.08,8.05,8.08,297800,5.88,0.009999999999999787
2011-02-07,8.06,8.12,8.06,8.11,184600,5.9,0.049999999999998934
2011-02-08,8.09,8.13,8.08,8.13,288700,5.92,0.040000000000000924
2011-02-09,8.09,8.14,8.07,8.13,282900,5.92,0.040000000000000924
2011-02-10,8.13,8.16,8.1,8.16,213900,5.94,0.02999999999999936
2011-02-11,8.11,8.12,8.09,8.09,220300,5.93,-0.019999999999999574
2011-02-14,8.09,8.13,8.07,8.1,282800,5.94,0.009999999999999787
2011-02-15,8.07,8.08,8.06,8.06,233900,5.91,-0.009999999999999787
2011-02-16,8.05,8.11,8.04,8.08,302300,5.92,0.02999999999999936
2011-02-17,8.06,8.08,8.04,8.04,236900,5.89,-0.02000000000000135
2011-02-18,8.04,8.08,8.02,8.06,247800,5.91,0.02000000000000135
2011-02-22,8.06,8.06,7.97,8.0,401100,5.86,-0.0600000000000005
2011-02-23,7.98,8.03,7.96,8.02,368500,5.88,0.03999999999999915
2011-02-24,8.01,8.03,7.98,8.0,264900,5.86,-0.009999999999999787
2011-02-25,8.0,8.08,8.0,8.07,196700,5.91,0.07000000000000028
2011-02-28,8.07,8.13,8.05,8.13,235600,5.96,0.0600000000000005
2011-03-01,8.18,8.18,8.12,8.15,407800,5.97,-0.02999999999999936
2011-03-02,8.16,8.25,8.1,8.1,677100,5.94,-0.0600000000000005
2011-03-03,8.15,8.26,8.12,8.26,832900,6.05,0.10999999999999943
2011-03-04,8.26,8.26,8.15,8.19,446700,6.0,-0.07000000000000028
2011-03-07,8.18,8.22,8.1,8.15,293900,5.97,-0.02999999999999936
2011-03-08,8.16,8.24,8.16,8.22,215600,6.02,0.0600000000000005
2011-03-09,8.23,8.25,8.19,8.2,177400,6.01,-0.030000000000001137
2011-03-10,8.2,8.25,8.17,8.22,258800,6.02,0.02000000000000135
2011-03-11,8.03,8.2,8.03,8.16,162200,6.02,0.13000000000000078
2011-03-14,8.11,8.22,8.1,8.18,201100,6.04,0.07000000000000028
2011-03-15,7.84,8.18,7.83,8.16,279200,6.02,0.3200000000000003
2011-03-16,8.16,8.16,8.04,8.04,197800,5.93,-0.120000000000001
2011-03-17,8.08,8.1,8.04,8.09,177800,5.97,0.009999999999999787
2011-03-18,8.09,8.19,8.08,8.19,193000,6.04,0.09999999999999964
2011-03-21,8.25,8.25,8.17,8.23,227300,6.07,-0.019999999999999574
2011-03-22,8.19,8.25,8.18,8.25,168400,6.09,0.0600000000000005
2011-03-23,8.22,8.23,8.17,8.23,214400,6.07,0.009999999999999787
2011-03-24,8.23,8.25,8.15,8.15,249000,6.01,-0.08000000000000007
2011-03-25,8.17,8.28,8.17,8.25,263700,6.09,0.08000000000000007
2011-03-28,8.22,8.25,8.19,8.25,259200,6.09,0.02999999999999936
2011-03-29,8.25,8.25,8.2,8.21,217000,6.06,-0.03999999999999915
2011-03-30,8.22,8.25,8.2,8.21,213800,6.06,-0.009999999999999787
2011-03-31,8.19,8.28,8.19,8.28,243400,6.11,0.08999999999999986
2011-04-01,8.41,8.41,8.22,8.22,204400,6.06,-0.1899999999999995
2011-04-04,8.22,8.25,8.2,8.24,224100,6.08,0.019999999999999574
2011-04-05,8.2,8.24,8.18,8.23,238100,6.07,0.030000000000001137
