Date,open,high,low,close,volume,adj_close,diff
2011-01-03,54.67,55.03,54.42,55.0,196100,55.0,0.3299999999999983
2011-01-04,55.46,55.46,54.45,54.84,170400,54.84,-0.6199999999999974
2011-01-05,53.73,54.15,53.57,54.08,160700,54.08,0.3500000000000014
2011-01-06,52.83,52.89,52.24,52.4,255800,52.4,-0.4299999999999997
2011-01-07,52.63,53.18,52.37,52.8,299200,52.8,0.1699999999999946
2011-01-10,51.75,52.01,51.43,51.96,224400,51.96,0.21000000000000085
2011-01-11,52.57,52.93,52.22,52.93,244400,52.93,0.35999999999999943
2011-01-12,52.93,53.18,52.65,53.01,373300,53.01,0.0799999999999983
2011-01-13,53.94,54.45,53.82,54.45,174400,54.45,0.5100000000000051
2011-01-14,54.39,54.68,54.16,54.55,82900,54.55,0.1599999999999966
2011-01-18,53.91,53.92,53.45,53.78,158400,53.78,-0.12999999999999545
2011-01-19,53.74,53.83,53.15,53.24,138900,53.24,-0.5
2011-01-20,52.81,52.82,52.01,52.75,168900,52.75,-0.060000000000002274
2011-01-21,51.42,51.44,50.46,50.52,252100,50.52,-0.8999999999999986
2011-01-24,50.84,51.37,50.45,51.37,292900,51.37,0.529999999999994
2011-01-25,51.45,51.6,51.09,51.48,185700,51.48,0.02999999999999403
2011-01-26,52.04,52.59,51.85,52.52,262400,52.52,0.480000000000004
2011-01-27,52.19,52.27,51.76,52.0,206900,52.0,-0.18999999999999773
2011-01-28,51.96,51.96,50.53,50.83,495400,50.83,-1.1300000000000026
2011-01-31,51.41,52.14,51.29,52.07,622600,52.07,0.6600000000000037
2011-02-01,52.4,54.05,52.4,53.88,324900,53.88,1.480000000000004
2011-02-02,53.8,54.04,53.3,53.36,90800,53.36,-0.4399999999999977
2011-02-03,53.48,53.59,52.94,53.15,109600,53.15,-0.3299999999999983
2011-02-04,53.4,53.4,52.75,53.15,162900,53.15,-0.25
2011-02-07,53.12,53.41,52.92,53.26,303300,53.26,0.14000000000000057
2011-02-08,53.34,53.34,52.72,53.11,293400,53.11,-0.23000000000000398
2011-02-09,52.56,52.63,52.06,52.2,242800,52.2,-0.35999999999999943
2011-02-10,51.99,51.99,51.18,51.69,265200,51.69,-0.30000000000000426
2011-02-11,50.92,51.6,50.71,51.27,317700,51.27,0.3500000000000014
2011-02-14,51.9,51.94,51.54,51.67,224800,51.67,-0.22999999999999687
2011-02-15,51.18,51.25,50.64,50.9,199000,50.9,-0.28000000000000114
2011-02-16,51.17,51.69,51.17,51.5,309600,51.5,0.3299999999999983
