Date,open,high,low,close,volume,adj_close,diff
2011-01-03,13.65,13.65,13.57,13.57,2100,11.82,-0.08000000000000007
2011-01-04,13.05,13.73,13.05,13.14,1900,11.44,0.08999999999999986
2011-01-05,13.04,13.7,13.04,13.7,700,11.93,0.6600000000000001
2011-01-06,13.6,13.6,13.3,13.5,5800,11.75,-0.09999999999999964
2011-01-07,13.18,13.5,13.18,13.48,1400,11.74,0.3000000000000007
2011-01-10,13.48,13.48,13.48,13.48,0,11.74,0.0
2011-01-11,13.25,13.67,13.25,13.67,1800,11.9,0.41999999999999993
2011-01-12,13.65,13.73,13.65,13.73,2000,11.95,0.08000000000000007
2011-01-13,13.51,13.74,13.51,13.74,1100,11.96,0.23000000000000043
2011-01-14,13.74,13.74,13.74,13.74,0,11.96,0.0
2011-01-18,13.6,13.74,13.6,13.74,3000,11.96,0.14000000000000057
2011-01-19,13.52,13.73,13.35,13.41,2700,11.68,-0.10999999999999943
2011-01-20,13.41,13.6,13.41,13.6,500,11.84,0.1899999999999995
2011-01-21,13.74,13.74,13.59,13.64,1700,11.88,-0.09999999999999964
2011-01-24,13.26,13.71,13.26,13.69,4000,11.92,0.4299999999999997
2011-01-25,13.65,13.65,13.65,13.65,900,11.89,0.0
2011-01-26,13.66,13.74,13.6,13.74,3200,11.96,0.08000000000000007
2011-01-27,13.72,13.99,13.72,13.98,3400,12.17,0.2599999999999998
2011-01-28,13.91,13.91,13.75,13.75,300,11.97,-0.16000000000000014
2011-01-31,13.72,13.75,13.72,13.72,300,11.95,0.0
2011-02-01,13.72,13.72,13.72,13.72,0,11.95,0.0
2011-02-02,13.9,14.0,13.9,14.0,4300,12.19,0.09999999999999964
2011-02-03,14.14,14.15,13.85,13.85,1700,12.06,-0.2900000000000009
2011-02-04,14.15,14.15,14.0,14.0,300,12.19,-0.15000000000000036
2011-02-07,14.05,14.25,14.0,14.25,3800,12.41,0.1999999999999993
2011-02-08,14.02,14.02,13.88,13.9,3000,12.1,-0.11999999999999922
2011-02-09,13.9,14.25,13.56,14.15,2500,12.32,0.25
2011-02-10,13.7,13.7,13.7,13.7,100,11.93,0.0
2011-02-11,13.94,13.94,13.73,13.8,1700,12.02,-0.1399999999999988
2011-02-14,13.8,14.24,13.44,13.92,1300,12.12,0.11999999999999922
2011-02-15,14.13,14.25,13.8,13.8,400,12.02,-0.33000000000000007
2011-02-16,13.8,13.8,13.8,13.8,0,12.02,0.0
2011-02-17,13.71,13.71,13.71,13.71,100,11.94,0.0
2011-02-18,13.82,13.99,13.82,13.82,1100,12.03,0.0
2011-02-22,13.75,13.75,13.6,13.61,700,11.85,-0.14000000000000057
2011-02-23,13.4,13.65,13.39,13.46,1100,11.72,0.0600000000000005
2011-02-24,13.43,13.64,13.4,13.42,3300,11.68,-0.009999999999999787
2011-02-25,13.81,13.81,13.75,13.75,500,11.97,-0.0600000000000005
2011-02-28,13.54,13.54,13.54,13.54,100,11.79,0.0
2011-03-01,13.69,13.7,13.69,13.7,600,11.93,0.009999999999999787
2011-03-02,12.73,12.73,11.59,11.76,36200,10.24,-0.9700000000000006
2011-03-03,11.86,12.24,11.67,11.84,6100,10.31,-0.019999999999999574
2011-03-04,11.86,12.0,11.67,11.84,1700,10.31,-0.019999999999999574
2011-03-07,11.85,11.85,11.55,11.62,1300,10.12,-0.23000000000000043
2011-03-08,11.62,11.62,11.62,11.62,0,10.12,0.0
2011-03-09,11.74,12.0,11.73,12.0,5400,10.45,0.2599999999999998
2011-03-10,12.0,12.0,12.0,12.0,0,10.54,0.0
2011-03-11,12.0,12.0,12.0,12.0,0,10.54,0.0
2011-03-14,12.0,12.0,12.0,12.0,0,10.54,0.0
2011-03-15,11.53,11.57,11.53,11.54,2700,10.13,0.009999999999999787
2011-03-16,11.54,11.54,11.54,11.54,0,10.13,0.0
2011-03-17,11.54,11.54,11.51,11.52,1500,10.11,-0.019999999999999574
2011-03-18,11.59,11.65,11.57,11.58,700,10.17,-0.009999999999999787
2011-03-21,11.55,11.55,11.0,11.24,12600,9.87,-0.3100000000000005
2011-03-22,11.5,11.5,11.16,11.5,1700,10.1,0.0
2011-03-23,11.5,11.5,11.39,11.39,600,10.0,-0.10999999999999943
2011-03-24,11.39,11.39,11.39,11.39,0,10.0,0.0
2011-03-25,11.42,11.42,11.4,11.41,2500,10.02,-0.009999999999999787
2011-03-28,11.44,11.44,11.36,11.44,1800,10.04,0.0
2011-03-29,11.49,11.56,11.45,11.55,9800,10.14,0.0600000000000005
2011-03-30,11.53,11.6,11.5,11.5,1600,10.1,-0.02999999999999936
2011-03-31,11.5,11.5,11.5,11.5,1000,10.1,0.0
2011-04-01,11.46,11.46,11.32,11.4,1400,10.01,-0.0600000000000005
2011-04-04,11.5,11.5,11.41,11.41,900,10.02,-0.08999999999999986
2011-04-05,11.46,11.46,11.4,11.4,2000,10.01,-0.0600000000000005
2011-04-06,11.41,11.5,11.4,11.4,1100,10.01,-0.009999999999999787
2011-04-07,11.4,11.45,11.4,11.45,700,10.05,0.049999999999998934
2011-04-08,11.33,11.44,11.33,11.4,600,10.01,0.07000000000000028
2011-04-11,11.42,11.42,11.3,11.3,1900,9.92,-0.11999999999999922
2011-04-12,11.3,11.3,11.3,11.3,0,9.92,0.0
2011-04-13,11.55,11.55,11.45,11.45,1300,10.05,-0.10000000000000142
2011-04-14,11.32,11.32,11.3,11.3,1300,9.92,-0.019999999999999574
2011-04-15,11.3,11.3,11.3,11.3,0,9.92,0.0
2011-04-18,11.3,11.4,11.3,11.31,4900,9.93,0.009999999999999787
2011-04-19,11.26,11.37,11.26,11.26,1200,9.89,0.0
2011-04-20,11.39,11.4,11.3,11.3,8300,9.92,-0.08999999999999986
2011-04-21,11.3,11.3,11.3,11.3,0,9.92,0.0
2011-04-25,11.3,11.33,11.07,11.07,3400,9.72,-0.23000000000000043
2011-04-26,11.07,11.07,11.07,11.07,0,9.72,0.0
2011-04-27,11.05,11.12,11.05,11.12,600,9.76,0.06999999999999851
2011-04-28,11.27,11.27,11.1,11.1,300,9.75,-0.16999999999999993
2011-04-29,11.1,11.2,11.1,11.1,800,9.75,0.0
2011-05-02,11.1,11.1,11.1,11.1,2600,9.75,0.0
2011-05-03,11.08,11.08,10.75,10.75,7600,9.44,-0.33000000000000007
2011-05-04,10.66,11.0,10.42,10.48,10800,9.2,-0.17999999999999972
2011-05-05,10.65,10.65,10.17,10.56,9200,9.27,-0.08999999999999986
2011-05-06,10.5,10.84,10.5,10.65,1100,9.35,0.15000000000000036
2011-05-09,10.5,10.56,10.18,10.43,9400,9.16,-0.07000000000000028
2011-05-10,10.41,10.41,10.31,10.35,3100,9.09,-0.0600000000000005
2011-05-11,10.3,10.3,10.18,10.28,2700,9.03,-0.02000000000000135
2011-05-12,10.28,10.28,10.28,10.28,0,9.03,0.0
2011-05-13,10.32,10.39,10.32,10.39,200,9.12,0.07000000000000028
2011-05-16,10.3,10.32,10.3,10.32,200,9.06,0.019999999999999574
2011-05-17,10.32,10.32,10.32,10.32,0,9.06,0.0
2011-05-18,10.32,10.32,10.32,10.32,0,9.06,0.0
2011-05-19,10.47,10.47,10.23,10.25,5400,9.0,-0.22000000000000064
2011-05-20,10.27,10.35,10.23,10.28,4100,9.03,0.009999999999999787
2011-05-23,10.26,10.26,10.21,10.21,17500,8.96,-0.049999999999998934
2011-05-24,10.21,10.21,10.21,10.21,0,8.96,0.0
2011-05-25,10.21,10.21,10.21,10.21,400,8.96,0.0
2011-05-26,10.21,10.21,10.21,10.21,0,8.96,0.0
2011-05-27,10.23,10.23,10.23,10.23,100,8.98,0.0
2011-05-31,10.28,10.35,10.28,10.32,2000,9.06,0.040000000000000924
2011-06-01,10.38,10.42,10.38,10.42,2400,9.15,0.03999999999999915
2011-06-02,10.42,10.42,10.42,10.42,0,9.15,0.0
2011-06-03,10.42,10.42,10.42,10.42,0,9.15,0.0
2011-06-06,10.42,10.42,10.42,10.42,0,9.15,0.0
2011-06-07,10.35,10.35,10.35,10.35,1900,9.09,0.0
2011-06-08,10.32,10.39,10.32,10.32,1000,9.15,0.0
2011-06-09,10.32,10.37,10.32,10.37,300,9.19,0.049999999999998934
2011-06-10,10.26,10.37,10.25,10.35,4200,9.18,0.08999999999999986
2011-06-13,10.26,10.27,10.25,10.25,2300,9.09,-0.009999999999999787
2011-06-14,10.35,10.35,10.2,10.2,1000,9.04,-0.15000000000000036
2011-06-15,10.23,10.23,10.23,10.23,200,9.07,0.0
2011-06-16,10.35,10.35,10.09,10.09,5300,8.95,-0.2599999999999998
2011-06-17,10.09,10.29,10.09,10.29,2600,9.12,0.1999999999999993
2011-06-20,10.29,10.29,10.29,10.29,0,9.12,0.0
2011-06-21,10.32,10.33,10.3,10.3,700,9.13,-0.019999999999999574
2011-06-22,10.0,10.24,9.7,10.11,20000,8.96,0.10999999999999943
2011-06-23,9.87,9.98,9.8,9.8,3900,8.69,-0.06999999999999851
2011-06-24,9.99,9.99,9.8,9.8,1100,8.69,-0.1899999999999995
2011-06-27,9.99,10.01,9.75,10.0,11100,8.87,0.009999999999999787
2011-06-28,9.75,9.78,9.73,9.75,2200,8.64,0.0
2011-06-29,9.64,9.71,9.62,9.71,1900,8.61,0.07000000000000028
2011-06-30,10.06,10.06,9.85,9.85,600,8.73,-0.21000000000000085
2011-07-01,9.99,10.35,9.99,10.35,10500,9.18,0.35999999999999943
2011-07-05,10.35,10.35,10.35,10.35,0,9.18,0.0
2011-07-06,10.25,10.5,10.25,10.49,6300,9.3,0.2400000000000002
2011-07-07,10.46,10.46,10.45,10.45,3100,9.26,-0.010000000000001563
2011-07-08,10.5,10.5,10.25,10.25,1800,9.09,-0.25
2011-07-11,10.5,10.5,10.45,10.45,1200,9.26,-0.05000000000000071
2011-07-12,10.45,10.47,10.28,10.47,1500,9.28,0.02000000000000135
2011-07-13,10.43,10.5,10.43,10.5,1100,9.31,0.07000000000000028
2011-07-14,10.32,10.43,10.3,10.3,1400,9.13,-0.019999999999999574
2011-07-15,10.3,10.35,10.09,10.13,3500,8.98,-0.16999999999999993
2011-07-18,9.92,10.0,9.67,10.0,1800,8.87,0.08000000000000007
2011-07-19,10.01,10.23,9.82,10.23,2300,9.07,0.22000000000000064
2011-07-20,10.26,10.26,10.26,10.26,300,9.1,0.0
2011-07-21,9.67,9.95,9.56,9.91,4600,8.79,0.2400000000000002
2011-07-22,9.95,9.98,9.93,9.98,2200,8.85,0.030000000000001137
2011-07-25,10.47,10.47,10.02,10.02,200,8.88,-0.45000000000000107
2011-07-26,10.02,10.02,10.02,10.02,0,8.88,0.0
2011-07-27,10.05,10.06,10.0,10.05,3300,8.91,0.0
2011-07-28,10.03,10.04,9.9,9.9,600,8.78,-0.129999999999999
2011-07-29,10.06,10.06,9.88,9.9,2200,8.78,-0.16000000000000014
2011-08-01,10.05,10.05,10.03,10.03,600,8.89,-0.02000000000000135
2011-08-02,10.04,10.09,9.85,9.87,400,8.75,-0.16999999999999993
2011-08-03,10.13,10.13,9.7,9.7,3700,8.6,-0.4300000000000015
2011-08-04,10.2,10.2,9.1,9.5,4400,8.42,-0.6999999999999993
2011-08-05,9.5,9.5,9.5,9.5,0,8.42,0.0
2011-08-08,9.46,9.46,8.74,8.75,16400,7.76,-0.7100000000000009
2011-08-09,8.75,8.75,8.75,8.75,500,7.76,0.0
2011-08-10,9.44,9.45,8.97,9.18,4100,8.14,-0.2599999999999998
2011-08-11,9.18,9.18,9.18,9.18,0,8.14,0.0
2011-08-12,9.0,9.0,8.6,9.0,6700,7.98,0.0
2011-08-15,9.02,9.03,8.84,8.95,900,7.93,-0.07000000000000028
2011-08-16,8.82,8.82,8.79,8.79,900,7.79,-0.030000000000001137
2011-08-17,8.73,9.0,8.73,9.0,1500,7.98,0.2699999999999996
2011-08-18,8.61,8.76,8.5,8.5,2100,7.54,-0.10999999999999943
2011-08-19,8.6,8.74,8.5,8.5,5300,7.54,-0.09999999999999964
2011-08-22,8.74,8.74,8.43,8.43,1700,7.47,-0.3100000000000005
2011-08-23,8.35,8.35,8.35,8.35,100,7.4,0.0
2011-08-24,8.44,8.74,8.44,8.57,10300,7.6,0.13000000000000078
2011-08-25,8.61,8.61,8.4,8.4,8300,7.45,-0.20999999999999908
2011-08-26,8.35,8.53,8.35,8.53,1500,7.56,0.17999999999999972
2011-08-29,8.66,8.93,8.66,8.93,1200,7.92,0.2699999999999996
2011-08-30,8.95,8.95,8.95,8.95,1600,7.93,0.0
2011-08-31,9.0,9.25,9.0,9.25,4600,8.2,0.25
2011-09-01,9.02,9.02,9.02,9.02,400,8.08,0.0
2011-09-02,9.1,9.25,9.1,9.15,2800,8.2,0.05000000000000071
2011-09-06,9.15,9.15,9.15,9.15,0,8.2,0.0
