Date,open,high,low,close,volume,adj_close,diff
2011-01-03,15.92,16.06,15.89,16.04,985400,32.97,0.11999999999999922
2011-01-04,15.95,16.05,15.79,15.96,1429800,32.81,0.010000000000001563
2011-01-05,15.9,16.07,15.85,16.06,1051200,33.01,0.15999999999999837
2011-01-06,16.05,16.12,15.98,16.06,1035200,33.01,0.00999999999999801
2011-01-07,16.05,16.06,15.9,16.06,1234200,33.01,0.00999999999999801
2011-01-10,15.98,16.1,15.92,16.01,1032100,32.91,0.030000000000001137
2011-01-11,16.0,16.19,15.96,16.17,871200,33.24,0.1700000000000017
2011-01-12,16.19,16.19,15.98,16.06,1332400,33.01,-0.13000000000000256
2011-01-13,16.03,16.27,15.99,16.22,1493500,33.34,0.18999999999999773
2011-01-14,16.17,16.47,16.13,16.46,1115500,33.83,0.28999999999999915
2011-01-18,16.34,16.55,16.34,16.5,840900,33.92,0.16000000000000014
2011-01-19,16.53,16.56,16.32,16.4,1378400,33.71,-0.13000000000000256
2011-01-20,16.4,16.55,16.22,16.46,978400,33.83,0.060000000000002274
2011-01-21,16.56,16.56,16.32,16.48,787400,33.88,-0.0799999999999983
2011-01-24,16.48,16.52,16.4,16.51,900500,33.94,0.030000000000001137
2011-01-25,16.52,16.57,16.43,16.52,732400,33.96,0.0
2011-01-26,16.55,16.75,16.51,16.69,778300,34.31,0.14000000000000057
2011-01-27,16.71,16.75,16.6,16.65,500100,34.22,-0.060000000000002274
2011-01-28,16.64,16.73,16.37,16.4,794600,33.71,-0.240000000000002
2011-01-31,16.41,16.66,16.36,16.57,746000,34.06,0.16000000000000014
2011-02-01,16.59,16.69,16.57,16.64,1263400,34.2,0.05000000000000071
2011-02-02,16.57,16.63,16.49,16.58,999500,34.08,0.00999999999999801
2011-02-03,16.55,16.63,16.49,16.61,809700,34.14,0.05999999999999872
2011-02-04,16.65,16.75,16.59,16.7,988700,34.33,0.05000000000000071
2011-02-07,16.73,16.79,16.7,16.75,683100,34.43,0.019999999999999574
2011-02-08,16.72,16.95,16.68,16.9,1077500,34.74,0.17999999999999972
2011-02-09,16.84,16.88,16.72,16.79,932000,34.51,-0.05000000000000071
2011-02-10,16.75,16.86,16.7,16.84,694500,34.62,0.08999999999999986
2011-02-11,16.75,16.79,16.31,16.45,1602600,33.81,-0.3000000000000007
2011-02-14,16.41,16.54,16.36,16.4,809400,33.71,-0.010000000000001563
2011-02-15,16.39,16.54,16.32,16.45,1036100,33.81,0.05999999999999872
2011-02-16,16.51,16.54,16.37,16.44,692900,33.79,-0.07000000000000028
2011-02-17,16.4,16.52,16.35,16.46,611400,33.83,0.060000000000002274
2011-02-18,16.48,16.62,16.43,16.52,670000,33.96,0.03999999999999915
2011-02-22,16.35,16.44,16.12,16.13,922300,33.16,-0.22000000000000242
2011-02-23,16.11,16.17,15.9,15.95,1002700,32.79,-0.16000000000000014
2011-02-24,15.95,16.02,15.8,15.88,1138300,32.64,-0.06999999999999851
2011-02-25,15.92,15.99,15.76,15.91,1544900,32.7,-0.009999999999999787
2011-02-28,16.08,16.45,15.88,16.34,3466100,33.59,0.26000000000000156
2011-03-01,16.34,16.65,16.33,16.44,1447900,33.79,0.10000000000000142
2011-03-02,16.39,16.53,16.35,16.38,1176500,33.67,-0.010000000000001563
2011-03-03,16.48,16.59,16.44,16.52,915300,33.96,0.03999999999999915
2011-03-04,16.5,16.58,16.44,16.58,815700,34.08,0.0799999999999983
2011-03-07,16.56,16.69,16.49,16.53,837100,33.98,-0.029999999999997584
2011-03-08,16.6,16.92,16.5,16.88,1130600,34.7,0.2799999999999976
2011-03-09,16.83,16.94,16.77,16.86,713800,34.66,0.030000000000001137
2011-03-10,16.78,16.79,16.54,16.6,589500,34.12,-0.17999999999999972
2011-03-11,16.52,16.71,16.51,16.67,475700,34.27,0.15000000000000213
2011-03-14,16.58,16.67,16.49,16.57,555400,34.06,-0.00999999999999801
2011-03-15,16.37,16.57,16.31,16.46,821100,33.83,0.08999999999999986
2011-03-16,16.39,16.47,16.18,16.3,1267400,33.51,-0.08999999999999986
2011-03-17,16.47,16.59,16.37,16.54,722200,34.0,0.07000000000000028
2011-03-18,16.64,16.82,16.64,16.77,842500,34.47,0.129999999999999
2011-03-21,16.81,16.9,16.66,16.84,1128400,34.62,0.030000000000001137
2011-03-22,16.79,16.9,16.75,16.86,693100,34.66,0.07000000000000028
2011-03-23,16.8,17.0,16.76,16.96,1352400,34.86,0.16000000000000014
2011-03-24,17.01,17.23,16.95,17.04,1383900,35.03,0.029999999999997584
2011-03-25,16.93,16.95,16.63,16.68,1104100,34.29,-0.25
2011-03-28,16.7,16.98,16.7,16.91,1063100,34.76,0.21000000000000085
2011-03-29,16.89,17.04,16.84,16.96,761100,34.86,0.07000000000000028
2011-03-30,17.0,17.0,16.81,16.83,1371200,34.59,-0.1700000000000017
2011-03-31,16.8,16.98,16.8,16.92,1393500,34.78,0.120000000000001
2011-04-01,16.95,17.33,16.91,17.25,1460300,35.46,0.3000000000000007
2011-04-04,17.24,17.31,17.14,17.3,1112900,35.56,0.060000000000002274
2011-04-05,17.23,17.39,17.17,17.31,874500,35.58,0.0799999999999983
2011-04-06,17.33,17.5,17.32,17.42,851000,35.81,0.09000000000000341
2011-04-07,17.38,17.46,17.27,17.3,808900,35.56,-0.0799999999999983
2011-04-08,17.34,17.37,17.18,17.25,729600,35.46,-0.08999999999999986
2011-04-11,17.25,17.5,17.25,17.44,973300,35.85,0.19000000000000128
2011-04-12,17.33,17.49,17.29,17.32,924700,35.6,-0.00999999999999801
2011-04-13,17.35,17.38,16.98,17.0,1131400,34.94,-0.3500000000000014
2011-04-14,16.97,16.97,16.78,16.92,934400,34.78,-0.04999999999999716
2011-04-15,16.9,17.05,16.79,17.0,806800,34.94,0.10000000000000142
2011-04-18,16.91,17.06,16.87,16.98,777100,34.9,0.07000000000000028
2011-04-19,16.97,17.05,16.91,17.01,714500,34.96,0.0400000000000027
2011-04-20,17.11,17.29,17.09,17.23,470900,35.42,0.120000000000001
2011-04-21,17.25,17.3,17.14,17.25,470800,35.46,0.0
2011-04-25,17.18,17.27,17.08,17.22,596700,35.4,0.03999999999999915
2011-04-26,17.27,17.45,17.26,17.42,850500,35.81,0.15000000000000213
2011-04-27,17.44,17.55,17.38,17.55,743900,36.07,0.10999999999999943
2011-04-28,17.52,17.65,17.47,17.53,625200,36.03,0.010000000000001563
2011-04-29,17.53,17.53,17.38,17.4,1115600,35.77,-0.13000000000000256
2011-05-02,17.46,17.53,17.35,17.46,741700,35.89,0.0
2011-05-03,17.42,17.48,17.33,17.45,536000,35.87,0.029999999999997584
2011-05-04,17.51,17.55,17.35,17.43,662700,35.83,-0.08000000000000185
2011-05-05,17.4,17.45,17.22,17.31,613100,35.58,-0.08999999999999986
2011-05-06,17.42,17.48,17.25,17.26,684600,35.48,-0.16000000000000014
2011-05-09,17.25,17.46,17.24,17.43,445500,35.83,0.17999999999999972
2011-05-10,17.47,17.6,17.41,17.46,585100,35.89,-0.00999999999999801
2011-05-11,17.46,17.47,17.18,17.28,607600,35.52,-0.17999999999999972
2011-05-12,17.27,17.52,17.21,17.5,597900,35.97,0.23000000000000043
2011-05-13,17.48,17.58,17.4,17.4,391100,35.77,-0.08000000000000185
2011-05-16,17.37,17.52,17.27,17.32,437400,35.6,-0.05000000000000071
2011-05-17,17.25,17.34,17.18,17.31,365700,35.58,0.05999999999999872
2011-05-18,17.31,17.52,17.25,17.48,384000,35.93,0.1700000000000017
2011-05-19,17.54,17.56,17.45,17.53,325200,36.03,-0.00999999999999801
